energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
1.03551776,3.11078628,1.18415379,0.11795574,0.04671759,0.17523175,0.37953007,1.57296421,0.11025427,0.78780002
1.04152076,3.07766323,1.16898182,0.11669988,0.04409365,0.17140420,0.37592728,1.55344049,0.11029773,0.78674827
1.04752376,3.03639564,1.14954901,0.11506152,0.04158439,0.16761101,0.37196277,1.53030981,0.10972145,0.78357812
1.05352676,2.98646368,1.12575631,0.11303367,0.03918077,0.16379191,0.36753338,1.50325708,0.10851318,0.77816835
1.05952976,2.92754258,1.09761048,0.11061688,0.03687268,0.15989033,0.36254254,1.47206384,0.10667525,0.77043168
1.06553277,2.85952221,1.06522717,0.10781966,0.03464993,0.15585604,0.35690469,1.43661958,0.10422454,0.76031920
1.07153577,2.78251803,1.02882970,0.10465858,0.03250317,0.15164734,0.35054924,1.39692847,0.10119198,0.74782393
1.07753877,2.69687354,0.98874370,0.10115809,0.03042450,0.14723271,0.34342414,1.35311145,0.09762147,0.73298344
1.08354177,2.60315429,0.94538817,0.09735011,0.02840803,0.14259199,0.33549867,1.30540375,0.09356842,0.71588159
1.08954477,2.50213430,0.89926332,0.09327331,0.02645019,0.13771714,0.32676576,1.25414832,0.08909784,0.69664896
1.09554777,2.39477589,0.85093606,0.08897218,0.02454981,0.13261241,0.31724343,1.19978577,0.08428225,0.67546229
1.10155078,2.28220405,0.80102386,0.08449602,0.02270818,0.12729425,0.30697561,1.14284130,0.07919933,0.65254255
1.10755378,2.16567697,0.75017781,0.07989768,0.02092884,0.12179073,0.29603221,1.08390953,0.07392958,0.62815200
1.11355678,2.04655403,0.69906573,0.07523240,0.01921739,0.11614082,0.28450850,1.02363808,0.06855394,0.60258998
1.11955978,1.92626281,0.64835616,0.07055649,0.01758115,0.11039333,0.27252393,0.96271046,0.06315166,0.57618784
1.12556278,1.80626651,0.59870370,0.06592615,0.01602885,0.10460579,0.26022032,0.90182926,0.05779830,0.54930286
1.13156578,1.68803305,0.55073641,0.06139636,0.01457034,0.09884324,0.24775963,0.84170009,0.05256410,0.52231157
1.13756878,1.57300666,0.50504559,0.05701986,0.01321628,0.09317691,0.23532140,0.78301695,0.04751264,0.49560249
1.14357179,1.46258306,0.46217804,0.05284630,0.01197796,0.08768303,0.22309982,0.72644938,0.04269994,0.46956859
1.14957479,1.35808844,0.42263096,0.04892155,0.01086714,0.08244163,0.21130072,0.67263161,0.03817384,0.44459965
1.15557779,1.26076272,0.38684920,0.04528718,0.00989597,0.07753544,0.20013848,0.62215402,0.03397383,0.42107477
1.16158079,1.17174695,0.35522475,0.04198007,0.00907703,0.07304889,0.18983283,0.57555675,0.03013116,0.39935512
1.16758379,1.09207465,0.32809795,0.03903229,0.00842338,0.06906718,0.18060586,0.53332544,0.02666926,0.37977724
1.17358679,1.02266674,0.30575998,0.03647095,0.00794866,0.06567549,0.17267899,0.49588886,0.02360431,0.36264695
1.17958979,0.96432937,0.28845610,0.03431830,0.00766732,0.06295825,0.16627012,0.46361821,0.02094612,0.34823403
1.18559280,0.91775396,0.27638909,0.03259187,0.00759471,0.06099838,0.16159084,0.43682764,0.01869890,0.33676767
1.19159580,0.88351881,0.26972246,0.03130468,0.00774721,0.05987668,0.15884378,0.41577568,0.01686225,0.32843283
1.19759880,0.86209131,0.26858273,0.03046544,0.00814237,0.05967112,0.15821987,0.40066722,0.01543199,0.32336746
1.20360180,0.85383015,0.27306075,0.03007883,0.00879883,0.06045602,0.15989565,0.39165548,0.01440099,0.32166057
1.20960480,0.85898679,0.28321140,0.03014567,0.00973627,0.06230124,0.16403045,0.38884392,0.01375984,0.32335110
1.21560780,0.87770557,0.29905186,0.03066311,0.01097515,0.06527112,0.17076336,0.39228744,0.01349737,0.32842748
1.22161081,0.91002221,0.32055818,0.03162473,0.01253633,0.06942337,0.18021002,0.40199294,0.01360104,0.33682794
1.22761381,0.95586031,0.34766044,0.03302057,0.01444054,0.07480761,0.19245915,0.41791890,0.01405712,0.34844131
1.23361681,1.01502589,0.38023666,0.03483711,0.01670768,0.08146390,0.20756881,0.43997401,0.01485075,0.36310851
1.23961981,1.08720020,0.41810590,0.03705713,0.01935602,0.08942093,0.22556251,0.46801482,0.01596583,0.38062433
1.24562281,1.17193113,0.46102101,0.03965957,0.02240121,0.09869416,0.24642512,0.50184263,0.01738480,0.40073989
1.25162581,1.26862389,0.50866166,0.04261933,0.02585522,0.10928383,0.27009890,0.54119987,0.01908837,0.42316540
1.25762881,1.37653175,0.56062817,0.04590705,0.02972525,0.12117292,0.29647969,0.58576611,0.02105515,0.44757354
1.26363182,1.49474779,0.61643698,0.04948893,0.03401255,0.13432518,0.32541348,0.63515438,0.02326135,0.47360326
1.26963482,1.62219867,0.67551811,0.05332655,0.03871133,0.14868336,0.35669378,0.68890806,0.02568048,0.50086423
1.27563782,1.75764155,0.73721551,0.05737686,0.04380776,0.16416770,0.39005987,0.74649893,0.02828313,0.52894190
1.28164082,1.89966525,0.80079048,0.06159226,0.04927912,0.18067482,0.42519629,0.80732673,0.03103692,0.55740322
1.28764382,2.04669654,0.86542867,0.06592075,0.05509315,0.19807722,0.46173390,0.87072094,0.03390649,0.58580307
1.29364682,2.19701246,0.93025076,0.07030645,0.06120768,0.21622337,0.49925259,0.93594490,0.03685379,0.61369133
1.29964982,2.34875910,0.99432687,0.07469011,0.06757062,0.23493862,0.53728593,1.00220280,0.03983841,0.64062069
1.30565283,2.49997730,1.05669439,0.07901000,0.07412026,0.25402696,0.57532785,1.06864954,0.04281819,0.66615492
1.31165583,2.64863498,1.11637890,0.08320288,0.08078598,0.27327362,0.61284120,1.13440359,0.04574990,0.68987762
1.31765883,2.79266572,1.17241755,0.08720526,0.08748939,0.29244870,0.64926836,1.19856277,0.04859016,0.71140119
1.32366183,2.93001278,1.22388406,0.09095475,0.09414577,0.31131151,0.68404337,1.26022244,0.05129634,0.73037571
1.32966483,3.05867723,1.26991450,0.09439158,0.10066597,0.32961584,0.71660555,1.31849583,0.05382770,0.74649766
1.33566783,3.17676870,1.30973278,0.09746011,0.10695854,0.34711577,0.74641399,1.37253570,0.05614636,0.75951790
1.34167084,3.28255682,1.34267483,0.10011049,0.11293213,0.36357202,0.77296249,1.42155671,0.05821845,0.76924884
1.34767384,3.37452137,1.36821033,0.10230007,0.11849805,0.37875854,0.79579437,1.46485743,0.06001507,0.77557028
1.35367684,3.45139897,1.38596116,0.10399486,0.12357290,0.39246907,0.81451656,1.50184128,0.06151316,0.77843371
1.35967984,3.51222420,1.39571545,0.10517069,0.12808110,0.40452350,0.82881229,1.53203520,0.06269629,0.77786486
1.36568284,3.55636312,1.39743682,0.10581409,0.13195739,0.41477364,0.83845188,1.55510533,0.06355516,0.77396414
1.37168584,3.58353746,1.39126809,0.10592299,0.13514895,0.42310818,0.84330108,1.57086885,0.06408802,0.76690492
1.37768884,3.59383807,1.37752921,0.10550687,0.13761723,0.42945662,0.84332649,1.57930117,0.06430073,0.75692964
1.38369185,3.58772664,1.35670952,0.10458673,0.13933943,0.43379192,0.83859779,1.58053819,0.06420669,0.74434366
1.38969485,3.56602518,1.32945442,0.10319453,0.14030930,0.43613168,0.82928658,1.57487315,0.06382652,0.72950704
1.39569785,3.52989331,1.29654697,0.10137228,0.14053762,0.43653783,0.81566188,1.56274818,0.06318747,0.71282448
1.40170085,3.48079398,1.25888506,0.09917086,0.14005193,0.43511474,0.79808224,1.54474062,0.06232269,0.69473364
1.40770385,3.42044861,1.21745503,0.09664841,0.13889584,0.43200572,0.77698494,1.52154471,0.06127028,0.67569231
1.41370685,3.35078334,1.17330263,0.09386855,0.13712771,0.42738817,0.75287262,1.49394906,0.06007226,0.65616480
1.41970985,3.27386822,1.12750251,0.09089840,0.13481891,0.42146738,0.72629773,1.46281106,0.05877336,0.63660797
1.42571286,3.19185179,1.08112715,0.08780645,0.13205163,0.41446931,0.69784569,1.42902893,0.05741979,0.61745755
1.43171586,3.10689327,1.03521644,0.08466050,0.12891638,0.40663268,0.66811713,1.39351270,0.05605795,0.59911509
1.43771886,3.02109524,0.99074898,0.08152557,0.12550920,0.39820049,0.63771016,1.35715517,0.05473315,0.58193606
1.44372186,2.93643909,0.94861579,0.07846197,0.12192881,0.38941158,0.60720311,1.32080401,0.05348841,0.56621956
1.44972486,2.85472577,0.90959754,0.07552359,0.11827369,0.38049235,0.57713862,1.28523610,0.05236326,0.55220009
1.45572786,2.77752405,0.87434575,0.07275647,0.11463925,0.37164912,0.54800938,1.25113502,0.05139269,0.54004140
1.46173087,2.70612798,0.84336848,0.07019762,0.11111516,0.36306137,0.52024631,1.21907261,0.05060623,0.52983306
1.46773387,2.64152522,0.81702097,0.06787427,0.10778297,0.35487624,0.49420917,1.18949512,0.05002717,0.52158945
1.47373687,2.58437702,0.79550119,0.06580345,0.10471413,0.34720432,0.47018017,1.16271449,0.04967197,0.51525151
1.47973987,2.53501051,0.77885046,0.06399191,0.10196827,0.34011711,0.44836049,1.13890489,0.04954985,0.51069097
1.48574287,2.49342327,0.76695883,0.06243649,0.09959212,0.33364609,0.42886978,1.11810453,0.04966260,0.50771696
1.49174587,2.45929965,0.75957502,0.06112474,0.09761877,0.32778345,0.41174846,1.10022251,0.05000458,0.50608471
1.49774887,2.43203796,0.75632032,0.06003588,0.09606744,0.32248444,0.39696264,1.08505025,0.05056298,0.50550599
1.50375188,2.41078720,0.75670610,0.05914203,0.09494379,0.31767120,0.38441128,1.07227682,0.05131821,0.50566082
1.50975488,2.39449152,0.76015401,0.05840960,0.09424057,0.31323787,0.37393522,1.06150756,0.05224459,0.50621007
1.51575788,2.38194051,0.76601833,0.05780085,0.09393874,0.30905665,0.36532762,1.05228484,0.05331110,0.50680838
1.52176088,2.37182311,0.77360958,0.05727551,0.09400886,0.30498470,0.35834530,1.04411031,0.05448245,0.50711686
1.52776388,2.36278288,0.78221867,0.05679241,0.09441274,0.30087137,0.35272061,1.03646740,0.05572007,0.50681517
1.53376688,2.35347238,0.79114063,0.05631106,0.09510534,0.29656548,0.34817314,1.02884332,0.05698339,0.50561249
1.53976988,2.34260449,0.79969727,0.05579311,0.09603664,0.29192243,0.34442110,1.02074950,0.05823098,0.50325695
1.54577289,2.32899879,0.80725798,0.05520366,0.09715364,0.28681064,0.34119165,1.01173987,0.05942189,0.49954316
1.55177589,2.31162126,0.81325808,0.05451237,0.09840221,0.28111720,0.33823023,1.00142618,0.06051671,0.49431779
1.55777889,2.28961609,0.81721402,0.05369428,0.09972885,0.27475251,0.33530823,0.98948997,0.06147879,0.48748283
1.56378189,2.26232868,0.81873531,0.05273050,0.10108227,0.26765360,0.33222918,0.97569091,0.06227513,0.47899664
1.56978489,2.22931939,0.81753257,0.05160847,0.10241471,0.25978621,0.32883307,0.95987133,0.06287724,0.46887284
1.57578789,2.19036807,0.81342192,0.05032208,0.10368302,0.25114554,0.32499895,0.94195709,0.06326175,0.45717718
1.58179090,2.14546977,0.80632552,0.04887148,0.10484944,0.24175560,0.32064591,0.92195503,0.06341086,0.44402265
1.58779390,2.09482247,0.79626853,0.04726273,0.10588222,0.23166748,0.31573233,0.89994732,0.06331253,0.42956316
1.59379690,2.03880795,0.78337289,0.04550716,0.10675583,0.22095647,0.31025390,0.87608336,0.06296053,0.41398614
1.59979990,1.97796719,0.76784818,0.04362065,0.10745109,0.20971843,0.30424036,0.85056971,0.06235425,0.39750447
1.60580290,1.91297177,0.74998035,0.04162280,0.10795499,0.19806542,0.29775136,0.82365867,0.06149838,0.38034805
1.61180590,1.84459299,0.73011861,0.03953602,0.10826047,0.18612104,0.29087167,0.79563630,0.06040243,0.36275555
1.61780890,1.77367001,0.70866129,0.03738456,0.10836597,0.17401557,0.28370596,0.76681027,0.05908018,0.34496650
1.62381191,1.70107870,0.68604118,0.03519367,0.10827495,0.16188125,0.27637345,0.73749821,0.05754901,0.32721413
1.62981491,1.62770222,0.66271091,0.03298869,0.10799534,0.14984776,0.26900257,0.70801696,0.05582923,0.30971912
1.63581791,1.55440442,0.63912886,0.03079435,0.10753893,0.13803826,0.26172583,0.67867305,0.05394346,0.29268439
1.64182091,1.48200679,0.61574603,0.02863408,0.10692071,0.12656597,0.25467507,0.64975458,0.05191592,0.27629112
1.64782391,1.41126933,0.59299415,0.02652953,0.10615826,0.11553144,0.24797715,0.62152474,0.04977189,0.26069581
1.65382691,1.34287551,0.57127526,0.02450015,0.10527100,0.10502057,0.24175010,0.59421678,0.04753718,0.24602860
