energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
0.95747874,8.89323088,0.39358253,0.85820713,1.84185308,1.97050522,1.05632766,0.00000000,0.66674399,4.33493010
0.96348174,8.96571951,0.38763519,0.85966851,1.84920689,1.95852810,1.06128410,0.00000000,0.64652872,4.41415008
0.96948474,9.02230401,0.38018060,0.85969602,1.85189880,1.94197250,1.06426334,0.00000000,0.62451569,4.48727938
0.97548774,9.06248585,0.37136254,0.85815700,1.84985245,1.92095788,1.06521633,0.00000000,0.60110296,4.55375062
0.98149075,9.08564780,0.36133336,0.85492492,1.84300503,1.89561554,1.06409294,0.00000000,0.57668103,4.61286630
0.98749375,9.09106477,0.35024965,0.84988858,1.83131279,1.86608683,1.06084678,0.00000000,0.55162218,4.66380471
0.99349675,9.07793229,0.33826831,0.84296210,1.81475888,1.83252383,1.05544137,0.00000000,0.52627147,4.70563762
0.99949975,9.04541228,0.32554321,0.83409549,1.79336326,1.79509211,1.04785773,0.00000000,0.50093972,4.73735966
1.00550275,8.99269422,0.31222249,0.82328490,1.76719415,1.75397567,1.03810262,0.00000000,0.47589864,4.75792852
1.01150575,8.91906865,0.29844652,0.81058237,1.73638011,1.70938350,1.02621710,0.00000000,0.45137825,4.76631441
1.01750875,8.82400898,0.28434659,0.79610407,1.70112213,1.66155713,1.01228474,0.00000000,0.42756633,4.76155639
1.02351176,8.70725653,0.27004421,0.78003684,1.66170460,1.61077852,0.99643871,0.00000000,0.40460998,4.74282267
1.02951476,8.56890341,0.25565094,0.76264226,1.61850437,1.55737751,0.97886741,0.00000000,0.38261870,4.70947152
1.03551776,8.40946766,0.24126872,0.74425799,1.57199705,1.50173801,0.95981778,0.00000000,0.36166895,4.66110944
1.04152076,8.22995545,0.22699054,0.72529610,1.52275987,1.44430226,0.93959611,0.00000000,0.34180949,4.59764285
1.04752376,8.03190543,0.21290123,0.70623819,1.47147041,1.38557250,0.91856585,0.00000000,0.32306726,4.51932028
1.05352676,7.81741163,0.19907852,0.68762746,1.41890121,1.32610975,0.89714239,0.00000000,0.30545347,4.42676216
1.05952976,7.58912217,0.18559398,0.67005772,1.36590988,1.26652925,0.87578476,0.00000000,0.28896925,4.32097604
1.06553277,7.35021263,0.17251391,0.65415982,1.31342501,1.20749286,0.85498462,0.00000000,0.27361085,4.20335590
1.07153577,7.10433407,0.15990018,0.64058586,1.26242830,1.14969825,0.83525271,0.00000000,0.25937400,4.07566488
1.07753877,6.85553733,0.14781084,0.62999168,1.21393345,1.09386559,0.81710354,0.00000000,0.24625732,3.94000186
1.08354177,6.60817647,0.13630058,0.62301830,1.16896247,1.04072210,0.80103873,0.00000000,0.23426468,3.79875287
1.08954477,6.36679533,0.12542109,0.62027293,1.12852050,0.99098526,0.78753011,0.00000000,0.22340660,3.65452951
1.09554777,6.13600199,0.11522124,0.62231021,1.09356978,0.94534536,0.77700301,0.00000000,0.21370068,3.51009669
1.10155078,5.92033672,0.10574723,0.62961435,1.06500392,0.90444832,0.76982085,0.00000000,0.20517124,3.36829294
1.10755378,5.72413917,0.09704267,0.64258281,1.04362339,0.86887941,0.76627162,0.00000000,0.19784846,3.23194672
1.11355678,5.55142046,0.08914867,0.66151199,1.03011293,0.83914873,0.76655707,0.00000000,0.19176701,3.10379215
1.11955978,5.40574570,0.08210400,0.68658565,1.02502180,0.81567897,0.77078504,0.00000000,0.18696458,2.98638775
1.12556278,5.29013173,0.07594525,0.71786614,1.02874748,0.79879607,0.77896547,0.00000000,0.18348046,2.88204147
1.13156578,5.20696408,0.07070709,0.75528913,1.04152327,0.78872289,0.79101015,0.00000000,0.18135429,2.79274489
1.13756878,5.15793621,0.06642255,0.79866175,1.06341017,0.78557633,0.80673645,0.00000000,0.18062511,2.72011894
1.14357179,5.14401295,0.06312339,0.84766440,1.09429332,0.78936768,0.82587464,0.00000000,0.18133088,2.66537308
