energy_ev,total_up,Al_p_up,Al_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-5.33366683,1.59210403,0.10376491,0.00000000,1.09755770,0.25328727,0.02020871,0.98512750
-5.32766383,1.50017309,0.09767186,0.00000000,1.03305259,0.23905730,0.01901797,0.92944961
-5.32166083,1.40554426,0.09140864,0.00000000,0.96666052,0.22436722,0.01779430,0.87204661
-5.31565783,1.30968836,0.08507615,0.00000000,0.89943220,0.20943353,0.01655166,0.81381359
-5.30965483,1.21404235,0.07877240,0.00000000,0.83238750,0.19447035,0.01530388,0.75563023
-5.30365183,1.11997717,0.07259038,0.00000000,0.76649300,0.17968443,0.01406437,0.69834073
-5.29764882,1.02876940,0.06661625,0.00000000,0.70264256,0.16527069,0.01284576,0.64273578
-5.29164582,0.94157745,0.06092790,0.00000000,0.64164152,0.15140822,0.01165970,0.58953698
-5.28564282,0.85942281,0.05559381,0.00000000,0.58419473,0.13825709,0.01051656,0.53938430
-5.27963982,0.78317676,0.05067243,0.00000000,0.53089863,0.12595586,0.00942532,0.49282662
-5.27363682,0.71355240,0.04621179,0.00000000,0.48223719,0.11461996,0.00839343,0.45031543
-5.26763382,0.65110201,0.04224958,0.00000000,0.43858167,0.10434085,0.00742676,0.41220183
-5.26163082,0.59621933,0.03881351,0.00000000,0.40019375,0.09518599,0.00652961,0.37873643
-5.25562781,0.54914618,0.03592201,0.00000000,0.36723159,0.08719954,0.00570476,0.35007207
-5.24962481,0.50998298,0.03358513,0.00000000,0.33975849,0.08040376,0.00495359,0.32626888
-5.24362181,0.47870254,0.03180569,0.00000000,0.31775348,0.07480092,0.00427623,0.30730157
-5.23761881,0.45516641,0.03058055,0.00000000,0.30112346,0.07037581,0.00367177,0.29306835
-5.23161581,0.43914326,0.02990205,0.00000000,0.28971638,0.06709853,0.00313842,0.28340135
-5.22561281,0.43032865,0.02975944,0.00000000,0.28333504,0.06492768,0.00267379,0.27807800
-5.21960980,0.42836585,0.03014044,0.00000000,0.28175102,0.06381374,0.00227510,0.27683332
-5.21360680,0.43286695,0.03103271,0.00000000,0.28471856,0.06370258,0.00193940,0.27937263
-5.20760380,0.44343405,0.03242534,0.00000000,0.29198792,0.06453906,0.00166382,0.28538454
-5.20160080,0.45967998,0.03431015,0.00000000,0.30331793,0.06627060,0.00144577,0.29455395
-5.19559780,0.48124818,0.03668305,0.00000000,0.31848758,0.06885067,0.00128313,0.30657480
