energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
1.35967984,1.64377634,0.01903050,0.02152122,0.10556216,0.09997711,0.01710298,0.67052924,0.65258529,1.33069889
1.36568284,1.75263660,0.02116773,0.02399222,0.11456638,0.10378782,0.01974719,0.69596994,0.71225743,1.43613090
1.37168584,1.87824508,0.02338553,0.02671661,0.12470182,0.10879504,0.02268805,0.72867658,0.77807637,1.55357184
1.37768884,2.01959845,0.02566190,0.02968955,0.13593190,0.11494391,0.02593992,0.76814599,0.84968661,1.68214577
1.38369185,2.17543191,0.02797182,0.03290170,0.14819985,0.12216098,0.02951472,0.81375865,0.92665002,1.82077410
1.38969485,2.34424766,0.03028776,0.03633910,0.16142916,0.13035570,0.03342128,0.86479438,1.00845759,1.96819875
1.39569785,2.52434806,0.03258028,0.03998315,0.17552430,0.13942233,0.03766475,0.92044990,1.09454324,2.12300949
1.40170085,2.71387278,0.03481875,0.04381061,0.19037191,0.14924194,0.04224591,0.97985817,1.18429912,2.28367461
1.40770385,2.91083849,0.03697214,0.04779381,0.20584221,0.15968469,0.04716056,1.04210883,1.27709174,2.44857400
1.41370685,3.11318017,0.03900988,0.05190092,0.22179094,0.17061220,0.05239891,1.10626925,1.37227835,2.61603327
1.41970985,3.31879236,0.04090273,0.05609632,0.23806141,0.18188000,0.05794496,1.17140546,1.46922270,2.78435795
1.42571286,3.52556908,0.04262361,0.06034111,0.25448703,0.19334011,0.06377606,1.23660246,1.56730941,2.95186613
1.43171586,3.73144092,0.04414839,0.06459371,0.27089395,0.20484342,0.06986248,1.30098297,1.66595623,3.11691871
1.43771886,3.93440814,0.04545654,0.06881055,0.28710405,0.21624218,0.07616723,1.36372416,1.76462340,3.27794597
1.44372186,4.13256852,0.04653174,0.07294683,0.30293798,0.22739220,0.08264588,1.42407169,1.86281973,3.43346959
1.44972486,4.32413934,0.04736219,0.07695736,0.31821835,0.23815495,0.08924676,1.48135050,1.96010482,3.58211969
1.45572786,4.50747290,0.04794090,0.08079744,0.33277296,0.24839936,0.09591121,1.53497208,2.05608747,3.72264639
1.46173087,4.68106554,0.04826572,0.08442370,0.34643798,0.25800346,0.10257417,1.58443812,2.15042008,3.85392611
1.46773387,4.84356045,0.04833916,0.08779500,0.35906094,0.26685557,0.10916496,1.62934036,2.24278963,3.97496286
1.47373687,4.99374496,0.04816817,0.09087325,0.37050362,0.27485541,0.11560834,1.66935711,2.33290563,4.08488518
1.47973987,5.13054337,0.04776363,0.09362418,0.38064451,0.28191473,0.12182570,1.70424674,2.42048579,4.18293977
1.48574287,5.25300651,0.04713982,0.09601800,0.38938099,0.28795786,0.12773663,1.73383873,2.50524048,4.26848269
1.49174587,5.36029959,0.04631379,0.09802997,0.39663097,0.29292189,0.13326048,1.75802314,2.58685696,4.34096954
1.49774887,5.45168977,0.04530465,0.09964082,0.40233409,0.29675677,0.13831819,1.77673915,2.66498451,4.39994562
1.50375188,5.52653504,0.04413290,0.10083702,0.40645225,0.29942522,0.14283413,1.78996375,2.73922171,4.44503731
1.50975488,5.58427569,0.04281974,0.10161091,0.40896967,0.30090252,0.14673798,1.79770119,2.80910683,4.47594554
1.51575788,5.62442939,0.04138645,0.10196067,0.40989229,0.30117631,0.14996658,1.79997404,2.87411227,4.49244212
1.52176088,5.64659077,0.03985388,0.10189009,0.40924664,0.30024629,0.15246570,1.79681651,2.93364392,4.49436927
1.52776388,5.65043580,0.03824199,0.10140830,0.40707820,0.29812394,0.15419153,1.78827036,2.98704570,4.48164266
1.53376688,5.63573091,0.03656954,0.10052930,0.40344941,0.29483227,0.15511209,1.77438362,3.03360972,4.45425751
1.53976988,5.60234643,0.03485385,0.09927139,0.39843727,0.29040551,0.15520825,1.75521222,3.07259176,4.41229760
1.54577289,5.55027355,0.03311073,0.09765658,0.39213084,0.28488891,0.15447446,1.73082414,3.10323182,4.35594620
1.55177589,5.47964363,0.03135444,0.09570996,0.38462864,0.27833836,0.15291915,1.70130582,3.12477882,4.28549825
1.55777889,5.39074853,0.02959776,0.09345900,0.37603612,0.27082013,0.15056471,1.66677010,3.13651878,4.20137260
1.56378189,5.28406043,0.02785215,0.09093293,0.36646336,0.26241037,0.14744716,1.62736505,3.13780493,4.10412342
1.56978489,5.16024963,0.02612789,0.08816214,0.35602303,0.25319462,0.14361539,1.58328301,3.12808866,3.99444965
1.57578789,5.02019888,0.02443433,0.08517769,0.34482874,0.24326713,0.13913016,1.53476885,3.10694981,3.87320167
1.58179090,4.86501289,0.02278005,0.08201083,0.33299383,0.23273002,0.13406273,1.48212690,3.07412469,3.74138433
1.58779390,4.69602208,0.02117308,0.07869264,0.32063060,0.22169231,0.12849330,1.42572597,3.02953061,3.60015593
1.59379690,4.51477974,0.01962105,0.07525379,0.30784998,0.21026873,0.12250924,1.36600173,2.97328555,3.45082270
1.59979990,4.32305226,0.01813136,0.07172438,0.29476157,0.19857840,0.11620324,1.30345645,2.90572191,3.29482877
