energy_ev,total_up,B_p_up,B_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-3.92296148,7.08603034,0.54850209,0.00000000,2.20199854,0.00000000,3.26869114,3.83481211
-3.91695848,6.53841944,0.50818123,0.00000000,2.01612551,0.00000000,3.00162769,3.55229322
-3.91095548,5.99624495,0.46783589,0.00000000,1.83485203,0.00000000,2.73952735,3.27017330
-3.90495248,5.46538071,0.42796593,0.00000000,1.65985761,0.00000000,2.48507648,2.99176188
-3.89894947,4.95110502,0.38902964,0.00000000,1.49258761,0.00000000,2.24062344,2.72008900
-3.89294647,4.45802599,0.35143607,0.00000000,1.33424142,0.00000000,2.00815681,2.45785527
-3.88694347,3.99003453,0.31553969,0.00000000,1.18576937,0.00000000,1.78929716,2.20739659
-3.88094047,3.55028444,0.28163748,0.00000000,1.04787764,0.00000000,1.58530157,1.97066388
-3.87493747,3.14119824,0.24996824,0.00000000,0.92104043,0.00000000,1.39707965,1.74921729
-3.86893447,2.76449625,0.22071400,0.00000000,0.80551815,0.00000000,1.22521955,1.54423405
-3.86293147,2.42124571,0.19400337,0.00000000,0.70138036,0.00000000,1.07002214,1.35652817
-3.85692846,2.11192621,0.16991641,0.00000000,0.60853232,0.00000000,0.93154139,1.18658032
-3.85092546,1.83650729,0.14849072,0.00000000,0.52674354,0.00000000,0.80962900,1.03457555
-3.84492246,1.59453403,0.12972840,0.00000000,0.45567739,0.00000000,0.70398138,0.90044654
-3.83891946,1.38521664,0.11360356,0.00000000,0.39492035,0.00000000,0.61418705,0.78392016
-3.83291646,1.20752005,0.10006999,0.00000000,0.34401012,0.00000000,0.53977308,0.68456492
-3.82691346,1.06025031,0.08906873,0.00000000,0.30246156,0.00000000,0.48024882,0.60183742
-3.82091046,0.94213469,0.08053519,0.00000000,0.26978998,0.00000000,0.43514608,0.53512588
-3.81490745,0.85189334,0.07440574,0.00000000,0.24553122,0.00000000,0.40405455,0.48378929
-3.80890445,0.78830057,0.07062344,0.00000000,0.22925830,0.00000000,0.38665190,0.44719103
-3.80290145,0.75023465,0.06914289,0.00000000,0.22059432,0.00000000,0.38272786,0.42472612
-3.79689845,0.73671543,0.06993403,0.00000000,0.21922192,0.00000000,0.39220212,0.41584157
-3.79089545,0.74692953,0.07298481,0.00000000,0.22488899,0.00000000,0.41513554,0.42004970
-3.78489245,0.78024329,0.07830285,0.00000000,0.23741118,0.00000000,0.45173470,0.43693444
-3.77888944,0.83620399,0.08591583,0.00000000,0.25667110,0.00000000,0.50234972,0.46615102
-3.77288644,0.91453006,0.09587080,0.00000000,0.28261464,0.00000000,0.56746514,0.50741951
-3.76688344,1.01509124,0.10823239,0.00000000,0.31524466,0.00000000,0.64768415,0.56051297
-3.76088044,1.13787963,0.12307983,0.00000000,0.35461210,0.00000000,0.74370605,0.62524099
-3.75487744,1.28297312,0.14050300,0.00000000,0.40080505,0.00000000,0.85629726,0.70142964
-3.74887444,1.45049212,0.16059744,0.00000000,0.45393572,0.00000000,0.98625614,0.78889869
-3.74287144,1.64055122,0.18345834,0.00000000,0.51412578,0.00000000,1.13437202,0.88743735
-3.73686843,1.85320709,0.20917383,0.00000000,0.58149019,0.00000000,1.30137917,0.99677947
-3.73086543,2.08840433,0.23781747,0.00000000,0.65611990,0.00000000,1.48790663,1.11657939
-3.72486243,2.34592075,0.26944023,0.00000000,0.73806370,0.00000000,1.69442491,1.24638946
-3.71885943,2.62531409,0.30406221,0.00000000,0.82730968,0.00000000,1.92119122,1.38564043
-3.71285643,2.92587190,0.34166425,0.00000000,0.92376681,0.00000000,2.16819490,1.53362544
-3.70685343,3.24656673,0.38217987,0.00000000,1.02724716,0.00000000,2.43510505,1.68948884
-3.70085043,3.58601859,0.42548785,0.00000000,1.13744939,0.00000000,2.72122273,1.85222044
-3.69484742,3.94246664,0.47140582,0.00000000,1.25394438,0.00000000,3.02544013,2.02065582
-3.68884442,4.31375226,0.51968524,0.00000000,1.37616355,0.00000000,3.34620909,2.19348331
-3.68284142,4.69731501,0.57000827,0.00000000,1.50339081,0.00000000,3.68152155,2.36925772
-3.67683842,5.09020306,0.62198677,0.00000000,1.63475881,0.00000000,4.02890400,2.54642100
-3.67083542,5.48909914,0.67516387,0.00000000,1.76925010,0.00000000,4.38542780,2.72332935
-3.66483242,5.89036246,0.72901822,0.00000000,1.90570388,0.00000000,4.74773673,2.89828648
