energy_ev,total_up,Cu_p_up,Cu_d_up,Mo_p_up,Mo_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-5.71185593,2.42748581,0.75457223,1.59538677,0.48157374,0.24191406,0.00111453,0.19393678,0.32301170,0.00000000
-5.70585293,2.44419701,0.74797132,1.61496072,0.45999951,0.24133945,0.00115843,0.18832599,0.33166231,0.00000000
-5.69984992,2.46439401,0.74395910,1.63737624,0.43968264,0.24076104,0.00119977,0.18238691,0.34123069,0.00000000
-5.69384692,2.48729728,0.74230281,1.66189993,0.42063802,0.24016633,0.00123770,0.17617332,0.35161674,0.00000000
-5.68784392,2.51204092,0.74271971,1.68772942,0.40286380,0.23954328,0.00127143,0.16975055,0.36269843,0.00000000
-5.68184092,2.53768955,0.74488487,1.71401193,0.38634200,0.23887913,0.00130024,0.16319289,0.37433272,0.00000000
-5.67583792,2.56326047,0.74844136,1.73986669,0.37104004,0.23815950,0.00132352,0.15658095,0.38635775,0.00000000
-5.66983492,2.58775079,0.75301235,1.76441060,0.35691295,0.23736793,0.00134073,0.14999896,0.39859594,0.00000000
-5.66383192,2.61016836,0.75821468,1.78678605,0.34390637,0.23648584,0.00135149,0.14353219,0.41085830,0.00000000
-5.65782891,2.62956549,0.76367329,1.80618992,0.33195997,0.23549300,0.00135549,0.13726470,0.42294956,0.00000000
-5.65182591,2.64507386,0.76903589,1.82190242,0.32101131,0.23436846,0.00135261,0.13127733,0.43467411,0.00000000
-5.64582291,2.65593908,0.77398716,1.83331431,0.31099992,0.23309188,0.00134280,0.12564614,0.44584248,0.00000000
-5.63981991,2.66155327,0.77826183,1.83995134,0.30187127,0.23164528,0.00132619,0.12044126,0.45627804,0.00000000
-5.63381691,2.66148391,0.78165594,1.84149460,0.29358071,0.23001498,0.00130301,0.11572615,0.46582380,0.00000000
-5.62781391,2.65549744,0.78403586,1.83779565,0.28609687,0.22819374,0.00127363,0.11155723,0.47434882,0.00000000
-5.62181091,2.64357628,0.78534441,1.82888560,0.27940459,0.22618292,0.00123851,0.10798383,0.48175395,0.00000000
-5.61580790,2.62592823,0.78560387,1.81497760,0.27350705,0.22399453,0.00119824,0.10504840,0.48797676,0.00000000
-5.60980490,2.60298735,0.78491559,1.79646237,0.26842704,0.22165301,0.00115346,0.10278680,0.49299521,0.00000000
-5.60380190,2.57540626,0.78345624,1.77389688,0.26420726,0.21919674,0.00110490,0.10122867,0.49682989,0.00000000
-5.59779890,2.54403957,0.78147064,1.74798654,0.26090955,0.21667896,0.00105334,0.10039773,0.49954477,0.00000000
-5.59179590,2.50991923,0.77926161,1.71956156,0.25861301,0.21416825,0.00099959,0.10031197,0.50124614,0.00000000
-5.58579290,2.47422240,0.77717707,1.68954841,0.25741116,0.21174827,0.00094449,0.10098357,0.50207998,0.00000000
-5.57978989,2.43823317,0.77559509,1.65893762,0.25740803,0.20951693,0.00088888,0.10241871,0.50222758,0.00000000
-5.57378689,2.40329946,0.77490728,1.62874909,0.25871346,0.20758483,0.00083359,0.10461699,0.50189968,0.00000000
-5.56778389,2.37078693,0.77550140,1.59999645,0.26143770,0.20607302,0.00077941,0.10757080,0.50132921,0.00000000
-5.56178089,2.34203149,0.77774395,1.57365174,0.26568553,0.20511018,0.00072714,0.11126438,0.50076303,0.00000000
-5.55577789,2.31829235,0.78196322,1.55061192,0.27155011,0.20482923,0.00067750,0.11567285,0.50045285,0.00000000
-5.54977489,2.30070740,0.78843382,1.53166832,0.27910686,0.20536344,0.00063117,0.12076123,0.50064574,0.00000000
-5.54377189,2.29025243,0.79736312,1.51748014,0.28840754,0.20684222,0.00058878,0.12648355,0.50157458,0.00000000
-5.53776888,2.28770574,0.80888024,1.50855300,0.29947492,0.20938665,0.00055089,0.13278211,0.50344887,0.00000000
-5.53176588,2.29361933,0.82302806,1.50522293,0.31229808,0.21310490,0.00051799,0.13958714,0.50644617,0.00000000
-5.52576288,2.30829753,0.83975838,1.50764647,0.32682879,0.21808765,0.00049053,0.14681672,0.51070453,0.00000000
-5.51975988,2.33178365,0.85893058,1.51579679,0.34297889,0.22440378,0.00046883,0.15437719,0.51631635,0.00000000
-5.51375688,2.36385507,0.88031371,1.52946588,0.36061904,0.23209623,0.00045318,0.16216411,0.52332360,0.00000000
-5.50775388,2.40402644,0.90359175,1.54827239,0.37957869,0.24117847,0.00044377,0.17006356,0.53171489,0.00000000
-5.50175088,2.45156102,0.92837194,1.57167472,0.39964751,0.25163145,0.00044068,0.17795410,0.54142426,0.00000000
-5.49574787,2.50548925,0.95419564,1.59898858,0.42057813,0.26340137,0.00044393,0.18570898,0.55233189,0.00000000
-5.48974487,2.56463395,0.98055135,1.62940835,0.44209008,0.27639819,0.00045342,0.19319882,0.56426657,0.00000000
-5.48374187,2.62764114,1.00688917,1.66203131,0.46387495,0.29049521,0.00046896,0.20029446,0.57700992,0.00000000
-5.47773887,2.69301528,1.03263629,1.69588388,0.48560248,0.30552960,0.00049026,0.20686999,0.59030214,0.00000000
-5.47173587,2.75915798,1.05721282,1.72994903,0.50692746,0.32130403,0.00051691,0.21280579,0.60384911,0.00000000
-5.46573287,2.82440874,1.08004732,1.76319388,0.52749716,0.33758943,0.00054840,0.21799139,0.61733063,0.00000000
-5.45972986,2.88708679,1.10059175,1.79459686,0.54695914,0.35412889,0.00058412,0.22232819,0.63040942,0.00000000
-5.45372686,2.94553272,1.11833504,1.82317352,0.56496917,0.37064260,0.00062337,0.22573179,0.64274071,0.00000000
-5.44772386,2.99814902,1.13281530,1.84800063,0.58119897,0.38683382,0.00066535,0.22813387,0.65398200,0.00000000
-5.44172086,3.04343844,1.14363004,1.86823780,0.59534367,0.40239567,0.00070920,0.22948366,0.66380282,0.00000000
-5.43571786,3.08003938,1.15044448,1.88314641,0.60712875,0.41701868,0.00075398,0.22974881,0.67189399,0.00000000
-5.42971486,3.10675775,1.15299775,1.89210552,0.61631616,0.43039879,0.00079873,0.22891578,0.67797644,0.00000000
-5.42371186,3.12259436,1.15110701,1.89462454,0.62270971,0.44224564,0.00084246,0.22698966,0.68180897,0.00000000
-5.41770885,3.12676773,1.14466952,1.89035262,0.62615936,0.45229077,0.00088419,0.22399353,0.68319504,0.00000000
-5.41170585,3.11873163,1.13366287,1.87908471,0.62656450,0.46029559,0.00092299,0.21996740,0.68198825,0.00000000
-5.40570285,3.09818735,1.11814341,1.86076443,0.62387605,0.46605871,0.00095796,0.21496669,0.67809645,0.00000000
-5.39969985,3.06509028,1.09824320,1.83548378,0.61809734,0.46942234,0.00098832,0.20906055,0.67148434,0.00000000
-5.39369685,3.01965096,1.07416560,1.80347984,0.60928388,0.47027758,0.00101338,0.20232983,0.66217455,0.00000000
-5.38769385,2.96233049,1.04617964,1.76512884,0.59754186,0.46856832,0.00103260,0.19486504,0.65024715,0.00000000
-5.38169085,2.89383047,1.01461351,1.72093745,0.58302561,0.46429353,0.00104559,0.18676409,0.63583768,0.00000000
-5.37568784,2.81507778,0.97984714,1.67153193,0.56593389,0.45750792,0.00105212,0.17813015,0.61913371,0.00000000
-5.36968484,2.72720440,0.94230426,1.61764511,0.54650535,0.44832079,0.00105217,0.16906954,0.60037006,0.00000000
-5.36368184,2.63152285,0.90244385,1.56010145,0.52501308,0.43689328,0.00104586,0.15968969,0.57982287,0.00000000
-5.35767884,2.52949774,0.86075123,1.49980074,0.50175849,0.42343383,0.00103354,0.15009722,0.55780266,0.00000000
-5.35167584,2.42271405,0.81772898,1.43770031,0.47706461,0.40819237,0.00101569,0.14039628,0.53464654,0.00000000
-5.34567284,2.31284291,0.77388767,1.37479641,0.45126917,0.39145312,0.00099297,0.13068699,0.51070988,0.00000000
-5.33966983,2.20160572,0.72973667,1.31210491,0.42471736,0.37352650,0.00096618,0.12106409,0.48635759,0.00000000
-5.33366683,2.09073742,0.68577516,1.25064168,0.39775475,0.35474039,0.00093623,0.11161585,0.46195539,0.00000000
-5.32766383,1.98194981,0.64248345,1.19140306,0.37072030,0.33543108,0.00090412,0.10242312,0.43786110,0.00000000
-5.32166083,1.87689592,0.60031481,1.13534679,0.34393990,0.31593415,0.00087089,0.09355865,0.41441638,0.00000000
-5.31565783,1.77713625,0.55968805,1.08337373,0.31772036,0.29657580,0.00083763,0.08508657,0.39193910,0.00000000
-5.30965483,1.68410767,0.52098088,1.03631086,0.29234418,0.27766475,0.00080540,0.07706210,0.37071649,0.00000000
-5.30365183,1.59909600,0.48452436,0.99489580,0.26806506,0.25948501,0.00077523,0.06953144,0.35099928,0.00000000
-5.29764882,1.52321255,0.45059841,0.95976337,0.24510436,0.24228981,0.00074809,0.06253184,0.33299699,0.00000000
-5.29164582,1.45737559,0.41942871,0.93143435,0.22364857,0.22629672,0.00072482,0.05609185,0.31687451,0.00000000
-5.28564282,1.40229681,0.39118483,0.91030689,0.20384761,0.21168417,0.00070617,0.05023168,0.30274993,0.00000000
-5.27963982,1.35847325,0.36597982,0.89665060,0.18581420,0.19858929,0.00069275,0.04496379,0.29069382,0.00000000
-5.27363682,1.32618473,0.34387114,0.89060369,0.16962414,0.18710719,0.00068500,0.04029345,0.28072971,0.00000000
-5.26763382,1.30549664,0.32486292,0.89217305,0.15531739,0.17729152,0.00068322,0.03621949,0.27283601,0.00000000
-5.26163082,1.29626808,0.30890943,0.90123748,0.14289994,0.16915620,0.00068753,0.03273512,0.26694901,0.00000000
-5.25562781,1.29816475,0.29591968,0.91755378,0.13234631,0.16267823,0.00069791,0.02982869,0.26296697,0.00000000
