energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
1.06553277,0.67387302,0.26892074,0.03884272,0.00064087,0.03468528,0.02427339,0.18755614,0.04352433,0.38985571
1.07153577,0.71130429,0.29810727,0.04109608,0.00073675,0.03590538,0.02784657,0.20003568,0.04660716,0.40408427
1.07753877,0.74838814,0.32927346,0.04333247,0.00084122,0.03699255,0.03173161,0.21271011,0.04975518,0.41705741
1.08354177,0.78495580,0.36227612,0.04553952,0.00095387,0.03793961,0.03591403,0.22552957,0.05294925,0.42871360
1.08954477,0.82083442,0.39691649,0.04770421,0.00107405,0.03874177,0.04037070,0.23843487,0.05616739,0.43901771
1.09554777,0.85584053,0.43293619,0.04981253,0.00120087,0.03939640,0.04506929,0.25135543,0.05938450,0.44795785
1.10155078,0.88977359,0.47001507,0.05184925,0.00133318,0.03990291,0.04996809,0.26420738,0.06257212,0.45554112
1.10755378,0.92241023,0.50777141,0.05379775,0.00146959,0.04026235,0.05501613,0.27689226,0.06569833,0.46178885
1.11355678,0.95349975,0.54576475,0.05563990,0.00160847,0.04047711,0.06015366,0.28929615,0.06872796,0.46673144
1.11955978,0.98276147,0.58350151,0.05735604,0.00174797,0.04055060,0.06531301,0.30128979,0.07162286,0.47040332
1.12556278,1.00988459,0.62044351,0.05892519,0.00188608,0.04048685,0.07041985,0.31272950,0.07434247,0.47283830
1.13156578,1.03453062,0.65601919,0.06032530,0.00202063,0.04029028,0.07539481,0.32345919,0.07684466,0.47406570
1.13756878,1.05633889,0.68963733,0.06153370,0.00214939,0.03996541,0.08015541,0.33331331,0.07908669,0.47410760
1.14357179,1.07493492,0.72070286,0.06252771,0.00227011,0.03951671,0.08461824,0.34212092,0.08102638,0.47297733
1.14957479,1.08994147,0.74863412,0.06328532,0.00238055,0.03894853,0.08870139,0.34971048,0.08262346,0.47067932
1.15557779,1.10099193,0.77288095,0.06378600,0.00247862,0.03826508,0.09232687,0.35591535,0.08384090,0.46721042
1.16158079,1.10774524,0.79294278,0.06401157,0.00256238,0.03747050,0.09542310,0.36057980,0.08464636,0.46256247
1.16758379,1.10990172,0.80838590,0.06394702,0.00263013,0.03656902,0.09792728,0.36356504,0.08501352,0.45672605
