energy_ev,total_up,N_s_up,N_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-4.93746873,2.38892856,0.00118085,0.19701799,0.98467462,0.99289712,1.25431934,0.00000000,0.65126031,0.23476476
-4.93146573,2.34314894,0.00111355,0.18867500,0.97002410,0.96421152,1.23321074,0.00000000,0.64883207,0.23317322
-4.92546273,2.29584389,0.00105369,0.18069648,0.95322116,0.93508176,1.21086850,0.00000000,0.64690885,0.23125073
-4.91945973,2.24732553,0.00099992,0.17311032,0.93439917,0.90571830,1.18745238,0.00000000,0.64551967,0.22900107
-4.91345673,2.19791597,0.00095122,0.16593157,0.91372529,0.87633470,1.16313127,0.00000000,0.64467272,0.22643396
-4.90745373,2.14793364,0.00090683,0.15916287,0.89139319,0.84714192,1.13807571,0.00000000,0.64435160,0.22356357
-4.90145073,2.09767981,0.00086626,0.15279521,0.86761502,0.81834258,1.11245044,0.00000000,0.64451246,0.22040699
-4.89544772,2.04742592,0.00082921,0.14680906,0.84261304,0.79012532,1.08640738,0.00000000,0.64508220,0.21698270
-4.88944472,1.99740230,0.00079559,0.14117591,0.81661131,0.76265944,1.06007939,0.00000000,0.64595795,0.21330916
-4.88344172,1.94778898,0.00076540,0.13585985,0.78982783,0.73609018,1.03357517,0.00000000,0.64700788,0.20940364
-4.87743872,1.89870897,0.00073878,0.13081950,0.76246760,0.71053465,1.00697562,0.00000000,0.64807345,0.20528118
-4.87143572,1.85022451,0.00071589,0.12600989,0.73471684,0.68607882,0.98033180,0.00000000,0.64897299,0.20095395
-4.86543272,1.80233653,0.00069691,0.12138442,0.70673880,0.66277555,0.95366477,0.00000000,0.64950662,0.19643089
-4.85942971,1.75498739,0.00068203,0.11689671,0.67867111,0.64064391,0.92696716,0.00000000,0.64946220,0.19171770
-4.85342671,1.70806677,0.00067138,0.11250242,0.65062499,0.61966969,0.90020650,0.00000000,0.64862230,0.18681720
-4.84742371,1.66142042,0.00066501,0.10816086,0.62268604,0.59980727,0.87333003,0.00000000,0.64677161,0.18172990
-4.84142071,1.61486124,0.00066288,0.10383635,0.59491660,0.58098249,0.84627076,0.00000000,0.64370466,0.17645495
-4.83541771,1.56818215,0.00066488,0.09949940,0.56735938,0.56309676,0.81895435,0.00000000,0.63923350,0.17099113
-4.82941471,1.52116997,0.00067074,0.09512755,0.54004204,0.54603186,0.79130639,0.00000000,0.63319481,0.16533803
-4.82341171,1.47361957,0.00068011,0.09070596,0.51298237,0.52965545,0.76325973,0.00000000,0.62545633,0.15949719
-4.81740870,1.42534751,0.00069253,0.08622764,0.48619363,0.51382691,0.73476127,0.00000000,0.61592216,0.15347321
-4.81140570,1.37620455,0.00070742,0.08169339,0.45968982,0.49840342,0.70577803,0.00000000,0.60453676,0.14727466
-4.80540270,1.32608626,0.00072413,0.07711150,0.43349034,0.48324579,0.67630201,0.00000000,0.59128759,0.14091483
-4.79939970,1.27494153,0.00074193,0.07249717,0.40762391,0.46822414,0.64635372,0.00000000,0.57620610,0.13441220
-4.79339670,1.22277843,0.00076008,0.06787164,0.38213155,0.45322293,0.61598419,0.00000000,0.55936730,0.12779061
-4.78739370,1.16966743,0.00077777,0.06326131,0.35706842,0.43814542,0.58527549,0.00000000,0.54088793,0.12107919
-4.78139070,1.11574200,0.00079422,0.05869660,0.33250450,0.42291732,0.55433976,0.00000000,0.52092327,0.11431197
-4.77538769,1.06119675,0.00080870,0.05421086,0.30852431,0.40748967,0.52331694,0.00000000,0.49966295,0.10752727
-4.76938469,1.00628332,0.00082050,0.04983922,0.28522554,0.39184072,0.49237143,0.00000000,0.47732601,0.10076689
-4.76338169,0.95130463,0.00082901,0.04561751,0.26271702,0.37597713,0.46168787,0.00000000,0.45415525,0.09407515
-4.75737869,0.89660767,0.00083372,0.04158131,0.24111604,0.35993414,0.43146644,0.00000000,0.43041146,0.08749789
-4.75137569,0.84257543,0.00083423,0.03776509,0.22054537,0.34377511,0.40191780,0.00000000,0.40636747,0.08108136
-4.74537269,0.78961834,0.00083028,0.03420155,0.20113013,0.32759025,0.37325812,0.00000000,0.38230243,0.07487122
-4.73936968,0.73816555,0.00082172,0.03092110,0.18299480,0.31149467,0.34570425,0.00000000,0.35849642,0.06891161
-4.73336668,0.68865644,0.00080856,0.02795155,0.16626033,0.29562594,0.31946932,0.00000000,0.33522546,0.06324426
-4.72736368,0.64153242,0.00079094,0.02531792,0.15104175,0.28014099,0.29475880,0.00000000,0.31275707,0.05790786
-4.72136068,0.59722932,0.00076914,0.02304241,0.13744609,0.26521268,0.27176714,0.00000000,0.29134635,0.05293743
-4.71535768,0.55617014,0.00074351,0.02114445,0.12557073,0.25102582,0.25067494,0.00000000,0.27123258,0.04836398
-4.70935468,0.51875844,0.00071456,0.01964087,0.11550217,0.23777295,0.23164661,0.00000000,0.25263622,0.04421419
-4.70335168,0.48537195,0.00068283,0.01854598,0.10731501,0.22564977,0.21482842,0.00000000,0.23575641,0.04051026
-4.69734867,0.45635648,0.00064894,0.01787179,0.10107126,0.21485027,0.20034686,0.00000000,0.22076857,0.03726983
-4.69134567,0.43201992,0.00061354,0.01762801,0.09681959,0.20556172,0.18830709,0.00000000,0.20782237,0.03450596
-4.68534267,0.41262621,0.00057731,0.01782207,0.09459459,0.19795951,0.17879157,0.00000000,0.19703969,0.03222713
-4.67933967,0.39838914,0.00054089,0.01845896,0.09441590,0.19220187,0.17185848,0.00000000,0.18851277,0.03043723
-4.67333667,0.38946612,0.00050492,0.01954095,0.09628702,0.18842469,0.16754015,0.00000000,0.18230229,0.02913555
-4.66733367,0.38595170,0.00046997,0.02106723,0.10019399,0.18673644,0.16584125,0.00000000,0.17843567,0.02831675
-4.66133067,0.38787131,0.00043657,0.02303333,0.10610361,0.18721335,0.16673695,0.00000000,0.17690533,0.02797073
-4.65532766,0.39517514,0.00040515,0.02543052,0.11396159,0.18989503,0.17017099,0.00000000,0.17766735,0.02808255
-4.64932466,0.40773259,0.00037608,0.02824512,0.12369052,0.19478057,0.17605383,0.00000000,0.18064029,0.02863229
