energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-5.87993997,1.67746049,-2.14377934,0.00917364,-0.00262621,0.23663605,-0.19939611,0.33365527,-0.56627225,0.24820756,-0.31708483,0.59069944,-0.81648568,0.65568678,-0.68471600,0.64189338,-1.01436632,0.00000000,-0.00000000
-5.87393697,1.63638671,-2.12813042,0.00934264,-0.00293501,0.24084284,-0.20433265,0.31582936,-0.55181866,0.23755995,-0.31269010,0.57217939,-0.80666247,0.65837131,-0.68824131,0.61039268,-0.99626848,0.00000000,-0.00000000
-5.86793397,1.60132172,-2.10389724,0.00947983,-0.00327271,0.24593745,-0.20842027,0.29898788,-0.53547119,0.22781438,-0.30699284,0.55462312,-0.79357420,0.66464653,-0.68919184,0.58079839,-0.97419904,0.00000000,-0.00000000
-5.86193097,1.57296025,-2.07168732,0.00958684,-0.00363862,0.25199708,-0.21165832,0.28324314,-0.51748147,0.21908189,-0.30011447,0.53825863,-0.77745628,0.67471982,-0.68772538,0.55339296,-0.94852829,0.00000000,-0.00000000
-5.85592796,1.55180522,-2.03226528,0.00966601,-0.00403138,0.25906444,-0.21407473,0.26868747,-0.49811402,0.21144406,-0.29219530,0.52328591,-0.75858979,0.68868015,-0.68407145,0.52840611,-0.91967576,0.00000000,-0.00000000
-5.84992496,1.53815718,-1.98654474,0.00972024,-0.00444895,0.26714433,-0.21572722,0.25539380,-0.47764184,0.20495224,-0.28339173,0.50987360,-0.73729819,0.70649194,-0.67853127,0.50601363,-0.88810348,0.00000000,-0.00000000
-5.84392196,1.53210975,-1.93557609,0.00975285,-0.00488860,0.27620170,-0.21670347,0.24341630,-0.45634224,0.19962753,-0.27387317,0.49815634,-0.71394322,0.72799331,-0.67147530,0.48633732,-0.85430847,0.00000000,-0.00000000
-5.83791896,1.53355162,-1.88053028,0.00976746,-0.00534697,0.28616130,-0.21712012,0.23279111,-0.43449294,0.19546168,-0.26381860,0.48823266,-0.68891997,0.75289882,-0.66333820,0.46944600,-0.81881473,0.00000000,-0.00000000
-5.83191596,1.54217492,-1.82267844,0.00976778,-0.00582010,0.29690899,-0.21712060,0.22353708,-0.41236841,0.19241875,-0.25341301,0.48016389,-0.66265105,0.78080673,-0.65461111,0.45535761,-0.78216463,0.00000000,-0.00000000
-5.82591296,1.55749030,-1.76336783,0.00975753,-0.00630356,0.30829470,-0.21687164,0.21565661,-0.39023651,0.19043760,-0.24284366,0.47397401,-0.63557995,0.81121086,-0.64583117,0.44404236,-0.74491000,0.00000000,-0.00000000
-5.81990995,1.57884784,-1.70399424,0.00974024,-0.00679252,0.32013703,-0.21655872,0.20913660,-0.36835535,0.18943512,-0.23229633,0.46965060,-0.60816362,0.84351647,-0.63756858,0.43542697,-0.70760292,0.00000000,-0.00000000
-5.81390695,1.60546350,-1.64597160,0.00971918,-0.00728189,0.33222937,-0.21638040,0.20394955,-0.34697044,0.18931007,-0.22195158,0.46714694,-0.58086429,0.87705975,-0.63041138,0.42939970,-0.67078637,0.00000000,-0.00000000
-5.80790395,1.63644998,-1.59069947,0.00969723,-0.00776648,0.34434713,-0.21654184,0.20005482,-0.32631205,0.18994754,-0.21198116,0.46638521,-0.55414088,0.91113022,-0.62494834,0.42581624,-0.63498502,0.00000000,-0.00000000
-5.80190095,1.67085082,-1.53952933,0.00967687,-0.00824113,0.35625605,-0.21724759,0.19739997,-0.30659282,0.19122368,-0.20254455,0.46726062,-0.52844001,0.94499510,-0.62175049,0.42450609,-0.60069618,0.00000000,-0.00000000
-5.79589795,1.70767649,-1.49373052,0.00966014,-0.00870088,0.36772107,-0.21869407,0.19592226,-0.28800558,0.19301071,-0.19378586,0.46964643,-0.50418687,0.97792475,-0.62135202,0.42527936,-0.56838125,0.00000000,-0.00000000
-5.78989495,1.74594087,-1.45445716,0.00964861,-0.00914108,0.37851545,-0.22106190,0.19555027,-0.27072144,0.19518199,-0.18583099,0.47339958,-0.48177630,1.00921814,-0.62423104,0.42793356,-0.53845770,0.00000000,-0.00000000
-5.78389195,1.78469678,-1.42271683,0.00964345,-0.00955759,0.38842975,-0.22450846,0.19620548,-0.25488808,0.19761686,-0.17878520,0.47836672,-0.46156430,1.03822725,-0.63079112,0.43226032,-0.51129193,0.00000000,-0.00000000
-5.77788894,1.82306895,-1.39934241,0.00964544,-0.00994679,0.39728034,-0.22916100,0.19780385,-0.24062840,0.20020513,-0.17273119,0.48439036,-0.44386020,1.06437953,-0.64134434,0.43805158,-0.48719298,0.00000000,-0.00000000
-5.77188594,1.86028325,-1.38496790,0.00965507,-0.01030576,0.40491701,-0.23511059,0.20025736,-0.22803933,0.20285104,-0.16772759,0.49131502,-0.42891982,1.08719740,-0.65609660,0.44510511,-0.46640745,0.00000000,-0.00000000
-5.76588294,1.89569097,-1.38000926,0.00967256,-0.01063227,0.41122949,-0.24240720,0.20347534,-0.21719107,0.20547647,-0.16380810,0.49899293,-0.41693982,1.10631418,-0.67513578,0.45322911,-0.44911559,0.00000000,-0.00000000
-5.75987994,1.92878739,-1.38465103,0.00969796,-0.01092484,0.41615259,-0.25105617,0.20736572,-0.20812666,0.20802322,-0.16098114,0.50728941,-0.40805350,1.12148576,-0.69842363,0.46224576,-0.43542879,0.00000000,-0.00000000
-5.75387694,1.95922409,-1.39883941,0.00973118,-0.01118271,0.41966974,-0.26101627,0.21183596,-0.20086181,0.21045439,-0.15923008,0.51608754,-0.40232814,1.13259787,-0.72579158,0.47199361,-0.42538841,0.00000000,-0.00000000
-5.74787394,1.98681477,-1.42228214,0.00977206,-0.01140581,0.42181506,-0.27219947,0.21679392,-0.19538524,0.21275466,-0.15851419,0.52529219,-0.39976399,1.13966863,-0.75694105,0.48232871,-0.41896613,0.00000000,-0.00000000
-5.74187094,2.01153487,-1.45445541,0.00982037,-0.01159469,0.42267365,-0.28447247,0.22214840,-0.19165934,0.21492951,-0.15877007,0.53483333,-0.40029508,1.14284663,-0.79144833,0.49312468,-0.41606578,0.00000000,-0.00000000
-5.73586793,2.03351525,-1.49461781,0.00987582,-0.01175046,0.42238047,-0.29766009,0.22780961,-0.18962123,0.21700346,-0.15991376,0.54466862,-0.40379171,1.14240482,-0.82877402,0.50427166,-0.41652656,0.00000000,-0.00000000
