energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-5.84392196,4.00145083,0.84302954,3.57510947,0.05490593,0.14764006,0.13397835,0.00000000
-5.83791896,3.88249998,0.83383084,3.46121654,0.05477537,0.14494363,0.13238992,0.00000000
-5.83191596,3.75895069,0.82239428,3.34397070,0.05447286,0.14170420,0.13059994,0.00000000
-5.82591296,3.63223551,0.80925732,3.22450868,0.05401509,0.13802017,0.12870611,0.00000000
-5.81990995,3.50397846,0.79501228,3.10413076,0.05342210,0.13400099,0.12681302,0.00000000
-5.81390695,3.37594159,0.78028851,2.98425710,0.05271671,0.12976378,0.12502909,0.00000000
-5.80790395,3.24996634,0.76573304,2.86637979,0.05192386,0.12542968,0.12346319,0.00000000
-5.80190095,3.12791174,0.75199026,2.75201190,0.05106985,0.12112006,0.12222111,0.00000000
-5.79589795,3.01159124,0.73968102,2.64263545,0.05018151,0.11695281,0.12140207,0.00000000
-5.78989495,2.90271027,0.72938216,2.53964972,0.04928537,0.11303868,0.12109524,0.00000000
-5.78389195,2.80280650,0.72160665,2.44432171,0.04840671,0.10947796,0.12137638,0.00000000
-5.77788894,2.71319477,0.71678540,2.35774033,0.04756872,0.10635743,0.12230486,0.00000000
-5.77188594,2.63491849,0.71525108,2.28077586,0.04679164,0.10374784,0.12392099,0.00000000
-5.76588294,2.56870934,0.71722467,2.21404610,0.04609204,0.10170182,0.12624385,0.00000000
-5.75987994,2.51495667,0.72280528,2.15789055,0.04548213,0.10025242,0.12926975,0.00000000
-5.75387694,2.47368798,0.73196365,2.11235363,0.04496929,0.09941230,0.13297132,0.00000000
-5.74787394,2.44456141,0.74453975,2.07717775,0.04455574,0.09917348,0.13729739,0.00000000
-5.74187094,2.42687083,0.76024475,2.05180675,0.04423839,0.09950783,0.14217368,0.00000000
-5.73586793,2.41956370,0.77866731,2.03539992,0.04400896,0.10036813,0.14750431,0.00000000
-5.72986493,2.42127148,0.79928439,2.02685620,0.04385425,0.10168974,0.15317415,0.00000000
-5.72386193,2.43035168,0.82147615,2.02484818,0.04375667,0.10339283,0.15905198,0.00000000
-5.71785893,2.44494045,0.84454458,2.02786454,0.04369494,0.10538510,0.16499437,0.00000000
-5.71185593,2.46301384,0.86773540,2.03425980,0.04364495,0.10756479,0.17085015,0.00000000
-5.70585293,2.48245561,0.89026237,2.04230939,0.04358084,0.10982412,0.17646543,0.00000000
-5.69984992,2.50112912,0.91133327,2.05026804,0.04347603,0.11205274,0.18168888,0.00000000
-5.69384692,2.51695054,0.93017648,2.05642934,0.04330445,0.11414134,0.18637710,0.00000000
-5.68784392,2.52796044,0.94606727,2.05918384,0.04304160,0.11598512,0.19040001,0.00000000
-5.68184092,2.53239111,0.95835272,2.05707376,0.04266572,0.11748711,0.19364584,0.00000000
-5.67583792,2.52872666,0.96647426,2.04884171,0.04215870,0.11856110,0.19602567,0.00000000
-5.66983492,2.51575372,0.96998703,2.03347178,0.04150692,0.11913422,0.19747728,0.00000000
-5.66383192,2.49260073,0.96857525,2.01022125,0.04070189,0.11914896,0.19796817,0.00000000
-5.65782891,2.45876426,0.96206297,1.97864185,0.03974067,0.11856464,0.19749757,0.00000000
-5.65182591,2.41412160,0.95042003,1.93858977,0.03862604,0.11735826,0.19609742,0.00000000
-5.64582291,2.35892946,0.93376275,1.89022449,0.03736646,0.11552468,0.19383221,0.00000000
-5.63981991,2.29380899,0.91234979,1.83399656,0.03597583,0.11307623,0.19079783,0.00000000
-5.63381691,2.21971834,0.88657317,1.77062542,0.03447298,0.11004164,0.18711923,0.00000000
-5.62781391,2.13791414,0.85694512,1.70106833,0.03288106,0.10646457,0.18294726,0.00000000
-5.62181091,2.04990387,0.82408129,1.62648213,0.03122674,0.10240155,0.17845460,0.00000000
-5.61580790,1.95739148,0.78868121,1.54817977,0.02953932,0.09791965,0.17383109,0.00000000
-5.60980490,1.86221855,0.75150670,1.46758339,0.02784978,0.09309387,0.16927849,0.00000000
-5.60380190,1.76630345,0.71335921,1.38617614,0.02618981,0.08800447,0.16500499,0.00000000
-5.59779890,1.67158107,0.67505687,1.30545456,0.02459087,0.08273415,0.16121953,0.00000000
-5.59179590,1.57994495,0.63741212,1.22688332,0.02308323,0.07736546,0.15812617,0.00000000
-5.58579290,1.49319401,0.60121043,1.15185369,0.02169522,0.07197832,0.15591863,0.00000000
-5.57978989,1.41298512,0.56719099,1.08164710,0.02045242,0.06664784,0.15477519,0.00000000
-5.57378689,1.34079282,0.53602939,1.01740444,0.01937709,0.06144247,0.15485395,0.00000000
-5.56778389,1.27787669,0.50832308,0.96010173,0.01848761,0.05642252,0.15628865,0.00000000
-5.56178089,1.22525693,0.48457930,0.91053231,0.01779815,0.05163913,0.15918511,0.00000000
-5.55577789,1.18369782,0.46520586,0.86929544,0.01731838,0.04713362,0.16361823,0.00000000
-5.54977489,1.15369902,0.45050468,0.83679099,0.01705332,0.04293722,0.16962971,0.00000000
-5.54377189,1.13549392,0.44066780,0.81321963,0.01700331,0.03907122,0.17722642,0.00000000
-5.53776888,1.12905451,0.43577591,0.79858794,0.01716405,0.03554740,0.18637951,0.00000000
-5.53176588,1.13410183,0.43579914,0.79271777,0.01752676,0.03236876,0.19702420,0.00000000
-5.52576288,1.15012127,0.44059986,0.79525889,0.01807841,0.02953046,0.20906031,0.00000000
-5.51975988,1.17638190,0.44993749,0.80570455,0.01880206,0.02702091,0.22235346,0.00000000
-5.51375688,1.21195903,0.46347499,0.82340903,0.01967718,0.02482293,0.23673705,0.00000000
-5.50775388,1.25575937,0.48078701,0.84760678,0.02068012,0.02291500,0.25201491,0.00000000
-5.50175088,1.30654819,0.50136951,0.87743253,0.02178467,0.02127245,0.26796471,0.00000000
-5.49574787,1.36297798,0.52465092,0.91194214,0.02296251,0.01986858,0.28434195,0.00000000
-5.48974487,1.42361809,0.55000443,0.95013365,0.02418391,0.01867574,0.30088472,0.00000000
-5.48374187,1.48698496,0.57676155,0.99096837,0.02541834,0.01766621,0.31731889,0.00000000
-5.47773887,1.55157263,0.60422661,1.03339180,0.02663512,0.01681300,0.33336392,0.00000000
-5.47173587,1.61588292,0.63169205,1.07635399,0.02780412,0.01609048,0.34873891,0.00000000
-5.46573287,1.67845501,0.65845418,1.11882923,0.02889644,0.01547485,0.36316896,0.00000000
-5.45972986,1.73789386,0.68382903,1.15983487,0.02988507,0.01494449,0.37639158,0.00000000
-5.45372686,1.79289700,0.70716803,1.19844876,0.03074550,0.01448014,0.38816290,0.00000000
-5.44772386,1.84227916,0.72787301,1.23382538,0.03145630,0.01406502,0.39826368,0.00000000
-5.44172086,1.88499409,0.74540997,1.26521004,0.03199956,0.01368478,0.40650468,0.00000000
-5.43571786,1.92015325,0.75932137,1.29195111,0.03236135,0.01332745,0.41273137,0.00000000
-5.42971486,1.94704069,0.76923638,1.31350984,0.03253193,0.01298328,0.41682774,0.00000000
-5.42371186,1.96512377,0.77487869,1.32946764,0.03250595,0.01264452,0.41871906,0.00000000
-5.41770885,1.97405950,0.77607167,1.33953059,0.03228250,0.01230528,0.41837347,0.00000000
-5.41170585,1.97369610,0.77274064,1.34353109,0.03186494,0.01196122,0.41580237,0.00000000
-5.40570285,1.96407008,0.76491214,1.34142654,0.03126080,0.01160946,0.41105958,0.00000000
-5.39969985,1.94539860,0.75271025,1.33329528,0.03048132,0.01124826,0.40423925,0.00000000
-5.39369685,1.91806773,0.73635014,1.31932978,0.02954113,0.01087695,0.39547268,0.00000000
-5.38769385,1.88261678,0.71612911,1.29982733,0.02845767,0.01049572,0.38492420,0.00000000
-5.38169085,1.83971956,0.69241555,1.27517874,0.02725064,0.01010553,0.37278615,0.00000000
-5.37568784,1.79016293,0.66563623,1.24585518,0.02594135,0.00970801,0.35927337,0.00000000
