energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.14757379,1.89051659,0.02217929,0.98312363,0.00733088,0.02536025,0.38391679,0.63491751,0.24513083,0.00000000
-5.14157079,1.94819154,0.02413659,0.97359176,0.00842504,0.02641737,0.39413045,0.70221832,0.25041220,0.00000000
-5.13556778,2.01692731,0.02656204,0.96459949,0.00962613,0.02748867,0.40584183,0.77899831,0.25740925,0.00000000
-5.12956478,2.09616394,0.02949337,0.95571230,0.01093120,0.02857713,0.41895506,0.86514003,0.26608910,0.00000000
-5.12356178,2.18530377,0.03298353,0.94659826,0.01233488,0.02968911,0.43335929,0.96037629,0.27640499,0.00000000
-5.11755878,2.28371639,0.03710187,0.93704056,0.01382923,0.03083469,0.44893114,1.06427817,0.28829833,0.00000000
-5.11155578,2.39074447,0.04193541,0.92694686,0.01540363,0.03202787,0.46553743,1.17624728,0.30170115,0.00000000
-5.10555278,2.50571101,0.04759012,0.91635508,0.01704480,0.03328672,0.48303806,1.29551319,0.31653899,0.00000000
-5.09954977,2.62792832,0.05419208,0.90543546,0.01873695,0.03463336,0.50128934,1.42113699,0.33273428,0.00000000
-5.09354677,2.75670936,0.06188856,0.89448852,0.02046199,0.03609386,0.52014762,1.55202162,0.35021009,0.00000000
-5.08754377,2.89138146,0.07084868,0.88393921,0.02219993,0.03769798,0.53947334,1.68692942,0.36889424,0.00000000
-5.08154077,3.03130257,0.08126378,0.87432719,0.02392932,0.03947877,0.55913552,1.82450672,0.38872372,0.00000000
-5.07553777,3.17587963,0.09334704,0.86629363,0.02562787,0.04147206,0.57901655,1.96331516,0.40964915,0.00000000
-5.06953477,3.32458844,0.10733240,0.86056476,0.02727310,0.04371583,0.59901726,2.10186883,0.43163915,0.00000000
-5.06353177,3.47699384,0.12347249,0.85793276,0.02884307,0.04624943,0.61906200,2.23867580,0.45468438,0.00000000
-5.05752876,3.63276903,0.14203538,0.85923420,0.03031716,0.04911270,0.63910345,2.37228253,0.47880082,0.00000000
-5.05152576,3.79171202,0.16330009,0.86532669,0.03167676,0.05234501,0.65912694,2.50131895,0.50403209,0.00000000
-5.04552276,3.95375770,0.18755060,0.87706405,0.03290607,0.05598419,0.67915374,2.62454213,0.53045036,0.00000000
-5.03951976,4.11898321,0.21506845,0.89527047,0.03399262,0.06006540,0.69924305,2.74087628,0.55815561,0.00000000
-5.03351676,4.28760521,0.24612378,0.92071416,0.03492786,0.06461997,0.71949223,2.84944670,0.58727285,0.00000000
-5.02751376,4.45996734,0.28096501,0.95408084,0.03570748,0.06967419,0.74003503,2.94960594,0.61794716,0.00000000
-5.02151076,4.63651693,0.31980724,0.99594761,0.03633160,0.07524812,0.76103735,3.04095036,0.65033650,0.00000000
-5.01550775,4.81777065,0.36281968,1.04675771,0.03680475,0.08135444,0.78269075,3.12332605,0.68460222,0.00000000
-5.00950475,5.00426954,0.41011248,1.10679667,0.03713569,0.08799733,0.80520337,3.19682346,0.72089753,0.00000000
-5.00350175,5.19652458,0.46172344,1.17617058,0.03733698,0.09517156,0.82878869,3.26176099,0.75935431,0.00000000
-4.99749875,5.39495492,0.51760513,1.25478714,0.03742437,0.10286158,0.85365239,3.31865811,0.80006875,0.00000000
-4.99149575,5.59982175,0.57761307,1.34234026,0.03741612,0.11104090,0.87997790,3.36819948,0.84308648,0.00000000
-4.98549275,5.81116112,0.64149563,1.43829903,0.03733206,0.11967162,0.90791126,3.41119198,0.88838800,0.00000000
-4.97948974,6.02871997,0.70888638,1.54190179,0.03719269,0.12870429,0.93754625,3.44851693,0.93587525,0.00000000
-4.97348674,6.25189933,0.77929942,1.65215613,0.03701818,0.13807793,0.96891045,3.48108035,0.98536031,0.00000000
-4.96748374,6.47970911,0.85212852,1.76784542,0.03682737,0.14772047,1.00195340,3.50976379,1.03655695,0.00000000
-4.96148074,6.71073819,0.92665022,1.88754239,0.03663692,0.15754941,1.03653752,3.53537867,1.08907598,0.00000000
-4.95547774,6.94314306,1.00203160,2.00962994,0.03646049,0.16747285,1.07243269,3.55862656,1.14242496,0.00000000
-4.94947474,7.17465744,1.07734254,2.13232926,0.03630811,0.17739077,1.10931504,3.58006749,1.19601274,0.00000000
-4.94347174,7.40262410,1.15157265,2.25373489,0.03618573,0.18719671,1.14677040,3.60009798,1.24915904,0.00000000
-4.93746873,7.62404896,1.22365245,2.37185607,0.03609505,0.19677955,1.18430247,3.61893975,1.30110904,0.00000000
-4.93146573,7.83567626,1.29247833,2.48466339,0.03603343,0.20602570,1.22134578,3.63663947,1.35105264,0.00000000
-4.92546273,8.03408229,1.35694056,2.59013941,0.03599417,0.21482129,1.25728283,3.65307922,1.39814771,0.00000000
-4.91945973,8.21578409,1.41595340,2.68633165,0.03596695,0.22305464,1.29146493,3.66799669,1.44154650,0.00000000
-4.91345673,8.37735846,1.46848617,2.77140613,0.03593844,0.23061865,1.32323575,3.68101376,1.48042422,0.00000000
-4.90745373,8.51556601,1.51359418,2.84369955,0.03589309,0.23741333,1.35195654,3.69167126,1.51400827,0.00000000
-4.90145073,8.62747451,1.55044816,2.90176802,0.03581403,0.24334813,1.37703187,3.69946802,1.54160715,0.00000000
-4.89544772,8.71057577,1.57836097,2.94443051,0.03568407,0.24834423,1.39793452,3.70390152,1.56263732,0.00000000
-4.88944472,8.76289042,1.59681052,2.97080519,0.03548666,0.25233662,1.41422847,3.70450804,1.57664706,0.00000000
-4.88344172,8.78305585,1.60545772,2.98033713,0.03520684,0.25527591,1.42558865,3.70089986,1.58333593,0.00000000
-4.87743872,8.77039292,1.60415886,2.97281631,0.03483217,0.25712984,1.43181667,3.69279775,1.58256908,0.00000000
-4.87143572,8.72494878,1.59297170,2.94838501,0.03435347,0.25788452,1.43285165,3.68005713,1.57438556,0.00000000
-4.86543272,8.64751367,1.57215515,2.90753449,0.03376540,0.25754524,1.42877574,3.66268675,1.55900040,0.00000000
-4.85942971,8.53961155,1.54216241,2.85109095,0.03306695,0.25613698,1.41981409,3.64085928,1.53680036,0.00000000
-4.85342671,8.40346512,1.50362809,2.78019150,0.03226164,0.25370443,1.40632937,3.61491377,1.50833352,0.00000000
-4.84742371,8.24193735,1.45734977,2.69625118,0.03135758,0.25031177,1.38881125,3.58535003,1.47429340,0.00000000
-4.84142071,8.05845246,1.40426495,2.60092243,0.03036728,0.24604203,1.36786144,3.55281592,1.43549823,0.00000000
-4.83541771,7.85690026,1.34542430,2.49604861,0.02930734,0.24099609,1.34417503,3.51808825,1.39286662,0.00000000
-4.82941471,7.64152808,1.28196251,2.38361359,0.02819795,0.23529144,1.31851934,3.48204882,1.34739047,0.00000000
-4.82341171,7.41682510,1.21506789,2.26568918,0.02706225,0.22906066,1.29171094,3.44565665,1.30010657,0.00000000
-4.81740870,7.18740359,1.14595189,2.14438244,0.02592558,0.22244966,1.26459237,3.40991798,1.25206791,0.00000000
-4.81140570,6.95788163,1.07581972,2.02178464,0.02481472,0.21561577,1.23800910,3.37585531,1.20431592,0.00000000
-4.80540270,6.73277114,1.00584310,1.89992342,0.02375708,0.20872561,1.21278803,3.34447669,1.15785463,0.00000000
-4.79939970,6.51637477,0.93713588,1.78071965,0.02277983,0.20195295,1.18971794,3.31674635,1.11362749,0.00000000
-4.79339670,6.31269415,0.87073323,1.66594989,0.02190917,0.19547638,1.16953277,3.29355746,1.07249756,0.00000000
-4.78739370,6.12535148,0.80757474,1.55721521,0.02116964,0.18947695,1.15289778,3.27570777,1.03523149,0.00000000
-4.78139070,5.95752560,0.74849171,1.45591690,0.02058344,0.18413574,1.14039902,3.26387858,1.00248732,0.00000000
-4.77538769,5.81190296,0.69419835,1.36323897,0.02017000,0.17963137,1.13253585,3.25861724,0.97480632,0.00000000
-4.76938469,5.69064322,0.64528700,1.28013740,0.01994555,0.17613745,1.12971648,3.26032346,0.95260850,0.00000000
-4.76338169,5.59535890,0.60222665,1.20733558,0.01992285,0.17381997,1.13225601,3.26923936,0.93619155,0.00000000
-4.75737869,5.52710792,0.56536450,1.14532556,0.02011109,0.17283464,1.14037675,3.28544330,0.92573274,0.00000000
-4.75137569,5.48639775,0.53492995,1.09437415,0.02051585,0.17332416,1.15421013,3.30884737,0.92129331,0.00000000
-4.74537269,5.47319973,0.51104034,1.05453328,0.02113919,0.17541541,1.17379977,3.33919836,0.92282484,0.00000000
-4.73936968,5.48697208,0.49370803,1.02565365,0.02197985,0.17921668,1.19910537,3.37608223,0.93017708,0.00000000
-4.73336668,5.52669027,0.48284818,1.00740108,0.02303350,0.18481484,1.23000674,3.41893182,0.94310675,0.00000000
-4.72736368,5.59088343,0.47828690,0.99927471,0.02429307,0.19227256,1.26630798,3.46703778,0.96128704,0.00000000
-4.72136068,5.67767578,0.47976939,1.00062646,0.02574906,0.20162573,1.30774129,3.51956237,0.98431727,0.00000000
-4.71535768,5.78483205,0.48696787,1.01068124,0.02738994,0.21288097,1.35397048,3.57555619,1.01173269,0.00000000
-4.70935468,5.90980609,0.49948916,1.02855745,0.02920247,0.22601352,1.40459419,3.63397736,1.04301410,0.00000000
-4.70335168,6.04979211,0.51688194,1.05328745,0.03117200,0.24096547,1.45914876,3.69371295,1.07759723,0.00000000
-4.69734867,6.20177781,0.53864371,1.08383773,0.03328275,0.25764460,1.51711112,3.75360227,1.11488191,0.00000000
-4.69134567,6.36259887,0.56422761,1.11912859,0.03551798,0.27592373,1.57790173,3.81246147,1.15424092,0.00000000
-4.68534267,6.52899438,0.59304923,1.15805328,0.03786010,0.29564094,1.64088807,3.86910901,1.19502861,0.00000000
-4.67933967,6.69766246,0.62449363,1.19949632,0.04029075,0.31660053,1.70538875,3.92239128,1.23658938,0.00000000
-4.67333667,6.86531562,0.65792269,1.24235114,0.04279073,0.33857493,1.77067858,3.97120787,1.27826601,0.00000000
-4.66733367,7.02873518,0.69268300,1.28553676,0.04533995,0.36130753,1.83599494,4.01453573,1.31940782,0.00000000
-4.66133067,7.18482404,0.72811428,1.32801369,0.04791727,0.38451647,1.90054542,4.05145156,1.35937888,0.00000000
-4.65532766,7.33065717,0.76355843,1.36879859,0.05050039,0.40789935,1.96351696,4.08115202,1.39756604,0.00000000
-4.64932466,7.46352906,0.79836911,1.40697802,0.05306566,0.43113875,2.02408657,4.10297106,1.43338693,0.00000000
