energy_ev,total_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up,Si_p_up,Si_d_up
5.16558279,3.24065791,3.96017917,0.01197577,0.04779229,0.59539242,0.82170367,0.00000000
5.17158579,3.32675295,4.06478360,0.01236894,0.04878680,0.58690952,0.84579078,0.00000000
5.17758879,3.41720862,4.17654069,0.01277504,0.04980002,0.57815683,0.86990806,0.00000000
5.18359180,3.51180734,4.29500470,0.01319180,0.05082861,0.56948056,0.89389466,0.00000000
5.18959480,3.61010082,4.41941735,0.01361602,0.05186833,0.56121084,0.91755172,0.00000000
5.19559780,3.71141781,4.54872395,0.01404372,0.05291418,0.55365224,0.94064934,0.00000000
5.20160080,3.81488302,4.68160284,0.01447015,0.05396062,0.54707579,0.96293599,0.00000000
5.20760380,3.91944608,4.81650642,0.01489000,0.05500185,0.54171287,0.98414970,0.00000000
5.21360680,4.02391932,4.95171213,0.01529759,0.05603203,0.53775090,1.00403055,0.00000000
5.21960980,4.12702221,5.08538062,0.01568702,0.05704562,0.53533110,1.02233371,0.00000000
5.22561281,4.22743052,5.21561857,0.01605245,0.05803768,0.53454811,1.03884227,0.00000000
5.23161581,4.32382741,5.34054301,0.01638830,0.05900406,0.53545140,1.05337916,0.00000000
5.23761881,4.41495398,5.45834432,0.01668946,0.05994169,0.53804826,1.06581727,0.00000000
5.24362181,4.49965686,5.56734515,0.01695154,0.06084862,0.54230800,1.07608726,0.00000000
5.24962481,4.57693026,5.66605268,0.01717101,0.06172416,0.54816714,1.08418255,0.00000000
5.25562781,4.64595083,5.75320221,0.01734537,0.06256880,0.55553520,1.09016094,0.00000000
5.26163082,4.70610350,5.82779070,0.01747321,0.06338407,0.56430071,1.09414293,0.00000000
5.26763382,4.75699743,5.88909904,0.01755432,0.06417239,0.57433720,1.09630656,0.00000000
5.27363682,4.79847151,5.93670293,0.01758963,0.06493671,0.58550877,1.09687923,0.00000000
5.27963982,4.83058957,5.97047233,0.01758120,0.06568022,0.59767498,1.09612661,0.00000000
5.28564282,4.85362573,5.99056031,0.01753215,0.06640594,0.61069503,1.09433961,0.00000000
5.29164582,4.86804121,5.99738234,0.01744645,0.06711630,0.62443077,1.09181981,0.00000000
5.29764882,4.87445387,5.99158754,0.01732880,0.06781278,0.63874880,1.08886429,0.00000000
5.30365183,4.87360236,5.97402352,0.01718445,0.06849551,0.65352141,1.08575074,0.00000000
5.30965483,4.86630683,5.94569669,0.01701891,0.06916296,0.66862649,1.08272359,0.00000000
5.31565783,4.85342825,5.90772998,0.01683780,0.06981171,0.68394652,1.07998193,0.00000000
5.32166083,4.83582826,5.86131969,0.01664659,0.07043627,0.69936688,1.07766993,0.00000000
5.32766383,4.81433165,5.80769335,0.01645042,0.07102906,0.71477346,1.07587017,0.00000000
5.33366683,4.78969283,5.74807005,0.01625387,0.07158038,0.73005016,1.07460026,0.00000000
5.33966983,4.76256799,5.68362472,0.01606089,0.07207864,0.74507625,1.07381282,0.00000000
5.34567284,4.73349374,5.61545736,0.01587457,0.07251055,0.75972402,1.07339883,0.00000000
5.35167584,4.70287313,5.54456820,0.01569716,0.07286148,0.77385694,1.07319397,0.00000000
5.35767884,4.67096929,5.47183945,0.01552999,0.07311586,0.78732868,1.07298772,0.00000000
5.36368184,4.63790660,5.39802388,0.01537345,0.07325766,0.79998299,1.07253442,0.00000000
5.36968484,4.60367920,5.32374049,0.01522709,0.07327094,0.81165485,1.07156589,0.00000000
5.37568784,4.56816599,5.24947697,0.01508964,0.07314032,0.82217274,1.06980475,0.00000000
5.38169085,4.53115133,5.17559868,0.01495916,0.07285162,0.83136224,1.06697780,0.00000000
5.38769385,4.49235011,5.10236332,0.01483315,0.07239233,0.83905068,1.06282882,0.00000000
5.39369685,4.45143605,5.02994046,0.01470873,0.07175217,0.84507287,1.05713005,0.00000000
5.39969985,4.40807164,4.95843486,0.01458275,0.07092350,0.84927752,1.04969201,0.00000000
5.40570285,4.36193833,4.88791196,0.01445201,0.06990175,0.85153403,1.04037123,0.00000000
5.41170585,4.31276534,4.81842435,0.01431338,0.06868569,0.85173936,1.02907549,0.00000000
5.41770885,4.26035585,4.75003740,0.01416398,0.06727773,0.84982452,1.01576672,0.00000000
5.42371186,4.20460908,4.68285258,0.01400127,0.06568395,0.84576018,1.00046133,0.00000000
5.42971486,4.14553719,4.61702684,0.01382319,0.06391421,0.83956115,0.98322828,0.00000000
5.43571786,4.08327619,4.55278674,0.01362824,0.06198203,0.83128917,0.96418499,0.00000000
5.44172086,4.01809018,4.49043624,0.01341553,0.05990441,0.82105396,0.94349151,0.00000000
5.44772386,3.95036871,4.43035743,0.01318480,0.05770156,0.80901213,0.92134334,0.00000000
5.45372686,3.88061732,4.37300397,0.01293640,0.05539653,0.79536401,0.89796311,0.00000000
5.45972986,3.80944184,4.31888733,0.01267133,0.05301477,0.78034843,0.87359190,0.00000000
5.46573287,3.73752719,4.26855673,0.01239109,0.05058364,0.76423557,0.84848022,0.00000000
5.47173587,3.66561189,4.22257397,0.01209767,0.04813188,0.74731836,0.82287938,0.00000000
5.47773887,3.59445983,4.18148466,0.01179343,0.04568903,0.72990261,0.79703335,0.00000000
5.48374187,3.52483078,4.14578814,0.01148103,0.04328490,0.71229658,0.77117157,0.00000000
5.48974487,3.45745150,4.11590800,0.01116328,0.04094905,0.69480038,0.74550295,0.00000000
5.49574787,3.39298925,4.09216561,0.01084306,0.03871025,0.67769586,0.72021113,0.00000000
5.50175088,3.33202910,4.07475873,0.01052323,0.03659612,0.66123747,0.69545122,0.00000000
5.50775388,3.27505665,4.06374693,0.01020651,0.03463271,0.64564454,0.67134811,0.00000000
5.51375688,3.22244693,4.05904519,0.00989545,0.03284424,0.63109549,0.64799615,0.00000000
5.51975988,3.17446025,4.06042640,0.00959232,0.03125284,0.61772404,0.62546035,0.00000000
5.52576288,3.13124493,4.06753266,0.00929913,0.02987846,0.60561772,0.60377875,0.00000000
5.53176588,3.09284656,4.07989488,0.00901755,0.02873876,0.59481857,0.58296588,0.00000000
5.53776888,3.05922277,4.09695915,0.00874897,0.02784903,0.58532592,0.56301707,0.00000000
5.54377189,3.03026233,4.11811793,0.00849446,0.02722224,0.57710093,0.54391317,0.00000000
5.54977489,3.00580657,4.14274356,0.00825480,0.02686899,0.57007253,0.52562563,0.00000000
5.55577789,2.98567157,4.17022147,0.00803057,0.02679747,0.56414429,0.50812136,0.00000000
5.56178089,2.96966882,4.19998016,0.00782209,0.02701344,0.55920174,0.49136728,0.00000000
5.56778389,2.95762266,4.23151540,0.00762956,0.02752010,0.55511959,0.47533417,0.00000000
5.57378689,2.94938281,4.26440645,0.00745298,0.02831794,0.55176842,0.45999963,0.00000000
5.57978989,2.94483076,4.29832261,0.00729228,0.02940449,0.54902044,0.44535004,0.00000000
5.58579290,2.94387921,4.33301933,0.00714727,0.03077404,0.54675399,0.43138127,0.00000000
5.59179590,2.94646461,4.36832379,0.00701763,0.03241736,0.54485661,0.41809835,0.00000000
5.59779890,2.95253296,4.40411091,0.00690298,0.03432125,0.54322658,0.40551392,0.00000000
5.60380190,2.96202027,4.44027142,0.00680277,0.03646831,0.54177306,0.39364583,0.00000000
5.60980490,2.97482890,4.47667456,0.00671633,0.03883655,0.54041493,0.38251390,0.00000000
5.61580790,2.99080214,4.51312836,0.00664280,0.04139919,0.53907859,0.37213627,0.00000000
5.62181091,3.00969893,4.54934091,0.00658114,0.04412458,0.53769513,0.36252547,0.00000000
5.62781391,3.03117141,4.58488598,0.00653007,0.04697618,0.53619720,0.35368469,0.00000000
5.63381691,3.05474729,4.61917630,0.00648808,0.04991284,0.53451596,0.34560446,0.00000000
5.63981991,3.07981924,4.65144732,0.00645344,0.05288919,0.53257851,0.33825994,0.00000000
5.64582291,3.10564276,4.68075347,0.00642417,0.05585632,0.53030607,0.33160928,0.00000000
5.65182591,3.13134354,4.70597829,0.00639811,0.05876265,0.52761319,0.32559294,0.00000000
5.65782891,3.15593468,4.72585870,0.00637295,0.06155502,0.52440816,0.32013429,0.00000000
5.66383192,3.17834342,4.73902272,0.00634628,0.06417992,0.52059453,0.31514128,0.00000000
5.66983492,3.19744625,4.74403887,0.00631568,0.06658495,0.51607391,0.31050929,0.00000000
5.67583792,3.21211087,4.73947486,0.00627877,0.06872032,0.51074965,0.30612495,0.00000000
5.68184092,3.22124252,4.72396216,0.00623333,0.07054034,0.50453143,0.30187058,0.00000000
5.68784392,3.22383245,4.69626283,0.00617734,0.07200500,0.49734025,0.29762923,0.00000000
5.69384692,3.21900534,4.65533463,0.00610913,0.07308129,0.48911361,0.29328976,0.00000000
5.69984992,3.20606318,4.60039050,0.00602739,0.07374454,0.47981058,0.28875193,0.00000000
5.70585293,3.18452274,4.53094884,0.00593125,0.07397937,0.46941629,0.28393089,0.00000000
5.71185593,3.15414446,4.44687158,0.00582034,0.07378048,0.45794576,0.27876113,0.00000000
5.71785893,3.11495087,4.34838771,0.00569478,0.07315307,0.44544661,0.27319938,0.00000000
5.72386193,3.06723349,4.23610083,0.00555523,0.07211297,0.43200072,0.26722652,0.00000000
5.72986493,3.01154755,4.11098038,0.00540282,0.07068643,0.41772454,0.26084828,0.00000000
5.73586793,2.94869496,3.97433687,0.00523913,0.06890954,0.40276817,0.25409478,0.00000000
5.74187094,2.87969629,3.82778272,0.00506615,0.06682746,0.38731327,0.24701889,0.00000000
5.74787394,2.80575336,3.67318072,0.00488616,0.06449325,0.37156980,0.23969360,0.00000000
5.75387694,2.72820457,3.51258307,0.00470171,0.06196662,0.35577195,0.23220852,0.00000000
5.75987994,2.64847525,3.34816408,0.00451547,0.05931244,0.34017330,0.22466579,0.00000000
5.76588294,2.56802578,3.18215016,0.00433015,0.05659922,0.32504151,0.21717550,0.00000000
5.77188594,2.48830009,3.01675033,0.00414843,0.05389748,0.31065274,0.20985101,0.00000000
5.77788894,2.41067712,2.85409062,0.00397285,0.05127820,0.29728605,0.20280436,0.00000000
5.78389195,2.33642740,2.69615496,0.00380573,0.04881128,0.28521783,0.19614198,0.00000000
5.78989495,2.26667670,2.54473511,0.00364913,0.04656410,0.27471653,0.18996086,0.00000000
5.79589795,2.20237801,2.40139087,0.00350475,0.04460026,0.26603768,0.18434538,0.00000000
5.80190095,2.14429262,2.26742189,0.00337399,0.04297833,0.25941931,0.17936492,0.00000000
5.80790395,2.09298056,2.14385096,0.00325781,0.04175088,0.25507769,0.17507212,0.00000000
5.81390695,2.04879992,2.03141870,0.00315685,0.04096350,0.25320349,0.17150209,0.00000000
5.81990995,2.01191436,1.93058844,0.00307136,0.04065407,0.25395817,0.16867219,0.00000000
5.82591296,1.98230738,1.84156005,0.00300127,0.04085207,0.25747065,0.16658253,0.00000000
5.83191596,1.95980196,1.76429096,0.00294620,0.04157803,0.26383420,0.16521700,0.00000000
5.83791896,1.94408386,1.69852249,0.00290554,0.04284302,0.27310346,0.16454464,0.00000000
5.84392196,1.93472673,1.64380958,0.00287845,0.04464835,0.28529171,0.16452142,0.00000000
5.84992496,1.93121759,1.59955218,0.00286397,0.04698520,0.30036830,0.16509198,0.00000000
5.85592796,1.93298105,1.56502650,0.00286101,0.04983456,0.31825645,0.16619158,0.00000000
5.86193097,1.93940128,1.53941501,0.00286842,0.05316710,0.33883140,0.16774786,0.00000000
5.86793397,1.94984079,1.52183395,0.00288502,0.05694338,0.36191928,0.16968259,0.00000000
5.87393697,1.96365559,1.51135785,0.00290966,0.06111406,0.38729657,0.17191320,0.00000000
5.87993997,1.98020660,1.50704051,0.00294119,0.06562049,0.41469068,0.17435416,0.00000000
5.88594297,1.99886759,1.50793260,0.00297854,0.07039539,0.44378149,0.17691826,0.00000000
5.89194597,2.01902997,1.51309586,0.00302066,0.07536386,0.47420430,0.17951774,0.00000000
5.89794897,2.04010520,1.52161448,0.00306659,0.08044461,0.50555404,0.18206537,0.00000000
5.90395198,2.06152557,1.53260392,0.00311541,0.08555147,0.53739095,0.18447549,0.00000000
