energy_ev,total_up,total_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-5.87393697,3.65338352,-1.66998129,0.94573297,-0.94865438,1.16806735,-0.43637079,0.00977595,-0.00348398,0.64784380,-0.53054824,0.04533913,-0.00992862,1.43388521,-0.47675357,0.64309803,-0.20666703,0.27545543,-0.07080383
-5.86793397,3.62047808,-1.59685585,0.93662847,-0.88837522,1.13845255,-0.41595768,0.01014806,-0.00339736,0.62397825,-0.49919860,0.04664241,-0.01076133,1.44614579,-0.46541473,0.64598437,-0.19960251,0.28049141,-0.07039968
-5.86193097,3.58090002,-1.53647497,0.92888614,-0.83372971,1.10751890,-0.39799026,0.01050593,-0.00336029,0.60133380,-0.47007013,0.04776194,-0.01173061,1.45306616,-0.45985236,0.64637152,-0.19518704,0.28435008,-0.07116479
-5.85592796,3.53470103,-1.48971698,0.92244816,-0.78511627,1.07552563,-0.38273283,0.01083984,-0.00337627,0.58006840,-0.44346063,0.04867541,-0.01284753,1.45443928,-0.46029373,0.64422699,-0.19349751,0.28694095,-0.07313988
-5.84992496,3.48193512,-1.45725174,0.91719632,-0.74283506,1.04270172,-0.37039219,0.01114031,-0.00344790,0.56027715,-0.41960698,0.04936292,-0.01412154,1.45013294,-0.46690211,0.63955493,-0.19458312,0.28819388,-0.07635047
-5.84392196,3.42266214,-1.43953271,0.91295106,-0.70708822,1.00924473,-0.36111717,0.01139848,-0.00357689,0.54199306,-0.39868638,0.04980760,-0.01555980,1.44009145,-0.47977002,0.63239449,-0.19846358,0.28806075,-0.08080562
-5.83791896,3.35695388,-1.43679230,0.90947380,-0.67798130,0.97532139,-0.35499989,0.01160631,-0.00376395,0.52519024,-0.38081949,0.04999622,-0.01716674,1.42433622,-0.49891243,0.62281784,-0.20512710,0.28651676,-0.08649677
-5.83191596,3.28490218,-1.44904064,0.90647244,-0.65552569,0.94106936,-0.35207864,0.01175689,-0.00400872,0.50978896,-0.36607525,0.04991970,-0.01894342,1.40296526,-0.52426005,0.61092756,-0.21452830,0.28356110,-0.09339658
-5.82591296,3.20662829,-1.47606795,0.90360973,-0.63964230,0.90660007,-0.35234223,0.01184467,-0.00430979,0.49566258,-0.35447710,0.04957351,-0.02088711,1.37615140,-0.55565335,0.59685383,-0.22658636,0.27921698,-0.10145808
-5.81990995,3.12229256,-1.51745062,0.90051420,-0.63016622,0.87200229,-0.35573546,0.01186560,-0.00466461,0.48264561,-0.34601026,0.04895797,-0.02299085,1.34413940,-0.59283766,0.58075122,-0.24118346,0.27353112,-0.11061398
-5.81390695,3.03210391,-1.57256115,0.89679302,-0.62685263,0.83734628,-0.36216555,0.01181728,-0.00506949,0.47054287,-0.34062983,0.04807839,-0.02524314,1.30724164,-0.63545994,0.56279538,-0.25816376,0.26657257,-0.12077635
-5.80790395,2.93632830,-1.64058185,0.89204641,-0.62938382,0.80268807,-0.37150925,0.01169903,-0.00551959,0.45913914,-0.33826918,0.04694499,-0.02762778,1.26583268,-0.68306757,0.54317951,-0.27733317,0.25843095,-0.13183684
-5.80190095,2.83529569,-1.72052248,0.88588271,-0.63737737,0.76807389,-0.38362010,0.01151191,-0.00600893,0.44820895,-0.33884826,0.04557277,-0.03012379,1.22034265,-0.73510982,0.52211086,-0.29846000,0.24921421,-0.14366736
-5.79589795,2.72940503,-1.81124125,0.87793366,-0.65039530,0.73354440,-0.39833588,0.01125867,-0.00653049,0.43752631,-0.34228157,0.04398111,-0.03270555,1.17124955,-0.79094215,0.49980720,-0.32127677,0.23904588,-0.15612145
-5.78989495,2.61912694,-1.91146916,0.86786907,-0.66795421,0.69913866,-0.41548549,0.01094365,-0.00707624,0.42687381,-0.34848512,0.04219328,-0.03534311,1.11907071,-0.84983368,0.47649347,-0.34548320,0.22806203,-0.16903623
-5.78389195,2.50500398,-2.01983683,0.85541032,-0.68953606,0.66489768,-0.43489528,0.01057270,-0.00763727,0.41605107,-0.35738222,0.04023585,-0.03800264,1.06435354,-0.91097795,0.45239842,-0.37075041,0.21640793,-0.18223514
-5.77788894,2.38764834,-2.13490323,0.84034203,-0.71459938,0.63086745,-0.45639431,0.01015291,-0.00820395,0.40488206,-0.36890763,0.03813794,-0.04064707,1.00766579,-0.97350676,0.42775156,-0.39672637,0.20423462,-0.19553125
-5.77188594,2.26773701,-2.25518539,0.82252140,-0.74259052,0.59710142,-0.47981833,0.00969250,-0.00876612,0.39322117,-0.38300988,0.03593044,-0.04323688,0.94958563,-1.03650696,0.40278026,-0.42304245,0.19169542,-0.20873120
-5.76588294,2.14600462,-2.37918798,0.80188486,-0.77295470,0.56366227,-0.50501233,0.00920052,-0.00931329,0.38095796,-0.39965141,0.03364519,-0.04573105,0.89069173,-1.09903972,0.37770705,-0.44932095,0.17894255,-0.22163960
-5.75987994,2.02323407,-2.50543182,0.77845168,-0.80514624,0.53062311,-0.53183142,0.00868665,-0.00983489,0.36802032,-0.41880663,0.03131417,-0.04808806,0.83155356,-1.16016165,0.35274725,-0.47518322,0.16612397,-0.23406382
-5.75387694,1.90024538,-2.63248004,0.75232447,-0.83863774,0.49806785,-0.56013997,0.00816093,-0.01032054,0.35437611,-0.44045769,0.02896871,-0.05026703,0.77272226,-1.21894703,0.32810673,-0.50025834,0.15338045,-0.24581893
-5.74787394,1.77788293,-2.75896106,0.72368657,-0.87292780,0.46609102,-0.58980920,0.00763355,-0.01076032,0.34003324,-0.46458827,0.02663877,-0.05222881,0.71472223,-1.27451032,0.30398001,-0.52419172,0.14084310,-0.25673258
-5.74187094,1.65700163,-2.88358726,0.69279639,-0.90754690,0.43479682,-0.62071311,0.00711461,-0.01114504,0.32503826,-0.49117556,0.02435228,-0.05393714,0.65804358,-1.32602804,0.28054857,-0.54665347,0.12863123,-0.26664968
-5.73586793,1.53845232,-3.00516882,0.65997913,-0.94206129,0.40429758,-0.65272319,0.00661391,-0.01146651,0.30947356,-0.52018080,0.02213464,-0.05535971,0.60313569,-1.37275909,0.25797935,-0.56734607,0.11685070,-0.27543662
-5.72986493,1.42306690,-3.12262224,0.62561616,-0.97607481,0.37471168,-0.68570212,0.00614079,-0.01171777,0.29345334,-0.55153898,0.02000828,-0.05646911,0.55040190,-1.41406254,0.23642355,-0.58601100,0.10559280,-0.28298479
-5.72386193,1.31164352,-3.23497336,0.59013258,-1.00922860,0.34616096,-0.71949690,0.00570395,-0.01189331,0.27711862,-0.58514816,0.01799241,-0.05724364,0.50019542,-1.44941228,0.21601560,-0.60243416,0.09493354,-0.28921333
-5.71785893,1.20493236,-3.34135521,0.55398357,-1.04119880,0.31876778,-0.75393192,0.00531133,-0.01198922,0.26063134,-0.62085918,0.01610279,-0.05766797,0.45281653,-1.47840771,0.19687232,-0.61644954,0.08493342,-0.29407084
-5.71185593,1.10362218,-3.44100113,0.51764005,-1.07169275,0.29265186,-0.78880237,0.00497001,-0.01200333,0.24416808,-0.65846644,0.01435172,-0.05773360,0.40851096,-1.50078012,0.17909234,-0.62794137,0.07563761,-0.29753605
-5.70585293,1.00832826,-3.53323407,0.48157419,-1.10044384,0.26792692,-0.82386869,0.00468610,-0.01193525,0.22791337,-0.69770035,0.01274808,-0.05743905,0.36746943,-1.51639439,0.16275560,-0.63684432,0.06707655,-0.29961733
-5.69984992,0.91958167,-3.61745322,0.44624551,-1.12720572,0.24469741,-0.85885237,0.00446470,-0.01178639,0.21205303,-0.73822224,0.01129747,-0.05678990,0.32982826,-1.52524620,0.14792312,-0.64314201,0.05926678,-0.30035118
-5.69384692,0.83782040,-3.69311916,0.41208784,-1.15174634,0.22305538,-0.89343375,0.00430983,-0.01155985,0.19676779,-0.77962220,0.01000246,-0.05579851,0.29567093,-1.52745469,0.13463688,-0.64686383,0.05221209,-0.29979958
-5.68784392,0.76338240,-3.75973914,0.37949776,-1.17384242,0.20307753,-0.92725199,0.00422440,-0.01126040,0.18222728,-0.82142027,0.00886278,-0.05448365,0.26503043,-1.52325124,0.12291986,-0.64808031,0.04590482,-0.29804655
-5.68184092,0.69650061,-3.81685371,0.34882474,-1.19327503,0.18482277,-0.95990761,0.00421017,-0.01089420,0.16858474,-0.86307133,0.00787571,-0.05286981,0.23789230,-1.51296491,0.11277625,-0.64689727,0.04032728,-0.29519390
-5.67583792,0.63730015,-3.86402612,0.32036328,-1.20982665,0.16833019,-0.99096767,0.00426771,-0.01046869,0.15597243,-0.90397370,0.00703636,-0.05098645,0.21419816,-1.49700532,0.10419179,-0.64344922,0.03545326,-0.29135655
-5.66983492,0.58579765,-3.90083568,0.29434721,-1.22328021,0.15361758,-1.01997353,0.00439643,-0.00999228,0.14449810,-0.94348133,0.00633803,-0.04886705,0.19384969,-1.47584382,0.09713428,-0.63789219,0.03124952,-0.28665748
-5.66383192,0.54190270,-3.92687575,0.27094608,-1.23342039,0.14068057,-1.04645106,0.00459451,-0.00947413,0.13424226,-0.98091933,0.00577247,-0.04654816,0.17671283,-1.44999409,0.09155425,-0.63039650,0.02767725,-0.28122276
-5.65782891,0.50542135,-3.94175701,0.25026384,-1.24003724,0.12949242,-1.06992299,0.00485894,-0.00892384,0.12525663,-1.01560225,0.00533026,-0.04406828,0.16262219,-1.41999285,0.08738579,-0.62113979,0.02469351,-0.27517677
-5.65182591,0.47606167,-3.94511602,0.23233940,-1.24293203,0.12000446,-1.08992282,0.00518550,-0.00835120,0.11756351,-1.04685438,0.00500103,-0.04146687,0.15138557,-1.38638180,0.08454760,-0.61030073,0.02225251,-0.26863779
-5.64582291,0.45344115,-3.93662879,0.21714919,-1.24192513,0.11214714,-1.10600984,0.00556880,-0.00776594,0.11115612,-1.07403140,0.00477376,-0.03878332,0.14278857,-1.34969144,0.08294421,-0.59805355,0.02030684,-0.26171439
-5.63981991,0.43709600,-3.91602866,0.20461130,-1.23686551,0.10583170,-1.11778457,0.00600232,-0.00717745,0.10599988,-1.09654215,0.00463694,-0.03605596,0.13659915,-1.31042747,0.08246750,-0.58456374,0.01880859,-0.25450248
-5.63381691,0.42649203,-3.88312742,0.19459107,-1.22764119,0.10095240,-1.12490375,0.00647849,-0.00659464,0.10203448,-1.11386991,0.00457883,-0.03332129,0.13257234,-1.26906014,0.08299840,-0.56998497,0.01771036,-0.24708336
-5.62781391,0.42103715,-3.83783833,0.18690786,-1.21419005,0.09738923,-1.12709450,0.00698879,-0.00602573,0.09917669,-1.12559178,0.00458760,-0.03061321,0.13045486,-1.22601695,0.08440887,-0.55445739,0.01696616,-0.23952265
-5.62181091,0.42009514,-3.78019951,0.18134269,-1.19651031,0.09501105,-1.12416654,0.00752390,-0.00547812,0.09732372,-1.13139566,0.00465151,-0.02796245,0.12998987,-1.18167858,0.08656421,-0.53810715,0.01653224,-0.23187018
-5.61580790,0.42300063,-3.71039604,0.17764657,-1.17466985,0.09367907,-1.11602224,0.00807387,-0.00495834,0.09635707,-1.13109370,0.00475901,-0.02539615,0.13092170,-1.13637803,0.08932555,-0.52104711,0.01636788,-0.22416082
-5.60980490,0.42907502,-3.62877919,0.17554919,-1.14881370,0.09325053,-1.10266368,0.00862832,-0.00447200,0.09614674,-1.12463165,0.00489892,-0.02293758,0.13300063,-1.09040264,0.09255265,-0.50337854,0.01643608,-0.21641600
-5.60380190,0.43764291,-3.53588123,0.17476780,-1.11916909,0.09358257,-1.08419655,0.00917671,-0.00402377,0.09655557,-1.11209379,0.00506050,-0.02060597,0.13598770,-1.04399839,0.09610682,-0.48519363,0.01670421,-0.20864590
-5.59779890,0.44804891,-3.43242449,0.17501603,-1.08604760,0.09453606,-1.06083053,0.00970858,-0.00361745,0.09744373,-1.09370292,0.00523364,-0.01841656,0.13965944,-0.99737615,0.09985405,-0.46657844,0.01714466,-0.20085208
-5.59179590,0.45967430,-3.31932378,0.17601236,-1.04984399,0.09597944,-1.03287612,0.01021391,-0.00325599,0.09867310,-1.06981557,0.00540889,-0.01638070,0.14381261,-0.95071902,0.10366821,-0.44761610,0.01773537,-0.19303040
-5.58579290,0.47195309,-3.19768138,0.17748825,-1.01103162,0.09779223,-1.00073802,0.01068336,-0.00294159,0.10011146,-1.04091255,0.00557767,-0.01450604,0.14826859,-0.90419018,0.10743413,-0.42838997,0.01846038,-0.18517395
-5.57978989,0.48438715,-3.06877442,0.17919545,-0.97015445,0.09986834,-0.96490523,0.01110863,-0.00267579,0.10163634,-1.00758522,0.00573228,-0.01279687,0.15287762,-0.85794074,0.11105066,-0.40898642,0.01931029,-0.17727590
-5.57378689,0.49655971,-2.93403472,0.18091265,-0.92781582,0.10211888,-0.92593844,0.01148272,-0.00245956,0.10313852,-0.97051800,0.00586607,-0.01125443,0.15752250,-0.81211674,0.11443337,-0.38949709,0.02028265,-0.16933208
-5.56778389,0.50814694,-2.79502172,0.18245102,-0.88466442,0.10447443,-0.88445487,0.01180023,-0.00229340,0.10452493,-0.93046801,0.00597349,-0.00987734,0.16212177,-0.76686511,0.11751693,-0.37002041,0.02138219,-0.16134311
-5.56178089,0.51892696,-2.65338929,0.18365871,-0.84137785,0.10688672,-0.84111157,0.01205757,-0.00217741,0.10572092,-0.88824238,0.00605019,-0.00866196,0.16663209,-0.72233801,0.12025703,-0.35066227,0.02262103,-0.15331600
-5.55577789,0.52878597,-2.51084756,0.18442418,-0.79864455,0.10932955,-0.79658744,0.01225315,-0.00211136,0.10667185,-0.84467443,0.00609303,-0.00760284,0.17104983,-0.67869544,0.12263159,-0.33153577,0.02401858,-0.14526518
-5.54977489,0.53772109,-2.36912142,0.18467813,-0.75714462,0.11179897,-0.75156486,0.01238745,-0.00209477,0.10734402,-0.80059928,0.00610015,-0.00669306,0.17541152,-0.63610600,0.12464140,-0.31276003,0.02560137,-0.13721294
-5.54377189,0.54583968,-2.22990696,0.18439426,-0.71753040,0.11431264,-0.70671157,0.01246313,-0.00212686,0.10772469,-0.75683009,0.00607094,-0.00592457,0.17979329,-0.59474571,0.12630995,-0.29445819,0.02740262,-0.12918917
-5.53776888,0.55335489,-2.09482786,0.18358851,-0.68040747,0.11690839,-0.66266329,0.01248491,-0.00220665,0.10782145,-0.71413552,0.00600604,-0.00528854,0.18430903,-0.55479533,0.12768246,-0.27675467,0.02946152,-0.12123075
-5.53176588,0.56057766,-1.96539310,0.18231718,-0.64631685,0.11964199,-0.62000789,0.01245948,-0.00233286,0.10766076,-0.67321924,0.00590724,-0.00477560,0.18910733,-0.51643614,0.12882419,-0.25977179,0.03182230,-0.11338024
-5.52576288,0.56790497,-1.84295783,0.18067364,-0.61571895,0.12258421,-0.57927136,0.01239528,-0.00250394,0.10728596,-0.63470213,0.00577744,-0.00437604,0.19436717,-0.47984474,0.12981790,-0.24362611,0.03453302,-0.10568445
-5.51975988,0.57580492,-1.72868877,0.17878400,-0.58898002,0.12581720,-0.54090616,0.01230223,-0.00271801,0.10675447,-0.59910756,0.00562049,-0.00408001,0.20029243,-0.44518719,0.13076066,-0.22842457,0.03764409,-0.09819255
-5.51375688,0.58479883,-1.62353542,0.17680176,-0.56636139,0.12943045,-0.50528216,0.01219137,-0.00297279,0.10613471,-0.56685028,0.00544109,-0.00387762,0.20710529,-0.41261295,0.13176012,-0.21426067,0.04120650,-0.09095427
-5.50775388,0.59544097,-1.52820824,0.17490152,-0.54801204,0.13351625,-0.47268046,0.01207442,-0.00326557,0.10550253,-0.53822896,0.00524462,-0.00375902,0.21503863,-0.38224895,0.13293021,-0.20121098,0.04526992,-0.08401798
-5.50175088,0.60829662,-1.44316436,0.17327223,-0.53396468,0.13816505,-0.44329003,0.01196340,-0.00359317,0.10493746,-0.51342265,0.00503694,-0.00371449,0.22432774,-0.35419445,0.13438662,-0.18933210,0.04988051,-0.07742893
-5.49574787,0.62391896,-1.36860157,0.17210980,-0.52413549,0.14346073,-0.41720737,0.01187008,-0.00395191,0.10451889,-0.49249100,0.00482424,-0.00373446,0.23520144,-0.32851666,0.13624209,-0.17865837,0.05507867,-0.07122776
-5.48974487,0.64282590,-1.30446053,0.17160963,-0.51832758,0.14947601,-0.39443888,0.01180555,-0.00433758,0.10432233,-0.47537814,0.00461283,-0.00380949,0.24787289,-0.30524776,0.13860173,-0.16920028,0.06089674,-0.06544929
-5.48374187,0.66547727,-1.25043526,0.17195912,-0.51623796,0.15626826,-0.37490594,0.01177975,-0.00474547,0.10441589,-0.46191995,0.00440895,-0.00393034,0.26253039,-0.28438331,0.14155855,-0.16094384,0.06735669,-0.06012164
-5.47773887,0.69225352,-1.20599132,0.17333036,-0.51746799,0.16387574,-0.35845229,0.01180104,-0.00517045,0.10485716,-0.45185444,0.00421860,-0.00408797,0.27932852,-0.26588223,0.14518944,-0.15385095,0.07446797,-0.05526585
-5.47173587,0.72343646,-1.17039110,0.17587339,-0.52153676,0.17231452,-0.34485347,0.01187580,-0.00560697,0.10569050,-0.44483472,0.00404738,-0.00427354,0.29837977,-0.24966838,0.14955155,-0.14786060,0.08222552,-0.05089577
-5.46573287,0.75919286,-1.14272526,0.17971001,-0.52789712,0.18157620,-0.33382791,0.01200817,-0.00604926,0.10694502,-0.44044407,0.00390030,-0.00447846,0.31974713,-0.23563361,0.15467948,-0.14289113,0.09060817,-0.04701846
-5.45972986,0.79956156,-1.12194898,0.18492855,-0.53595375,0.19162654,-0.32504923,0.01219977,-0.00649139,0.10863310,-0.43821270,0.00378168,-0.00469443,0.34343787,-0.22364226,0.16058320,-0.13884321,0.09957737,-0.04363488
-5.45372686,0.84444456,-1.10692195,0.19157963,-0.54508268,0.20240499,-0.31815940,0.01244961,-0.00692750,0.11074971,-0.43763546,0.00369501,-0.00491352,0.36939872,-0.21353674,0.16724686,-0.13560351,0.10907649,-0.04074081
-5.44772386,0.89360265,-1.09645035,0.19967304,-0.55465165,0.21382529,-0.31278214,0.01275405,-0.00735194,0.11327239,-0.43818994,0.00364288,-0.00512823,0.39751285,-0.20514404,0.17462852,-0.13304896,0.11903066,-0.03832812
-5.44172086,0.94665570,-1.08932947,0.20917604,-0.56404047,0.22577708,-0.30853627,0.01310688,-0.00775950,0.11616195,-0.43935448,0.00362689,-0.00533161,0.42759874,-0.19828277,0.18266089,-0.13105125,0.12934724,-0.03638605
-5.43571786,1.00308791,-1.08438528,0.22001291,-0.57266074,0.23812840,-0.30504852,0.01349945,-0.00814557,0.11936383,-0.44062525,0.00364765,-0.00551731,0.45941117,-0.19277045,0.19125295,-0.12948161,0.13991705,-0.03490256
-5.42971486,1.06225804,-1.08051351,0.23206604,-0.57997428,0.25072916,-0.30196525,0.01392103,-0.00850638,0.12281011,-0.44153214,0.00370470,-0.00567973,0.49264441,-0.18843071,0.20029251,-0.12821536,0.15061616,-0.03386574
-5.42371186,1.12341439,-1.07671483,0.24517839,-0.58550941,0.26341547,-0.29896300,0.01435908,-0.00883912,0.12642198,-0.44165269,0.00379659,-0.00581411,0.52693779,-0.18510000,0.20964964,-0.12713634,0.16130852,-0.03326492
-5.41770885,1.18571429,-1.07212483,0.25915747,-0.58887471,0.27601456,-0.29575729,0.01479976,-0.00914209,0.13011264,-0.44062378,0.00392091,-0.00591659,0.56188341,-0.18263368,0.21918084,-0.12614081,0.17184910,-0.03309172
-5.41170585,1.24824769,-1.06603785,0.27378057,-0.58976961,0.28835030,-0.29210961,0.01522835,-0.00941481,0.13379057,-0.43815074,0.00407429,-0.00598433,0.59703612,-0.18091098,0.22873379,-0.12514078,0.18208766,-0.03334081
-5.40570285,1.31006420,-1.05792393,0.28880138,-0.58799145,0.30024915,-0.28783231,0.01562982,-0.00965803,0.13736292,-0.43401350,0.00425258,-0.00601554,0.63192546,-0.17983891,0.23815267,-0.12406661,0.19187300,-0.03401028
-5.39969985,1.37020292,-1.04743831,0.30395757,-0.58343894,0.31154620,-0.28279142,0.01598937,-0.00987374,0.14073900,-0.42806987,0.00445091,-0.00600952,0.66606938,-0.17935477,0.24728378,-0.12286874,0.20105745,-0.03510181
-5.39369685,1.42772406,-1.03442350,0.31897937,-0.57611172,0.32209136,-0.27690735,0.01629294,-0.01006505,0.14383367,-0.42025575,0.00466381,-0.00596667,0.69898921,-0.17942731,0.25598128,-0.12151865,0.20950163,-0.03662036
-5.38769385,1.48174156,-1.01890403,0.33359873,-0.56610636,0.33175527,-0.27015353,0.01652770,-0.01023611,0.14657062,-0.41058249,0.00488540,-0.00588843,0.73022574,-0.18005641,0.26411300,-0.12000884,0.21707918,-0.03857358
-5.38169085,1.53145536,-1.00107439,0.34755883,-0.55360886,0.34043485,-0.26255326,0.01668255,-0.01039186,0.14888525,-0.39913166,0.00510954,-0.00577730,0.75935554,-0.18127156,0.27156596,-0.11835203,0.22368128,-0.04097093
-5.37568784,1.57618247,-0.98128093,0.36062371,-0.53888427,0.34805831,-0.25417482,0.01674846,-0.01053781,0.15072728,-0.38604743,0.00532999,-0.00563667,0.78600726,-0.18312897,0.27825155,-0.11657954,0.22922083,-0.04382244
-5.36968484,1.61538548,-0.95999886,0.37258742,-0.52226369,0.35458932,-0.24512543,0.01671876,-0.01067973,0.15206279,-0.37152718,0.00554059,-0.00547077,0.80987703,-0.18570772,0.28411001,-0.11473904,0.23363613,-0.04713739
-5.36368184,1.64869730,-0.93780534,0.38328268,-0.50412957,0.36003024,-0.23554400,0.01658940,-0.01082336,0.15287572,-0.35581065,0.00573548,-0.00528455,0.83074243,-0.18910508,0.28911429,-0.11289175,0.23689374,-0.05092274
-5.35767884,1.67594119,-0.91535022,0.39258835,-0.48489978,0.36442421,-0.22559342,0.01635896,-0.01097407,0.15316881,-0.33916824,0.00590921,-0.00508347,0.84847444,-0.19343117,0.29327281,-0.11110922,0.23899062,-0.05518155
-5.35167584,1.69714492,-0.89332561,0.40043556,-0.46501128,0.36785600,-0.21545249,0.01602873,-0.01113653,0.15296382,-0.32188905,0.00605695,-0.00487342,0.86304657,-0.19880333,0.29663119,-0.10946994,0.23995518,-0.05991152
-5.34567284,1.71254825,-0.87243567,0.40681224,-0.44490402,0.37045139,-0.20530789,0.01560256,-0.01131441,0.15230118,-0.30426902,0.00617459,-0.00466050,0.87454081,-0.20534033,0.29927275,-0.10805582,0.23984738,-0.06510351
