energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-0.60930465,4.16350573,0.41490073,2.33879759,0.02143487,0.52244926,0.97700754,0.87303271,0.27773823,0.00000000
-0.60330165,4.19388933,0.41571299,2.37702337,0.02192623,0.51818565,0.97843257,0.87121763,0.27580539,0.00000000
-0.59729865,4.22999917,0.41814953,2.41962520,0.02245203,0.51465042,0.98337442,0.86949398,0.27469530,0.00000000
-0.59129565,4.27243266,0.42226737,2.46646009,0.02302222,0.51209899,0.99211931,0.86821836,0.27444812,0.00000000
-0.58529265,4.32167080,0.42810610,2.51728848,0.02364730,0.51077034,1.00491359,0.86774655,0.27508964,0.00000000
-0.57928964,4.37804165,0.43568484,2.57176933,0.02433772,0.51087752,1.02194898,0.86841762,0.27662917,0.00000000
-0.57328664,4.44168709,0.44499931,2.62945821,0.02510342,0.51259852,1.04334822,0.87053814,0.27905787,0.00000000
-0.56728364,4.51253455,0.45601929,2.68980876,0.02595324,0.51606788,1.06915194,0.87436690,0.28234742,0.00000000
-0.56128064,4.59027553,0.46868658,2.75217793,0.02689429,0.52136956,1.09930739,0.88010100,0.28644927,0.00000000
-0.55527764,4.67435208,0.48291368,2.81583491,0.02793143,0.52853126,1.13365968,0.88786398,0.29129451,0.00000000
-0.54927464,4.76395263,0.49858320,2.87997367,0.02906671,0.53752053,1.17194605,0.89769650,0.29679438,0.00000000
-0.54327164,4.85801737,0.51554836,2.94372887,0.03029892,0.54824291,1.21379367,0.90955018,0.30284155,0.00000000
-0.53726863,4.95525366,0.53363428,3.00619454,0.03162321,0.56054228,1.25872112,0.92328491,0.30931205,0.00000000
-0.53126563,5.05416094,0.55264035,3.06644493,0.03303084,0.57420338,1.30614386,0.93866972,0.31606785,0.00000000
-0.52526263,5.15306442,0.57234342,3.12355657,0.03450905,0.58895652,1.35538352,0.95538746,0.32296001,0.00000000
-0.51925963,5.25015620,0.59250181,3.17663084,0.03604115,0.60448440,1.40568090,0.97304294,0.32983229,0.00000000
-0.51325663,5.34354223,0.61285984,3.22481584,0.03760663,0.62043068,1.45621228,0.99117437,0.33652505,0.00000000
-0.50725363,5.43129330,0.63315288,3.26732686,0.03918159,0.63641015,1.50610845,1.00926759,0.34287933,0.00000000
-0.50125063,5.51149781,0.65311254,3.30346437,0.04073921,0.65202005,1.55447605,1.02677253,0.34874085,0.00000000
-0.49524762,5.58231433,0.67247183,3.33262891,0.04225039,0.66685213,1.60042009,1.04312123,0.35396392,0.00000000
-0.48924462,5.64202178,0.69097008,3.35433228,0.04368455,0.68050497,1.64306726,1.05774669,0.35841495,0.00000000
-0.48324162,5.68906523,0.70835751,3.36820462,0.04501049,0.69259618,1.68158881,1.07010176,0.36197549,0.00000000
-0.47723862,5.72209587,0.72439917,3.37399729,0.04619729,0.70277390,1.71522242,1.07967728,0.36454473,0.00000000
-0.47123562,5.74000349,0.73887823,3.37158159,0.04721532,0.71072721,1.74329204,1.08601887,0.36604134,0.00000000
-0.46523262,5.74194076,0.75159857,3.36094366,0.04803717,0.71619512,1.76522519,1.08874156,0.36640459,0.00000000
-0.45922961,5.72733869,0.76238667,3.34217603,0.04863855,0.71897377,1.78056699,1.08754184,0.36559479,0.00000000
-0.45322661,5.69591311,0.77109277,3.31546658,0.04899913,0.71892161,1.78899045,1.08220666,0.36359316,0.00000000
-0.44722361,5.64766256,0.77759158,3.28108553,0.04910327,0.71596238,1.79030283,1.07261919,0.36040096,0.00000000
-0.44122061,5.58285830,0.78178244,3.23937147,0.04894054,0.71008599,1.78444780,1.05876101,0.35603831,0.00000000
-0.43521761,5.50202726,0.78358921,3.19071723,0.04850618,0.70134709,1.77150359,1.04071112,0.35054246,0.00000000
-0.42921461,5.40592931,0.78295997,3.13555628,0.04780124,0.68986178,1.75167720,1.01864153,0.34396592,0.00000000
