energy_ev,total_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-4.76338169,2.45373979,0.52367067,0.00000000,0.00871712,1.05121999,1.32149616,0.74466924
-4.75737869,2.31544796,0.52638128,0.00000000,0.00861889,0.97359067,1.23458818,0.72791040
-4.75137569,2.18417907,0.53181763,0.00000000,0.00856681,0.89818123,1.15075326,0.71421917
-4.74537269,2.06195816,0.54017219,0.00000000,0.00856744,0.82601021,1.07113606,0.70404463
-4.73936968,1.95046296,0.55152798,0.00000000,0.00862587,0.75796859,0.99669388,0.69770886
-4.73336668,1.85099620,0.56585169,0.00000000,0.00874572,0.69480820,0.92818283,0.69539683
-4.72736368,1.76447169,0.58299103,0.00000000,0.00892911,0.63713524,0.86615152,0.69715131
-4.72136068,1.69141389,0.60267656,0.00000000,0.00917669,0.58540880,0.81094197,0.70287280
-4.71535768,1.63197040,0.62452804,0.00000000,0.00948781,0.53994386,0.76269728,0.71232465
-4.70935468,1.58593608,0.64806524,0.00000000,0.00986069,0.50091816,0.72137539,0.72514311
-4.70335168,1.55278730,0.67272293,0.00000000,0.01029263,0.46838238,0.68676793,0.74085180
-4.69734867,1.53172460,0.69786943,0.00000000,0.01078033,0.44227272,0.65852339,0.75888035
-4.69134567,1.52172146,0.72282835,0.00000000,0.01132016,0.42242526,0.63617321,0.77858605
-4.68534267,1.52157744,0.74690244,0.00000000,0.01190852,0.40859139,0.61916004,0.79927805
-4.67933967,1.52997320,0.76939886,0.00000000,0.01254210,0.40045345,0.60686681,0.82024297
-4.67333667,1.54552553,0.78965479,0.00000000,0.01321825,0.39764031,0.59864578,0.84077092
-4.66733367,1.56684047,0.80706249,0.00000000,0.01393525,0.39974208,0.59384647,0.86018106
-4.66133067,1.59256261,0.82109270,0.00000000,0.01469252,0.40632378,0.59184176,0.87784565
-4.65532766,1.62141944,0.83131561,0.00000000,0.01549087,0.41693770,0.59205132,0.89321175
-4.64932466,1.65225922,0.83741854,0.00000000,0.01633260,0.43113401,0.59396191,0.90581981
-4.64332166,1.68408177,0.83921971,0.00000000,0.01722164,0.44846991,0.59714395,0.91531858
-4.63731866,1.71606165,0.83667765,0.00000000,0.01816350,0.46851697,0.60126416,0.92147594
-4.63131566,1.74756331,0.82989597,0.00000000,0.01916533,0.49086689,0.60609407,0.92418531
-4.62531266,1.77814860,0.81912346,0.00000000,0.02023572,0.51513564,0.61151426,0.92346778
-4.61930965,1.80757674,0.80474971,0.00000000,0.02138466,0.54096618,0.61751452,0.91946996
-4.61330665,1.83579760,0.78729651,0.00000000,0.02262330,0.56802987,0.62419001,0.91245792
-4.60730365,1.86293876,0.76740554,0.00000000,0.02396374,0.59602666,0.63173373,0.90280775
-4.60130065,1.88928753,0.74582301,0.00000000,0.02541879,0.62468420,0.64042563,0.89099317
-4.59529765,1.91526877,0.72338180,0.00000000,0.02700170,0.65375606,0.65061876,0.87757082
-4.58929465,1.94141947,0.70098190,0.00000000,0.02872592,0.68301922,0.66272302,0.86316404
-4.58329165,1.96836118,0.67956973,0.00000000,0.03060478,0.71227078,0.67718683,0.84844551
-4.57728864,1.99677113,0.66011699,0.00000000,0.03265124,0.74132430,0.69447756,0.83411951
-4.57128564,2.02735296,0.64359964,0.00000000,0.03487761,0.77000573,0.71506091,0.82090423
-4.56528264,2.06080771,0.63097724,0.00000000,0.03729527,0.79814913,0.73938019,0.80951453
-4.55927964,2.09780579,0.62317316,0.00000000,0.03991441,0.82559240,0.76783573,0.80064547
-4.55327664,2.13896050,0.62105576,0.00000000,0.04274373,0.85217321,0.80076528,0.79495683
-4.54727364,2.18480343,0.62542062,0.00000000,0.04579017,0.87772523,0.83842570,0.79305866
-4.54127064,2.23576228,0.63697398,0.00000000,0.04905857,0.90207501,0.88097665,0.79549814
-4.53526763,2.29214133,0.65631729,0.00000000,0.05255141,0.92503961,0.92846662,0.80274745
-4.52926463,2.35410485,0.68393291,0.00000000,0.05626841,0.94642520,0.98082189,0.81519291
-4.52326163,2.42166381,0.72017101,0.00000000,0.06020623,0.96602680,1.03783865,0.83312534
-4.51725863,2.49466596,0.76523775,0.00000000,0.06435804,0.98362927,1.09917875,0.85673153
-4.51125563,2.57278966,0.81918484,0.00000000,0.06871320,0.99900959,1.16436918,0.88608717
-4.50525263,2.65554164,0.88190086,0.00000000,0.07325687,1.01194054,1.23280557,0.92115115
-4.49924962,2.74225876,0.95310452,0.00000000,0.07796965,1.02219551,1.30375956,0.96176148
-4.49324662,2.83211402,1.03234034,0.00000000,0.08282728,1.02955451,1.37639015,1.00763320
-4.48724362,2.92412682,1.11897723,0.00000000,0.08780039,1.03381102,1.44975871,1.05835829
-4.48124062,3.01717740,1.21221030,0.00000000,0.09285437,1.03477942,1.52284730,1.11340816
-4.47523762,3.11002548,1.31106657,0.00000000,0.09794928,1.03230275,1.59458004,1.17213866
-4.46923462,3.20133271,1.41441463,0.00000000,0.10303998,1.02626022,1.66384666,1.23379804
-4.46323162,3.28968864,1.52097890,0.00000000,0.10807639,1.01657431,1.72952785,1.29753792
-4.45722861,3.37363973,1.62935822,0.00000000,0.11300395,1.00321693,1.79052157,1.36242720
-4.45122561,3.45172077,1.73804907,0.00000000,0.11776423,0.98621433,1.84576948,1.42746897
-4.44522261,3.52248799,1.84547287,0.00000000,0.12229583,0.96565045,1.89428275,1.49162009
