energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-3.82091046,1.22057372,0.48642587,0.00663009,0.78329604,0.32983418,0.00192725,0.48802164
-3.81490745,1.24163018,0.49928555,0.00683092,0.78848948,0.33598556,0.00196405,0.48947035
-3.80890445,1.25608499,0.50984800,0.00700101,0.78885465,0.34041841,0.00199634,0.48773298
-3.80290145,1.26385303,0.51800862,0.00713821,0.78447299,0.34311355,0.00202516,0.48287632
-3.79689845,1.26498011,0.52370705,0.00724084,0.77552616,0.34408797,0.00205198,0.47503067
-3.79089545,1.25964151,0.52692907,0.00730777,0.76229038,0.34339467,0.00207871,0.46438530
-3.78489245,1.24813718,0.52770758,0.00733845,0.74512803,0.34112161,0.00210768,0.45118213
-3.77888944,1.23088382,0.52612257,0.00733287,0.72447678,0.33738986,0.00214163,0.43570782
-3.77288644,1.20840435,0.52230003,0.00729165,0.70083693,0.33235083,0.00218364,0.41828487
-3.76688344,1.18131507,0.51640989,0.00721598,0.67475737,0.32618293,0.00223711,0.39926190
-3.76088044,1.15031092,0.50866302,0.00710762,0.64682079,0.31908759,0.00230568,0.37900375
-3.75487744,1.11614944,0.49930721,0.00696889,0.61762854,0.31128470,0.00239314,0.35788160
-3.74887444,1.07963369,0.48862234,0.00680260,0.58778587,0.30300781,0.00250338,0.33626365
-3.74287144,1.04159459,0.47691466,0.00661203,0.55788765,0.29449882,0.00264024,0.31450657
-3.73686843,1.00287319,0.46451038,0.00640084,0.52850535,0.28600267,0.00280741,0.29294796
-3.73086543,0.96430298,0.45174856,0.00617303,0.50017513,0.27776175,0.00300831,0.27190016
-3.72486243,0.92669278,0.43897359,0.00593285,0.47338754,0.27001043,0.00324595,0.25164528
-3.71885943,0.89081039,0.42652720,0.00568472,0.44857886,0.26296965,0.00352282,0.23243169
-3.71285643,0.85736736,0.41474048,0.00543314,0.42612414,0.25684171,0.00384068,0.21447187
-3.70685343,0.82700506,0.40392576,0.00518263,0.40633183,0.25180539,0.00420052,0.19794143
-3.70085043,0.80028252,0.39436900,0.00493760,0.38944032,0.24801163,0.00460239,0.18297946
-3.69484742,0.77766602,0.38632254,0.00470233,0.37561586,0.24557966,0.00504527,0.16968968
-3.68884442,0.75952102,0.37999877,0.00448084,0.36495222,0.24459396,0.00552706,0.15814257
