energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Y_p_up,Y_d_up
-5.66383192,0.76972567,0.00292692,0.00464076,0.01664309,0.54348394,0.12023377,0.03249912
-5.65782891,0.70165726,0.00264827,0.00423425,0.01507578,0.49552087,0.10935153,0.02999718
-5.65182591,0.63875150,0.00238765,0.00387027,0.01361080,0.45116379,0.09923508,0.02775370
-5.64582291,0.58153919,0.00214748,0.00355145,0.01225919,0.41079071,0.08997004,0.02579312
-5.63981991,0.53041752,0.00192975,0.00327956,0.01102911,0.37468530,0.08162176,0.02413402
-5.63381691,0.48565222,0.00173607,0.00305558,0.00992592,0.34303829,0.07423568,0.02278907
-5.62781391,0.44738243,0.00156765,0.00287974,0.00895232,0.31595079,0.06783817,0.02176505
-5.62181091,0.41562754,0.00142537,0.00275152,0.00810850,0.29343901,0.06243765,0.02106292
-5.61580790,0.39029575,0.00130977,0.00266977,0.00739240,0.27544026,0.05802599,0.02067804
-5.60980490,0.37119379,0.00122115,0.00263271,0.00679992,0.26181983,0.05458002,0.02060035
-5.60380190,0.35803756,0.00115952,0.00263801,0.00632520,0.25237841,0.05206325,0.02081466
-5.59779890,0.35046327,0.00112469,0.00268288,0.00596089,0.24686006,0.05042751,0.02130101
-5.59179590,0.34803906,0.00111627,0.00276408,0.00569839,0.24496038,0.04961469,0.02203508
-5.58579290,0.35027665,0.00113366,0.00287804,0.00552817,0.24633486,0.04955845,0.02298860
-5.57978989,0.35664331,0.00117611,0.00302090,0.00544000,0.25060734,0.05018582,0.02412993
-5.57378689,0.36657376,0.00124270,0.00318864,0.00542324,0.25737848,0.05141883,0.02542464
-5.56778389,0.37948220,0.00133232,0.00337711,0.00546706,0.26623435,0.05317607,0.02683617
-5.56178089,0.39477434,0.00144373,0.00358221,0.00556074,0.27675499,0.05537425,0.02832662
-5.55577789,0.41185951,0.00157548,0.00379991,0.00569385,0.28852300,0.05792965,0.02985751
-5.54977489,0.43016262,0.00172600,0.00402641,0.00585653,0.30113206,0.06075967,0.03139065
-5.54377189,0.44913606,0.00189358,0.00425824,0.00603968,0.31419537,0.06378426,0.03288905
-5.53776888,0.46827115,0.00207636,0.00449237,0.00623522,0.32735383,0.06692738,0.03431783
-5.53176588,0.48710917,0.00227240,0.00472629,0.00643621,0.34028380,0.07011844,0.03564510
-5.52576288,0.50525150,0.00247973,0.00495811,0.00663709,0.35270439,0.07329365,0.03684281
-5.51975988,0.52236869,0.00269634,0.00518665,0.00683379,0.36438379,0.07639733,0.03788751
-5.51375688,0.53820803,0.00292033,0.00541146,0.00702386,0.37514476,0.07938302,0.03876103
-5.50775388,0.55259942,0.00314989,0.00563285,0.00720652,0.38486869,0.08221453,0.03945099
-5.50175088,0.56545901,0.00338346,0.00585191,0.00738274,0.39349832,0.08486670,0.03995111
-5.49574787,0.57679061,0.00361971,0.00607046,0.00755518,0.40103863,0.08732594,0.04026142
-5.48974487,0.58668429,0.00385771,0.00629096,0.00772815,0.40755599,0.08959044,0.04038817
-5.48374187,0.59531239,0.00409691,0.00651643,0.00790742,0.41317527,0.09167008,0.04034359
-5.47773887,0.60292258,0.00433723,0.00675033,0.00810013,0.41807501,0.09358597,0.04014537
-5.47173587,0.60982822,0.00457908,0.00699635,0.00831446,0.42248059,0.09536956,0.03981608
-5.46573287,0.61639605,0.00482336,0.00725830,0.00855939,0.42665551,0.09706145,0.03938223
-5.45972986,0.62303167,0.00507145,0.00753985,0.00884431,0.43089116,0.09870981,0.03887337
-5.45372686,0.63016299,0.00532514,0.00784434,0.00917870,0.43549505,0.10036847,0.03832093
-5.44772386,0.63822235,0.00558657,0.00817462,0.00957170,0.44077815,0.10209476,0.03775706
-5.44172086,0.64762783,0.00585811,0.00853277,0.01003169,0.44704163,0.10394718,0.03721347
-5.43571786,0.65876444,0.00614226,0.00892002,0.01056588,0.45456343,0.10598289,0.03672026
-5.42971486,0.67196589,0.00644147,0.00933650,0.01117993,0.46358534,0.10825528,0.03630479
-5.42371186,0.68749778,0.00675801,0.00978120,0.01187760,0.47430098,0.11081155,0.03599076
-5.41770885,0.70554291,0.00709380,0.01025184,0.01266043,0.48684523,0.11369059,0.03579734
-5.41170585,0.72618931,0.00745024,0.01074488,0.01352752,0.50128577,0.11692106,0.03573855
-5.40570285,0.74942192,0.00782813,0.01125548,0.01447541,0.51761689,0.12051993,0.03582285
-5.39969985,0.77511805,0.00822747,0.01177763,0.01549800,0.53575632,0.12449153,0.03605298
-5.39369685,0.80304737,0.00864747,0.01230424,0.01658661,0.55554500,0.12882706,0.03642599
-5.38769385,0.83287641,0.00908643,0.01282731,0.01773018,0.57675019,0.13350479,0.03693358
-5.38169085,0.86417768,0.00954180,0.01333814,0.01891555,0.59907190,0.13849076,0.03756267
-5.37568784,0.89644328,0.01001018,0.01382763,0.02012780,0.62215242,0.14374014,0.03829614
-5.36968484,0.92910246,0.01048744,0.01428652,0.02135083,0.64558880,0.14919905,0.03911383
-5.36368184,0.96154280,0.01096882,0.01470572,0.02256784,0.66894783,0.15480686,0.03999368
-5.35767884,0.99313392,0.01144911,0.01507665,0.02376202,0.69178295,0.16049891,0.04091293
-5.35167584,1.02325309,0.01192282,0.01539157,0.02491721,0.71365245,0.16620930,0.04184948
-5.34567284,1.05131146,0.01238440,0.01564386,0.02601859,0.73413823,0.17187396,0.04278319
-5.33966983,1.07677999,0.01282841,0.01582835,0.02705336,0.75286428,0.17743355,0.04369718
-5.33366683,1.09921373,0.01324977,0.01594159,0.02801136,0.76951418,0.18283624,0.04457904
-5.32766383,1.11827354,0.01364390,0.01598202,0.02888561,0.78384658,0.18804012,0.04542189
-5.32166083,1.13374420,0.01400688,0.01595015,0.02967281,0.79570833,0.19301525,0.04622521
-5.31565783,1.14554789,0.01433561,0.01584865,0.03037363,0.80504422,0.19774518,0.04699553
-5.30965483,1.15375266,0.01462785,0.01568237,0.03099291,0.81190315,0.20222787,0.04774675
-5.30365183,1.15857518,0.01488227,0.01545828,0.03153972,0.81644024,0.20647603,0.04850023
-5.29764882,1.16037768,0.01509848,0.01518535,0.03202720,0.81891481,0.21051688,0.04928456
-5.29164582,1.15965914,0.01527696,0.01487432,0.03247230,0.81968419,0.21439130,0.05013499
-5.28564282,1.15704106,0.01541901,0.01453747,0.03289534,0.81919362,0.21815255,0.05109260
-5.27963982,1.15324817,0.01552666,0.01418826,0.03331940,0.81796256,0.22186445,0.05220314
-5.27363682,1.14908508,0.01560253,0.01384095,0.03376966,0.81656796,0.22559931,0.05351561
-5.26763382,1.14540951,0.01564972,0.01351019,0.03427258,0.81562512,0.22943559,0.05508066
-5.26163082,1.14310327,0.01567171,0.01321055,0.03485500,0.81576684,0.23345542,0.05694878
-5.25562781,1.14304203,0.01567218,0.01295608,0.03554325,0.81762163,0.23774206,0.05916836
-5.24962481,1.14606495,0.01565494,0.01275987,0.03636222,0.82179181,0.24237741,0.06178373
-5.24362181,1.15294534,0.01562383,0.01263358,0.03733442,0.82883226,0.24743959,0.06483322
-5.23761881,1.16436325,0.01558261,0.01258709,0.03847914,0.83923051,0.25300070,0.06834721
-5.23161581,1.18088107,0.01553491,0.01262813,0.03981164,0.85338899,0.25912479,0.07234648
-5.22561281,1.20292279,0.01548418,0.01276200,0.04134249,0.87160980,0.26586593,0.07684064
-5.21960980,1.23075773,0.01543362,0.01299139,0.04307701,0.89408276,0.27326666,0.08182693
-5.21360680,1.26448917,0.01538617,0.01331624,0.04501484,0.92087694,0.28135654,0.08728935
-5.20760380,1.30404811,0.01534446,0.01373371,0.04714970,0.95193589,0.29015098,0.09319815
-5.20160080,1.34919258,0.01531077,0.01423822,0.04946935,0.98707695,0.29965037,0.09950980
-5.19559780,1.39951227,0.01528702,0.01482167,0.05195561,1.02599432,0.30983933,0.10616734
-5.18959480,1.45443830,0.01527469,0.01547360,0.05458471,1.06826604,0.32068634,0.11310128
-5.18359180,1.51325800,0.01527478,0.01618155,0.05732768,1.11336454,0.33214359,0.12023085
-5.17758879,1.57513389,0.01528777,0.01693145,0.06015100,1.16067032,0.34414715,0.12746575
-5.17158579,1.63912654,0.01531357,0.01770805,0.06301729,1.20948854,0.35661750,0.13470817
-5.16558279,1.70422027,0.01535141,0.01849543,0.06588621,1.25906767,0.36946034,0.14185523
-5.15957979,1.76935101,0.01539989,0.01927748,0.06871541,1.30861989,0.38256790,0.14880155
-5.15357679,1.83343536,0.01545688,0.02003847,0.07146154,1.35734226,0.39582046,0.15544198
-5.14757379,1.89539976,0.01551953,0.02076348,0.07408135,1.40443820,0.40908842,0.16167438
-5.14157079,1.95420891,0.01558429,0.02143889,0.07653270,1.44913838,0.42223457,0.16740231
-5.13556778,2.00889249,0.01564695,0.02205284,0.07877561,1.49072040,0.43511670,0.17253757
-5.12956478,2.05856907,0.01570273,0.02259548,0.08077323,1.52852656,0.44759051,0.17700248
-5.12356178,2.10246675,0.01574635,0.02305929,0.08249269,1.56197914,0.45951256,0.18073177
-5.11755878,2.13993959,0.01577220,0.02343923,0.08390588,1.59059273,0.47074329,0.18367412
-5.11155578,2.17047944,0.01577448,0.02373278,0.08499004,1.61398319,0.48115004,0.18579319
-5.10555278,2.19372295,0.01574742,0.02393993,0.08572819,1.63187308,0.49060977,0.18706816
-5.09954977,2.20945348,0.01568543,0.02406301,0.08610944,1.64409337,0.49901157,0.18749382
-5.09354677,2.21759823,0.01558334,0.02410648,0.08612909,1.65058166,0.50625875,0.18708009
-5.08754377,2.21822069,0.01543660,0.02407661,0.08578855,1.65137694,0.51227039,0.18585119
-5.08154077,2.21150913,0.01524146,0.02398110,0.08509514,1.64661150,0.51698245,0.18384427
-5.07553777,2.19776164,0.01499511,0.02382869,0.08406168,1.63650020,0.52034820,0.18110792
-5.06953477,2.17736865,0.01469589,0.02362865,0.08270603,1.62132791,0.52233819,0.17770022
-5.06353177,2.15079371,0.01434331,0.02339038,0.08105047,1.60143569,0.52293961,0.17368676
-5.05752876,2.11855372,0.01393817,0.02312296,0.07912098,1.57720645,0.52215531,0.16913859
-5.05152576,2.08119927,0.01348253,0.02283472,0.07694656,1.54905065,0.52000240,0.16413010
-5.04552276,2.03929635,0.01297971,0.02253297,0.07455845,1.51739301,0.51651068,0.15873713
-5.03951976,1.99341004,0.01243419,0.02222363,0.07198941,1.48266053,0.51172105,0.15303518
