energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Sc_p_up,Sc_p_down,Sc_d_up,Sc_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
0.86143072,3.66839364,-4.13287254,0.02474586,-0.02913102,0.13606190,-0.06707121,1.01802742,-1.05827098,1.54464181,-1.69950675,1.15092149,-1.56050931,1.69253114,-2.06723235,0.32808522,-0.29668696,0.00000000,-0.00000000
0.86743372,3.62786002,-4.16357449,0.02521326,-0.02884042,0.13456561,-0.07065666,0.99551944,-1.06756888,1.51271615,-1.71760580,1.15905480,-1.55735214,1.69029468,-2.07253224,0.32259512,-0.30629217,0.00000000,-0.00000000
0.87343672,3.57948193,-4.18606267,0.02562196,-0.02848300,0.13286576,-0.07451682,0.97164114,-1.07545397,1.47778140,-1.73389365,1.16435392,-1.54856009,1.68459640,-2.07136366,0.31621156,-0.31598093,0.00000000,-0.00000000
0.87943972,3.52379453,-4.20018293,0.02596917,-0.02806254,0.13100897,-0.07863496,0.94664286,-1.08193198,1.44025246,-1.74816699,1.16663436,-1.53415777,1.67540817,-2.06376292,0.30904876,-0.32565686,0.00000000,-0.00000000
0.88544272,3.46142795,-4.20596539,0.02625463,-0.02758407,0.12904192,-0.08298909,0.92077167,-1.08703002,1.40058419,-1.76027355,1.16574922,-1.51430904,1.66273068,-2.04989982,0.30123585,-0.33521951,0.00000000,-0.00000000
0.89144572,3.39308038,-4.20362106,0.02648078,-0.02705378,0.12700953,-0.08755178,0.89426357,-1.09079286,1.35925765,-1.77011608,1.16158743,-1.48931340,1.64658547,-2.03007273,0.29291261,-0.34456552,0.00000000,-0.00000000
0.89744872,3.31949287,-4.19353188,0.02665295,-0.02647893,0.12495325,-0.09229023,0.86733714,-1.09327884,1.31676684,-1.77765408,1.15407251,-1.45959702,1.62700871,-2.00469955,0.28422521,-0.35358968,0.00000000,-0.00000000
0.90345173,3.24142674,-4.17623460,0.02677939,-0.02586780,0.12290948,-0.09716639,0.84018862,-1.09455561,1.27360637,-1.78290294,1.14316201,-1.42569921,1.60404710,-1.97430507,0.27532189,-0.36218590,0.00000000,-0.00000000
0.90945473,3.15964451,-4.15239963,0.02687124,-0.02522956,0.12090828,-0.10213724,0.81298867,-1.09469605,1.23026044,-1.78593077,1.12884767,-1.38825485,1.57775601,-1.93950531,0.26634906,-0.37024824,0.00000000,-0.00000000
0.91545773,3.07489478,-4.12280565,0.02694244,-0.02457412,0.11897240,-0.10715540,0.78588087,-1.09377446,1.18719356,-1.78685308,1.11115633,-1.34797359,1.54819994,-1.90098951,0.25744765,-0.37767197,0.00000000,-0.00000000
