energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up
-5.52576288,5.54381106,0.06947781,0.51969889,1.19356562,0.67135122,1.14786293,0.69468464,0.05055274,2.26068659
-5.51975988,5.54907470,0.06977488,0.52155825,1.19581097,0.67572734,1.14924178,0.69285917,0.05004820,2.26053582
-5.51375688,5.53289213,0.06977120,0.52100312,1.19261592,0.67694809,1.14580982,0.68883462,0.04967958,2.25229887
-5.50775388,5.49478908,0.06945488,0.51799678,1.18393270,0.67497329,1.13778992,0.68241858,0.04939899,2.23579812
-5.50175088,5.43482197,0.06881996,0.51255186,1.16983271,0.66983126,1.12552794,0.67348120,0.04915930,2.21107616
-5.49574787,5.35358561,0.06786662,0.50473043,1.15050708,0.66161828,1.10948441,0.66196131,0.04891572,2.17839967
-5.48974487,5.25220215,0.06660120,0.49464226,1.12626370,0.65049569,1.09022213,0.64787017,0.04862722,2.13825519
-5.48374187,5.13229200,0.06503604,0.48244164,1.09752039,0.63668486,1.06839031,0.63129273,0.04825771,2.09133747
-5.47773887,4.99592810,0.06318929,0.46832259,1.06479492,0.62046027,1.04470561,0.61238653,0.04777700,2.03853063
-5.47173587,4.84557557,0.06108446,0.45251296,1.02869192,0.60214085,1.01993094,0.59137828,0.04716153,1.98088315
-5.46573287,4.68401936,0.05874992,0.43526744,0.98988729,0.58208010,0.99485272,0.56855837,0.04639479,1.91957772
-5.45972986,4.51428297,0.05621828,0.41685991,0.94911067,0.56065524,0.97025744,0.54427355,0.04546759,1.85589717
-5.45372686,4.33954127,0.05352566,0.39757540,0.90712653,0.53825602,0.94690840,0.51891820,0.04437804,1.79118776
-5.44772386,4.16303117,0.05071090,0.37770199,0.86471461,0.51527336,0.92552339,0.49292445,0.04313128,1.72682136
-5.44172086,3.98796306,0.04781479,0.35752297,0.82265023,0.49208856,0.90675410,0.46675156,0.04173912,1.66415778
-5.43571786,3.81743644,0.04487914,0.33730956,0.78168524,0.46906318,0.89116792,0.44087507,0.04021946,1.60450859
-5.42971486,3.65436239,0.04194601,0.31731439,0.74253008,0.44653013,0.87923262,0.41577584,0.03859562,1.54910362
-5.42371186,3.50139517,0.03905686,0.29776603,0.70583742,0.42478616,0.87130448,0.39192952,0.03689555,1.49906108
-5.41770885,3.36087495,0.03625182,0.27886466,0.67218796,0.40408597,0.86761997,0.36979666,0.03515101,1.45536214
-5.41170585,3.23478266,0.03356898,0.26077900,0.64207854,0.38463802,0.86829119,0.34981362,0.03339677,1.41883050
-5.40570285,3.12470783,0.03104382,0.24364448,0.61591278,0.36660217,0.87330506,0.33238452,0.03166967,1.39011721
-5.39969985,3.03182931,0.02870866,0.22756270,0.59399454,0.35008904,0.88252605,0.31787425,0.03000786,1.36969095
-5.39369685,2.95690846,0.02659227,0.21260205,0.57652396,0.33516097,0.89570228,0.30660266,0.02844999,1.35783349
-5.38769385,2.90029396,0.02471959,0.19879934,0.56359629,0.32183447,0.91247448,0.29883975,0.02703442,1.35464006
-5.38169085,2.86193687,0.02311144,0.18616234,0.55520312,0.31008392,0.93238751,0.29480202,0.02579854,1.36002425
-5.37568784,2.84141440,0.02178447,0.17467296,0.55123601,0.29984625,0.95490391,0.29464966,0.02477810,1.37372673
-5.36968484,2.83796082,0.02075101,0.16429102,0.55149224,0.29102635,0.97941899,0.29848460,0.02400658,1.39532724
-5.36368184,2.85050360,0.02001914,0.15495816,0.55568236,0.28350299,1.00527692,0.30634928,0.02351461,1.42425920
-5.35767884,2.87770335,0.01959266,0.14660201,0.56343936,0.27713492,1.03178742,0.31822599,0.02332944,1.45982623
-5.35167584,2.91799584,0.01947116,0.13914016,0.57432921,0.27176697,1.05824263,0.33403677,0.02347438,1.50122015
-5.34567284,2.96963481,0.01965013,0.13248397,0.58786232,0.26723592,1.08393360,0.35364372,0.02396837,1.54753977
-5.33966983,3.03073465,0.02012101,0.12654203,0.60350591,0.26337600,1.10816634,0.37684988,0.02482550,1.59781014
-5.33366683,3.09931184,0.02087129,0.12122319,0.62069684,0.26002386,1.13027686,0.40340048,0.02605465,1.65100195
-5.32766383,3.17332486,0.02188461,0.11643906,0.63885470,0.25702298,1.14964511,0.43298483,0.02765913,1.70605084
-5.32166083,3.25071201,0.02314089,0.11210610,0.65739497,0.25422736,1.16570763,0.46523887,0.02963651,1.76187634
-5.31565783,3.32942713,0.02461639,0.10814710,0.67574185,0.25150464,1.17796861,0.49974845,0.03197844,1.81740049
-5.30965483,3.40747315,0.02628396,0.10449225,0.69334073,0.24873848,1.18600930,0.53605361,0.03467074,1.87156600
-5.30365183,3.48293356,0.02811321,0.10107977,0.70966988,0.24583038,1.18949571,0.57365389,0.03769357,1.92335392
-5.29764882,3.55400191,0.03007079,0.09785617,0.72425114,0.24270090,1.18818429,0.61201485,0.04102186,1.97180073
-5.29164582,3.61900944,0.03212078,0.09477617,0.73665950,0.23929032,1.18192574,0.65057578,0.04462590,2.01601478
-5.28564282,3.67645088,0.03422509,0.09180243,0.74653126,0.23555893,1.17066670,0.68875878,0.04847219,2.05519209
-5.27963982,3.72500828,0.03634407,0.08890512,0.75357063,0.23148684,1.15444939,0.72597902,0.05252453,2.08863102
-5.27363682,3.76357273,0.03843711,0.08606131,0.75755463,0.22707341,1.13340918,0.76165607,0.05674521,2.11574591
-5.26763382,3.79126352,0.04046339,0.08325442,0.75833607,0.22233647,1.10777009,0.79522622,0.06109648,2.13607916
-5.26163082,3.80744436,0.04238273,0.08047349,0.75584479,0.21731108,1.07783839,0.82615527,0.06554204,2.14931142
-5.25562781,3.81173593,0.04415643,0.07771264,0.75008690,0.21204822,1.04399436,0.85395155,0.07004861,2.15526958
-5.24962481,3.80402417,0.04574821,0.07497042,0.74114215,0.20661305,1.00668244,0.87817873,0.07458745,2.15393196
-5.24362181,3.78446350,0.04712510,0.07224924,0.72915958,0.20108303,0.96640007,0.89846773,0.07913574,2.14543045
-5.23761881,3.75347437,0.04825832,0.06955486,0.71435155,0.19554578,0.92368546,0.91452747,0.08367775,2.13004913
-5.23161581,3.71173441,0.04912411,0.06689589,0.69698624,0.19009672,0.87910463,0.92615359,0.08820566,2.10821893
-5.22561281,3.66016280,0.04970434,0.06428325,0.67737902,0.18483646,0.83323810,0.93323503,0.09272001,2.08050834
-5.21960980,3.59989756,0.04998711,0.06172974,0.65588284,0.17986808,0.78666761,0.93575771,0.09722968,2.04760993
-5.21360680,3.53226597,0.04996706,0.05924949,0.63287795,0.17529416,0.73996325,0.93380518,0.10175132,2.01032269
-5.20760380,3.45874816,0.04964557,0.05685750,0.60876117,0.17121380,0.69367133,0.92755603,0.10630832,1.96953066
-5.20160080,3.38093501,0.04903066,0.05456905,0.58393519,0.16771952,0.64830329,0.91727802,0.11092918,1.92617816
-5.19559780,3.30048113,0.04813673,0.05239920,0.55879803,0.16489425,0.60432605,0.90331903,0.11564552,1.88124229
-5.18959480,3.21905451,0.04698409,0.05036223,0.53373307,0.16280843,0.56215385,0.88609514,0.12048961,1.83570363
-5.18359180,3.13828458,0.04559827,0.04847109,0.50909984,0.16151733,0.52214189,0.86607642,0.12549175,1.79051615
-5.17758879,3.05971072,0.04400923,0.04673689,0.48522589,0.16105877,0.48458186,0.84377081,0.13067742,1.74657743
-5.17158579,2.98473321,0.04225034,0.04516848,0.46240000,0.16145120,0.44969929,0.81970701,0.13606455,1.70470039
-5.16558279,2.91456894,0.04035742,0.04377208,0.44086679,0.16269246,0.41765284,0.79441700,0.14166100,1.66558800
-5.15957979,2.85021399,0.03836763,0.04255105,0.42082304,0.16475916,0.38853537,0.76841905,0.14746236,1.62981174
-5.15357679,2.79241475,0.03631838,0.04150582,0.40241573,0.16760676,0.36237675,0.74220200,0.15345034,1.59779524
-5.14757379,2.74164935,0.03424636,0.04063399,0.38574178,0.17117050,0.33914805,0.71621150,0.15959178,1.56980375
-5.14157079,2.69812026,0.03218657,0.03993061,0.37084973,0.17536717,0.31876720,0.69083873,0.16583844,1.54593999
-5.13556778,2.66175878,0.03017155,0.03938873,0.35774289,0.18009763,0.30110554,0.66641218,0.17212762,1.52614680
-5.12956478,2.63224117,0.02823065,0.03900006,0.34638431,0.18525007,0.28599531,0.64319263,0.17838350,1.51021637
-5.12356178,2.60901585,0.02638959,0.03875596,0.33670288,0.19070398,0.27323761,0.62137148,0.18451933,1.49780573
-5.11755878,2.59134034,0.02467007,0.03864852,0.32860075,0.19633458,0.26261062,0.60107228,0.19044027,1.48845763
-5.11155578,2.57832611,0.02308957,0.03867187,0.32196149,0.20201763,0.25387781,0.58235528,0.19604672,1.48162594
-5.10555278,2.56898917,0.02166137,0.03882351,0.31665879,0.20763436,0.24679586,0.56522441,0.20123804,1.47670410
-5.09954977,2.56230362,0.02039456,0.03910584,0.31256536,0.21307637,0.24112210,0.54963628,0.20591638,1.47305519
-5.09354677,2.55725574,0.01929432,0.03952760,0.30956165,0.21825023,0.23662120,0.53551050,0.20999054,1.47004218
-5.08754377,2.55289559,0.01836217,0.04010525,0.30754398,0.22308159,0.23307093,0.52274073,0.21337943,1.46705680
-5.08154077,2.54838380,0.01759633,0.04086428,0.30643194,0.22751859,0.23026696,0.51120560,0.21601522,1.46354550
-5.07553777,2.54303120,0.01699213,0.04184027,0.30617452,0.23153447,0.22802649,0.50077918,0.21784574,1.45903148
-5.06953477,2.53632945,0.01654239,0.04307966,0.30675494,0.23512910,0.22619073,0.49134022,0.21883623,1.45313175
-5.06353177,2.52797154,0.01623784,0.04464021,0.30819390,0.23832954,0.22462627,0.48277983,0.21897023,1.44556853
-5.05752876,2.51786138,0.01606753,0.04659100,0.31055102,0.24118934,0.22322537,0.47500732,0.21824961,1.43617482
-5.05152576,2.50611234,0.01601917,0.04901194,0.31392460,0.24378691,0.22190524,0.46795405,0.21669386,1.42489414
-5.04552276,2.49303548,0.01607948,0.05199278,0.31844953,0.24622267,0.22060655,0.46157513,0.21433857,1.41177483
-5.03951976,2.47911816,0.01623451,0.05563155,0.32429346,0.24861541,0.21929125,0.45584931,0.21123335,1.39695960
-5.03351676,2.46499483,0.01646988,0.06003238,0.33165130,0.25109769,0.21793985,0.45077698,0.20743922,1.38067125
-5.02751376,2.45141142,0.01677105,0.06530277,0.34073820,0.25381073,0.21654852,0.44637687,0.20302580,1.36319562
-5.02151076,2.43918561,0.01712355,0.07155027,0.35178130,0.25689880,0.21512593,0.44268147,0.19806835,1.34486281
-5.01550775,2.42916472,0.01751312,0.07887871,0.36501033,0.26050336,0.21369026,0.43973189,0.19264476,1.32602802
-5.00950475,2.42218353,0.01792596,0.08738389,0.38064740,0.26475727,0.21226627,0.43757222,0.18683295,1.30705285
-5.00350175,2.41902361,0.01834885,0.09714910,0.39889635,0.26977909,0.21088279,0.43624404,0.18070843,1.28828812
-4.99749875,2.42037608,0.01876934,0.10824036,0.41993185,0.27566783,0.20957044,0.43578122,0.17434241,1.27005905
-4.99149575,2.42680911,0.01917582,0.12070167,0.44388867,0.28249839,0.20835985,0.43620538,0.16780032,1.25265320
-4.98549275,2.43874130,0.01955771,0.13455045,0.47085157,0.29031764,0.20728031,0.43752226,0.16114087,1.23631169
-4.97948974,2.45642188,0.01990553,0.14977340,0.50084604,0.29914156,0.20635877,0.43971914,0.15441563,1.22122382
-4.97348674,2.47991828,0.02021096,0.16632294,0.53383042,0.30895345,0.20561929,0.44276338,0.14766900,1.20752505
-4.96748374,2.50911137,0.02046696,0.18411449,0.56968976,0.31970334,0.20508282,0.44660232,0.14093856,1.19529825
-4.96148074,2.54369849,0.02066772,0.20302480,0.60823175,0.33130868,0.20476732,0.45116428,0.13425573,1.18457783
-4.95547774,2.58320421,0.02080876,0.22289156,0.64918513,0.34365642,0.20468807,0.45636081,0.12764657,1.17535647
-4.94947474,2.62699829,0.02088682,0.24351431,0.69220088,0.35660633,0.20485833,0.46209006,0.12113273,1.16759394
-4.94347174,2.67432047,0.02089991,0.26465694,0.73685622,0.36999575,0.20529005,0.46824103,0.11473234,1.16122757
-4.93746873,2.72431133,0.02084716,0.28605164,0.78266180,0.38364538,0.20599490,0.47469867,0.10846087,1.15618388
-4.93146573,2.77604806,0.02072882,0.30740437,0.82907181,0.39736626,0.20698537,0.48134954,0.10233188,1.15239079
-4.92546273,2.82858432,0.02054612,0.32840176,0.87549696,0.41096748,0.20827598,0.48808775,0.09635758,1.14979007
-4.91945973,2.88099239,0.02030118,0.34871917,0.92132002,0.42426446,0.20988471,0.49482100,0.09054928,1.14834937
-4.91345673,2.93240639,0.01999694,0.36802972,0.96591338,0.43708749,0.21183434,0.50147637,0.08491757,1.14807334
-4.90745373,2.98206462,0.01963701,0.38601397,1.00865815,0.44929010,0.21415398,0.50800554,0.07947249,1.14901347
-4.90145073,3.02934911,0.01922561,0.40236980,1.04896386,0.46075692,0.21688042,0.51438917,0.07422342,1.15127594
-4.89544772,3.07382060,0.01876745,0.41682219,1.08628820,0.47141062,0.22005938,0.52064013,0.06917903,1.15502717
-4.88944472,3.11524691,0.01826768,0.42913237,1.12015566,0.48121746,0.22374652,0.52680528,0.06434708,1.16049654
-4.88344172,3.15362303,0.01773175,0.43910600,1.15017435,0.49019121,0.22800809,0.53296563,0.05973426,1.16797585
-4.87743872,3.18918126,0.01716537,0.44659996,1.17605009,0.49839505,0.23292104,0.53923477,0.05534595,1.17781526
-4.87143572,3.22239059,0.01657445,0.45152741,1.19759703,0.50594125,0.23857255,0.54575529,0.05118617,1.19041552
-4.86543272,3.25394420,0.01596496,0.45386088,1.21474421,0.51298855,0.24505885,0.55269351,0.04725742,1.20621646
-4.85942971,3.28473543,0.01534291,0.45363328,1.22753762,0.51973718,0.25248318,0.56023241,0.04356065,1.22568179
-4.85342671,3.31582243,0.01471423,0.45093670,1.23613756,0.52642164,0.26095303,0.56856312,0.04009533,1.24928073
-4.84742371,3.34838283,0.01408474,0.44591903,1.24081147,0.53330157,0.27057648,0.57787522,0.03685946,1.27746690
-4.84142071,3.38366022,0.01345998,0.43877872,1.24192238,0.54065103,0.28145784,0.58834638,0.03384972,1.31065526
-4.83541771,3.42290478,0.01284524,0.42975773,1.23991361,0.54874662,0.29369276,0.60013177,0.03106159,1.34919818
-4.82941471,3.46731099,0.01224538,0.41913314,1.23529052,0.55785516,0.30736288,0.61335377,0.02848951,1.39336164
-4.82341171,3.51795558,0.01166485,0.40720784,1.22860009,0.56822134,0.32253045,0.62809263,0.02612705,1.44330287
-4.81740870,3.57573902,0.01110757,0.39430065,1.22040960,0.58005622,0.33923302,0.64437859,0.02396704,1.49905071
-4.81140570,3.64133391,0.01057694,0.38073638,1.21128528,0.59352699,0.35747880,0.66218593,0.02200172,1.56048990
-4.80540270,3.71514316,0.01007579,0.36683637,1.20177224,0.60874872,0.37724265,0.68142944,0.02022287,1.62735045
-4.79939970,3.79727079,0.00960640,0.35290974,1.19237646,0.62577853,0.39846342,0.70196357,0.01862190,1.69920304
-4.79339670,3.88750697,0.00917056,0.33924585,1.18354996,0.64461250,0.42104254,0.72358446,0.01718995,1.77546110
-4.78739370,3.98532866,0.00876953,0.32610815,1.17567956,0.66518558,0.44484432,0.74603485,0.01591797,1.85538989
-4.78139070,4.08991615,0.00840421,0.31372972,1.16907988,0.68737455,0.46969789,0.76901168,0.01479680,1.93812254
-4.77538769,4.20018456,0.00807519,0.30231039,1.16399063,0.71100380,0.49540090,0.79217620,0.01381723,2.02268262
-4.76938469,4.31482909,0.00778284,0.29201555,1.16057803,0.73585371,0.52172482,0.81516594,0.01297009,2.10801236
-4.76338169,4.43238120,0.00752742,0.28297656,1.15894018,0.76167118,0.54842166,0.83760814,0.01224629,2.19300533
-4.75737869,4.55127286,0.00730923,0.27529246,1.15911561,0.78818160,0.57523172,0.85913379,0.01163697,2.27654204
-4.75137569,4.66990503,0.00712864,0.26903270,1.16109420,0.81510169,0.60189208,0.87939172,0.01113350,2.35752668
-4.74537269,4.78671649,0.00698625,0.26424078,1.16482980,0.84215240,0.62814532,0.89806181,0.01072764,2.43492324
-4.73936968,4.90024891,0.00688292,0.26093818,1.17025316,0.86907115,0.65374790,0.91486671,0.01041159,2.50778891
-4.73336668,5.00920456,0.00681982,0.25912851,1.17728466,0.89562268,0.67847789,0.92958145,0.01017808,2.57530322
-4.72736368,5.11249318,0.00679844,0.25880137,1.18584550,0.92160798,0.70214149,0.94204035,0.01002044,2.63679128
-4.72136068,5.20926561,0.00682058,0.25993580,1.19586696,0.94687068,0.72457795,0.95214089,0.00993262,2.69173987
-4.71535768,5.29893241,0.00688832,0.26250306,1.20729691,0.97130082,0.74566277,0.95984443,0.00990926,2.73980584
-4.70935468,5.38116694,0.00700391,0.26646853,1.22010338,0.99483559,0.76530892,0.96517372,0.00994568,2.78081629
-4.70335168,5.45589320,0.00716969,0.27179288,1.23427515,1.01745743,0.78346617,0.96820745,0.01003785,2.81476108
-4.69734867,5.52326010,0.00738796,0.27843225,1.24981937,1.03918952,0.80011863,0.96907228,0.01018237,2.84177825
-4.69134567,5.58360447,0.00766083,0.28633787,1.26675689,1.06008924,0.81528084,0.96793284,0.01037637,2.86213366
-4.68534267,5.63740602,0.00799008,0.29545488,1.28511570,1.08024014,0.82899277,0.96498047,0.01061748,2.87619650
-4.67933967,5.68523819,0.00837700,0.30572099,1.30492346,1.09974313,0.84131426,0.96042144,0.01090368,2.88441248
-4.67333667,5.72771856,0.00882225,0.31706484,1.32619979,1.11870757,0.85231933,0.95446540,0.01123324,2.88727673
-4.66733367,5.76546311,0.00932573,0.32940454,1.34894934,1.13724297,0.86209105,0.94731489,0.01160460,2.88530842
-4.66133067,5.79904768,0.00988646,0.34264652,1.37315635,1.15545210,0.87071719,0.93915664,0.01201627,2.87902881
-4.65532766,5.82897977,0.01050253,0.35668494,1.39878141,1.17342575,0.87828741,0.93015500,0.01246676,2.86894421
-4.64932466,5.85568268,0.01117100,0.37140187,1.42576090,1.19123992,0.88489189,0.92044816,0.01295446,2.85553506
-4.64332166,5.87949319,0.01188797,0.38666823,1.45400929,1.20895524,0.89062177,0.91014711,0.01347766,2.83925137
