energy_ev,total_up,B_p_up,B_d_up,Mo_p_up,Mo_d_up,Te_p_up,Te_d_up
-5.62781391,5.44483303,0.35122028,0.00000000,1.29263635,1.99114683,2.72745562,0.00000000
-5.62181091,5.47674679,0.36080264,0.00000000,1.36349876,1.98220185,2.73743288,0.00000000
-5.61580790,5.49372173,0.37300798,0.00000000,1.43758671,1.97002818,2.73530181,0.00000000
-5.60980490,5.49663673,0.38765719,0.00000000,1.51452896,1.95482540,2.72169177,0.00000000
-5.60380190,5.48663932,0.40455756,0.00000000,1.59389277,1.93691455,2.69741208,0.00000000
-5.59779890,5.46506317,0.42349527,0.00000000,1.67517020,1.91670314,2.66341663,0.00000000
-5.59179590,5.43334125,0.44422848,0.00000000,1.75776641,1.89464781,2.62076494,0.00000000
-5.58579290,5.39291939,0.46648148,0.00000000,1.84099099,1.87121697,2.57058177,0.00000000
-5.57978989,5.34517504,0.48994060,0.00000000,1.92405358,1.84685536,2.51401692,0.00000000
-5.57378689,5.29134531,0.51425235,0.00000000,2.00606446,1.82195266,2.45220717,0.00000000
-5.56778389,5.23246801,0.53902403,0.00000000,2.08604082,1.79681752,2.38624194,0.00000000
-5.56178089,5.16933839,0.56382703,0.00000000,2.16291910,1.77165849,2.31713406,0.00000000
-5.55577789,5.10248350,0.58820291,0.00000000,2.23557318,1.74657242,2.24579662,0.00000000
-5.54977489,5.03215478,0.61167195,0.00000000,2.30283828,1.72154081,2.17302660,0.00000000
-5.54377189,4.95833876,0.63374396,0.00000000,2.36353972,1.69643398,2.09949562,0.00000000
-5.53776888,4.88078457,0.65393093,0.00000000,2.41652552,1.67102248,2.02574770,0.00000000
-5.53176588,4.79904608,0.67176082,0.00000000,2.46070166,1.64499479,1.95220346,0.00000000
-5.52576288,4.71253582,0.68679192,0.00000000,2.49506841,1.61798013,1.87917034,0.00000000
-5.51975988,4.62058728,0.69862715,0.00000000,2.51875621,1.58957481,1.80685753,0.00000000
-5.51375688,4.52252187,0.70692739,0.00000000,2.53105939,1.55937066,1.73539468,0.00000000
-5.50775388,4.41771663,0.71142339,0.00000000,2.53146620,1.52698361,1.66485310,0.00000000
-5.50175088,4.30566911,0.71192552,0.00000000,2.51968374,1.49208119,1.59526810,0.00000000
-5.49574787,4.18605592,0.70833096,0.00000000,2.49565646,1.45440712,1.52666134,0.00000000
-5.48974487,4.05878206,0.70062790,0.00000000,2.45957737,1.41380203,1.45906202,0.00000000
-5.48374187,3.92401875,0.68889654,0.00000000,2.41189139,1.37021915,1.39252579,0.00000000
-5.47773887,3.78222818,0.67330694,0.00000000,2.35329046,1.32373446,1.32715079,0.00000000
-5.47173587,3.63417422,0.65411374,0.00000000,2.28470065,1.27455086,1.26309000,0.00000000
-5.46573287,3.48091909,0.63164800,0.00000000,2.20726167,1.22299631,1.20055951,0.00000000
-5.45972986,3.32380643,0.60630669,0.00000000,2.12229955,1.16951643,1.13984269,0.00000000
-5.45372686,3.16443201,0.57854010,0.00000000,2.03129360,1.11466189,1.08128994,0.00000000
-5.44772386,3.00460365,0.54883801,0.00000000,1.93583888,1.05907150,1.02531446,0.00000000
-5.44172086,2.84629247,0.51771494,0.00000000,1.83760557,1.00345189,0.97238418,0.00000000
-5.43571786,2.69157770,0.48569541,0.00000000,1.73829674,0.94855484,0.92301041,0.00000000
-5.42971486,2.54258741,0.45329946,0.00000000,1.63960601,0.89515329,0.87773355,0.00000000
-5.42371186,2.40143761,0.42102936,0.00000000,1.54317639,0.84401716,0.83710672,0.00000000
-5.41770885,2.27017196,0.38935752,0.00000000,1.45056177,0.79588989,0.80167777,0.00000000
-5.41170585,2.15070417,0.35871638,0.00000000,1.36319201,0.75146665,0.77197033,0.00000000
-5.40570285,2.04476494,0.32949029,0.00000000,1.28234259,0.71137500,0.74846469,0.00000000
-5.39969985,1.95385495,0.30200950,0.00000000,1.20910958,0.67615846,0.73157900,0.00000000
-5.39369685,1.87920517,0.27654659,0.00000000,1.14439032,0.64626365,0.72165163,0.00000000
-5.38769385,1.82174537,0.25331485,0.00000000,1.08887012,0.62203103,0.71892501,0.00000000
-5.38169085,1.78208142,0.23246892,0.00000000,1.04301495,0.60368960,0.72353169,0.00000000
-5.37568784,1.76048173,0.21410706,0.00000000,1.00707017,0.59135529,0.73548312,0.00000000
-5.36968484,1.75687295,0.19827513,0.00000000,0.98106471,0.58503306,0.75466139,0.00000000
-5.36368184,1.77084461,0.18497175,0.00000000,0.96482060,0.58462237,0.78081449,0.00000000
-5.35767884,1.80166255,0.17415442,0.00000000,0.95796708,0.58992560,0.81355523,0.00000000
-5.35167584,1.84829032,0.16574623,0.00000000,0.95995873,0.60065903,0.85236403,0.00000000
-5.34567284,1.90941804,0.15964286,0.00000000,0.97009707,0.61646583,0.89659570,0.00000000
-5.33966983,1.98349765,0.15571961,0.00000000,0.98755466,0.63693044,0.94548998,0.00000000
-5.33366683,2.06878358,0.15383805,0.00000000,1.01140127,0.66159388,0.99818592,0.00000000
-5.32766383,2.16337756,0.15385224,0.00000000,1.04063104,0.68996915,1.05373951,0.00000000
-5.32166083,2.26527636,0.15561416,0.00000000,1.07419016,0.72155630,1.11114427,0.00000000
-5.31565783,2.37242085,0.15897823,0.00000000,1.11100411,0.75585647,1.16935421,0.00000000
-5.30965483,2.48274505,0.16380488,0.00000000,1.15000394,0.79238435,1.22730831,0.00000000
-5.30365183,2.59422349,0.16996293,0.00000000,1.19015079,0.83067854,1.28395600,0.00000000
-5.29764882,2.70491554,0.17733091,0.00000000,1.23045810,0.87030956,1.33828245,0.00000000
-5.29164582,2.81300513,0.18579727,0.00000000,1.27001105,0.91088492,1.38933311,0.00000000
-5.28564282,2.91683467,0.19525947,0.00000000,1.30798266,0.95205142,1.43623634,0.00000000
