energy_ev,total_up,Cd_p_up,Cd_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-5.24362181,1.09303764,0.38117928,0.08680545,0.31046624,0.00000000,0.25298854,0.00000000
-5.23761881,1.11037750,0.39842627,0.08887170,0.31071262,0.00000000,0.26415926,0.00000000
-5.23161581,1.12967182,0.41767484,0.09100920,0.31043112,0.00000000,0.27791297,0.00000000
-5.22561281,1.15108890,0.43893266,0.09323732,0.30976536,0.00000000,0.29413219,0.00000000
-5.21960980,1.17472230,0.46214378,0.09557009,0.30885520,0.00000000,0.31264491,0.00000000
-5.21360680,1.20057190,0.48718158,0.09801430,0.30782966,0.00000000,0.33322321,0.00000000
-5.20760380,1.22852774,0.51384386,0.10056805,0.30680027,0.00000000,0.35558318,0.00000000
-5.20160080,1.25835780,0.54185080,0.10321945,0.30585527,0.00000000,0.37938649,0.00000000
-5.19559780,1.28970086,0.57084604,0.10594597,0.30505509,0.00000000,0.40424386,0.00000000
-5.18959480,1.32206529,0.60040107,0.10871412,0.30442908,0.00000000,0.42972052,0.00000000
-5.18359180,1.35483442,0.63002313,0.11147982,0.30397395,0.00000000,0.45534371,0.00000000
-5.17758879,1.38727850,0.65916650,0.11418929,0.30365382,0.00000000,0.48061233,0.00000000
-5.17158579,1.41857332,0.68724673,0.11678052,0.30340199,0.00000000,0.50500836,0.00000000
-5.16558279,1.44782470,0.71365755,0.11918525,0.30312434,0.00000000,0.52800981,0.00000000
-5.15957979,1.47409809,0.73778971,0.12133139,0.30270411,0.00000000,0.54910490,0.00000000
-5.15357679,1.49645187,0.75905102,0.12314575,0.30200789,0.00000000,0.56780669,0.00000000
-5.14757379,1.51397294,0.77688668,0.12455699,0.30089246,0.00000000,0.58366787,0.00000000
-5.14157079,1.52581278,0.79079904,0.12549861,0.29921220,0.00000000,0.59629479,0.00000000
-5.13556778,1.53122232,0.80036590,0.12591188,0.29682650,0.00000000,0.60536026,0.00000000
-5.12956478,1.52958379,0.80525636,0.12574846,0.29360703,0.00000000,0.61061454,0.00000000
-5.12356178,1.52043806,0.80524370,0.12497276,0.28944427,0.00000000,0.61189386,0.00000000
-5.11755878,1.50350603,0.80021445,0.12356371,0.28425319,0.00000000,0.60912619,0.00000000
-5.11155578,1.47870306,0.79017340,0.12151606,0.27797764,0.00000000,0.60233384,0.00000000
-5.10555278,1.44614585,0.77524429,0.11884098,0.27059333,0.00000000,0.59163298,0.00000000
