energy_ev,total_up,C_s_up,C_p_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-5.14757379,4.34506710,0.01174719,0.33109014,0.53473344,2.78687767,0.04540884,1.08712298
-5.14157079,4.19632801,0.01115845,0.32641482,0.52604865,2.67336419,0.04478781,1.06473739
-5.13556778,4.06754314,0.01063094,0.32275980,0.52155340,2.57117157,0.04454967,1.04870683
-5.12956478,3.95946653,0.01017351,0.32001827,0.52122145,2.48100388,0.04469093,1.03908773
-5.12356178,3.87244026,0.00979461,0.31805838,0.52496706,2.40329150,0.04520295,1.03584043
-5.11755878,3.80642752,0.00950222,0.31672945,0.53265186,2.33820832,0.04607215,1.03883946
-5.11155578,3.76105458,0.00930387,0.31586875,0.54409231,2.28569528,0.04728028,1.04788551
-5.10555278,3.73565920,0.00920658,0.31530873,0.55906743,2.24548886,0.04880486,1.06271845
-5.09954977,3.72934287,0.00921679,0.31488412,0.57732643,2.21715275,0.05061952,1.08303077
-5.09354677,3.74102459,0.00934032,0.31443889,0.59859599,2.20011141,0.05269456,1.10848084
-5.08754377,3.76949349,0.00958228,0.31383242,0.62258684,2.19368367,0.05499753,1.13870556
-5.08154077,3.81345848,0.00994697,0.31294486,0.64899961,2.19711523,0.05749375,1.17333171
-5.07553777,3.87159282,0.01043772,0.31168129,0.67752979,2.20960855,0.06014709,1.21198587
-5.06953477,3.94257229,0.01105681,0.30997456,0.70787174,2.23034934,0.06292059,1.25430249
-5.06353177,4.02510583,0.01180521,0.30778675,0.73972177,2.25852858,0.06577723,1.29992990
-5.05752876,4.11795808,0.01268253,0.30510913,0.77278047,2.29335984,0.06868069,1.34853434
-5.05152576,4.21996353,0.01368675,0.30196077,0.80675430,2.33409136,0.07159611,1.39980186
-5.04552276,4.33003267,0.01481413,0.29838581,0.84135659,2.38001309,0.07449082,1.45343829
-5.03951976,4.44715043,0.01605905,0.29444972,0.87630825,2.43045885,0.07733504,1.50916742
-5.03351676,4.57036809,0.01741394,0.29023463,0.91133816,2.48480409,0.08010248,1.56672765
-5.02751376,4.69878956,0.01886919,0.28583411,0.94618353,2.54245989,0.08277088,1.62586730
-5.02151076,4.83155349,0.02041318,0.28134764,0.98059031,2.60286397,0.08532238,1.68633897
-5.01550775,4.96781255,0.02203235,0.27687507,1.01431375,2.66546960,0.08774375,1.74789330
-5.00950475,5.10671147,0.02371129,0.27251142,1.04711919,2.72973337,0.09002643,1.81027239
-5.00350175,5.24736530,0.02543301,0.26834214,1.07878311,2.79510274,0.09216645,1.87320332
-4.99749875,5.38883938,0.02717915,0.26443914,1.10909451,2.86100431,0.09416405,1.93639210
-4.99149575,5.53013247,0.02893033,0.26085777,1.13785652,2.92683374,0.09602327,1.99951851
-4.98549275,5.67016430,0.03066653,0.25763480,1.16488826,2.99194806,0.09775124,2.06223213
-4.97948974,5.80776864,0.03236747,0.25478739,1.19002701,3.05566124,0.09935749,2.12414999
-4.97348674,5.94169300,0.03401311,0.25231328,1.21313044,3.11724335,0.10085314,2.18485620
-4.96748374,6.07060551,0.03558402,0.25019178,1.23407904,3.17592403,0.10225001,2.24390389
-4.96148074,6.19310966,0.03706185,0.24838586,1.25277865,3.23090031,0.10355994,2.30081969
-4.95547774,6.30776693,0.03842971,0.24684482,1.26916299,3.28134901,0.10479401,2.35511099
-4.94947474,6.41312712,0.03967256,0.24550762,1.28319612,3.32644344,0.10596208,2.40627596
-4.94347174,6.50776595,0.04077746,0.24430663,1.29487483,3.36537427,0.10707246,2.45381633
-4.93746873,6.59032882,0.04173387,0.24317153,1.30423077,3.39737372,0.10813179,2.49725262
-4.93146573,6.65957930,0.04253381,0.24203323,1.31133227,3.42174256,0.10914518,2.53614134
-4.92546273,6.71445059,0.04317195,0.24082762,1.31628556,3.43787863,0.11011659,2.57009365
-4.91945973,6.75409777,0.04364568,0.23949900,1.31923545,3.44530597,0.11104941,2.59879453
-4.91345673,6.77794819,0.04395509,0.23800294,1.32036498,3.44370304,0.11194720,2.62202155
-4.90745373,6.78574746,0.04410288,0.23630860,1.31989417,3.43292874,0.11281446,2.63966214
-4.90145073,6.77759820,0.04409429,0.23440033,1.31807733,3.41304472,0.11365755,2.65172818
-4.89544772,6.75398889,0.04393688,0.23227843,1.31519918,3.38433276,0.11448539,2.65836686
-4.88944472,6.71581050,0.04364040,0.22995920,1.31156923,3.34730593,0.11531010,2.65986664
-4.88344172,6.66435886,0.04321658,0.22747410,1.30751481,3.30271259,0.11614741,2.65665744
-4.87743872,6.60132152,0.04267885,0.22486824,1.30337244,3.25153256,0.11701672,2.64930464
-4.87143572,6.52874856,0.04204212,0.22219806,1.29947799,3.19496515,0.11794086,2.63849624
-4.86543272,6.44900745,0.04132253,0.21952846,1.29615565,3.13440928,0.11894548,2.62502356
