energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.59179590,11.58109559,0.49482371,5.35625897,0.01867265,1.12979555,3.73842513,3.37801466,0.05891880,1.47041160
-5.58579290,11.57692985,0.48996765,5.33589974,0.01767553,1.14163523,3.76205654,3.39151736,0.05979804,1.46163956
-5.57978989,11.58919418,0.48693265,5.32433977,0.01688288,1.15436950,3.79072317,3.40739691,0.06086487,1.45527133
-5.57378689,11.61759216,0.48562254,5.32115651,0.01628747,1.16809159,3.82441110,3.42587054,0.06210378,1.45116436
-5.56778389,11.66143624,0.48591556,5.32569937,0.01587849,1.18287624,3.86306619,3.44708791,0.06349271,1.44913855
-5.56178089,11.71965670,0.48766758,5.33711079,0.01564197,1.19877567,3.90658807,3.47111795,0.06500356,1.44897815
-5.55577789,11.79082411,0.49071610,5.35435402,0.01556122,1.21581610,3.95482415,3.49793972,0.06660293,1.45043509
-5.54977489,11.87318523,0.49488470,5.37624695,0.01561730,1.23399522,4.00756440,3.52743783,0.06825302,1.45323374
-5.54377189,11.96471220,0.49998799,5.40150106,0.01578953,1.25328054,4.06453764,3.55940307,0.06991285,1.45707718
-5.53776888,12.06316386,0.50583697,5.42876450,0.01605599,1.27360899,4.12541007,3.59353811,0.07153952,1.46165501
-5.53176588,12.16615730,0.51224451,5.45666760,0.01639407,1.29488764,4.18978669,3.62946816,0.07308965,1.46665239
-5.52576288,12.27124709,0.51903099,5.48386947,0.01678096,1.31699569,4.25721588,3.66675600,0.07452083,1.47176011
-5.51975988,12.37600902,0.52602980,5.50910372,0.01719417,1.33978757,4.32719744,3.70492043,0.07579308,1.47668523
-5.51375688,12.47812436,0.53309244,5.53122142,0.01761204,1.36309721,4.39919402,3.74345708,0.07687024,1.48116166
-5.50775388,12.57546091,0.54009325,5.54922955,0.01801417,1.38674303,4.47264539,3.78186026,0.07772124,1.48496026
