energy_ev,total_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-1.86993497,1.21875142,0.50136672,0.29510375,0.34367371,0.08149941,0.02406781,0.19905913,0.03805386,0.33191129
-1.86393197,1.23238317,0.50006451,0.30443219,0.34186799,0.08154474,0.02338747,0.19461090,0.03895873,0.33456917
-1.85792896,1.25174567,0.50110226,0.31471766,0.34203847,0.08204113,0.02279067,0.19170759,0.04001853,0.33864460
-1.85192596,1.27547600,0.50400313,0.32558925,0.34379981,0.08291241,0.02227359,0.19011429,0.04119409,0.34380992
-1.84592296,1.30211268,0.50825019,0.33665987,0.34673790,0.08407318,0.02182904,0.18957723,0.04244246,0.34970862
-1.83991996,1.33013839,0.51330246,0.34753667,0.35042308,0.08543135,0.02144697,0.18983190,0.04371815,0.35596667
-1.83391696,1.35802471,0.51861181,0.35783208,0.35442345,0.08689084,0.02111506,0.19061113,0.04497460,0.36220436
-1.82791396,1.38427751,0.52363993,0.36717479,0.35831796,0.08835445,0.02081939,0.19165299,0.04616559,0.36804851
-1.82191096,1.40748138,0.52787497,0.37522044,0.36170879,0.08972688,0.02054513,0.19270812,0.04724681,0.37314432
-1.81590795,1.42634142,0.53084715,0.38166164,0.36423258,0.09091759,0.02027731,0.19354647,0.04817733,0.37716678
-1.80990495,1.43972104,0.53214274,0.38623680,0.36557031,0.09184356,0.02000147,0.19396304,0.04892104,0.37983084
-1.80390195,1.44667434,0.53141601,0.38873758,0.36545529,0.09243181,0.01970437,0.19378271,0.04944788,0.38090029
-1.79789895,1.44647177,0.52839865,0.38901453,0.36367926,0.09262148,0.01937451,0.19286380,0.04973496,0.38019481
-1.79189595,1.43861834,0.52290635,0.38698086,0.36009623,0.09236550,0.01900265,0.19110051,0.04976737,0.37759510
-1.78589295,1.42286371,0.51484236,0.38261401,0.35462420,0.09163183,0.01858215,0.18842408,0.04953880,0.37304575
-1.77988994,1.39920387,0.50419793,0.37595515,0.34724455,0.09040401,0.01810922,0.18480266,0.04905179,0.36655600
-1.77388694,1.36787458,0.49104976,0.36710649,0.33799941,0.08868127,0.01758301,0.18024011,0.04831776,0.35819815
-1.76788394,1.32933694,0.47555455,0.35622674,0.32698709,0.08647803,0.01700558,0.17477362,0.04735666,0.34810404
-1.76188094,1.28425596,0.45794113,0.34352474,0.31435580,0.08382293,0.01638178,0.16847047,0.04619641,0.33645943
-1.75587794,1.23347313,0.43850039,0.32925170,0.30029616,0.08075734,0.01571899,0.16142404,0.04487202,0.32349696
-1.74987494,1.17797423,0.41757364,0.31369231,0.28503263,0.07733354,0.01502677,0.15374917,0.04342451,0.30948764
-1.74387194,1.11885383,0.39553981,0.29715515,0.26881440,0.07361257,0.01431645,0.14557725,0.04189961,0.29473150
-1.73786893,1.05727798,0.37280221,0.27996277,0.25190614,0.06966193,0.01360066,0.13705112,0.04034639,0.27954764
-1.73186593,0.99444652,0.34977516,0.26244185,0.23457887,0.06555311,0.01289285,0.12832001,0.03881567,0.26426406
-1.72586293,0.93155646,0.32687116,0.24491378,0.21710142,0.06135923,0.01220674,0.11953471,0.03735855,0.24920779
-1.71985993,0.86976759,0.30448903,0.22768595,0.19973274,0.05715266,0.01155586,0.11084319,0.03602477,0.23469535
-1.71385693,0.81017157,0.28300332,0.21104406,0.18271518,0.05300296,0.01095305,0.10238666,0.03486124,0.22102420
-1.70785393,0.75376513,0.26275527,0.19524569,0.16626915,0.04897496,0.01041004,0.09429633,0.03391061,0.20846500
-1.70185093,0.70142817,0.24404567,0.18051509,0.15058897,0.04512719,0.00993703,0.08669082,0.03320997,0.19725525
-1.69584792,0.65390698,0.22712951,0.16703947,0.13584024,0.04151069,0.00954242,0.07967424,0.03278976,0.18759407
-1.68984492,0.61180287,0.21221258,0.15496669,0.12215838,0.03816812,0.00923248,0.07333505,0.03267278,0.17963853
-1.68384192,0.57556589,0.19945001,0.14440425,0.10964853,0.03513327,0.00901124,0.06774550,0.03287345,0.17350118
-1.67783892,0.54549368,0.18894648,0.13541958,0.09838649,0.03243089,0.00888033,0.06296169,0.03339737,0.16924911
-1.67183592,0.52173481,0.18075809,0.12804156,0.08842062,0.03007687,0.00883896,0.05902416,0.03424101,0.16690422
-1.66583292,0.50429623,0.17489561,0.12226285,0.07977443,0.02807870,0.00888396,0.05595883,0.03539173,0.16644476
-1.65982991,0.49305418,0.17132891,0.11804321,0.07244974,0.02643612,0.00900986,0.05377831,0.03682799,0.16780798
-1.65382691,0.48776805,0.16999240,0.11531340,0.06643013,0.02514206,0.00920910,0.05248335,0.03851992,0.17089384
-1.64782391,0.48809640,0.17079107,0.11397956,0.06168452,0.02418360,0.00947225,0.05206445,0.04043002,0.17556949
-1.64182091,0.49361466,0.17360713,0.11392792,0.05817073,0.02354315,0.00978831,0.05250341,0.04251418,0.18167461
-1.63581791,0.50383379,0.17830680,0.11502969,0.05583872,0.02319955,0.01014501,0.05377486,0.04472283,0.18902729
-1.62981491,0.51821932,0.18474714,0.11714591,0.05463368,0.02312927,0.01052928,0.05584761,0.04700239,0.19743029
-1.62381191,0.53621032,0.19278270,0.12013226,0.05449847,0.02330749,0.01092757,0.05868579,0.04929671,0.20667765
-1.61780890,0.55723758,0.20227172,0.12384358,0.05537573,0.02370915,0.01132638,0.06224984,0.05154876,0.21656128
-1.61180590,0.58074067,0.21308182,0.12813807,0.05720935,0.02430986,0.01171262,0.06649709,0.05370225,0.22687751
-1.60580290,0.60618341,0.22509484,0.13288105,0.05994541,0.02508666,0.01207410,0.07138223,0.05570332,0.23743328
-1.59979990,0.63306729,0.23821082,0.13794822,0.06353263,0.02601868,0.01239998,0.07685744,0.05750209,0.24805187
