energy_ev,total_up,Ge_p_up,Ge_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-5.06353177,2.17584211,0.04098045,0.00000000,0.00897897,1.60301890,1.27429191,0.58943401
-5.05752876,2.12033086,0.03905054,0.00000000,0.00859344,1.56587061,1.24374763,0.57968507
-5.05152576,2.06889506,0.03726328,0.00000000,0.00824235,1.53124906,1.21426377,0.57092524
-5.04552276,2.02120198,0.03561695,0.00000000,0.00792510,1.49893144,1.18587461,0.56300656
-5.03951976,1.97687362,0.03410726,0.00000000,0.00764065,1.46866735,1.15860469,0.55576982
-5.03351676,1.93550368,0.03272770,0.00000000,0.00738759,1.44018985,1.13247327,0.54904826
-5.02751376,1.89667316,0.03147001,0.00000000,0.00716421,1.41322563,1.10749769,0.54267111
-5.02151076,1.85996479,0.03032453,0.00000000,0.00696861,1.38750421,1.08369558,0.53646709
-5.01550775,1.82497593,0.02928055,0.00000000,0.00679873,1.36276643,1.06108615,0.53026775
-5.00950475,1.79133031,0.02832663,0.00000000,0.00665243,1.33877196,1.03969084,0.52391100
-5.00350175,1.75868849,0.02745091,0.00000000,0.00652756,1.31530631,1.01953359,0.51724458
-4.99749875,1.72675724,0.02664133,0.00000000,0.00642200,1.29218714,1.00064102,0.51012969
-4.99149575,1.69529787,0.02588594,0.00000000,0.00633372,1.26926999,0.98304274,0.50244464
-4.98549275,1.66413326,0.02517306,0.00000000,0.00626079,1.24645340,0.96677188,0.49408853
-4.97948974,1.63315371,0.02449159,0.00000000,0.00620147,1.22368312,0.95186596,0.48498476
-4.97348674,1.60232103,0.02383110,0.00000000,0.00615417,1.20095545,0.93836788,0.47508432
-4.96748374,1.57167076,0.02318214,0.00000000,0.00611754,1.17831908,0.92632689,0.46436860
-4.96148074,1.54131205,0.02253634,0.00000000,0.00609042,1.15587550,0.91579934,0.45285159
-4.95547774,1.51142499,0.02188661,0.00000000,0.00607187,1.13377743,0.90684885,0.44058128
-4.94947474,1.48225498,0.02122723,0.00000000,0.00606119,1.11222517,0.89954558,0.42764011
-4.94347174,1.45410421,0.02055396,0.00000000,0.00605781,1.09146078,0.89396440,0.41414445
-4.93746873,1.42732017,0.01986407,0.00000000,0.00606135,1.07176006,0.89018183,0.40024283
-4.93146573,1.40228156,0.01915638,0.00000000,0.00607152,1.05342245,0.88827152,0.38611325
-4.92546273,1.37938198,0.01843114,0.00000000,0.00608805,1.03675927,0.88829859,0.37195926
-4.91945973,1.35901206,0.01768996,0.00000000,0.00611067,1.02208072,0.89031293,0.35800528
-4.91345673,1.34154085,0.01693567,0.00000000,0.00613903,1.00968216,0.89434175,0.34449105
-4.90745373,1.32729738,0.01617211,0.00000000,0.00617258,0.99983044,0.90038206,0.33166552
-4.90145073,1.31655331,0.01540390,0.00000000,0.00621059,0.99275085,0.90839342,0.31978039
-4.89544772,1.30950760,0.01463620,0.00000000,0.00625203,0.98861551,0.91829165,0.30908347
-4.88944472,1.30627406,0.01387445,0.00000000,0.00629557,0.98753370,0.92994401,0.29981214
-4.88344172,1.30687242,0.01312414,0.00000000,0.00633954,0.98954469,0.94316634,0.29218699
-4.87743872,1.31122334,0.01239053,0.00000000,0.00638195,0.99461339,0.95772262,0.28640591
-4.87143572,1.31914770,0.01167846,0.00000000,0.00642049,1.00262900,0.97332694,0.28263860
-4.86543272,1.33036995,0.01099221,0.00000000,0.00645261,1.01340666,0.98964822,0.28102178
-4.85942971,1.34452545,0.01033529,0.00000000,0.00647558,1.02669187,1.00631730,0.28165495
-4.85342671,1.36117103,0.00971043,0.00000000,0.00648656,1.04216733,1.02293625,0.28459695
-4.84742371,1.37979833,0.00911949,0.00000000,0.00648275,1.05946179,1.03908931,0.28986310
-4.84142071,1.39984890,0.00856348,0.00000000,0.00646145,1.07816018,1.05435505,0.29742315
-4.83541771,1.42073036,0.00804260,0.00000000,0.00642023,1.09781469,1.06831887,0.30719998
-4.82941471,1.44183266,0.00755633,0.00000000,0.00635704,1.11795594,1.08058545,0.31906907
-4.82341171,1.46254380,0.00710352,0.00000000,0.00627028,1.13810396,1.09079030,0.33285886
-4.81740870,1.48226426,0.00668250,0.00000000,0.00615891,1.15777847,1.09860998,0.34835200
-4.81140570,1.50041985,0.00629127,0.00000000,0.00602257,1.17650820,1.10377053,0.36528772
-4.80540270,1.51647258,0.00592756,0.00000000,0.00586153,1.19383918,1.10605384,0.38336519
-4.79939970,1.52992966,0.00558902,0.00000000,0.00567681,1.20934188,1.10530183,0.40224824
