energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Se_s_up,Se_p_up
-5.54377189,1.63236331,0.19983520,1.02328771,0.00433182,0.04095374,0.20508706,0.23552408,0.00470159,0.39113396
-5.53776888,1.64914829,0.20184455,1.03544329,0.00438311,0.04089307,0.20205134,0.23952912,0.00439660,0.39569340
-5.53176588,1.66311199,0.20328806,1.04520507,0.00441402,0.04094483,0.19904748,0.24341059,0.00413481,0.39943583
-5.52576288,1.67464466,0.20421791,1.05271921,0.00442499,0.04112906,0.19614857,0.24728369,0.00391983,0.40248423
-5.51975988,1.68420514,0.20469937,1.05817879,0.00441686,0.04146366,0.19342497,0.25127669,0.00375420,0.40498500
-5.51375688,1.69230618,0.20480832,1.06181718,0.00439081,0.04196386,0.19094317,0.25552700,0.00363945,0.40710298
-5.50775388,1.69949629,0.20462826,1.06389927,0.00434836,0.04264160,0.18876445,0.26017637,0.00357613,0.40901537
-5.50175088,1.70633881,0.20424694,1.06471101,0.00429125,0.04350501,0.18694349,0.26536557,0.00356381,0.41090482
-5.49574787,1.71338905,0.20375271,1.06454773,0.00422146,0.04455793,0.18552693,0.27122870,0.00360115,0.41295203
-5.48974487,1.72117070,0.20323095,1.06370164,0.00414107,0.04579946,0.18455200,0.27788733,0.00368599,0.41532821
-5.48374187,1.73015272,0.20276068,1.06244933,0.00405226,0.04722373,0.18404536,0.28544487,0.00381538,0.41818781
-5.47773887,1.74072795,0.20241144,1.06103981,0.00395717,0.04881975,0.18402222,0.29398136,0.00398568,0.42166192
-5.47173587,1.75319470,0.20224096,1.05968385,0.00385788,0.05057155,0.18448586,0.30354889,0.00419264,0.42585262
-5.46573287,1.76774244,0.20229337,1.05854516,0.00375634,0.05245849,0.18542768,0.31416814,0.00443151,0.43082875
-5.45972986,1.78444263,0.20259836,1.05773398,0.00365428,0.05445578,0.18682784,0.32582596,0.00469714,0.43662323
-5.45372686,1.80324513,0.20317119,1.05730350,0.00355320,0.05653531,0.18865647,0.33847435,0.00498407,0.44323217
-5.44772386,1.82398083,0.20401367,1.05724930,0.00345433,0.05866663,0.19087555,0.35203082,0.00528674,0.45061576
-5.44172086,1.84637032,0.20511593,1.05751204,0.00335857,0.06081810,0.19344128,0.36638022,0.00559953,0.45870099
-5.43571786,1.87003835,0.20645898,1.05798302,0.00326653,0.06295830,0.19630697,0.38137794,0.00591699,0.46738599
-5.42971486,1.89453334,0.20801785,1.05851268,0.00317850,0.06505731,0.19942626,0.39685438,0.00623394,0.47654580
-5.42371186,1.91935100,0.20976507,1.05892121,0.00309449,0.06708818,0.20275646,0.41262043,0.00654565,0.48603918
-5.41770885,1.94396071,0.21167441,1.05901097,0.00301423,0.06902822,0.20626190,0.42847388,0.00684798,0.49571613
-5.41170585,1.96783328,0.21372433,1.05857984,0.00293726,0.07086018,0.20991703,0.44420620,0.00713753,0.50542561
-5.40570285,1.99046860,0.21590126,1.05743484,0.00286292,0.07257320,0.21370903,0.45960962,0.00741174,0.51502311
-5.39969985,2.01142149,0.21820217,1.05540523,0.00279046,0.07416347,0.21763986,0.47448409,0.00766901,0.52437756
-5.39369685,2.03032458,0.22063634,1.05235426,0.00271907,0.07563453,0.22172741,0.48864377,0.00790875,0.53337720
-5.38769385,2.04690671,0.22322628,1.04818916,0.00264791,0.07699723,0.22600580,0.50192276,0.00813143,0.54193407
-5.38169085,2.06100612,0.22600742,1.04286864,0.00257625,0.07826929,0.23052464,0.51417995,0.00833857,0.54998696
-5.37568784,2.07257772,0.22902684,1.03640758,0.00250343,0.07947444,0.23534725,0.52530269,0.00853269,0.55750251
-5.36968484,2.08169407,0.23234088,1.02887892,0.00242893,0.08064126,0.24054802,0.53520912,0.00871721,0.56447468
-5.36368184,2.08854039,0.23601177,1.02041246,0.00235244,0.08180171,0.24620880,0.54384937,0.00889636,0.57092235
-5.35767884,2.09340395,0.24010356,1.01119103,0.00227383,0.08298938,0.25241466,0.55120529,0.00907497,0.57688563
-5.35167584,2.09665866,0.24467737,1.00144417,0.00219318,0.08423763,0.25924925,0.55728910,0.00925834,0.58242075
-5.34567284,2.09874597,0.24978648,0.99143996,0.00211076,0.08557774,0.26678981,0.56214104,0.00945196,0.58759423
-5.33966983,2.10015338,0.25547131,0.98147542,0.00202706,0.08703702,0.27510238,0.56582607,0.00966137,0.59247654
-5.33366683,2.10139180,0.26175486,0.97186624,0.00194270,0.08863711,0.28423729,0.56843009,0.00989188,0.59713572
-5.32766383,2.10297339,0.26863866,0.96293639,0.00185849,0.09039258,0.29422528,0.57005566,0.01014841,0.60163139
-5.32166083,2.10539084,0.27609970,0.95500820,0.00177529,0.09230984,0.30507450,0.57081774,0.01043525,0.60600960
-5.31565783,2.10909962,0.28408847,0.94839355,0.00169407,0.09438641,0.31676849,0.57083936,0.01075599,0.61029867
-5.30965483,2.11450377,0.29252831,0.94338649,0.00161581,0.09661073,0.32926544,0.57024776,0.01111333,0.61450652
-5.30365183,2.12194611,0.30131615,0.94025758,0.00154148,0.09896234,0.34249862,0.56917074,0.01150907,0.61861942
-5.29764882,2.13170311,0.31032467,0.93925033,0.00147203,0.10141260,0.35637810,0.56773379,0.01194404,0.62260235
-5.29164582,2.14398438,0.31940584,0.94057953,0.00140832,0.10392581,0.37079369,0.56605762,0.01241817,0.62640088
-5.28564282,2.15893659,0.32839559,0.94443151,0.00135117,0.10646067,0.38561880,0.56425638,0.01293055,0.62994442
-5.27963982,2.17665120,0.33711960,0.95096613,0.00130125,0.10897211,0.40071528,0.56243644,0.01347951,0.63315062
-5.27363682,2.19717525,0.34539968,0.96032019,0.00125916,0.11141324,0.41593872,0.56069562,0.01406280,0.63593058
-5.26763382,2.22052419,0.35306062,0.97261186,0.00122540,0.11373743,0.43114414,0.55912282,0.01467771,0.63819466
-5.26163082,2.24669591,0.35993716,0.98794570,0.00120038,0.11590042,0.44619166,0.55779794,0.01532126,0.63985829
-5.25562781,2.27568462,0.36588053,1.00641795,0.00118441,0.11786222,0.46095193,0.55679190,0.01599033,0.64084766
-5.24962481,2.30749387,0.37076455,1.02812147,0.00117775,0.11958888,0.47531095,0.55616672,0.01668184,0.64110481
-5.24362181,2.34214760,0.37449072,1.05315016,0.00118062,0.12105386,0.48917425,0.55597556,0.01739281,0.64059185
-5.23761881,2.37969850,0.37699225,1.08160222,0.00119322,0.12223911,0.50246999,0.55626257,0.01812049,0.63929415
-5.23161581,2.42023314,0.37823669,1.11358225,0.00121571,0.12313567,0.51515107,0.55706257,0.01886232,0.63722230
-5.22561281,2.46387355,0.37822724,1.14920170,0.00124829,0.12374385,0.52719608,0.55840059,0.01961602,0.63441276
-5.21960980,2.51077492,0.37700254,1.18857765,0.00129116,0.12407297,0.53860911,0.56029115,0.02037943,0.63092729
-5.21360680,2.56111970,0.37463509,1.23182986,0.00134454,0.12414067,0.54941852,0.56273749,0.02115047,0.62685112
-5.20760380,2.61510820,0.37122836,1.27907593,0.00140868,0.12397186,0.55967465,0.56573067,0.02192699,0.62229017
-5.20160080,2.67294618,0.36691277,1.33042485,0.00148382,0.12359734,0.56944678,0.56924878,0.02270661,0.61736736
-5.19559780,2.73482991,0.36184074,1.38596885,0.00157022,0.12305227,0.57881933,0.57325619,0.02348654,0.61221830
-5.18959480,2.80092953,0.35618115,1.44577405,0.00166812,0.12237440,0.58788765,0.57770310,0.02426343,0.60698665
-5.18359180,2.87137116,0.35011327,1.50986996,0.00177770,0.12160231,0.59675336,0.58252534,0.02503320,0.60181927
-5.17758879,2.94621881,0.34382059,1.57823823,0.00189910,0.12077368,0.60551969,0.58764459,0.02579091,0.59686138
-5.17158579,3.02545664,0.33748478,1.65080121,0.00203231,0.11992367,0.61428665,0.59296903,0.02653068,0.59225205
-5.16558279,3.10897244,0.33127988,1.72741065,0.00217722,0.11908349,0.62314644,0.59839446,0.02724568,0.58811996
-5.15957979,3.19654301,0.32536708,1.80783697,0.00233353,0.11827925,0.63217907,0.60380585,0.02792810,0.58457966
-5.15357679,3.28782213,0.31989011,1.89175997,0.00250074,0.11753105,0.64144824,0.60907943,0.02856929,0.58172834
-5.14757379,3.38233166,0.31497146,1.97876108,0.00267813,0.11685247,0.65099777,0.61408513,0.02915990,0.57964315
-5.14157079,3.47945642,0.31070942,2.06831814,0.00286471,0.11625032,0.66084834,0.61868932,0.02969008,0.57837905
-5.13556778,3.57844316,0.30717608,2.15980294,0.00305921,0.11572481,0.67099491,0.62275790,0.03014976,0.57796728
-5.12956478,3.67840413,0.30441623,2.25248206,0.00326011,0.11526995,0.68140466,0.62615947,0.03052895,0.57841422
-5.12356178,3.77832536,0.30244722,2.34552152,0.00346557,0.11487434,0.69201569,0.62876857,0.03081812,0.57970082
-5.11755878,3.87707984,0.30125964,2.43799532,0.00367351,0.11452212,0.70273642,0.63046895,0.03100848,0.58178258
-5.11155578,3.97344560,0.30081885,2.52889813,0.00388158,0.11419419,0.71344586,0.63115658,0.03109240,0.58458992
-5.10555278,4.06612834,0.30106727,2.61716206,0.00408720,0.11386953,0.72399479,0.63074251,0.03106374,0.58802911
-5.09954977,4.15378855,0.30192727,2.70167724,0.00428764,0.11352664,0.73420790,0.62915538,0.03091812,0.59198382
-5.09354677,4.23507214,0.30330468,2.78131589,0.00448001,0.11314497,0.74388698,0.62634355,0.03065320,0.59631710
-5.08754377,4.30864422,0.30509265,2.85495912,0.00466136,0.11270631,0.75281509,0.62227677,0.03026885,0.60087414
-5.08154077,4.37322475,0.30717585,2.92152587,0.00482874,0.11219611,0.76076171,0.61694733,0.02976731,0.60548547
-5.07553777,4.42762516,0.30943484,2.98000274,0.00497927,0.11160454,0.76748888,0.61037072,0.02915317,0.60997090
-5.06953477,4.47078442,0.31175037,3.02947384,0.00511020,0.11092743,0.77275796,0.60258568,0.02843341,0.61414389
-5.06353177,4.50180340,0.31400760,3.06914939,0.00521899,0.11016685,0.77633708,0.59365370,0.02761719,0.61781651
-5.05752876,4.51997588,0.31609997,3.09839182,0.00530341,0.10933143,0.77800882,0.58365785,0.02671570,0.62080461
-5.05152576,4.52481489,0.31793268,3.11673821,0.00536158,0.10843630,0.77757798,0.57270117,0.02574190,0.62293323
-5.04552276,4.51607308,0.31942549,3.12391794,0.00539200,0.10750274,0.77487899,0.56090431,0.02471012,0.62404196
-5.03951976,4.49375584,0.32051483,3.11986471,0.00539367,0.10655741,0.76978274,0.54840278,0.02363576,0.62399001
-5.03351676,4.45812642,0.32115523,3.10472204,0.00536608,0.10563135,0.76220241,0.53534360,0.02253480,0.62266079
-5.02751376,4.40970237,0.32131972,3.07884191,0.00530924,0.10475860,0.75209808,0.52188161,0.02142339,0.61996578
-5.02151076,4.34924324,0.32099946,3.04277640,0.00522367,0.10397467,0.73947980,0.50817537,0.02031744,0.61584741
-5.01550775,4.27772954,0.32020259,2.99726241,0.00511044,0.10331477,0.72440897,0.49438288,0.01923210,0.61028085
-5.00950475,4.19633387,0.31895217,2.94320003,0.00497111,0.10281207,0.70699791,0.48065717,0.01818147,0.60327456
-5.00350175,4.10638504,0.31728360,2.88162533,0.00480767,0.10249581,0.68740761,0.46714193,0.01717815,0.59486959
-4.99749875,4.00932687,0.31524149,2.81367876,0.00462257,0.10238967,0.66584379,0.45396738,0.01623297,0.58513757
-4.99149575,3.90667312,0.31287622,2.74057033,0.00441855,0.10251018,0.64255126,0.44124650,0.01535476,0.57417755
-4.98549275,3.79996087,0.31024044,2.66354324,0.00419866,0.10286553,0.61780711,0.42907178,0.01455017,0.56211183
-4.97948974,3.69070410,0.30738564,2.58383731,0.00396612,0.10345465,0.59191284,0.41751271,0.01382355,0.54908108
-4.97348674,3.58034987,0.30435909,2.50265400,0.00372427,0.10426676,0.56518578,0.40661407,0.01317700,0.53523883
-4.96748374,3.47023881,0.30120120,2.42112431,0.00347650,0.10528128,0.53795044,0.39639524,0.01261035,0.52074587
-4.96148074,3.36157193,0.29794369,2.34028104,0.00322611,0.10646838,0.51052989,0.38685047,0.01212139,0.50576467
-4.95547774,3.25538491,0.29460839,2.26103630,0.00297633,0.10778979,0.48323771,0.37795026,0.01170600,0.49045425
-4.94947474,3.15253110,0.29120705,2.18416531,0.00273016,0.10920023,0.45637088,0.36964372,0.01135846,0.47496570
