energy_ev,total_up,Ag_p_up,Ag_d_up,Ga_p_up,Ga_d_up,S_s_up,S_p_up
-4.88344172,1.76038399,0.26452987,1.52906135,0.02071489,0.00000000,0.00940186,0.14824449
-4.87743872,1.71948856,0.28147304,1.46829178,0.02038141,0.00000000,0.00859379,0.16142070
-4.87143572,1.68932212,0.30236910,1.41585931,0.02050945,0.00000000,0.00801665,0.17588985
-4.86543272,1.66945890,0.32731387,1.37142556,0.02111636,0.00000000,0.00766667,0.19157701
-4.85942971,1.65945016,0.35637788,1.33465633,0.02222034,0.00000000,0.00754065,0.20838697
-4.85342671,1.65882679,0.38960336,1.30522224,0.02384039,0.00000000,0.00763631,0.22620557
-4.84742371,1.66710226,0.42700087,1.28279912,0.02599585,0.00000000,0.00795230,0.24490146
-4.84142071,1.68377628,0.46854596,1.26706890,0.02870598,0.00000000,0.00848836,0.26432821
-4.83541771,1.70833974,0.51417580,1.25772123,0.03198923,0.00000000,0.00924513,0.28432694
-4.82941471,1.74028079,0.56378608,1.25445614,0.03586235,0.00000000,0.01022404,0.30472912
-4.82341171,1.77909210,0.61722832,1.25698760,0.04033944,0.00000000,0.01142704,0.32535970
-4.81740870,1.82427892,0.67430782,1.26504797,0.04543082,0.00000000,0.01285622,0.34604039
-4.81140570,1.87536749,0.73478245,1.27839260,0.05114184,0.00000000,0.01451341,0.36659302
-4.80540270,1.93191313,0.79836242,1.29680446,0.05747169,0.00000000,0.01639966,0.38684295
-4.79939970,1.99350744,0.86471119,1.32009792,0.06441223,0.00000000,0.01851473,0.40662232
-4.79339670,2.05978383,0.93344772,1.34812122,0.07194683,0.00000000,0.02085651,0.42577323
-4.78739370,2.13042076,1.00414983,1.38075703,0.08004949,0.00000000,0.02342046,0.44415056
-4.78139070,2.20514214,1.07635889,1.41792067,0.08868397,0.00000000,0.02619904,0.46162454
-4.77538769,2.28371455,1.14958557,1.45955559,0.09780331,0.00000000,0.02918120,0.47808279
-4.76938469,2.36594091,1.22331651,1.50562606,0.10734950,0.00000000,0.03235194,0.49343196
-4.76338169,2.45165063,1.29702161,1.55610689,0.11725358,0.00000000,0.03569190,0.50759872
-4.75737869,2.54068645,1.37016169,1.61097057,0.12743596,0.00000000,0.03917713,0.52053015
-4.75137569,2.63288828,1.44219611,1.67017219,0.13780721,0.00000000,0.04277898,0.53219347
-4.74537269,2.72807462,1.51259011,1.73363265,0.14826904,0.00000000,0.04646411,0.54257513
-4.73936968,2.82602246,1.58082144,1.80122095,0.15871576,0.00000000,0.05019469,0.55167920
-4.73336668,2.92644644,1.64638608,1.87273638,0.16903590,0.00000000,0.05392881,0.55952513
-4.72736368,3.02897850,1.70880282,1.94789168,0.17911418,0.00000000,0.05762103,0.56614508
-4.72136068,3.13314897,1.76761661,2.02629797,0.18883358,0.00000000,0.06122313,0.57158068
-4.71535768,3.23837057,1.82240066,2.10745252,0.19807758,0.00000000,0.06468505,0.57587959
-4.70935468,3.34392618,1.87275740,2.19073028,0.20673249,0.00000000,0.06795592,0.57909192
-4.70335168,3.44896162,1.91831854,2.27537998,0.21468970,0.00000000,0.07098527,0.58126666
-4.69734867,3.55248430,1.95874443,2.36052535,0.22184790,0.00000000,0.07372429,0.58244839
-4.69134567,3.65336842,1.99372318,2.44517195,0.22811510,0.00000000,0.07612712,0.58267442
-4.68534267,3.75036717,2.02296992,2.52821982,0.23341052,0.00000000,0.07815212,0.58197251
-4.67933967,3.84213193,2.04622645,2.60848181,0.23766611,0.00000000,0.07976316,0.58035931
-4.67333667,3.92723833,2.06326178,2.68470722,0.24082788,0.00000000,0.08093063,0.57783974
-4.66733367,4.00421850,2.07387378,2.75561016,0.24285687,0.00000000,0.08163249,0.57440720
-4.66133067,4.07159846,2.07789197,2.81990159,0.24372972,0.00000000,0.08185492,0.57004470
-4.65532766,4.12793940,2.07518171,2.87632406,0.24343899,0.00000000,0.08159289,0.56472693
-4.64932466,4.17188127,2.06564944,2.92368762,0.24199308,0.00000000,0.08085031,0.55842296
-4.64332166,4.20218677,2.04924891,2.96090559,0.23941584,0.00000000,0.07964005,0.55109967
-4.63731866,4.21778393,2.02598791,2.98702864,0.23574590,0.00000000,0.07798358,0.54272546
