energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.54977489,3.75037421,3.00122226,0.79503496,0.00284611,1.41195903,0.02101956,1.00658493,0.52376354,0.28229779
-5.54377189,3.84192445,3.06861973,0.81239084,0.00295148,1.44375101,0.02107874,1.03233162,0.53517836,0.29445588
-5.53776888,3.93290323,3.13078849,0.82891947,0.00305451,1.47337155,0.02117713,1.06060492,0.54738564,0.30735500
-5.53176588,4.02301028,3.18780182,0.84452483,0.00315415,1.50073901,0.02131817,1.09131417,0.56036927,0.32092125
-5.52576288,4.11189061,3.23976924,0.85910932,0.00324924,1.52577437,0.02150379,1.12432087,0.57409577,0.33506567
-5.51975988,4.19912499,3.28681382,0.87257288,0.00333860,1.54839605,0.02173436,1.15943739,0.58851233,0.34968590
-5.51375688,4.28422438,3.32905035,0.88481254,0.00342098,1.56851534,0.02200866,1.19642793,0.60354560,0.36466852
-5.50775388,4.36662908,3.36656570,0.89572265,0.00349514,1.58603307,0.02232402,1.23501157,0.61910158,0.37989190
-5.50175088,4.44571309,3.39940270,0.90519594,0.00355989,1.60083780,0.02267629,1.27486757,0.63506649,0.39522950
-5.49574787,4.52079393,3.42754866,0.91312535,0.00361411,1.61280585,0.02306004,1.31564269,0.65130873,0.41055357
-5.48974487,4.59114778,3.45092915,0.91940661,0.00365678,1.62180317,0.02346865,1.35696021,0.66768175,0.42573894
-5.48374187,4.65602958,3.46940763,0.92394166,0.00368706,1.62768937,0.02389449,1.39843042,0.68402780,0.44066690
-5.47773887,4.71469712,3.48279085,0.92664249,0.00370432,1.63032339,0.02432906,1.43966196,0.70018241,0.45522895
-5.47173587,4.76643824,3.49083983,0.92743558,0.00370816,1.62957100,0.02476321,1.48027357,0.71597928,0.46933021
-5.46573287,4.81059966,3.49328557,0.92626629,0.00369844,1.62531332,0.02518734,1.51990569,0.73125553,0.48289237
-5.45972986,4.84661598,3.48984857,0.92310334,0.00367530,1.61745623,0.02559156,1.55823129,0.74585681,0.49585602
-5.45372686,4.87403724,3.48026108,0.91794282,0.00363918,1.60593993,0.02596594,1.59496532,0.75964233,0.50818224
-5.44772386,4.89255344,3.46429036,0.91081160,0.00359077,1.59074811,0.02630068,1.62987247,0.77248921,0.51985330
