energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down,Si_p_up,Si_p_down,Si_d_up,Si_d_down
-5.36968484,0.60727530,-1.07995451,0.27663132,-0.47399781,0.22958729,-0.39783611,0.02673057,-0.05408723,0.11504687,-0.20178970,0.23891941,-0.43186334,0.00000000,-0.00000000
-5.36368184,0.57668490,-1.04554424,0.26512662,-0.45839230,0.21435927,-0.38281732,0.02464439,-0.05198796,0.11492329,-0.19947409,0.22154943,-0.41434476,0.00000000,-0.00000000
-5.35767884,0.55057980,-1.00942552,0.25590967,-0.44248610,0.20044514,-0.36679443,0.02270069,-0.04968733,0.11623259,-0.19749230,0.20532379,-0.39554992,0.00000000,-0.00000000
-5.35167584,0.52938709,-0.97238048,0.24917800,-0.42661245,0.18799596,-0.35003486,0.02091400,-0.04722543,0.11908102,-0.19601840,0.19038956,-0.37575750,0.00000000,-0.00000000
-5.34567284,0.51346186,-0.93520937,0.24509833,-0.41110748,0.17713980,-0.33281673,0.01929545,-0.04464420,0.12355676,-0.19522315,0.17687090,-0.35525968,0.00000000,-0.00000000
-5.33966983,0.50308084,-0.89871164,0.24380330,-0.39630331,0.16798043,-0.31542268,0.01785268,-0.04198643,0.12972691,-0.19526922,0.16486805,-0.33435601,0.00000000,-0.00000000
-5.33366683,0.49843693,-0.86366672,0.24538868,-0.38252096,0.16059647,-0.29813371,0.01658991,-0.03929465,0.13763467,-0.19630649,0.15445678,-0.31334699,0.00000000,-0.00000000
-5.32766383,0.49963475,-0.83081531,0.24991105,-0.37006360,0.15504087,-0.28122302,0.01550800,-0.03661012,0.14729654,-0.19846750,0.14568833,-0.29252782,0.00000000,-0.00000000
-5.32166083,0.50668771,-0.80084163,0.25738621,-0.35920992,0.15134093,-0.26495014,0.01460460,-0.03397186,0.15869999,-0.20186309,0.13858986,-0.27218238,0.00000000,-0.00000000
-5.31565783,0.51951654,-0.77435718,0.26778849,-0.35020828,0.14949860,-0.24955561,0.01387427,-0.03141585,0.17180154,-0.20657858,0.13316537,-0.25257764,0.00000000,-0.00000000
-5.30965483,0.53794967,-0.75188669,0.28105093,-0.34327155,0.14949135,-0.23525616,0.01330876,-0.02897428,0.18652540,-0.21267042,0.12939707,-0.23395878,0.00000000,-0.00000000
-5.30365183,0.56172550,-0.73385656,0.29706654,-0.33857300,0.15127337,-0.22224085,0.01289725,-0.02667502,0.20276293,-0.22016368,0.12724716,-0.21654498,0.00000000,-0.00000000
-5.29764882,0.59049666,-0.72058611,0.31569063,-0.33624325,0.15477720,-0.21066792,0.01262665,-0.02454115,0.22037291,-0.22905021,0.12665997,-0.20052618,0.00000000,-0.00000000
-5.29164582,0.62383642,-0.71228212,0.33674420,-0.33636857,0.15991568,-0.20066273,0.01248200,-0.02259074,0.23918274,-0.23928774,0.12756439,-0.18606073,0.00000000,-0.00000000
-5.28564282,0.66124692,-0.70903642,0.36001820,-0.33899046,0.16658416,-0.19231660,0.01244677,-0.02083669,0.25899063,-0.25080001,0.12987646,-0.17327401,0.00000000,-0.00000000
-5.27963982,0.70216931,-0.71082696,0.38527880,-0.34410667,0.17466296,-0.18568672,0.01250334,-0.01928682,0.27956875,-0.26347775,0.13350207,-0.16225802,0.00000000,-0.00000000
-5.27363682,0.74599533,-0.71752197,0.41227309,-0.35167340,0.18401987,-0.18079689,0.01263339,-0.01794396,0.30066733,-0.27718077,0.13833959,-0.15307191,0.00000000,-0.00000000
-5.26763382,0.79208018,-0.72888712,0.44073528,-0.36160891,0.19451270,-0.17763924,0.01281834,-0.01680629,0.32201955,-0.29174085,0.14428247,-0.14574330,0.00000000,-0.00000000
-5.26163082,0.83975608,-0.74459548,0.47039298,-0.37379809,0.20599180,-0.17617667,0.01303979,-0.01586765,0.34334721,-0.30696565,0.15122147,-0.14027037,0.00000000,-0.00000000
-5.25562781,0.88834615,-0.76423973,0.50097328,-0.38809807,0.21830236,-0.17634592,0.01327996,-0.01511804,0.36436682,-0.32264328,0.15904664,-0.13662457,0.00000000,-0.00000000
-5.24962481,0.93717811,-0.78734636,0.53220829,-0.40434440,0.23128644,-0.17806115,0.01352207,-0.01454415,0.38479602,-0.33854759,0.16764887,-0.13475376,0.00000000,-0.00000000
-5.24362181,0.98559729,-0.81339121,0.56383999,-0.42235778,0.24478481,-0.18121790,0.01375071,-0.01412988,0.40436007,-0.35444389,0.17692099,-0.13458571,0.00000000,-0.00000000
-5.23761881,1.03297837,-0.84181584,0.59562406,-0.44195076,0.25863828,-0.18569716,0.01395217,-0.01385697,0.42279817,-0.37009505,0.18675832,-0.13603175,0.00000000,-0.00000000
-5.23161581,1.07873573,-0.87204421,0.62733251,-0.46293443,0.27268885,-0.19136948,0.01411470,-0.01370561,0.43986929,-0.38526764,0.19705881,-0.13899039,0.00000000,-0.00000000
-5.22561281,1.12233177,-0.90349901,0.65875520,-0.48512455,0.28678033,-0.19809893,0.01422871,-0.01365503,0.45535747,-0.39973804,0.20772267,-0.14335086,0.00000000,-0.00000000
