energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Se_s_up,Se_s_down,Se_p_up,Se_p_down
1.68384192,3.15282621,-4.58886089,0.43315730,-0.57839240,1.33066626,-3.23341121,0.73303932,-0.38015522,0.50337229,-0.43288558,0.05860457,-0.06794615,0.38322038,-0.21687834,0.10241878,-0.16340753,0.65638464,-0.46841285
1.68984492,3.21159333,-4.66186131,0.44937921,-0.58007741,1.35002815,-3.26981195,0.74805411,-0.38613241,0.51100623,-0.44295994,0.06056982,-0.06867128,0.38852489,-0.22570128,0.10561581,-0.16720696,0.67519293,-0.48396462
1.69584792,3.26723263,-4.72023791,0.46547490,-0.57971926,1.36655620,-3.29518545,0.76101814,-0.39120431,0.51951687,-0.45165020,0.06237381,-0.06912868,0.39300385,-0.23412008,0.10861184,-0.17056091,0.69458074,-0.49847554
1.70185093,3.32013244,-4.76356258,0.48145835,-0.57738863,1.38028978,-3.30932294,0.77196294,-0.39539432,0.52908994,-0.45889880,0.06399187,-0.06930248,0.39667692,-0.24208475,0.11140391,-0.17345499,0.71477395,-0.51180639
1.70785393,3.37086784,-4.79168807,0.49735781,-0.57318699,1.39137492,-3.31222971,0.78097389,-0.39874487,0.53992123,-0.46467550,0.06540404,-0.06918287,0.39958817,-0.24955016,0.11399410,-0.17588247,0.73602683,-0.52384037
1.71385693,3.42016675,-4.80474277,0.51321160,-0.56724306,1.40005376,-3.30412106,0.78818420,-0.40131526,0.55220784,-0.46897661,0.06659544,-0.06876650,0.40180249,-0.25647548,0.11638888,-0.17784375,0.75861009,-0.53448502
1.71985993,3.46886921,-4.80311573,0.52906329,-0.55970848,1.40665070,-3.28541090,0.79376699,-0.40317878,0.56613863,-0.47182334,0.06755655,-0.06805648,0.40340151,-0.26282355,0.11859831,-0.17934541,0.78279707,-0.54367324
1.72586293,3.51788121,-4.78743241,0.54495647,-0.55075295,1.41155569,-3.25669350,0.79792598,-0.40441912,0.58188409,-0.47325918,0.06828326,-0.06706225,0.40447920,-0.26856004,0.12063517,-0.18039922,0.80884852,-0.55136326
1.73186593,3.56812512,-4.75852232,0.56092946,-0.54055889,1.41520554,-3.21871894,0.80088517,-0.40512632,0.59958620,-0.47334661,0.06877680,-0.06579911,0.40513725,-0.27365265,0.12251394,-0.18102087,0.83699663,-0.55753749
1.73786893,3.62048894,-4.71737994,0.57701017,-0.52931580,1.41806373,-3.17236347,0.80287805,-0.40539241,0.61934861,-0.47216317,0.06904347,-0.06428760,0.40548045,-0.27807029,0.12424986,-0.18122865,0.86742903,-0.56220057
1.74387194,3.67577652,-4.66512090,0.59321152,-0.51721467,1.42059968,-3.11859601,0.80413692,-0.40530684,0.64122786,-0.46979722,0.06909429,-0.06255264,0.40561229,-0.28178242,0.12585800,-0.18104214,0.90027353,-0.56537650
1.74987494,3.73466097,-4.60293562,0.60952752,-0.50444245,1.42326827,-3.05844236,0.80488271,-0.40495204,0.66522570,-0.46634348,0.06894455,-0.06062265,0.40563086,-0.28475870,0.12735236,-0.18048099,0.93558432,-0.56710519
1.75587794,3.79764338,-4.53204275,0.62593051,-0.49117704,1.42649034,-2.99294890,0.80531586,-0.40439930,0.69128332,-0.46189881,0.06861324,-0.05852841,0.40562516,-0.28696878,0.12874526,-0.17956376,0.97333032,-0.56743860
1.76188094,3.86501859,-4.45364485,0.64236940,-0.47758280,1.43063500,-2.92314756,0.80560854,-0.40370518,0.71927749,-0.45655818,0.06812246,-0.05630213,0.40567208,-0.28838262,0.13004666,-0.17830713,1.01338640,-0.56643681
1.76788394,3.93684957,-4.36888865,0.65876929,-0.46380687,1.43600441,-2.85002367,0.80589854,-0.40290871,0.74901902,-0.45041134,0.06749688,-0.05397637,0.40583402,-0.28897101,0.13126386,-0.17672516,1.05552794,-0.56416415
1.77388694,4.01295149,-4.27883184,0.67503240,-0.44997651,1.44282141,-2.77448836,0.80628502,-0.40202950,0.78025367,-0.44354010,0.06676302,-0.05158311,0.40615716,-0.28870656,0.13240125,-0.17482905,1.09942914,-0.56068588
1.77988994,4.09288597,-4.18441811,0.69104022,-0.43619741,1.45122060,-2.69735678,0.80682618,-0.40106693,0.81266550,-0.43601663,0.06594876,-0.04915301,0.40667056,-0.28756498,0.13346026,-0.17262704,1.14466535,-0.55606538
1.78589295,4.17596579,-4.08646171,0.70665676,-0.42255323,1.46124298,-2.61933305,0.80753885,-0.40000058,0.84588253,-0.42790266,0.06508268,-0.04671469,0.40738592,-0.28552665,0.13443947,-0.17012474,1.19071944,-0.55036235
1.79189595,4.26126966,-3.98564199,0.72173283,-0.40910615,1.47283427,-2.54100276,0.80839982,-0.39879172,0.87948470,-0.41924963,0.06419349,-0.04429436,0.40829799,-0.28257833,0.13533481,-0.16732565,1.23699209,-0.54363186
1.79789895,4.34766616,-3.88250817,0.73611094,-0.39589867,1.48584682,-2.46283289,0.80934883,-0.39738616,0.91301364,-0.41009994,0.06330950,-0.04191547,0.40938563,-0.27871503,0.13613988,-0.16423202,1.28281568,-0.53592456
1.80390195,4.43384579,-3.77749362,0.74963058,-0.38295628,1.50004498,-2.38517924,0.81029289,-0.39571803,0.94598402,-0.40048888,0.06245802,-0.03959872,0.41061332,-0.27394177,0.13684629,-0.16084585,1.32747134,-0.52728784
1.80990495,4.51835951,-3.67093870,0.76213368,-0.37029108,1.51511342,-2.30830044,0.81111168,-0.39371455,0.97789594,-0.39044744,0.06166484,-0.03736213,0.41193313,-0.26827530,0.13744409,-0.15717005,1.37020844,-0.51776800
1.81590795,4.59966209,-3.56312049,0.77346980,-0.35790593,1.53066814,-2.23237775,0.81166367,-0.39130156,1.00824797,-0.38000545,0.06095362,-0.03522133,0.41328689,-0.26174549,0.13792210,-0.15320966,1.41026579,-0.50741320
1.82191096,4.67615835,-3.45428743,0.78350093,-0.34579922,1.54626959,-2.15753917,0.81179276,-0.38840950,1.03655021,-0.36919517,0.06034534,-0.03318998,0.41460863,-0.25439642,0.13826831,-0.14897314,1.44689382,-0.49627695
1.82791396,4.74625041,-3.34469672,0.79210550,-0.33396964,1.56143724,-2.08388646,0.81133500,-0.38497957,1.06233702,-0.35805480,0.05985770,-0.03128028,0.41582704,-0.24628701,0.13847016,-0.14447349,1.47937659,-0.48442191
1.83391696,4.80838402,-3.23465197,0.79918163,-0.32242108,1.57566520,-2.01152318,0.81012527,-0.38096986,1.08517877,-0.34663181,0.05950460,-0.02950359,0.41686790,-0.23749122,0.13851488,-0.13972934,1.50705309,-0.47192371
1.83991996,4.86109246,-3.12453880,0.80464928,-0.31116706,1.58843813,-1.94058236,0.80800353,-0.37636104,1.10469239,-0.33498581,0.05929552,-0.02787101,0.41765641,-0.22809769,0.13838965,-0.13476575,1.52933671,-0.45887442
1.84592296,4.90303624,-3.01485609,0.80845148,-0.30023474,1.59924695,-1.87125173,0.80482065,-0.37116135,1.12055020,-0.32319080,0.05923514,-0.02639400,0.41811943,-0.21820890,0.13808189,-0.12961490,1.54573227,-0.44538545
