energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-5.90995498,4.04740227,0.78409651,0.90529404,0.00482524,0.82502925,0.89399158,0.88901494,0.00618234,1.78886108
-5.90395198,3.88450029,0.75041174,0.88218358,0.00439083,0.81165736,0.84136488,0.84504122,0.00588374,1.69543511
-5.89794897,3.72289822,0.71895766,0.85774899,0.00397570,0.79721726,0.79018920,0.80189770,0.00563974,1.60389135
-5.89194597,3.56504431,0.69041148,0.83238056,0.00358258,0.78199282,0.74117505,0.76014652,0.00545562,1.51554450
-5.88594297,3.41318852,0.66537661,0.80645088,0.00321370,0.76625289,0.69495729,0.72030704,0.00533597,1.43159441
-5.87993997,3.26935092,0.64437209,0.78030879,0.00287084,0.75024693,0.65208735,0.68284969,0.00528456,1.35311024
-5.87393697,3.13529902,0.62782423,0.75427484,0.00255528,0.73420211,0.61302828,0.64819153,0.00530436,1.28101914
-5.86793397,3.01253375,0.61606076,0.72863854,0.00226791,0.71832166,0.57815222,0.61669328,0.00539743,1.21609914
-5.86193097,2.90228308,0.60930722,0.70365699,0.00200918,0.70278449,0.54774029,0.58865776,0.00556493,1.15897598
-5.85592796,2.80550242,0.60768574,0.67955481,0.00177920,0.68774568,0.52198425,0.56432942,0.00580700,1.11012306
-5.84992496,2.72288039,0.61121605,0.65652507,0.00157776,0.67333788,0.50098991,0.54389466,0.00612279,1.06986416
-5.84392196,2.65484867,0.61981860,0.63473082,0.00140437,0.65967313,0.48478158,0.52748289,0.00651041,1.03837811
-5.83791896,2.60159477,0.63331983,0.61430700,0.00125829,0.64684497,0.47330749,0.51516774,0.00696691,1.01570486
-5.83191596,2.56307661,0.65145920,0.59536249,0.00113861,0.63493070,0.46644568,0.50696858,0.00748829,1.00175251
-5.82591296,2.53903794,0.67389814,0.57798195,0.00104423,0.62399349,0.46401021,0.50285196,0.00806951,0.99630475
-5.81990995,2.52902425,0.70023054,0.56222747,0.00097394,0.61408431,0.46575755,0.50273295,0.00870458,0.99902862
-5.81390695,2.53239860,0.72999466,0.54813980,0.00092639,0.60524356,0.47139290,0.50647661,0.00938654,1.00948238
-5.80790395,2.54835759,0.76268630,0.53573925,0.00090018,0.59750247,0.48057654,0.51389926,0.01010762,1.02712360
-5.80190095,2.57594742,0.79777279,0.52502625,0.00089380,0.59088420,0.49293015,0.52477018,0.01085934,1.05131749
-5.79589795,2.61408062,0.83470761,0.51598175,0.00090570,0.58540470,0.50804312,0.53881353,0.01163262,1.08134587
-5.78989495,2.66155359,0.87294527,0.50856751,0.00093425,0.58107341,0.52547903,0.55571090,0.01241795,1.11641692
-5.78389195,2.71706572,0.91195591,0.50272655,0.00097779,0.57789396,0.54478227,0.57510472,0.01320559,1.15567595
-5.77788894,2.77924007,0.95123936,0.49838377,0.00103458,0.57586472,0.56548486,0.59660261,0.01398574,1.19821763
-5.77188594,2.84664616,0.99033814,0.49544704,0.00110284,0.57497953,0.58711359,0.61978284,0.01474877,1.24309948
-5.76588294,2.91782467,1.02884898,0.49380873,0.00118074,0.57522842,0.60919738,0.64420095,0.01548540,1.28935703
-5.75987994,2.99131395,1.06643253,0.49334781,0.00126639,0.57659842,0.63127487,0.66939761,0.01618693,1.33602025
-5.75387694,3.06567801,1.10282092,0.49393246,0.00135790,0.57907456,0.65290210,0.69490744,0.01684542,1.38213114
-5.74787394,3.13953524,1.13782300,0.49542332,0.00145331,0.58264085,0.67366015,0.72026869,0.01745388,1.42676215
-5.74187094,3.21158720,1.17132704,0.49767702,0.00155069,0.58728136,0.69316250,0.74503348,0.01800642,1.46903485
-5.73586793,3.28064650,1.20330102,0.50055015,0.00164811,0.59298134,0.71106205,0.76877827,0.01849839,1.50813830
-5.72986493,3.34566293,1.23379052,0.50390335,0.00174369,0.59972826,0.72705733,0.79111416,0.01892641,1.54334653
-5.72386193,3.40574670,1.26291436,0.50760534,0.00183560,0.60751289,0.74089792,0.81169653,0.01928850,1.57403437
-5.71785893,3.46018808,1.29085842,0.51153690,0.00192212,0.61633023,0.75238871,0.83023372,0.01958402,1.59969108
-5.71185593,3.50847246,1.31786786,0.51559433,0.00200168,0.62618038,0.76139288,0.84649435,0.01981365,1.61993125
-5.70585293,3.55029044,1.34423817,0.51969257,0.00207284,0.63706928,0.76783345,0.86031293,0.01997933,1.63450234
-5.69984992,3.58554229,1.37030537,0.52376758,0.00213437,0.64900928,0.77169336,0.87159348,0.02008413,1.64328870
-5.69384692,3.61433682,1.39643585,0.52777803,0.00218525,0.66201956,0.77301402,0.88031117,0.02013212,1.64631182
-5.68784392,3.63698447,1.42301601,0.53170620,0.00222471,0.67612635,0.77189234,0.88651175,0.02012820,1.64372675
-5.68184092,3.65398503,1.45044201,0.53555801,0.00225221,0.69136283,0.76847647,0.89030892,0.02007791,1.63581494
-5.67583792,3.66601025,1.47910986,0.53936229,0.00226748,0.70776880,0.76296019,0.89187984,0.01998728,1.62297370
-5.66983492,3.67388209,1.50940578,0.54316916,0.00227052,0.72538997,0.75557644,0.89145882,0.01986263,1.60570277
-5.66383192,3.67854718,1.54169697,0.54704768,0.00226157,0.74427673,0.74658988,0.88932974,0.01971042,1.58458845
-5.65782891,3.68104827,1.57632278,0.55108292,0.00224111,0.76448256,0.73628901,0.88581732,0.01953710,1.56028605
-5.65182591,3.68249361,1.61358603,0.55537227,0.00220985,0.78606172,0.72497802,0.88127767,0.01934898,1.53350110
-5.64582291,3.68402491,1.65374459,0.56002146,0.00216868,0.80906649,0.71296849,0.87608853,0.01915217,1.50497009
-5.63981991,3.68678481,1.69700309,0.56514009,0.00211867,0.83354372,0.70057145,0.87063932,0.01895252,1.47544129
-5.63381691,3.69188453,1.74350471,0.57083693,0.00206098,0.85953082,0.68808974,0.86532154,0.01875557,1.44565619
-5.62781391,3.70037247,1.79332322,0.57721520,0.00199692,0.88705124,0.67581099,0.86051950,0.01856659,1.41633204
-5.62181091,3.71320440,1.84645532,0.58436775,0.00192780,0.91610961,0.66400136,0.85660164,0.01839055,1.38814584
-5.61580790,3.73121571,1.90281357,0.59237251,0.00185497,0.94668658,0.65290015,0.85391255,0.01823223,1.36172005
-5.60980490,3.75509649,1.96222032,0.60128809,0.00177977,0.97873381,0.64271527,0.85276574,0.01809620,1.33761021
-5.60380190,3.78536975,2.02440291,0.61114997,0.00170350,1.01216911,0.63361973,0.85343705,0.01798689,1.31629461
-5.59779890,3.82237347,2.08899071,0.62196718,0.00162735,1.04687224,0.62574913,0.85615889,0.01790862,1.29816597
-5.59179590,3.86624670,2.15551445,0.63371966,0.00155245,1.08268160,0.61920013,0.86111510,0.01786562,1.28352521
-5.58579290,3.91692041,2.22340825,0.64635654,0.00147979,1.11939205,0.61402993,0.86843654,0.01786201,1.27257722
-5.57978989,3.97411334,2.29201491,0.65979532,0.00141026,1.15675434,0.61025669,0.87819738,0.01790175,1.26542859
-5.57378689,4.03733325,2.36059452,0.67392211,0.00134458,1.19447613,0.60786090,0.89041212,0.01798859,1.26208730
-5.56778389,4.10588385,2.42833669,0.68859298,0.00128336,1.23222506,0.60678768,0.90503345,0.01812596,1.26246428
-5.56178089,4.17887754,2.49437645,0.70363650,0.00122707,1.26963371,0.60694987,0.92195109,0.01831684,1.26637688
-5.55577789,4.25525405,2.55781340,0.71885736,0.00117602,1.30630662,0.60823194,0.94099169,0.01856362,1.27355416
-5.54977489,4.33380477,2.61773391,0.73404110,0.00113043,1.34182914,0.61049465,0.96192004,0.01886791,1.28364412
-5.54377189,4.41320238,2.67323569,0.74895983,0.00109039,1.37577796,0.61358027,0.98444167,0.01923039,1.29622259
-5.53776888,4.49203529,2.72345398,0.76337875,0.00105587,1.40773298,0.61731835,1.00820705,0.01965065,1.31080407
-5.53176588,4.56884593,2.76758840,0.77706328,0.00102678,1.43728999,0.62153180,1.03281744,0.02012704,1.32685410
-5.52576288,4.64217198,2.80492955,0.78978653,0.00100292,1.46407383,0.62604322,1.05783246,0.02065651,1.34380311
-5.51975988,4.71058917,2.83488420,0.80133687,0.00098405,1.48775126,0.63068122,1.08277931,0.02123461,1.36106164
-5.51375688,4.77275429,2.85699801,0.81152521,0.00096986,1.50804315,0.63528647,1.10716350,0.02185540,1.37803637
-5.50775388,4.82744696,2.87097487,0.82019173,0.00096001,1.52473523,0.63971746,1.13048093,0.02251149,1.39414675
-5.50175088,4.87360838,2.87669185,0.82721176,0.00095413,1.53768699,0.64385552,1.15223095,0.02319413,1.40884178
-5.49574787,4.91037586,2.87420909,0.83250047,0.00095184,1.54683817,0.64760909,1.17192999,0.02389333,1.42161627
-5.48974487,4.93711136,2.86377404,0.83601618,0.00095273,1.55221251,0.65091693,1.18912534,0.02459812,1.43202631
-5.48374187,4.95342319,2.84581984,0.83776213,0.00095644,1.55391851,0.65375030,1.20340854,0.02529675,1.43970316
-5.47773887,4.95917962,2.82095768,0.83778647,0.00096259,1.55214704,0.65611378,1.21442791,0.02597699,1.44436518
-5.47173587,4.95451395,2.78996334,0.83618069,0.00097084,1.54716595,0.65804494,1.22189965,0.02662654,1.44582733
-5.46573287,4.93982068,2.75375840,0.83307620,0.00098090,1.53931166,0.65961270,1.22561705,0.02723329,1.44400777
-5.45972986,4.91574299,2.71338662,0.82863958,0.00099250,1.52897837,0.66091461,1.22545744,0.02778576,1.43893134
-5.45372686,4.88315186,2.66998639,0.82306634,0.00100545,1.51660500,0.66207295,1.22138657,0.02827341,1.43072972
-5.44772386,4.84311773,2.62476018,0.81657376,0.00101961,1.50266065,0.66323016,1.21346018,0.02868699,1.41963813
-5.44172086,4.79687592,2.57894192,0.80939291,0.00103490,1.48762911,0.66454338,1.20182265,0.02901880,1.40598876
-5.43571786,4.74578696,2.53376358,0.80176036,0.00105132,1.47199305,0.66617875,1.18670294,0.02926297,1.39020102
-5.42971486,4.69129355,2.49042174,0.79390982,0.00106892,1.45621861,0.66830536,1.16840766,0.02941559,1.37276890
-5.42371186,4.63487569,2.45004552,0.78606423,0.00108784,1.44074096,0.67108924,1.14731190,0.02947481,1.35424592
-5.41770885,4.57800562,2.41366647,0.77842836,0.00110825,1.42595142,0.67468754,1.12384787,0.02944090,1.33522804
-5.41170585,4.52210411,2.38219151,0.77118256,0.00113036,1.41218662,0.67924303,1.09849194,0.02931616,1.31633509
-5.40570285,4.46849954,2.35637959,0.76447753,0.00115444,1.39972005,0.68487910,1.07175055,0.02910478,1.29819133
-5.39969985,4.41839109,2.33682257,0.75843060,0.00118073,1.38875626,0.69169532,1.04414538,0.02881271,1.28140570
-5.39369685,4.37281690,2.32393087,0.75312333,0.00120949,1.37942786,0.69976358,1.01619848,0.02844735,1.26655225
-5.38769385,4.33262822,2.31792415,0.74860071,0.00124094,1.37179530,0.70912491,0.98841762,0.02801729,1.25415148
-5.38169085,4.29846987,2.31882722,0.74487172,0.00127522,1.36584933,0.71978696,0.96128252,0.02753196,1.24465306
-5.37568784,4.27076756,2.32647128,0.74191125,0.00131242,1.36151597,0.73172207,0.93523228,0.02700133,1.23842036
-5.36968484,4.24972197,2.34050033,0.73966327,0.00135251,1.35866361,0.74486604,0.91065433,0.02643555,1.23571744
-5.36368184,4.23530972,2.36038268,0.73804492,0.00139534,1.35711201,0.75911755,0.88787530,0.02584461,1.23669872
-5.35767884,4.22729084,2.38542733,0.73695145,0.00144063,1.35664271,0.77433826,0.86715390,0.02523809,1.24140180
-5.35167584,4.22522247,2.41480469,0.73626173,0.00148798,1.35701044,0.79035365,0.84867612,0.02462486,1.24974365
-5.34567284,4.22847825,2.44757130,0.73584411,0.00153680,1.35795519,0.80695464,0.83255264,0.02401289,1.26152047
-5.33966983,4.23627280,2.48269796,0.73556236,0.00158642,1.35921439,0.82390009,0.81881872,0.02340910,1.27641115
-5.33366683,4.24769073,2.51910055,0.73528162,0.00163600,1.36053487,0.84092018,0.80743627,0.02281926,1.29398457
-5.32766383,4.26171926,2.55567273,0.73487398,0.00168461,1.36168425,0.85772083,0.79829817,0.02224789,1.31371045
-5.32166083,4.27728363,2.59131972,0.73422375,0.00173127,1.36246136,0.87398910,0.79123462,0.02169833,1.33497360
-5.31565783,4.29328442,2.62499217,0.73323203,0.00177490,1.36270542,0.88939948,0.78602126,0.02117276,1.35709125
-5.30965483,4.30863562,2.65571900,0.73182076,0.00181446,1.36230370,0.90362122,0.78238879,0.02067228,1.37933292
-5.30365183,4.32230241,2.68263829,0.72993581,0.00184891,1.36119753,0.91632631,0.78003380,0.02019703,1.40094222
-5.29764882,4.33333735,2.70502499,0.72754936,0.00187728,1.35938628,0.92719806,0.77863035,0.01974633,1.42115996
-5.29164582,4.34091380,2.72231461,0.72466129,0.00189870,1.35692940,0.93593998,0.77784199,0.01931882,1.43924767
-5.28564282,4.34435538,2.73412168,0.72129963,0.00191242,1.35394626,0.94228456,0.77733367,0.01891262,1.45451065
-5.27963982,4.34316014,2.74025243,0.71752010,0.00191787,1.35061388,0.94600176,0.77678318,0.01852552,1.46631985
-5.27363682,4.33701845,2.74071078,0.71340454,0.00191465,1.34716239,0.94690662,0.77589175,0.01815503,1.47413153
-5.26763382,4.32582366,2.73569741,0.70905854,0.00190257,1.34386843,0.94486585,0.77439322,0.01779860,1.47750391
-5.26163082,4.30967490,2.72560161,0.70460806,0.00188162,1.34104655,0.93980286,0.77206164,0.01745369,1.47611035
-5.25562781,4.28887145,2.71098598,0.70019523,0.00185200,1.33903874,0.93170105,0.76871698,0.01711786,1.46974822
-5.24962481,4.26389882,2.69256448,0.69597338,0.00181410,1.33820241,0.92060514,0.76422863,0.01678889,1.45834329
-5.24362181,4.23540672,2.67117435,0.69210143,0.00176848,1.33889704,0.90662041,0.75851678,0.01646478,1.44194943
-5.23761881,4.20417952,2.64774294,0.68873784,0.00171586,1.34146997,0.88990986,0.75155160,0.01614388,1.42074373
-5.23161581,4.17110053,2.62325062,0.68603417,0.00165706,1.34624156,0.87068931,0.74335031,0.01582487,1.39501719
-5.22561281,4.13711114,2.59869102,0.68412860,0.00159302,1.35349050,0.84922074,0.73397249,0.01550683,1.36516168
-5.21960980,4.10316684,2.57503042,0.68313950,0.00152472,1.36343940,0.82580416,0.72351378,0.01518926,1.33165357
-5.21360680,4.07019185,2.55316757,0.68315940,0.00145316,1.37624156,0.80076823,0.71209847,0.01487211,1.29503511
-5.20760380,4.03903442,2.53389583,0.68424956,0.00137936,1.39196919,0.77446029,0.69987143,0.01455580,1.25589421
-5.20160080,4.01042507,2.51786913,0.68643528,0.00130429,1.41060375,0.74723604,0.68698966,0.01424125,1.21484382
-5.19559780,3.98493957,2.50557315,0.68970243,0.00122886,1.43202894,0.71944947,0.67361424,0.01392991,1.17250156
-5.18959480,3.96296861,2.49730311,0.69399508,0.00115393,1.45602660,0.69144339,0.65990277,0.01362373,1.12947075
-5.18359180,3.94469576,2.49314904,0.69921471,0.00108023,1.48227608,0.66354100,0.64600289,0.01332523,1.08632345
-5.17758879,3.93008480,2.49298936,0.70522085,0.00100842,1.51035720,0.63603875,0.63204714,0.01303744,1.04358613
-5.17158579,3.91887717,2.49649304,0.71183339,0.00093904,1.53975690,0.60920072,0.61814932,0.01276390,1.00172857
-5.16558279,3.91059983,2.50313037,0.71883644,0.00087253,1.56987968,0.58325477,0.60440243,0.01250862,0.96115599
-5.15957979,3.90458312,2.51219188,0.72598378,0.00080923,1.60006140,0.55839028,0.59087830,0.01227603,0.92220468
-5.15357679,3.89998793,2.52281478,0.73300557,0.00074936,1.62958628,0.53475760,0.57762861,0.01207086,0.88514089
-5.14757379,3.89584069,2.53401564,0.73961629,0.00069308,1.65770651,0.51246901,0.56468728,0.01189806,0.85016266
-5.14157079,3.89107465,2.54472800,0.74552347,0.00064046,1.68366369,0.49160086,0.55207377,0.01176266,0.81740417
-5.13556778,3.88457518,2.55384336,0.75043695,0.00059149,1.70671152,0.47219682,0.53979713,0.01166959,0.78694206
-5.12956478,3.87522701,2.56025354,0.75407828,0.00054613,1.72613857,0.45427181,0.52786021,0.01162354,0.75880301
-5.12356178,3.86196086,2.56289279,0.75618984,0.00050426,1.74129054,0.43781627,0.51626389,0.01162871,0.73297207
-5.11755878,3.84379734,2.56077761,0.75654330,0.00046577,1.75159071,0.42280056,0.50501082,0.01168863,0.70940108
-5.11155578,3.81988574,2.55304278,0.75494708,0.00043049,1.75655800,0.40917918,0.49410839,0.01180595,0.68801660
-5.10555278,3.78953620,2.53897187,0.75125245,0.00039824,1.75582173,0.39689462,0.48357083,0.01198224,0.66872695
-5.09954977,3.75224349,2.51802118,0.74535797,0.00036884,1.74913241,0.38588055,0.47342015,0.01221778,0.65142807
-5.09354677,3.70770186,2.48983611,0.73721218,0.00034209,1.73636821,0.37606447,0.46368594,0.01251140,0.63600797
-5.08754377,3.65581027,2.45425959,0.72681440,0.00031780,1.71753682,0.36736958,0.45440414,0.01286036,0.62234977
-5.08154077,3.59666843,2.41133241,0.71421366,0.00029576,1.69277268,0.35971606,0.44561477,0.01326025,0.61033336
-5.07553777,3.53056419,2.36128574,0.69950580,0.00027581,1.66232984,0.35302175,0.43735905,0.01370497,0.59983606
-5.06953477,3.45795359,2.30452677,0.68282906,0.00025774,1.62657090,0.34720241,0.42967597,0.01418676,0.59073233
-5.06353177,3.37943508,2.24161811,0.66435828,0.00024138,1.58595262,0.34217179,0.42259880,0.01469628,0.58289314
-5.05752876,3.29571966,2.17325262,0.64429817,0.00022656,1.54100888,0.33784150,0.41615181,0.01522278,0.57618521
-5.05152576,3.20759905,2.10022487,0.62287592,0.00021311,1.49233211,0.33412116,0.41034747,0.01575432,0.57047054
-5.04552276,3.11591373,2.02340081,0.60033350,0.00020087,1.44055386,0.33091865,0.40518445,0.01627806,0.56560659
-5.03951976,3.02152265,1.94368723,0.57692017,0.00018971,1.38632544,0.32814082,0.40064669,0.01678057,0.56144735
-5.03351676,2.92527627,1.86200228,0.55288534,0.00017947,1.33029961,0.32569462,0.39670357,0.01724826,0.55784533
-5.02751376,2.82799405,1.77924843,0.52847220,0.00017002,1.27311392,0.32348878,0.39331130,0.01766773,0.55465470
-5.02151076,2.73044728,1.69628878,0.50391228,0.00016123,1.21537628,0.32143578,0.39041544,0.01802623,0.55173535
-5.01550775,2.63334754,1.61392745,0.47942115,0.00015301,1.15765322,0.31945434,0.38795453,0.01831203,0.54895774
-5.00950475,2.53734085,1.53289453,0.45519515,0.00014524,1.10046106,0.31747199,0.38586441,0.01851485,0.54620823
-5.00350175,2.44300693,1.45383566,0.43140947,0.00013784,1.04426005,0.31542778,0.38408314,0.01862614,0.54339459
-4.99749875,2.35086279,1.37730618,0.40821715,0.00013072,0.98945126,0.31327479,0.38255604,0.01863942,0.54045118
-4.99149575,2.26136965,1.30376944,0.38574914,0.00012382,0.93637616,0.31098229,0.38124061,0.01855047,0.53734345
-4.98549275,2.17494189,1.23359880,0.36411511,0.00011710,0.88531828,0.30853744,0.38011086,0.01835746,0.53407141
-4.97948974,2.09195677,1.16708245,0.34340489,0.00011050,0.83650671,0.30594622,0.37916074,0.01806099,0.53067151
-4.97348674,2.01276370,1.10443056,0.32369024,0.00010401,0.79012081,0.30323352,0.37840641,0.01766405,0.52721690
-4.96748374,1.93769187,1.04578376,0.30502691,0.00009760,0.74629566,0.30044242,0.37788708,0.01717192,0.52381568
-4.96148074,1.86705544,0.99122234,0.28745659,0.00009128,0.70512784,0.29763239,0.37766430,0.01659189,0.52060722
-4.95547774,1.80115557,0.94077540,0.27100883,0.00008504,0.66668098,0.29487668,0.37781961,0.01593308,0.51775647
-4.94947474,1.74027893,0.89442950,0.25570259,0.00007890,0.63099087,0.29225889,0.37845059,0.01520601,0.51544654
-4.94347174,1.68469272,0.85213626,0.24154753,0.00007288,0.59806982,0.28986874,0.37966558,0.01442230,0.51386974
-4.93746873,1.63463639,0.81381868,0.22854487,0.00006699,0.56791002,0.28779745,0.38157708,0.01359429,0.51321756
-4.93146573,1.59031066,0.77937596,0.21668789,0.00006127,0.54048599,0.28613279,0.38429435,0.01273459,0.51366994
-4.92546273,1.55186453,0.74868687,0.20596211,0.00005575,0.51575591,0.28495401,0.38791545,0.01185576,0.51538444
-4.91945973,1.51938128,0.72161170,0.19634514,0.00005044,0.49366217,0.28432705,0.39251927,0.01096993,0.51848585
-4.91345673,1.49286442,0.69799300,0.18780636,0.00004538,0.47413109,0.28430012,0.39815787,0.01008850,0.52305667
-4.90745373,1.47222479,0.67765537,0.18030658,0.00004059,0.45707216,0.28489992,0.40484961,0.00922192,0.52912912
-4.90145073,1.45726974,0.66040469,0.17379759,0.00003609,0.44237692,0.28612882,0.41257359,0.00837944,0.53667905
-4.89544772,1.44769548,0.64602706,0.16822191,0.00003189,0.42991793,0.28796294,0.42126562,0.00756898,0.54562214
-4.88944472,1.44308336,0.63428789,0.16351273,0.00002801,0.41954781,0.29035141,0.43081604,0.00679710,0.55581267
-4.88344172,1.44290063,0.62493149,0.15959415,0.00002444,0.41109893,0.29321690,0.44106974,0.00606891,0.56704503
-4.87743872,1.44650633,0.61768137,0.15638169,0.00002118,0.40438366,0.29645724,0.45182828,0.00538813,0.57905795
-4.87143572,1.45316213,0.61224171,0.15378331,0.00001825,0.39919553,0.29994836,0.46285425,0.00475718,0.59154143
-4.86543272,1.46204821,0.60829993,0.15170066,0.00001561,0.39531136,0.30354819,0.47387772,0.00417724,0.60414610
-4.85942971,1.47228367,0.60553068,0.15003087,0.00001327,0.39249440,0.30710156,0.48460444,0.00364842,0.61649462
-4.85342671,1.48295080,0.60360106,0.14866850,0.00001120,0.39049844,0.31044583,0.49472573,0.00316987,0.62819477
-4.84742371,1.49312233,0.60217708,0.14750790,0.00000939,0.38907283,0.31341694,0.50392927,0.00273999,0.63885356
-4.84142071,1.50189048,0.60093113,0.14644565,0.00000782,0.38796824,0.31585587,0.51191068,0.00235653,0.64809190
-4.83541771,1.50839670,0.59955013,0.14538314,0.00000646,0.38694289,0.31761488,0.51838508,0.00201679,0.65555899
-4.82941471,1.51186061,0.59774403,0.14422911,0.00000531,0.38576909,0.31856356,0.52309827,0.00171775,0.66094602
-4.82341171,1.51160691,0.59525419,0.14290201,0.00000433,0.38423964,0.31859424,0.52583690,0.00145616,0.66399837
-4.81740870,1.50708897,0.59186129,0.14133217,0.00000351,0.38217386,0.31762655,0.52643722,0.00122871,0.66452582
-4.81140570,1.49790787,0.58739219,0.13946356,0.00000282,0.37942298,0.31561097,0.52479191,0.00103209,0.66241029
-4.80540270,1.48382606,0.58172537,0.13725513,0.00000225,0.37587436,0.31253112,0.52085480,0.00086306,0.65761083
-4.79939970,1.46477482,0.57479467,0.13468162,0.00000179,0.37145467,0.30840471,0.51464305,0.00071853,0.65016540
-4.79339670,1.44085527,0.56659087,0.13173382,0.00000141,0.36613142,0.30328314,0.50623690,0.00059559,0.64018969
-4.78739370,1.41233261,0.55716112,0.12841827,0.00000110,0.35991305,0.29724975,0.49577694,0.00049154,0.62787276
-4.78139070,1.37962418,0.54660601,0.12475635,0.00000085,0.35284736,0.29041671,0.48345900,0.00040392,0.61346990
-4.77538769,1.34328159,0.53507452,0.12078289,0.00000066,0.34501841,0.28292091,0.46952702,0.00033048,0.59729296
-4.76938469,1.30396802,0.52275692,0.11654433,0.00000050,0.33654196,0.27491881,0.45426416,0.00026922,0.57969874
-4.76338169,1.26243171,0.50987598,0.11209644,0.00000038,0.32755984,0.26658072,0.43798278,0.00021835,0.56107586
-4.75737869,1.21947688,0.49667699,0.10750185,0.00000029,0.31823324,0.25808458,0.42101348,0.00017631,0.54183088
-4.75137569,1.17593358,0.48341695,0.10282745,0.00000022,0.30873555,0.24960973,0.40369404,0.00014172,0.52237423
-4.74537269,1.13262779,0.47035360,0.09814165,0.00000016,0.29924492,0.24133084,0.38635855,0.00011340,0.50310659
-4.73936968,1.09035316,0.45773471,0.09351189,0.00000012,0.28993699,0.23341220,0.36932724,0.00009031,0.48440636
-4.73336668,1.04984554,0.44578826,0.08900223,0.00000009,0.28097801,0.22600289,0.35289751,0.00007158,0.46661865
-4.72736368,1.01176138,0.43471385,0.08467129,0.00000006,0.27251888,0.21923264,0.33733630,0.00005646,0.45004625
-4.72136068,0.97666065,0.42467582,0.08057057,0.00000005,0.26469007,0.21320880,0.32287428,0.00004432,0.43494289
-4.71535768,0.94499486,0.41579823,0.07674319,0.00000003,0.25759789,0.20801439,0.30970172,0.00003461,0.42150877
-4.70935468,0.91710017,0.40816196,0.07322301,0.00000002,0.25132191,0.20370718,0.29796625,0.00002688,0.40988857
-4.70335168,0.89319555,0.40180382,0.07003429,0.00000002,0.24591382,0.20031984,0.28777232,0.00002077,0.40017164
-4.69734867,0.87338564,0.39671765,0.06719167,0.00000001,0.24139747,0.19786101,0.27918224,0.00001596,0.39239427
-4.69134567,0.85766740,0.39285716,0.06470059,0.00000001,0.23777013,0.19631706,0.27221853,0.00001220,0.38654353
-4.68534267,0.84594014,0.39014020,0.06255799,0.00000001,0.23500454,0.19565452,0.26686734,0.00000927,0.38256252
-4.67933967,0.83801764,0.38845417,0.06075321,0.00000000,0.23305188,0.19582279,0.26308251,0.00000700,0.38035635
-4.67333667,0.83364169,0.38766207,0.05926914,0.00000000,0.23184511,0.19675710,0.26079014,0.00000526,0.37979860
-4.66733367,0.83249602,0.38760884,0.05808335,0.00000000,0.23130253,0.19838137,0.25989317,0.00000393,0.38073773
-4.66133067,0.83421989,0.38812771,0.05716925,0.00000000,0.23133150,0.20061094,0.26027584,0.00000291,0.38300323
-4.65532766,0.83842058,0.38904604,0.05649728,0.00000000,0.23183180,0.20335498,0.26180783,0.00000215,0.38641111
-4.64932466,0.84468447,0.39019064,0.05603587,0.00000000,0.23269886,0.20651854,0.26434793,0.00000158,0.39076856
-4.64332166,0.85258636,0.39139221,0.05575235,0.00000000,0.23382639,0.21000413,0.26774703,0.00000115,0.39587786
