energy_ev,total_up,C_s_up,C_p_up,Li_s_up,Te_p_up,Te_d_up,Zn_p_up,Zn_d_up
1.51575788,0.67194310,0.01375928,0.07345491,0.02335429,0.60961368,0.00000000,0.07634876,0.00235970
1.52176088,0.71283926,0.01466941,0.08037279,0.02851263,0.63699028,0.00000000,0.08489478,0.00251640
1.52776388,0.75482523,0.01560110,0.08741782,0.03456229,0.66395359,0.00000000,0.09452498,0.00267221
1.53376688,0.79770226,0.01655887,0.09451513,0.04159707,0.69009950,0.00000000,0.10528722,0.00282560
1.53976988,0.84127355,0.01754855,0.10158389,0.04970709,0.71502373,0.00000000,0.11721933,0.00297507
1.54577289,0.88534626,0.01857710,0.10853906,0.05897530,0.73833222,0.00000000,0.13034661,0.00311915
1.55177589,0.92973217,0.01965224,0.11529319,0.06947348,0.75965137,0.00000000,0.14467893,0.00325645
1.55777889,0.97424691,0.02078203,0.12175852,0.08125800,0.77863769,0.00000000,0.16020791,0.00338563
1.56378189,1.01870761,0.02197436,0.12784907,0.09436542,0.79498645,0.00000000,0.17690396,0.00350550
1.56978489,1.06292942,0.02323635,0.13348279,0.10880808,0.80843915,0.00000000,0.19471365,0.00361501
1.57578789,1.10672098,0.02457373,0.13858367,0.12456991,0.81878942,0.00000000,0.21355740,0.00371324
1.58179090,1.14987943,0.02599020,0.14308353,0.14160275,0.82588715,0.00000000,0.23332774,0.00379945
1.58779390,1.19218535,0.02748685,0.14692381,0.15982331,0.82964083,0.00000000,0.25388840,0.00387306
1.59379690,1.23339825,0.02906161,0.15005686,0.17911110,0.83001800,0.00000000,0.27507439,0.00393364
1.59979990,1.27325335,0.03070884,0.15244702,0.19930756,0.82704382,0.00000000,0.29669323,0.00398097
1.60580290,1.31145991,0.03241908,0.15407132,0.22021652,0.82079800,0.00000000,0.31852743,0.00401493
1.61180590,1.34770196,0.03417892,0.15491973,0.24160616,0.81141025,0.00000000,0.34033844,0.00403558
1.61780890,1.38164160,0.03597110,0.15499518,0.26321262,0.79905446,0.00000000,0.36187184,0.00404311
1.62381191,1.41292511,0.03777483,0.15431308,0.28474513,0.78394213,0.00000000,0.38286384,0.00403781
1.62981491,1.44119200,0.03956630,0.15290071,0.30589272,0.76631517,0.00000000,0.40304896,0.00402011
1.63581791,1.46608667,0.04131932,0.15079615,0.32633220,0.74643860,0.00000000,0.42216851,0.00399052
1.64182091,1.48727239,0.04300626,0.14804721,0.34573732,0.72459339,0.00000000,0.43997960,0.00394966
1.64782391,1.50444684,0.04459895,0.14471002,0.36378865,0.70106977,0.00000000,0.45626432,0.00389821
1.65382691,1.51735844,0.04606982,0.14084762,0.38018373,0.67616124,0.00000000,0.47083862,0.00383698
1.65982991,1.52582258,0.04739292,0.13652847,0.39464728,0.65015952,0.00000000,0.48356038,0.00376682
1.66583292,1.52973658,0.04854504,0.13182490,0.40694072,0.62335035,0.00000000,0.49433630,0.00368869
1.67183592,1.52909233,0.04950662,0.12681165,0.41687071,0.59601041,0.00000000,0.50312701,0.00360361
1.67783892,1.52398568,0.05026262,0.12156432,0.42429622,0.56840507,0.00000000,0.50995028,0.00351270
1.68384192,1.51462166,0.05080313,0.11615805,0.42913376,0.54078706,0.00000000,0.51488173,0.00341711
1.68984492,1.50131485,0.05112380,0.11066614,0.43136046,0.51339569,0.00000000,0.51805314,0.00331811
1.69584792,1.48448446,0.05122595,0.10515880,0.43101485,0.48645666,0.00000000,0.51964807,0.00321695
1.70185093,1.46464417,0.05111654,0.09970198,0.42819519,0.46018205,0.00000000,0.51989512,0.00311497
1.70785393,1.44238672,0.05080774,0.09435637,0.42305550,0.43477048,0.00000000,0.51905881,0.00301349
1.71385693,1.41836402,0.05031640,0.08917637,0.41579941,0.41040711,0.00000000,0.51742861,0.00291379
1.71985993,1.39326348,0.04966324,0.08420939,0.40667207,0.38726349,0.00000000,0.51530651,0.00281714
1.72586293,1.36778179,0.04887192,0.07949510,0.39595061,0.36549710,0.00000000,0.51299377,0.00272471
1.73186593,1.34259733,0.04796800,0.07506495,0.38393355,0.34525054,0.00000000,0.51077735,0.00263755
1.73786893,1.31834277,0.04697791,0.07094185,0.37092964,0.32665042,0.00000000,0.50891685,0.00255658
1.74387194,1.29557918,0.04592789,0.06714006,0.35724673,0.30980597,0.00000000,0.50763247,0.00248253
1.74987494,1.27477317,0.04484302,0.06366520,0.34318112,0.29480742,0.00000000,0.50709473,0.00241596
1.75587794,1.25627813,0.04374643,0.06051463,0.32900794,0.28172436,0.00000000,0.50741628,0.00235721
1.76188094,1.24032075,0.04265866,0.05767786,0.31497292,0.27060407,0.00000000,0.50864652,0.00230640
1.76788394,1.22699341,0.04159715,0.05513737,0.30128581,0.26147002,0.00000000,0.51076897,0.00226344
1.77388694,1.21625290,0.04057609,0.05286943,0.28811588,0.25432068,0.00000000,0.51370184,0.00222803
1.77988994,1.20792546,0.03960635,0.05084520,0.27558935,0.24912864,0.00000000,0.51730150,0.00219968
1.78589295,1.20171779,0.03869567,0.04903195,0.26378895,0.24584021,0.00000000,0.52136891,0.00217776
1.79189595,1.19723349,0.03784901,0.04739434,0.25275537,0.24437553,0.00000000,0.52565853,0.00216148
1.79789895,1.19399383,0.03706901,0.04589575,0.24249054,0.24462922,0.00000000,0.52988926,0.00214997
1.80390195,1.19146180,0.03635661,0.04449957,0.23296226,0.24647168,0.00000000,0.53375694,0.00214233
1.80990495,1.18906817,0.03571155,0.04317052,0.22411009,0.24975083,0.00000000,0.53694775,0.00213760
1.81590795,1.18623803,0.03513305,0.04187576,0.21585185,0.25429459,0.00000000,0.53915184,0.00213490
1.82191096,1.18241661,0.03462026,0.04058592,0.20809065,0.25991373,0.00000000,0.54007649,0.00213338
1.82791396,1.17709303,0.03417269,0.03927590,0.20072175,0.26640540,0.00000000,0.53945834,0.00213230
1.83391696,1.16982095,0.03379052,0.03792546,0.19363920,0.27355696,0.00000000,0.53707398,0.00213103
1.83991996,1.16023516,0.03347466,0.03651964,0.18674178,0.28115035,0.00000000,0.53274853,0.00212906
1.84592296,1.14806357,0.03322679,0.03504889,0.17993799,0.28896664,0.00000000,0.52636192,0.00212604
1.85192596,1.13313422,0.03304908,0.03350898,0.17315010,0.29679094,0.00000000,0.51785258,0.00212175
1.85792896,1.11537733,0.03294391,0.03190075,0.16631692,0.30441734,0.00000000,0.50721858,0.00211609
1.86393197,1.09482254,0.03291341,0.03022961,0.15939546,0.31165390,0.00000000,0.49451620,0.00210909
1.86993497,1.07159184,0.03295893,0.02850498,0.15236141,0.31832738,0.00000000,0.47985622,0.00210086
1.87593797,1.04588888,0.03308047,0.02673951,0.14520854,0.32428779,0.00000000,0.46339817,0.00209158
1.88194097,1.01798550,0.03327617,0.02494838,0.13794726,0.32941227,0.00000000,0.44534297,0.00208147
1.88794397,0.98820622,0.03354180,0.02314839,0.13060238,0.33360845,0.00000000,0.42592430,0.00207077
1.89394697,0.95691188,0.03387040,0.02135722,0.12321038,0.33681680,0.00000000,0.40539932,0.00205970
1.89994997,0.92448303,0.03425203,0.01959262,0.11581638,0.33901208,0.00000000,0.38403915,0.00204845
1.90595298,0.89130418,0.03467371,0.01787177,0.10847091,0.34020355,0.00000000,0.36211944,0.00203715
1.91195598,0.85774934,0.03511950,0.01621062,0.10122688,0.34043397,0.00000000,0.33991168,0.00202588
1.91795898,0.82416961,0.03557078,0.01462344,0.09413663,0.33977733,0.00000000,0.31767529,0.00201462
1.92396198,0.79088309,0.03600677,0.01312243,0.08724950,0.33833531,0.00000000,0.29565102,0.00200329
1.92996498,0.75816735,0.03640512,0.01171749,0.08060970,0.33623248,0.00000000,0.27405562,0.00199173
1.93596798,0.72625448,0.03674265,0.01041604,0.07425482,0.33361057,0.00000000,0.25307804,0.00197971
1.94197099,0.69532869,0.03699622,0.00922304,0.06821477,0.33062187,0.00000000,0.23287697,0.00196697
1.94797399,0.66552616,0.03714363,0.00814101,0.06251131,0.32742199,0.00000000,0.21357990,0.00195316
1.95397699,0.63693689,0.03716445,0.00717021,0.05715800,0.32416250,0.00000000,0.19528333,0.00193796
1.95997999,0.60960807,0.03704091,0.00630882,0.05216061,0.32098359,0.00000000,0.17805413,0.00192100
1.96598299,0.58354878,0.03675863,0.00555320,0.04751781,0.31800715,0.00000000,0.16193172,0.00190195
1.97198599,0.55873532,0.03630720,0.00489820,0.04322215,0.31533072,0.00000000,0.14693103,0.00188048
1.97798899,0.53511705,0.03568066,0.00433740,0.03926117,0.31302247,0.00000000,0.13304573,0.00185630
1.98399200,0.51262235,0.03487773,0.00386344,0.03561863,0.31111760,0.00000000,0.12025185,0.00182920
1.98999500,0.49116433,0.03390188,0.00346835,0.03227564,0.30961629,0.00000000,0.10851133,0.00179897
1.99599800,0.47064625,0.03276120,0.00314375,0.02921185,0.30848335,0.00000000,0.09777552,0.00176550
2.00200100,0.45096640,0.03146806,0.00288117,0.02640641,0.30764968,0.00000000,0.08798839,0.00172873
2.00800400,0.43202247,0.03003865,0.00267224,0.02383890,0.30701531,0.00000000,0.07908944,0.00168865
2.01400700,0.41371529,0.02849232,0.00250892,0.02148997,0.30645408,0.00000000,0.07101623,0.00164533
2.02001001,0.39595203,0.02685092,0.00238367,0.01934190,0.30581955,0.00000000,0.06370643,0.00159886
2.02601301,0.37864898,0.02513795,0.00228959,0.01737899,0.30495207,0.00000000,0.05709958,0.00154942
2.03201601,0.36173381,0.02337782,0.00222060,0.01558781,0.30368635,0.00000000,0.05113838,0.00149721
2.03801901,0.34514748,0.02159500,0.00217149,0.01395730,0.30185946,0.00000000,0.04576965,0.00144248
2.04402201,0.32884593,0.01981333,0.00213807,0.01247886,0.29931872,0.00000000,0.04094507,0.00138552
2.05002501,0.31280145,0.01805533,0.00211726,0.01114632,0.29592899,0.00000000,0.03662167,0.00132666
2.05602801,0.29700387,0.01634169,0.00210714,0.00995597,0.29157932,0.00000000,0.03276209,0.00126624
2.06203102,0.28146164,0.01469079,0.00210705,0.00890650,0.28618830,0.00000000,0.02933491,0.00120467
2.06803402,0.26620260,0.01311844,0.00211768,0.00799911,0.27970818,0.00000000,0.02631471,0.00114236
2.07403702,0.25127467,0.01163768,0.00214109,0.00723753,0.27212741,0.00000000,0.02368229,0.00107976
2.08004002,0.23674637,0.01025877,0.00218087,0.00662823,0.26347166,0.00000000,0.02142479,0.00101737
2.08604302,0.22270704,0.00898925,0.00224215,0.00618055,0.25380326,0.00000000,0.01953591,0.00095568
2.09204602,0.20926688,0.00783411,0.00233168,0.00590704,0.24321920,0.00000000,0.01801611,0.00089526
2.09804902,0.19655675,0.00679607,0.00245795,0.00582372,0.23184779,0.00000000,0.01687284,0.00083666
2.10405203,0.18472762,0.00587589,0.00263117,0.00595043,0.21984436,0.00000000,0.01612079,0.00078050
2.11005503,0.17394980,0.00507274,0.00286337,0.00631112,0.20738602,0.00000000,0.01578209,0.00072739
2.11605803,0.16441167,0.00438456,0.00316840,0.00693412,0.19466592,0.00000000,0.01588639,0.00067798
2.12206103,0.15631814,0.00380851,0.00356188,0.00785237,0.18188732,0.00000000,0.01647091,0.00063293
2.12806403,0.14988858,0.00334128,0.00406115,0.00910342,0.16925756,0.00000000,0.01758022,0.00059292
2.13406703,0.14535418,0.00297946,0.00468512,0.01072934,0.15698233,0.00000000,0.01926581,0.00055862
2.14007004,0.14295478,0.00271983,0.00545403,0.01277639,0.14526034,0.00000000,0.02158542,0.00053069
2.14607304,0.14293496,0.00255963,0.00638919,0.01529441,0.13427856,0.00000000,0.02460190,0.00050979
2.15207604,0.14553932,0.00249671,0.00751254,0.01833598,0.12420817,0.00000000,0.02838180,0.00049656
2.15807904,0.15100704,0.00252971,0.00884615,0.02195515,0.11520113,0.00000000,0.03299350,0.00049157
2.16408204,0.15956547,0.00265806,0.01041157,0.02620601,0.10738756,0.00000000,0.03850485,0.00049537
2.17008504,0.17142288,0.00288203,0.01222911,0.03114073,0.10087371,0.00000000,0.04498048,0.00050842
2.17608804,0.18676048,0.00320264,0.01431700,0.03680747,0.09574060,0.00000000,0.05247867,0.00053110
2.18209105,0.20572366,0.00362154,0.01669044,0.04324796,0.09204312,0.00000000,0.06104787,0.00056369
2.18809405,0.22841280,0.00414083,0.01936067,0.05049482,0.08980967,0.00000000,0.07072306,0.00060632
2.19409705,0.25487390,0.00476284,0.02233390,0.05856890,0.08904210,0.00000000,0.08152196,0.00065901
2.20010005,0.28508932,0.00548985,0.02561039,0.06747651,0.08971595,0.00000000,0.09344133,0.00072158
2.20610305,0.31896913,0.00632383,0.02918343,0.07720681,0.09178109,0.00000000,0.10645345,0.00079370
2.21210605,0.35634352,0.00726607,0.03303863,0.08772948,0.09516245,0.00000000,0.12050309,0.00087483
2.21810905,0.39695679,0.00831688,0.03715322,0.09899274,0.09976112,0.00000000,0.13550508,0.00096420
2.22411206,0.44046344,0.00947527,0.04149563,0.11092197,0.10545576,0.00000000,0.15134271,0.00106087
2.23011506,0.48642686,0.01073864,0.04602542,0.12341898,0.11210422,0.00000000,0.16786716,0.00116365
2.23611806,0.53432098,0.01210245,0.05069338,0.13636209,0.11954571,0.00000000,0.18489806,0.00127117
2.24212106,0.58353528,0.01356004,0.05544211,0.14960711,0.12760325,0.00000000,0.20222539,0.00138184
2.24812406,0.63338336,0.01510243,0.06020690,0.16298920,0.13608663,0.00000000,0.21961260,0.00149393
2.25412706,0.68311496,0.01671816,0.06491695,0.17632576,0.14479587,0.00000000,0.23680117,0.00160557
2.26013007,0.73193137,0.01839328,0.06949700,0.18942015,0.15352502,0.00000000,0.25351634,0.00171478
2.26613307,0.77900390,0.02011141,0.07386917,0.20206628,0.16206648,0.00000000,0.26947390,0.00181953
2.27213607,0.82349476,0.02185383,0.07795510,0.21405384,0.17021551,0.00000000,0.28438793,0.00191782
2.27813907,0.86457970,0.02359975,0.08167823,0.22517409,0.17777502,0.00000000,0.29797905,0.00200767
2.28414207,0.90147159,0.02532661,0.08496612,0.23522585,0.18456028,0.00000000,0.30998300,0.00208722
2.29014507,0.93344384,0.02701052,0.08775280,0.24402158,0.19040364,0.00000000,0.32015899,0.00215481
2.29614807,0.95985288,0.02862673,0.08998090,0.25139329,0.19515879,0.00000000,0.32829774,0.00220895
2.30215108,0.98015845,0.03015018,0.09160367,0.25719782,0.19870458,0.00000000,0.33422849,0.00224847
2.30815408,0.99394093,0.03155616,0.09258653,0.26132156,0.20094821,0.00000000,0.33782499,0.00227246
2.31415708,1.00091488,0.03282089,0.09290832,0.26368418,0.20182747,0.00000000,0.33900983,0.00228037
2.32016008,1.00093805,0.03392222,0.09256204,0.26424118,0.20131215,0.00000000,0.33775728,0.00227200
2.32616308,0.99401555,0.03484021,0.09155513,0.26298534,0.19940437,0.00000000,0.33409410,0.00224751
2.33216608,0.98029895,0.03555775,0.08990914,0.25994680,0.19613787,0.00000000,0.32809863,0.00220740
2.33816908,0.96008025,0.03606109,0.08765904,0.25519187,0.19157633,0.00000000,0.31989797,0.00215250
