energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,V_p_up,V_d_up
-5.48374187,7.30951059,0.11547077,0.69352596,3.93407686,0.00000000,1.74319367,1.18844110
-5.47773887,7.09626880,0.11145998,0.66646673,3.83300067,0.00000000,1.69530044,1.14680546
-5.47173587,6.87296196,0.10715976,0.63919977,3.72510712,0.00000000,1.64856710,1.10377977
-5.46573287,6.64176282,0.10262592,0.61199372,3.61144081,0.00000000,1.60346375,1.05977087
-5.45972986,6.40463590,0.09791557,0.58507784,3.49296966,0.00000000,1.56030522,1.01515000
-5.45372686,6.16333386,0.09308591,0.55864039,3.37058554,0.00000000,1.51925443,0.97025103
-5.44772386,5.91940470,0.08819317,0.53282868,3.24510964,0.00000000,1.48033175,0.92537031
-5.44172086,5.67420778,0.08329146,0.50775053,3.11730168,0.00000000,1.44342977,0.88076783
-5.43571786,5.42893633,0.07843191,0.48347698,2.98787139,0.00000000,1.40833233,0.83666967
-5.42971486,5.18464409,0.07366178,0.46004594,2.85749109,0.00000000,1.37473686,0.79327110
-5.42371186,4.94227373,0.06902385,0.43746667,2.72680819,0.00000000,1.34227860,0.75074027
-5.41770885,4.70268501,0.06455591,0.41572471,2.59645644,0.00000000,1.31055577,0.70922215
-5.41170585,4.46668092,0.06029036,0.39478710,2.46706522,0.00000000,1.27915433,0.66884249
-5.40570285,4.23503031,0.05625408,0.37460761,2.33926610,0.00000000,1.24767147,0.62971154
-5.39969985,4.00848606,0.05246838,0.35513186,2.21369649,0.00000000,1.21573680,0.59192748
-5.39369685,3.78779811,0.04894905,0.33630212,2.09100002,0.00000000,1.18303062,0.55557932
-5.38769385,3.57372118,0.04570662,0.31806158,1.97182392,0.00000000,1.14929853,0.52074929
-5.38169085,3.36701704,0.04274657,0.30035812,1.85681356,0.00000000,1.11436224,0.48751463
-5.37568784,3.16845193,0.04006975,0.28314740,1.74660454,0.00000000,1.07812622,0.45594877
-5.36968484,2.97878954,0.03767276,0.26639525,1.64181290,0.00000000,1.04058031,0.42612186
-5.36368184,2.79878029,0.03554833,0.25007940,1.54302396,0.00000000,1.00179832,0.39810082
-5.35767884,2.62914775,0.03368585,0.23419049,1.45078039,0.00000000,0.96193318,0.37194883
-5.35167584,2.47057325,0.03207171,0.21873236,1.36557015,0.00000000,0.92120893,0.34772445
-5.34567284,2.32367933,0.03068980,0.20372193,1.28781477,0.00000000,0.87991007,0.32548029
-5.33966983,2.18901330,0.02952189,0.18918834,1.21785868,0.00000000,0.83836913,0.30526161
-5.33366683,2.06703154,0.02854808,0.17517186,1.15595986,0.00000000,0.79695290,0.28710464
-5.32766383,1.95808552,0.02774715,0.16172239,1.10228243,0.00000000,0.75604815,0.27103499
-5.32166083,1.86241022,0.02709702,0.14889769,1.05689134,0.00000000,0.71604742,0.25706614
-5.31565783,1.78011567,0.02657510,0.13676165,1.01974957,0.00000000,0.67733560,0.24519819
-5.30965483,1.71118199,0.02615869,0.12538235,0.99071799,0.00000000,0.64027765,0.23541696
-5.30365183,1.65545842,0.02582540,0.11483032,0.96955792,0.00000000,0.60520811,0.22769346
-5.29764882,1.61266641,0.02555356,0.10517683,0.95593646,0.00000000,0.57242259,0.22198399
-5.29164582,1.58240679,0.02532256,0.09649242,0.94943438,0.00000000,0.54217145,0.21823070
-5.28564282,1.56417077,0.02511329,0.08884559,0.94955653,0.00000000,0.51465585,0.21636280
-5.27963982,1.55735451,0.02490846,0.08230171,0.95574424,0.00000000,0.49002598,0.21629826
-5.27363682,1.56127637,0.02469294,0.07692217,0.96738942,0.00000000,0.46838153,0.21794603
-5.26763382,1.57519649,0.02445403,0.07276371,0.98384988,0.00000000,0.44977400,0.22120871
