energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
0.47123562,1.81958407,-1.81970676,0.50441763,-0.50447442,0.06776622,-0.06775579,0.20269988,-0.20270106,0.89699317,-0.89712428,0.09191400,-0.09193687,0.18105337,-0.18101018,0.06808304,-0.06809588,0.40673864,-0.40673378
0.47723862,1.75668911,-1.75683432,0.48402691,-0.48408579,0.06733460,-0.06732685,0.19716635,-0.19717055,0.85368663,-0.85381895,0.08504772,-0.08506984,0.18323816,-0.18320737,0.06436986,-0.06438340,0.40143089,-0.40143078
0.48324162,1.69636555,-1.69653435,0.46396154,-0.46402247,0.06676544,-0.06676062,0.19209574,-0.19210320,0.81313092,-0.81326408,0.07844335,-0.07846471,0.18449738,-0.18447989,0.06059771,-0.06061186,0.39698561,-0.39699071
0.48924462,1.63881332,-1.63900605,0.44430817,-0.44437101,0.06604682,-0.06604510,0.18748764,-0.18749850,0.77549488,-0.77562836,0.07210406,-0.07212462,0.18478331,-0.18477972,0.05680151,-0.05681616,0.39343343,-0.39344401
0.49524762,1.58424929,-1.58446550,0.42516477,-0.42522927,0.06517231,-0.06517378,0.18334390,-0.18335819,0.74092868,-0.74106180,0.06603452,-0.06605426,0.18407090,-0.18408151,0.05301503,-0.05303009,0.39080620,-0.39082237
0.50125063,1.53290180,-1.53314023,0.40663705,-0.40670285,0.06414113,-0.06414583,0.17966837,-0.17968598,0.70955988,-0.70969183,0.06024087,-0.06025974,0.18235943,-0.18238415,0.04927043,-0.04928577,0.38913501,-0.38915670
0.50725363,1.48500271,-1.48526131,0.38883419,-0.38890084,0.06295819,-0.06296605,0.17646621,-0.17648696,0.68148894,-0.68161877,0.05473041,-0.05474837,0.17967327,-0.17971170,0.04559784,-0.04561335,0.38844769,-0.38847462
0.51325663,1.44077801,-1.44105397,0.37186425,-0.37193118,0.06163373,-0.06164462,0.17374307,-0.17376667,0.65678462,-0.65691128,0.04951115,-0.04952814,0.17606203,-0.17611338,0.04202510,-0.04204063,0.38876602,-0.38879775
0.51925963,1.40043762,-1.40072743,0.35582947,-0.35589605,0.06018292,-0.06019664,0.17150406,-0.17153009,0.63547977,-0.63560211,0.04459124,-0.04460721,0.17159977,-0.17166293,0.03857746,-0.03859288,0.39010290,-0.39013880
0.52526263,1.36416529,-1.36446484,0.34082204,-0.34088758,0.05862520,-0.05864147,0.16975260,-0.16978058,0.61756795,-0.61768477,0.03997837,-0.03999327,0.16638352,-0.16645709,0.03527752,-0.03529270,0.39245974,-0.39249905
0.53126563,1.33210947,-1.33241414,0.32692038,-0.32698411,0.05698350,-0.05700198,0.16848949,-0.16851886,0.60300120,-0.60311125,0.03567921,-0.03569299,0.16053114,-0.16061343,0.03214517,-0.03215995,0.39582425,-0.39586607
0.53726863,1.30437580,-1.30468058,0.31418622,-0.31424735,0.05528334,-0.05530366,0.16771194,-0.16774208,0.59168936,-0.59179139,0.03169884,-0.03171145,0.15417846,-0.15426755,0.02919754,-0.02921177,0.40016885,-0.40021219
0.54327164,1.28102173,-1.28132135,0.30266280,-0.30272052,0.05355196,-0.05357370,0.16741291,-0.16744316,0.58350099,-0.58359376,0.02804035,-0.02805175,0.14747600,-0.14756981,0.02644915,-0.02646267,0.40544987,-0.40549367
0.54927464,1.26205371,-1.26234274,0.29237407,-0.29242754,0.05181734,-0.05184007,0.16758073,-0.16761041,0.57826605,-0.57834835,0.02470452,-0.02471469,0.14058531,-0.14068164,0.02391199,-0.02392466,0.41160757,-0.41165071
0.55527764,1.24742693,-1.24769992,0.28332494,-0.28337332,0.05010730,-0.05013058,0.16819890,-0.16822732,0.57578016,-0.57585084,0.02168965,-0.02169854,0.13367507,-0.13377163,0.02159571,-0.02160736,0.41856707,-0.41860841
0.56128064,1.23704775,-1.23729935,0.27550262,-0.27554510,0.04844867,-0.04847204,0.16924634,-0.16927283,0.57581034,-0.57586830,0.01899146,-0.01899908,0.12691704,-0.12701155,0.01950774,-0.01951822,0.42624014,-0.42627856
0.56728364,1.23077833,-1.23100338,0.26887880,-0.26891457,0.04686648,-0.04688952,0.17069776,-0.17072167,0.57810187,-0.57814610,0.01660323,-0.01660955,0.12048211,-0.12057233,0.01765352,-0.01766269,0.43452773,-0.43456212
0.57328664,1.22844313,-1.22863677,0.26341247,-0.26344077,0.04538340,-0.04540571,0.17252441,-0.17254511,0.58238589,-0.58241547,0.01451589,-0.01452091,0.11453640,-0.11462018,0.01603665,-0.01604437,0.44332309,-0.44335241
0.57928964,1.22983664,-1.22999441,0.25905320,-0.25907328,0.04401919,-0.04404039,0.17469485,-0.17471178,0.58838741,-0.58840151,0.01271829,-0.01272202,0.10923759,-0.10931293,0.01465903,-0.01466517,0.45251535,-0.45253862
0.58529265,1.23473174,-1.23484967,0.25574456,-0.25575576,0.04279029,-0.04281006,0.17717595,-0.17718860,0.59583307,-0.59583098,0.01119747,-0.01119994,0.10473153,-0.10479662,0.01352099,-0.01352543,0.46199323,-0.46200955
0.59129565,1.24288794,-1.24296260,0.25342751,-0.25342921,0.04170963,-0.04172769,0.17993386,-0.17994179,0.60445849,-0.60443962,0.00993901,-0.00994023,0.10114913,-0.10120239,0.01262136,-0.01262401,0.47164872,-0.47165729
0.59729865,1.25405885,-1.25408743,0.25204332,-0.25203498,0.04078647,-0.04080259,0.18293495,-0.18293780,0.61401456,-0.61397848,0.00892729,-0.00892728,0.09860362,-0.09864374,0.01195753,-0.01195830,0.48138050,-0.48138063
0.60330165,1.26799836,-1.26797874,0.25153605,-0.25151721,0.04002644,-0.04004044,0.18614665,-0.18614414,0.62427254,-0.62421894,0.00814578,-0.00814460,0.09718814,-0.09721408,0.01152542,-0.01152426,0.49109690,-0.49108803
0.60930465,1.28446506,-1.28439590,0.25185413,-0.25182446,0.03943156,-0.03944333,0.18953814,-0.18953008,0.63502761,-0.63495638,0.00757735,-0.00757504,0.09697367,-0.09698470,0.01131945,-0.01131631,0.50071824,-0.50069993
0.61530765,1.30322475,-1.30310547,0.25295129,-0.25291055,0.03900051,-0.03900998,0.19308085,-0.19306715,0.64610084,-0.64601208,0.00720444,-0.00720106,0.09800729,-0.09800303,0.01133243,-0.01132732,0.51017847,-0.51015043
0.62131066,1.32405079,-1.32388169,0.25478633,-0.25473446,0.03872881,-0.03873597,0.19674881,-0.19672947,0.65733961,-0.65723365,0.00700922,-0.00700485,0.10031087,-0.10029125,0.01155550,-0.01154844,0.51942602,-0.51938812
0.62731366,1.34672265,-1.34650492,0.25732226,-0.25725935,0.03860919,-0.03861407,0.20051878,-0.20049390,0.66861646,-0.66849387,0.00697376,-0.00696847,0.10388002,-0.10384532,0.01197795,-0.01196899,0.52842397,-0.52837623
0.63331666,1.37102285,-1.37075861,0.26052450,-0.26045081,0.03863189,-0.03863458,0.20437025,-0.20434004,0.67982673,-0.67968839,0.00708002,-0.00707391,0.10868351,-0.10863436,0.01258713,-0.01257636,0.53714951,-0.53709214
0.63931966,1.39673277,-1.39642510,0.26435845,-0.26427448,0.03878508,-0.03878571,0.20828538,-0.20825014,0.69088523,-0.69073230,0.00730998,-0.00730316,0.11466303,-0.11460038,0.01336829,-0.01335584,0.54559292,-0.54552631
0.64532266,1.42362795,-1.42328089,0.26878673,-0.26869319,0.03905525,-0.03905399,0.21224880,-0.21220895,0.70172227,-0.70155624,0.00764563,-0.00763821,0.12173347,-0.12165863,0.01430454,-0.01429057,0.55375612,-0.55368085
0.65132566,1.45147358,-1.45109211,0.27376616,-0.27366399,0.03942767,-0.03942471,0.21624753,-0.21620360,0.71227948,-0.71210218,0.00806899,-0.00806111,0.12978369,-0.12969825,0.01537680,-0.01536150,0.56165104,-0.56156790
0.65732866,1.48002059,-1.47961059,0.27924481,-0.27913519,0.03988677,-0.03988234,0.22027088,-0.22022346,0.72250578,-0.72231937,0.00856215,-0.00855394,0.13867783,-0.13858367,0.01656380,-0.01654741,0.56929789,-0.56920785
0.66333167,1.50900319,-1.50857140,0.28515937,-0.28504374,0.04041663,-0.04041097,0.22431042,-0.22426021,0.73235382,-0.73216075,0.00910730,-0.00909891,0.14825726,-0.14815652,0.01784222,-0.01782500,0.57672359,-0.57662782
0.66933467,1.53813814,-1.53769201,0.29143321,-0.29131322,0.04100136,-0.04099474,0.22836010,-0.22830788,0.74177715,-0.74158019,0.00968681,-0.00967841,0.15834314,-0.15823815,0.01918686,-0.01916908,0.58396037,-0.58386021
0.67533767,1.56712600,-1.56667362,0.29797501,-0.29785253,0.04162557,-0.04161826,0.23241651,-0.23236311,0.75072840,-0.75053054,0.01028335,-0.01027510,0.16873961,-0.16863290,0.02057092,-0.02055291,0.59104460,-0.59094157
0.68134067,1.59565459,-1.59520451,0.30467850,-0.30455559,0.04227470,-0.04226698,0.23647908,-0.23642540,0.75915840,-0.75896284,0.01088003,-0.01087210,0.17923771,-0.17913188,0.02196641,-0.02194849,0.59801602,-0.59791176
