energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Na_s_up,Se_s_up,Se_p_up
-4.51725863,4.35471209,0.40369845,0.24149575,1.39764778,0.66566596,0.05371287,0.21291235,1.78972950
-4.51125563,4.44561043,0.41568052,0.23513361,1.43084611,0.66519882,0.05375593,0.21976674,1.85718802
-4.50525263,4.52512730,0.42667256,0.22768853,1.46161857,0.66208900,0.05380983,0.22604426,1.92159969
-4.49924962,4.59271797,0.43660381,0.21924612,1.48961925,0.65644970,0.05387432,0.23170063,1.98233964
-4.49324662,4.64798150,0.44540719,0.20991937,1.51453687,0.64844016,0.05395462,0.23669770,2.03879407
-4.48724362,4.69063334,0.45301787,0.19984323,1.53608838,0.63825587,0.05406016,0.24100285,2.09036106
-4.48124062,4.72047884,0.45937224,0.18916870,1.55401328,0.62611824,0.05420316,0.24458850,2.13645300
-4.47523762,4.73738998,0.46440751,0.17805679,1.56806940,0.61226443,0.05439720,0.24743163,2.17650132
-4.46923462,4.74128701,0.46806185,0.16667249,1.57803070,0.59693765,0.05465585,0.24951346,2.20996334
-4.46323162,4.73212647,0.47027535,0.15517919,1.58368724,0.58037865,0.05499147,0.25081920,2.23633156
-4.45722861,4.70989621,0.47099154,0.14373367,1.58484765,0.56281855,0.05541424,0.25133805,2.25514502
-4.45122561,4.67461768,0.47015962,0.13248183,1.58134393,0.54447339,0.05593146,0.25106336,2.26600228
-4.44522261,4.62635497,0.46773708,0.12155539,1.57303817,0.52554041,0.05654727,0.24999293,2.26857561
-4.43921961,4.56522973,0.46369262,0.11106953,1.55983097,0.50619627,0.05726268,0.24812945,2.26262539
-4.43321661,4.49144055,0.45800919,0.10112151,1.54167073,0.48659685,0.05807603,0.24548112,2.24801424
-4.42721361,4.40528504,0.45068695,0.09179030,1.51856338,0.46687871,0.05898383,0.24206220,2.22471979
-4.42121061,4.30718301,0.44174578,0.08313704,1.49058164,0.44716174,0.05998187,0.23789369,2.19284543
-4.41520760,4.19769844,0.43122742,0.07520632,1.45787325,0.42755282,0.06106665,0.23300389,2.15262832
-4.40920460,4.07755878,0.41919681,0.06802809,1.42066763,0.40815001,0.06223695,0.22742890,2.10444398
-4.40320160,3.94766979,0.40574266,0.06162002,1.37928026,0.38904709,0.06349554,0.22121297,2.04880717
-4.39719860,3.80912464,0.39097717,0.05599027,1.33411466,0.37033792,0.06485077,0.21440859,1.98636868
-4.39119560,3.66320627,0.37503479,0.05114033,1.28566145,0.35212047,0.06631808,0.20707649,1.91790799
-4.38519260,3.51138251,0.35807016,0.04706798,1.23449474,0.33450017,0.06792117,0.19928531,1.84432203
-4.37918959,3.35529373,0.34025524,0.04377005,1.18126567,0.31759242,0.06969286,0.19111099,1.76661014
-4.37318659,3.19673326,0.32177583,0.04124498,1.12669341,0.30152408,0.07167539,0.18263595,1.68585585
-4.36718359,3.03762111,0.30282746,0.03949508,1.07155395,0.28643387,0.07392018,0.17394806,1.60320589
-4.36118059,2.87997183,0.28361114,0.03852832,1.01666699,0.27247172,0.07648699,0.16513925,1.51984720
-4.35517759,2.72585757,0.26432881,0.03835969,0.96288152,0.25979694,0.07944235,0.15630405,1.43698242
-4.34917459,2.57736750,0.24517897,0.03901206,0.91106041,0.24857552,0.08285739,0.14753794,1.35580487
-4.34317159,2.43656496,0.22635240,0.04051651,0.86206453,0.23897640,0.08680506,0.13893552,1.27747338
-4.33716858,2.30544355,0.20802844,0.04291219,0.81673689,0.23116715,0.09135680,0.13058866,1.20308789
-4.33116558,2.18588350,0.19037159,0.04624557,0.77588705,0.22530896,0.09657880,0.12258472,1.13366626
-4.32516258,2.07960961,0.17352886,0.05056933,0.74027631,0.22155135,0.10252798,0.11500465,1.07012301
-4.31915958,1.98815174,0.15762768,0.05594072,0.71060368,0.22002665,0.10924786,0.10792136,1.01325031
-4.31315658,1.91280899,0.14277454,0.06241957,0.68749313,0.22084452,0.11676459,0.10139815,0.96370172
