energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
0.44722361,1.48087833,0.50949554,0.00000000,0.04910862,0.20021985,0.69633243,1.03235196
0.45322661,1.50866110,0.52829331,0.00000000,0.05066509,0.20391757,0.71393074,1.04541346
0.45922961,1.53355620,0.54561044,0.00000000,0.05192469,0.20700523,0.72909290,1.05724501
0.46523262,1.55490814,0.56110499,0.00000000,0.05285693,0.20937732,0.74139799,1.06751878
0.47123562,1.57223147,0.57449285,0.00000000,0.05343842,0.21095047,0.75051737,1.07602599
0.47723862,1.58521694,0.58555500,0.00000000,0.05365369,0.21166467,0.75622231,1.08267639
0.48324162,1.59373154,0.59414258,0.00000000,0.05349565,0.21148372,0.75838833,1.08749366
0.48924462,1.59781267,0.60017942,0.00000000,0.05296582,0.21039495,0.75699600,1.09060685
0.49524762,1.59765698,0.60366224,0.00000000,0.05207423,0.20840836,0.75212853,1.09223858
0.50125063,1.59360432,0.60465829,0.00000000,0.05083909,0.20555525,0.74396605,1.09269041
0.50725363,1.58611788,0.60330076,0.00000000,0.04928608,0.20188626,0.73277709,1.09232610
0.51325663,1.57576119,0.59978216,0.00000000,0.04744749,0.19746924,0.71890756,1.09155344
0.51925963,1.56317305,0.59434599,0.00000000,0.04536113,0.19238674,0.70276786,1.09080529
0.52526263,1.54904139,0.58727707,0.00000000,0.04306916,0.18673351,0.68481862,1.09052065
0.53126563,1.53407712,0.57889097,0.00000000,0.04061669,0.18061381,0.66555563,1.09112626
0.53726863,1.51898879,0.56952306,0.00000000,0.03805054,0.17413893,0.64549467,1.09301961
0.54327164,1.50445913,0.55951741,0.00000000,0.03541787,0.16742473,0.62515674,1.09655364
0.54927464,1.49112412,0.54921615,0.00000000,0.03276501,0.16058931,0.60505410,1.10202399
0.55527764,1.47955528,0.53894955,0.00000000,0.03013630,0.15375101,0.58567774,1.10965893
0.56128064,1.47024580,0.52902714,0.00000000,0.02757321,0.14702643,0.56748643,1.11961257
0.56728364,1.46360061,0.51973012,0.00000000,0.02511351,0.14052875,0.55089762,1.13196140
0.57328664,1.45993087,0.51130520,0.00000000,0.02279073,0.13436621,0.53628036,1.14670440
0.57928964,1.45945256,0.50395999,0.00000000,0.02063377,0.12864065,0.52395011,1.16376663
0.58529265,1.46228930,0.49785996,0.00000000,0.01866668,0.12344628,0.51416550,1.18300620
0.59129565,1.46847872,0.49312688,0.00000000,0.01690858,0.11886841,0.50712679,1.20422425
0.59729865,1.47798214,0.48983873,0.00000000,0.01537383,0.11498230,0.50297580,1.22717758
0.60330165,1.49069670,0.48803079,0.00000000,0.01407213,0.11185209,0.50179704,1.25159315
0.60930465,1.50646928,0.48769796,0.00000000,0.01300887,0.10952968,0.50361987,1.27718397
0.61530765,1.52511132,0.48879781,0.00000000,0.01218542,0.10805373,0.50842127,1.30366537
0.62131066,1.54641361,0.49125445,0.00000000,0.01159950,0.10744872,0.51612895,1.33077082
0.62731366,1.57016026,0.49496274,0.00000000,0.01124555,0.10772416,0.52662481,1.35826643
0.63331666,1.59614087,0.49979288,0.00000000,0.01111502,0.10887386,0.53974831,1.38596321
0.63931966,1.62416028,0.50559504,0.00000000,0.01119679,0.11087557,0.55529979,1.41372633
0.64532266,1.65404522,0.51220390,0.00000000,0.01147736,0.11369074,0.57304368,1.44148066
