energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-4.29514757,1.61439711,1.21400016,0.63397695,0.55191598,0.00100338,0.25606096,0.00000000
-4.28914457,1.61207313,1.21405938,0.62892945,0.56152988,0.00098882,0.25226899,0.00000000
-4.28314157,1.60356633,1.20963380,0.62123635,0.56959496,0.00096967,0.24731329,0.00000000
-4.27713857,1.58928940,1.20098020,0.61109199,0.57615739,0.00094628,0.24128913,0.00000000
-4.27113557,1.56980596,1.18846422,0.59875876,0.58129428,0.00091917,0.23432169,0.00000000
-4.26513257,1.54579684,1.17253539,0.58455289,0.58510523,0.00088893,0.22655964,0.00000000
-4.25912956,1.51802342,1.15370040,0.56882878,0.58770349,0.00085626,0.21816814,0.00000000
-4.25312656,1.48728956,1.13249593,0.55196258,0.58920702,0.00082189,0.20932163,0.00000000
-4.24712356,1.45440424,1.10946212,0.53433590,0.58973000,0.00078657,0.20019658,0.00000000
-4.24112056,1.42014614,1.08511816,0.51632025,0.58937525,0.00075104,0.19096472,0.00000000
-4.23511756,1.38523218,1.05994071,0.49826279,0.58822789,0.00071599,0.18178679,0.00000000
-4.22911456,1.35029082,1.03434627,0.48047419,0.58635047,0.00068207,0.17280723,0.00000000
-4.22311156,1.31584136,1.00867788,0.46321870,0.58377992,0.00064981,0.16414997,0.00000000
-4.21710855,1.28227982,0.98319663,0.44670696,0.58052625,0.00061965,0.15591524,0.00000000
-4.21110555,1.24987159,0.95807800,0.43109167,0.57657306,0.00059192,0.14817778,0.00000000
-4.20510255,1.21875082,0.93341286,0.41646603,0.57187981,0.00056682,0.14098618,0.00000000
-4.19909955,1.18892623,0.90921277,0.40286493,0.56638556,0.00054445,0.13436338,0.00000000
-4.19309655,1.16029248,0.88541899,0.39026864,0.56001399,0.00052478,0.12830827,0.00000000
-4.18709355,1.13264639,0.86191445,0.37860865,0.55267928,0.00050768,0.12279816,0.00000000
-4.18109055,1.10570675,0.83853780,0.36777526,0.54429267,0.00049292,0.11779198,0.00000000
-4.17508754,1.07913657,0.81509876,0.35762641,0.53476911,0.00048020,0.11323398,0.00000000
-4.16908454,1.05256668,0.79139387,0.34799733,0.52403379,0.00046916,0.10905774,0.00000000
-4.16308154,1.02561918,0.76722172,0.33871050,0.51202820,0.00045942,0.10519028,0.00000000
-4.15707854,0.99792991,0.74239698,0.32958541,0.49871531,0.00045055,0.10155606,0.00000000
-4.15107554,0.96916875,0.71676267,0.32044770,0.48408378,0.00044214,0.09808071,0.00000000
-4.14507254,0.93905699,0.69020006,0.31113739,0.46815085,0.00043379,0.09469438,0.00000000
-4.13906953,0.90738116,0.66263600,0.30151575,0.45096402,0.00042514,0.09133448,0.00000000
-4.13306653,0.87400288,0.63404738,0.29147079,0.43260123,0.00041587,0.08794790,0.00000000
-4.12706353,0.83886458,0.60446285,0.28092103,0.41316980,0.00040573,0.08449256,0.00000000
-4.12106053,0.80199105,0.57396185,0.26981768,0.39280401,0.00039452,0.08093824,0.00000000
-4.11505753,0.76348716,0.54267121,0.25814517,0.37166174,0.00038210,0.07726692,0.00000000
-4.10905453,0.72353196,0.51075965,0.24592012,0.34992004,0.00036842,0.07347242,0.00000000
-4.10305153,0.68236992,0.47843075,0.23318900,0.32777016,0.00035348,0.06955962,0.00000000
-4.09704852,0.64029976,0.44591467,0.22002469,0.30541212,0.00033736,0.06554322,0.00000000
-4.09104552,0.59766165,0.41345921,0.20652206,0.28304908,0.00032015,0.06144623,0.00000000
-4.08504252,0.55482351,0.38132080,0.19279311,0.26088186,0.00030203,0.05729829,0.00000000
-4.07903952,0.51216714,0.34975560,0.17896163,0.23910371,0.00028319,0.05313383,0.00000000
-4.07303652,0.47007472,0.31901151,0.16515796,0.21789570,0.00026386,0.04899030,0.00000000
-4.06703352,0.42891649,0.28932099,0.15151390,0.19742271,0.00024426,0.04490649,0.00000000
-4.06103052,0.38903993,0.26089537,0.13815807,0.17783024,0.00022465,0.04092099,0.00000000
-4.05502751,0.35076082,0.23392057,0.12521189,0.15924224,0.00020524,0.03707097,0.00000000
-4.04902451,0.31435666,0.20855440,0.11278633,0.14175974,0.00018627,0.03339120,0.00000000
-4.04302151,0.28006222,0.18492564,0.10097950,0.12546047,0.00016793,0.02991336,0.00000000
-4.03701851,0.24806768,0.16313456,0.08987512,0.11039946,0.00015042,0.02666575,0.00000000
-4.03101551,0.21851887,0.14325507,0.07954193,0.09661033,0.00013389,0.02367331,0.00000000
-4.02501251,0.19151977,0.12533825,0.07003386,0.08410741,0.00011846,0.02095791,0.00000000
-4.01900950,0.16713682,0.10941699,0.06139110,0.07288841,0.00010424,0.01853902,0.00000000
-4.01300650,0.14540483,0.09551178,0.05364174,0.06293760,0.00009131,0.01643455,0.00000000
-4.00700350,0.12633415,0.08363705,0.04680405,0.05422934,0.00007973,0.01466197,0.00000000
-4.00100050,0.10991875,0.07380827,0.04088910,0.04673174,0.00006954,0.01323959,0.00000000
-3.99499750,0.09614483,0.06604919,0.03590379,0.04041050,0.00006076,0.01218791,0.00000000
-3.98899450,0.08499958,0.06039914,0.03185386,0.03523260,0.00005343,0.01153110,0.00000000
-3.98299150,0.07647983,0.05692022,0.02874711,0.03116984,0.00004755,0.01129844,0.00000000
-3.97698849,0.07060021,0.05570387,0.02659626,0.02820219,0.00004315,0.01152568,0.00000000
-3.97098549,0.06740043,0.05687687,0.02542178,0.02632058,0.00004026,0.01225635,0.00000000
-3.96498249,0.06695154,0.06060623,0.02525413,0.02552942,0.00003894,0.01354274,0.00000000
-3.95897949,0.06936075,0.06710287,0.02613569,0.02584840,0.00003924,0.01544672,0.00000000
-3.95297649,0.07477468,0.07662372,0.02812197,0.02731373,0.00004124,0.01804016,0.00000000
-3.94697349,0.08338063,0.08947200,0.03128217,0.02997868,0.00004506,0.02140489,0.00000000
-3.94097049,0.09540583,0.10599533,0.03569898,0.03391328,0.00005083,0.02563226,0.00000000
-3.93496748,0.11111436,0.12658150,0.04146752,0.03920325,0.00005870,0.03082200,0.00000000
-3.92896448,0.13080166,0.15165165,0.04869338,0.04594795,0.00006886,0.03708055,0.00000000
-3.92296148,0.15478656,0.18165063,0.05748977,0.05425750,0.00008148,0.04451871,0.00000000
-3.91695848,0.18340074,0.21703465,0.06797374,0.06424893,0.00009679,0.05324858,0.00000000
-3.91095548,0.21697578,0.25825604,0.08026148,0.07604143,0.00011500,0.06337987,0.00000000
-3.90495248,0.25582804,0.30574550,0.09446293,0.08975076,0.00013631,0.07501558,0.00000000
-3.89894947,0.30024159,0.35989198,0.11067559,0.10548291,0.00016093,0.08824717,0.00000000
-3.89294647,0.35044972,0.42102091,0.12897793,0.12332725,0.00018904,0.10314927,0.00000000
-3.88694347,0.40661562,0.48937131,0.14942246,0.14334924,0.00022076,0.11977429,0.00000000
-3.88094047,0.46881304,0.56507268,0.17202888,0.16558306,0.00025620,0.13814689,0.00000000
-3.87493747,0.53700768,0.64812279,0.19677748,0.19002441,0.00029539,0.15825881,0.00000000
-3.86893447,0.61104037,0.73836728,0.22360320,0.21662394,0.00033829,0.18006417,0.00000000
-3.86293147,0.69061299,0.83548260,0.25239077,0.24528146,0.00038478,0.20347564,0.00000000
-3.85692846,0.77527818,0.93896319,0.28297117,0.27584154,0.00043466,0.22836169,0.00000000
-3.85092546,0.86443370,1.04811434,0.31511984,0.30809068,0.00048762,0.25454526,0.00000000
-3.84492246,0.95732246,1.16205157,0.34855686,0.34175653,0.00054326,0.28180412,0.00000000
-3.83891946,1.05303860,1.27970743,0.38294940,0.37650929,0.00060108,0.30987295,0.00000000
-3.83291646,1.15054017,1.39984611,0.41791644,0.41196547,0.00066049,0.33844740,0.00000000
-3.82691346,1.24866848,1.52108622,0.45303592,0.44769428,0.00072081,0.36719009,0.00000000
-3.82091046,1.34617370,1.64193114,0.48785412,0.48322625,0.00078130,0.39573836,0.00000000
-3.81490745,1.44174628,1.76080646,0.52189701,0.51806426,0.00084116,0.42371378,0.00000000
-3.80890445,1.53405292,1.87610317,0.55468326,0.55169636,0.00089956,0.45073282,0.00000000
-3.80290145,1.62177599,1.98622510,0.58573846,0.58361016,0.00095568,0.47641852,0.00000000
-3.79689845,1.70365461,2.08963855,0.61460981,0.61330805,0.00100868,0.50041253,0.00000000
-3.79089545,1.77852553,2.18492194,0.64088075,0.64032272,0.00105779,0.52238700,0.00000000
-3.78489245,1.84536197,2.27081308,0.66418483,0.66423226,0.00110231,0.54205574,0.00000000
-3.77888944,1.90330834,2.34625166,0.68421805,0.68467404,0.00114161,0.55918409,0.00000000
