energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-3.34067034,1.51414769,0.00577330,0.06086683,0.46314038,0.67184276,0.01666933,0.63534278,0.36154060,0.01456727
-3.33466733,1.44842303,0.00514405,0.05791080,0.44748313,0.65852842,0.01549206,0.59804494,0.33722043,0.01353684
-3.32866433,1.38798165,0.00456073,0.05523435,0.43296383,0.64772738,0.01446360,0.56265342,0.31414388,0.01255554
-3.32266133,1.33314982,0.00402598,0.05285678,0.41973759,0.63940850,0.01357623,0.52944213,0.29242808,0.01163051
-3.31665833,1.28411653,0.00354119,0.05079177,0.40792501,0.63348360,0.01282003,0.49862658,0.27215832,0.01076730
-3.31065533,1.24093305,0.00310661,0.04904659,0.39760727,0.62981146,0.01218336,0.47036033,0.25338733,0.00996981
-3.30465233,1.20351689,0.00272149,0.04762145,0.38882263,0.62820342,0.01165341,0.44473347,0.23613555,0.00924036
-3.29864932,1.17165934,0.00238425,0.04650909,0.38156457,0.62843014,0.01121662,0.42177292,0.22039258,0.00857967
-3.29264632,1.14503663,0.00209259,0.04569470,0.37578170,0.63022919,0.01085921,0.40144471,0.20611951,0.00798703
-3.28664332,1.12322368,0.00184371,0.04515607,0.37137933,0.63331308,0.01056752,0.38365805,0.19325208,0.00746038
-3.28064032,1.10571012,0.00163437,0.04486406,0.36822265,0.63737743,0.01032845,0.36827076,0.18170445,0.00699648
-3.27463732,1.09191767,0.00146112,0.04478335,0.36614131,0.64210875,0.01012965,0.35509622,0.17137345,0.00659112
-3.26863432,1.08121823,0.00132033,0.04487345,0.36493528,0.64719175,0.00995986,0.34391106,0.16214301,0.00623929
-3.26263132,1.07295212,0.00120833,0.04508993,0.36438157,0.65231577,0.00980900,0.33446370,0.15388874,0.00593538
-3.25662831,1.06644567,0.00112150,0.04538580,0.36424169,0.65718036,0.00966830,0.32648306,0.14648223,0.00567343
-3.25062531,1.06102800,0.00105633,0.04571299,0.36426942,0.66149984,0.00953033,0.31968748,0.13979524,0.00544726
-3.24462231,1.05604632,0.00100945,0.04602394,0.36421862,0.66500695,0.00938899,0.31379316,0.13370332,0.00525070
-3.23861931,1.05087964,0.00097769,0.04627308,0.36385085,0.66745559,0.00923948,0.30852232,0.12808901,0.00507773
-3.23261631,1.04495079,0.00095809,0.04641832,0.36294244,0.66862299,0.00907816,0.30361041,0.12284446,0.00492266
-3.22661331,1.03773651,0.00094794,0.04642230,0.36129092,0.66831121,0.00890248,0.29881257,0.11787338,0.00478021
-3.22061031,1.02877581,0.00094475,0.04625355,0.35872042,0.66634849,0.00871083,0.29390898,0.11309247,0.00464564
-3.21460730,1.01767653,0.00094631,0.04588734,0.35508613,0.66259029,0.00850240,0.28870916,0.10843220,0.00451482
-3.20860430,1.00412024,0.00095062,0.04530628,0.35027755,0.65692045,0.00827705,0.28305505,0.10383709,0.00438424
-3.20260130,0.98786556,0.00095595,0.04450066,0.34422054,0.64925225,0.00803519,0.27682302,0.09926552,0.00425110
-3.19659830,0.96875003,0.00096079,0.04346850,0.33687814,0.63952976,0.00777766,0.26992475,0.09468909,0.00411326
-3.19059530,0.94669053,0.00096389,0.04221527,0.32825030,0.62772904,0.00750564,0.26230704,0.09009174,0.00396924
-3.18459230,0.92168243,0.00096419,0.04075347,0.31837243,0.61385946,0.00722057,0.25395076,0.08546858,0.00381820
-3.17858929,0.89379736,0.00096089,0.03910187,0.30731298,0.59796473,0.00692408,0.24486888,0.08082455,0.00365986
-3.17258629,0.86317988,0.00095339,0.03728469,0.29517019,0.58012366,0.00661799,0.23510388,0.07617301,0.00349449
-3.16658329,0.83004281,0.00094127,0.03533052,0.28206814,0.56045038,0.00630422,0.22472457,0.07153432,0.00332280
-3.16058029,0.79466154,0.00092434,0.03327134,0.26815225,0.53909390,0.00598484,0.21382249,0.06693445,0.00314590
-3.15457729,0.75736723,0.00090256,0.03114136,0.25358448,0.51623681,0.00566201,0.20250808,0.06240360,0.00296520
-3.14857429,0.71853916,0.00087606,0.02897599,0.23853838,0.49209323,0.00533799,0.19090664,0.05797505,0.00278238
-3.14257129,0.67859628,0.00084511,0.02681081,0.22319406,0.46690564,0.00501516,0.17915439,0.05368401,0.00259926
-3.13656828,0.63798813,0.00081012,0.02468073,0.20773347,0.44094099,0.00469601,0.16739457,0.04956674,0.00241779
-3.13056528,0.59718551,0.00077157,0.02261919,0.19233588,0.41448592,0.00438309,0.15577378,0.04565975,0.00223995
-3.12456228,0.55667090,0.00073003,0.02065761,0.17717386,0.38784138,0.00407905,0.14443859,0.04199915,0.00206771
-3.11855928,0.51692915,0.00068615,0.01882490,0.16240979,0.36131673,0.00378662,0.13353254,0.03862015,0.00190299
-3.11255628,0.47843835,0.00064057,0.01714720,0.14819292,0.33522366,0.00350856,0.12319346,0.03555671,0.00174764
-3.10655328,0.44166142,0.00059397,0.01564772,0.13465709,0.30987004,0.00324763,0.11355123,0.03284120,0.00160333
-3.10055028,0.40703833,0.00054699,0.01434671,0.12191907,0.28555408,0.00300662,0.10472587,0.03050422,0.00147164
-3.09454727,0.37497929,0.00050027,0.01326153,0.11007746,0.26255875,0.00278823,0.09682603,0.02857440,0.00135393
-3.08854427,0.34585877,0.00045438,0.01240679,0.09921225,0.24114695,0.00259511,0.08994772,0.02707823,0.00125140
-3.08254127,0.32001061,0.00040983,0.01179449,0.08938474,0.22155726,0.00242982,0.08417331,0.02603986,0.00116505
-3.07653827,0.29772396,0.00036707,0.01143425,0.08063802,0.20400056,0.00229473,0.07957075,0.02548085,0.00109569
-3.07053527,0.27924018,0.00032647,0.01133340,0.07299762,0.18865738,0.00219207,0.07619283,0.02541990,0.00104391
-3.06453227,0.26475042,0.00028833,0.01149713,0.06647258,0.17567606,0.00212386,0.07407660,0.02587244,0.00101010
-3.05852926,0.25439389,0.00025286,0.01192852,0.06105652,0.16517166,0.00209186,0.07324275,0.02685014,0.00099442
-3.05252626,0.24825667,0.00022020,0.01262855,0.05672888,0.15722544,0.00209758,0.07369507,0.02836043,0.00099682
-3.04652326,0.24637087,0.00019040,0.01359599,0.05345622,0.15188487,0.00214222,0.07541988,0.03040580,0.00101702
-3.04052026,0.24871425,0.00016349,0.01482725,0.05119342,0.14916411,0.00222664,0.07838551,0.03298319,0.00105452
-3.03451726,0.25521006,0.00013941,0.01631620,0.04988486,0.14904474,0.00235133,0.08254187,0.03608331,0.00110857
-3.02851426,0.26572731,0.00011806,0.01805390,0.04946562,0.15147678,0.00251638,0.08782017,0.03968998,0.00117820
-3.02251126,0.28008145,0.00009932,0.02002840,0.04986255,0.15637989,0.00272145,0.09413287,0.04377956,0.00126217
-3.01650825,0.29803556,0.00008301,0.02222450,0.05099534,0.16364477,0.00296569,0.10137394,0.04832052,0.00135903
