energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-4.73936968,3.80607725,0.69836784,2.72350863,0.00149221,0.04995335,0.00710342,0.34741077,0.28898020,0.64260808
-4.73336668,3.72142874,0.68010843,2.67540845,0.00149963,0.04808338,0.00686215,0.33843453,0.27942111,0.61959736
-4.72736368,3.62200494,0.65961126,2.61621991,0.00149972,0.04605406,0.00659890,0.32808352,0.26902631,0.59433540
-4.72136068,3.50861337,0.63695693,2.54622659,0.00149292,0.04388519,0.00631575,0.31645898,0.25791315,0.56720286
-4.71535768,3.38235282,0.61228171,2.46596284,0.00147996,0.04159953,0.00601531,0.30368765,0.24620647,0.53859607
-4.70935468,3.24458370,0.58577393,2.37619894,0.00146178,0.03922209,0.00570060,0.28991850,0.23403566,0.50891643
-4.70335168,3.09689101,0.55766872,2.27791873,0.00143957,0.03677939,0.00537497,0.27531869,0.22153184,0.47856041
-4.69734867,2.94104156,0.52824109,2.17229076,0.00141473,0.03429867,0.00504200,0.26006917,0.20882520,0.44791075
-4.69134567,2.77893706,0.49779780,2.06063405,0.00138885,0.03180725,0.00470539,0.24435994,0.19604267,0.41732884
-4.68534267,2.61256504,0.46666837,1.94438018,0.00136368,0.02933174,0.00436891,0.22838527,0.18330580,0.38714870
-4.67933967,2.44394933,0.43519556,1.82503318,0.00134111,0.02689748,0.00403624,0.21233891,0.17072906,0.35767234
-4.67333667,2.27510198,0.40372578,1.70412886,0.00132310,0.02452800,0.00371096,0.19640959,0.15841845,0.32916679
-4.66733367,2.10797815,0.37259983,1.58319524,0.00131166,0.02224456,0.00339642,0.18077691,0.14647049,0.30186251
-4.66133067,1.94443530,0.34214424,1.46371539,0.00130877,0.02006587,0.00309572,0.16560771,0.13497156,0.27595307
-4.65532766,1.78619799,0.31266359,1.34709405,0.00131635,0.01800784,0.00281165,0.15105306,0.12399747,0.25159596
-4.64932466,1.63482880,0.28443409,1.23462884,0.00133619,0.01608351,0.00254667,0.13724594,0.11361338,0.22891436
-4.64332166,1.49170603,0.25769841,1.12748686,0.00136991,0.01430302,0.00230290,0.12429955,0.10387389,0.20799952
