energy_ev,total_up,Nb_p_up,Nb_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
5.36368184,3.04779262,3.19839658,1.65246014,0.89801983,0.00021113,0.03312452,0.74249978
5.36968484,3.06610759,3.21120669,1.67362213,0.90035473,0.00020480,0.03201509,0.74724001
5.37568784,3.07733164,3.21407051,1.68956900,0.89995674,0.00019901,0.03113300,0.75033751
5.38169085,3.08087681,3.20621446,1.69975100,0.89679878,0.00019374,0.03047048,0.75169241
5.38769385,3.07628960,3.18709338,1.70371729,0.89087407,0.00018897,0.03002012,0.75123524
5.39369685,3.06326830,3.15641845,1.70112958,0.88219466,0.00018467,0.02977608,0.74892950
5.39969985,3.04167706,3.11417745,1.69177297,0.87079102,0.00018086,0.02973515,0.74477362
5.40570285,3.01155575,3.06064608,1.67556363,0.85671250,0.00017754,0.02989761,0.73880207
5.41170585,2.97312504,2.99638966,1.65255286,0.84002864,0.00017474,0.03026774,0.73108568
5.41770885,2.92678626,2.92225473,1.62292709,0.82083113,0.00017249,0.03085410,0.72173077
5.42371186,2.87311552,2.83935063,1.58700400,0.79923614,0.00017085,0.03166935,0.71087741
5.42971486,2.81285222,2.74902139,1.54522444,0.77538668,0.00016989,0.03272988,0.69869647
5.43571786,2.74688193,2.65280909,1.49814073,0.74945475,0.00016967,0.03405495,0.68538562
5.44172086,2.67621418,2.55240974,1.44640149,0.72164283,0.00017027,0.03566562,0.67116442
5.44772386,2.60195576,2.44962366,1.39073368,0.69218458,0.00017178,0.03758337,0.65626844
5.45372686,2.52528068,2.34630204,1.33192267,0.66134438,0.00017426,0.03982856,0.64094279
5.45972986,2.44739767,2.24429211,1.27079089,0.62941578,0.00017779,0.04241869,0.62543520
5.46573287,2.36951679,2.14538298,1.20817624,0.59671861,0.00018242,0.04536666,0.60998886
5.47173587,2.29281646,2.05125445,1.14491086,0.56359507,0.00018817,0.04867904,0.59483547
5.47773887,2.21841223,1.96343078,1.08180120,0.53040475,0.00019507,0.05235446,0.58018868
5.48374187,2.14732887,1.88324140,1.01961021,0.49751896,0.00020310,0.05638228,0.56623830
5.48974487,2.08047667,1.81178983,0.95904203,0.46531461,0.00021223,0.06074147,0.55314545
5.49574787,2.01863318,1.74993212,0.90072988,0.43416788,0.00022238,0.06539994,0.54103896
5.50175088,1.96243084,1.69826522,0.84522726,0.40444814,0.00023347,0.07031429,0.53001322
5.50775388,1.91235096,1.65712554,0.79300250,0.37651227,0.00024537,0.07543008,0.52012740
5.51375688,1.86872396,1.62659714,0.74443674,0.35069958,0.00025793,0.08068251,0.51140626
5.51975988,1.83173545,1.60652892,0.69982487,0.32732761,0.00027099,0.08599773,0.50384231
5.52576288,1.80143750,1.59655929,0.65937911,0.30668867,0.00028437,0.09129449,0.49739925
5.53176588,1.77776398,1.59614675,0.62323470,0.28904724,0.00029787,0.09648631,0.49201649
5.53776888,1.76054871,1.60460458,0.59145703,0.27463803,0.00031130,0.10148387,0.48761428
5.54377189,1.74954515,1.62113735,0.56404969,0.26366451,0.00032446,0.10619773,0.48409938
5.54977489,1.74444601,1.64487740,0.54096268,0.25629775,0.00033717,0.11054107,0.48137070
5.55577789,1.74490146,1.67491912,0.52210041,0.25267517,0.00034925,0.11443249,0.47932461
5.56178089,1.75053473,1.71034930,0.50732879,0.25289913,0.00036055,0.11779859,0.47785972
5.56778389,1.76095397,1.75027213,0.49648128,0.25703496,0.00037093,0.12057635,0.47688057
5.57378689,1.77575985,1.79382767,0.48936343,0.26510853,0.00038029,0.12271510,0.47630037
5.57978989,1.79454831,1.84020334,0.48575611,0.27710298,0.00038853,0.12417796,0.47604230
5.58579290,1.81690882,1.88863824,0.48541719,0.29295498,0.00039562,0.12494289,0.47603967
5.59179590,1.84241841,1.93842080,0.48808211,0.31255046,0.00040153,0.12500299,0.47623465
5.59779890,1.87063238,1.98888073,0.49346350,0.33572021,0.00040624,0.12436634,0.47657611
5.60380190,1.90107284,2.03937641,0.50125029,0.36223555,0.00040977,0.12305525,0.47701643
5.60980490,1.93321642,2.08927963,0.51110675,0.39180477,0.00041216,0.12110496,0.47750785
5.61580790,1.96648277,2.13795934,0.52267192,0.42407049,0.00041344,0.11856199,0.47799862
5.62181091,2.00022519,2.18476637,0.53555990,0.45860877,0.00041367,0.11548211,0.47842926
5.62781391,2.03372498,2.22902099,0.54936126,0.49493016,0.00041290,0.11192809,0.47872940
5.63381691,2.06619061,2.27000487,0.56364611,0.53248328,0.00041116,0.10796742,0.47881548
5.63981991,2.09676260,2.30695875,0.57796874,0.57066104,0.00040851,0.10366995,0.47858951
5.64582291,2.12452464,2.33908657,0.59187406,0.60880982,0.00040497,0.09910576,0.47793924
5.65182591,2.14852087,2.36556645,0.60490574,0.64624142,0.00040057,0.09434312,0.47673966
5.65782891,2.16777901,2.38556825,0.61661572,0.68224769,0.00039532,0.08944689,0.47485593
5.66383192,2.18133830,2.39827693,0.62657490,0.71611738,0.00038921,0.08447709,0.47214756
5.66983492,2.18828115,2.40292053,0.63438435,0.74715471,0.00038225,0.07948801,0.46847370
5.67583792,2.18776671,2.39880109,0.63968676,0.77469886,0.00037442,0.07452751,0.46369918
5.68184092,2.17906467,2.38532668,0.64217737,0.79814371,0.00036573,0.06963680,0.45770095
5.68784392,2.16158740,2.36204243,0.64161388,0.81695683,0.00035615,0.06485046,0.45037462
5.69384692,2.13491847,2.32865863,0.63782481,0.83069693,0.00034571,0.06019673,0.44164059
5.69984992,2.09883612,2.28507405,0.63071592,0.83902883,0.00033440,0.05569803,0.43144947
5.70585293,2.05332998,2.23139278,0.62027419,0.84173538,0.00032227,0.05137155,0.41978645
5.71185593,1.99861047,2.16793371,0.60656929,0.83872554,0.00030936,0.04723001,0.40667436
5.71785893,1.93510985,2.09523158,0.58975245,0.83003840,0.00029573,0.04328237,0.39217526
5.72386193,1.86347534,2.01402979,0.57005264,0.81584280,0.00028148,0.03953456,0.37639045
5.72986493,1.78455435,1.92526509,0.54777053,0.79643273,0.00026671,0.03599011,0.35945893
5.73586793,1.69937284,1.83004499,0.52327036,0.77221861,0.00025155,0.03265075,0.34155454
5.74187094,1.60910804,1.72961918,0.49697023,0.74371501,0.00023613,0.02951684,0.32288172
5.74787394,1.51505682,1.62534642,0.46933140,0.71152543,0.00022062,0.02658780,0.30367043
5.75387694,1.41860166,1.51865867,0.44084689,0.67632484,0.00020517,0.02386229,0.28417030
5.75987994,1.32117560,1.41102421,0.41203024,0.63884084,0.00018997,0.02133850,0.26464452
5.76588294,1.22422798,1.30391157,0.38340462,0.59983428,0.00017518,0.01901419,0.24536362
5.77188594,1.12919242,1.19875571,0.35549285,0.56008021,0.00016098,0.01688682,0.22659950
5.77788894,1.03745812,1.09692793,0.32880867,0.52034982,0.00014754,0.01495354,0.20861999
5.78389195,0.95034551,0.99971040,0.30384927,0.48139404,0.00013504,0.01321124,0.19168406
5.78989495,0.86908654,0.90827592,0.28108938,0.44392925,0.00012362,0.01165661,0.17603779
5.79589795,0.79481000,0.82367325,0.26097670,0.40862537,0.00011343,0.01028611,0.16191116
5.80190095,0.72853147,0.74681768,0.24392855,0.37609651,0.00010461,0.00909608,0.14951568
5.80790395,0.67114736,0.67848660,0.23032941,0.34689403,0.00009728,0.00808282,0.13904262
5.81390695,0.62343242,0.61931913,0.22052913,0.32150182,0.00009155,0.00724262,0.13066189
5.81990995,0.58603963,0.56981897,0.21484131,0.30033360,0.00008752,0.00657197,0.12452122
5.82591296,0.55950145,0.53035947,0.21354150,0.28373162,0.00008528,0.00606760,0.12074551
5.83191596,0.54423155,0.50118979,0.21686492,0.27196646,0.00008489,0.00572664,0.11943626
5.83791896,0.54052600,0.48244122,0.22500330,0.26523750,0.00008640,0.00554677,0.12067068
5.84392196,0.54856321,0.47413282,0.23810083,0.26367349,0.00008985,0.00552631,0.12450062
5.84992496,0.56840220,0.47617576,0.25624892,0.26733313,0.00009527,0.00566433,0.13095107
5.85592796,0.59997902,0.48837601,0.27948011,0.27620519,0.00010264,0.00596079,0.14001823
5.86193097,0.64310138,0.51043528,0.30776110,0.29020836,0.00011195,0.00641663,0.15166731
5.86793397,0.69744197,0.54195034,0.34098541,0.30919056,0.00012315,0.00703380,0.16583010
5.87393697,0.76253119,0.58241136,0.37896611,0.33292821,0.00013616,0.00781540,0.18240246
5.87993997,0.83775024,0.63119965,0.42142921,0.36112538,0.00015088,0.00876572,0.20124212
5.88594297,0.92232558,0.68758588,0.46800832,0.39341358,0.00016718,0.00989026,0.22216688
5.89194597,1.01532611,0.75072955,0.51824131,0.42935228,0.00018488,0.01119585,0.24495354
5.89794897,1.11566395,0.81968074,0.57156948,0.46843076,0.00020379,0.01269059,0.26933797
5.90395198,1.22210011,0.89338486,0.62734007,0.51007178,0.00022368,0.01438391,0.29501635
5.90995498,1.33325560,0.97069122,0.68481216,0.55363718,0.00024429,0.01628648,0.32164792
5.91595798,1.44762869,1.05036593,0.74316658,0.59843591,0.00026533,0.01841018,0.34885930
5.92196098,1.56361816,1.13110920,0.80151969,0.64373449,0.00028650,0.02076787,0.37625042
5.92796398,1.67955256,1.21157708,0.85894086,0.68876976,0.00030747,0.02337317,0.40340197
5.93396698,1.79372448,1.29040715,0.91447335,0.73276387,0.00032792,0.02624009,0.42988428
5.93996998,1.90442886,1.36624734,0.96715781,0.77494107,0.00034751,0.02938253,0.45526719
5.94597299,2.01000386,1.43778707,1.01605770,0.81454567,0.00036593,0.03281365,0.47913073
5.95197599,2.10887241,1.50378913,1.06028540,0.85086066,0.00038286,0.03654513,0.50107613
5.95797899,2.19958274,1.56312113,1.09902814,0.88322604,0.00039802,0.04058619,0.52073655
5.96398199,2.28084574,1.61478491,1.13157238,0.91105633,0.00041118,0.04494263,0.53778730
5.96998499,2.35156737,1.65794252,1.15732553,0.93385612,0.00042212,0.04961565,0.55195477
5.97598799,2.41087448,1.69193735,1.17583401,0.95123326,0.00043069,0.05460068,0.56302393
5.98199100,2.45813270,1.71630942,1.18679670,0.96290879,0.00043678,0.05988618,0.57084375
5.98799400,2.49295555,1.73080396,1.19007308,0.96872323,0.00044032,0.06545255,0.57533051
5.99399700,2.51520427,1.73537285,1.18568575,0.96863899,0.00044132,0.07127112,0.57646870
6.00000000,2.52497875,1.73016883,1.17381714,0.96273856,0.00043983,0.07730339,0.57430956
