energy_ev,total_up,Ag_p_up,Ag_d_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Te_p_up,Te_d_up
-5.68184092,12.54038278,0.29326203,2.63446285,1.09651597,8.72300230,0.03222242,0.31776249,0.64037092,0.00000000
-5.67583792,12.75626572,0.29729500,2.63817382,1.11619691,8.93936134,0.03182266,0.31493277,0.64212286,0.00000000
-5.66983492,12.96895078,0.30091826,2.64284957,1.13542102,9.15228424,0.03128470,0.31164060,0.64358716,0.00000000
-5.66383192,13.17800791,0.30420999,2.64897109,1.15424000,9.36042162,0.03061893,0.30794985,0.64497750,0.00000000
-5.65782891,13.38267798,0.30725603,2.65688970,1.17267247,9.56225945,0.02983764,0.30392542,0.64648696,0.00000000
-5.65182591,13.58185291,0.31014649,2.66681470,1.19069971,9.75612471,0.02895475,0.29963145,0.64828119,0.00000000
-5.64582291,13.77407079,0.31297221,2.67880578,1.20826312,9.94019864,0.02798546,0.29512995,0.65049280,0.00000000
-5.63981991,13.95752723,0.31582119,2.69277081,1.22526379,10.11253843,0.02694586,0.29047949,0.65321708,0.00000000
-5.63381691,14.13010402,0.31877526,2.70846888,1.24156400,10.27110796,0.02585249,0.28573438,0.65650920,0.00000000
-5.62781391,14.28941533,0.32190698,2.72551862,1.25699103,10.41381754,0.02472197,0.28094409,0.66038301,0.00000000
-5.62181091,14.43287088,0.32527711,2.74341175,1.27134285,10.53857241,0.02357057,0.27615312,0.66481159,0.00000000
-5.61580790,14.55775465,0.32893264,2.76153127,1.28439577,10.64332896,0.02241383,0.27140114,0.66972930,0.00000000
-5.60980490,14.66131695,0.33290547,2.77917399,1.29591361,10.72615732,0.02126623,0.26672349,0.67503550,0.00000000
-5.60380190,14.74087645,0.33721190,2.79557644,1.30565807,10.78530814,0.02014089,0.26215186,0.68059954,0.00000000
-5.59779890,14.79392857,0.34185281,2.80994351,1.31339971,10.81928103,0.01904937,0.25771514,0.68626698,0.00000000
-5.59179590,14.81825521,0.34681448,2.82147857,1.31892912,10.82689179,0.01800146,0.25344038,0.69186661,0.00000000
-5.58579290,14.81203105,0.35207017,2.82941405,1.32206756,10.80733504,0.01700519,0.24935363,0.69721810,0.00000000
-5.57978989,14.77392092,0.35758208,2.83304108,1.32267666,10.76023881,0.01606670,0.24548064,0.70213973,0.00000000
-5.57378689,14.70316299,0.36330373,2.83173712,1.32066636,10.68570793,0.01519041,0.24184742,0.70645611,0.00000000
-5.56778389,14.59963302,0.36918259,2.82499015,1.31600090,10.58435301,0.01437906,0.23848033,0.71000524,0.00000000
-5.56178089,14.46388534,0.37516268,2.81241858,1.30870221,10.45730257,0.01363391,0.23540595,0.71264482,0.00000000
-5.55577789,14.29716751,0.38118713,2.79378561,1.29885067,10.30619634,0.01295498,0.23265045,0.71425748,0.00000000
-5.54977489,14.10140673,0.38720050,2.76900775,1.28658299,10.13315900,0.01234123,0.23023866,0.71475463,0.00000000
-5.54377189,13.87916752,0.39315075,2.73815685,1.27208739,9.94075411,0.01179091,0.22819274,0.71407891,0.00000000
-5.53776888,13.63358187,0.39899075,2.70145566,1.25559625,9.73191962,0.01130172,0.22653059,0.71220514,0.00000000
-5.53176588,13.36825449,0.40467941,2.65926735,1.23737674,9.50988692,0.01087113,0.22526413,0.70913987,0.00000000
-5.52576288,13.08714731,0.41018226,2.61207932,1.21771985,9.27808671,0.01049661,0.22439749,0.70491956,0.00000000
-5.51975988,12.79444864,0.41547168,2.56048251,1.19692857,9.04004569,0.01017578,0.22392531,0.69960765,0.00000000
