energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-2.72836418,3.94202248,1.13728746,1.50293023,0.48365852,0.00191457,0.54634130,1.28464413
-2.72236118,3.94224926,1.12054598,1.51937924,0.47745667,0.00191812,0.53397281,1.28392540
-2.71635818,3.92987502,1.10350198,1.52941251,0.47110681,0.00191724,0.52020286,1.27884796
-2.71035518,3.90438970,1.08580365,1.53268468,0.46434065,0.00191117,0.50514305,1.26939937
-2.70435218,3.86555514,1.06716593,1.52897942,0.45692528,0.00189924,0.48891786,1.25564378
-2.69834917,3.81341833,1.04737853,1.51821741,0.44866986,0.00188099,0.47166312,1.23772219
-2.69234617,3.74831510,1.02631054,1.50045994,0.43943026,0.00185611,0.45352436,1.21585057
-2.68634317,3.67086389,1.00391168,1.47590776,0.42911146,0.00182448,0.43465477,1.19031571
-2.68034017,3.58194961,0.98021020,1.44489526,0.41766787,0.00178615,0.41521301,1.16146891
-2.67433717,3.48269831,0.95530787,1.40788019,0.40510164,0.00174137,0.39536066,1.12971763
-2.66833417,3.37444356,0.92937235,1.36542923,0.39145914,0.00169053,0.37525956,1.09551533
-2.66233117,3.25868607,0.90262731,1.31820018,0.37682596,0.00163418,0.35506897,1.05935002
-2.65632816,3.13704819,0.87534109,1.26692149,0.36132072,0.00157297,0.33494272,1.02173169
-2.65032516,3.01122543,0.84781416,1.21237013,0.34508807,0.00150765,0.31502643,0.98317928
-2.64432216,2.88293677,0.82036620,1.15534862,0.32829125,0.00143904,0.29545487,0.94420771
-2.63831916,2.75387608,0.79332311,1.09666238,0.31110461,0.00136799,0.27634973,0.90531524
-2.63231616,2.62566636,0.76700466,1.03709819,0.29370639,0.00129536,0.25781764,0.86697186
-2.62631316,2.49981856,0.74171299,0.97740457,0.27627211,0.00122200,0.23994882,0.82960891
-2.62031016,2.37769632,0.71772250,0.91827491,0.25896881,0.00114871,0.22281618,0.79361029
-2.61430715,2.26048756,0.69527120,0.86033358,0.24195025,0.00107625,0.20647505,0.75930547
-2.60830415,2.14918359,0.67455385,0.80412559,0.22535331,0.00100528,0.19096346,0.72696447
-2.60230115,2.04456596,0.65571684,0.75010970,0.20929550,0.00093642,0.17630302,0.69679473
-2.59629815,1.94720078,0.63885495,0.69865510,0.19387368,0.00087014,0.16250019,0.66893985
-2.59029515,1.85744012,0.62400975,0.65004120,0.17916376,0.00080688,0.14954803,0.64348015
-2.58429215,1.77542986,0.61116981,0.60446050,0.16522146,0.00074694,0.13742822,0.62043476
-2.57828914,1.70112289,0.60027231,0.56202372,0.15208378,0.00069054,0.12611323,0.59976517
-2.57228614,1.63429686,0.59120611,0.52276702,0.13977114,0.00063783,0.11556861,0.58137983
-2.56628314,1.57457529,0.58381603,0.48666059,0.12828993,0.00058886,0.10575515,0.56513979
-2.56028014,1.52145120,0.57790815,0.45361813,0.11763535,0.00054363,0.09663097,0.55086501
-2.55427714,1.47431213,0.57325610,0.42350689,0.10779438,0.00050205,0.08815330,0.53834121
-2.54827414,1.43246596,0.56960799,0.39615758,0.09874870,0.00046402,0.08028008,0.52732710
-2.54227114,1.39516651,0.56669407,0.37137414,0.09047750,0.00042937,0.07297113,0.51756174
-2.53626813,1.36163868,0.56423469,0.34894282,0.08296005,0.00039789,0.06618904,0.50877210
-2.53026513,1.33110231,0.56194865,0.32864057,0.07617804,0.00036936,0.05989970,0.50068041
-2.52426213,1.30279468,0.55956156,0.31024247,0.07011766,0.00034356,0.05407262,0.49301145
-2.51825913,1.27599106,0.55681423,0.29352829,0.06477127,0.00032023,0.04868086,0.48549950
-2.51225613,1.25002331,0.55347064,0.27828799,0.06013884,0.00029912,0.04370088,0.47789490
-2.50625313,1.22429615,0.54932550,0.26432626,0.05622912,0.00027999,0.03911217,0.46997008
-2.50025013,1.19830097,0.54421105,0.25146622,0.05306047,0.00026261,0.03489687,0.46152499
-2.49424712,1.17162698,0.53800301,0.23955208,0.05066141,0.00024675,0.03103929,0.45239167
-2.48824412,1.14396957,0.53062525,0.22845109,0.04907093,0.00023220,0.02752548,0.44243806
-2.48224112,1.11513566,0.52205321,0.21805466,0.04833851,0.00021879,0.02434289,0.43157076
-2.47623812,1.08504607,0.51231590,0.20827869,0.04852375,0.00020635,0.02148005,0.41973674
-2.47023512,1.05373468,0.50149612,0.19906332,0.04969575,0.00019473,0.01892640,0.40692394
-2.46423212,1.02134444,0.48972916,0.19037187,0.05193210,0.00018383,0.01667226,0.39316076
-2.45822911,0.98812035,0.47719977,0.18218935,0.05531736,0.00017353,0.01470879,0.37851440
-2.45222611,0.95439947,0.46413744,0.17452021,0.05994124,0.00016378,0.01302820,0.36308815
-2.44622311,0.92059824,0.45081025,0.16738581,0.06589618,0.00015451,0.01162389,0.34701771
-2.44022011,0.88719740,0.43751730,0.16082122,0.07327453,0.00014571,0.01049076,0.33046670
-2.43421711,0.85472508,0.42458007,0.15487186,0.08216526,0.00013735,0.00962546,0.31362150
-2.42821411,0.82373835,0.41233285,0.14958976,0.09265019,0.00012943,0.00902666,0.29668557
-2.42221111,0.79480399,0.40111275,0.14502971,0.10479999,0.00012197,0.00869538,0.27987360
-2.41620810,0.76847898,0.39124944,0.14124534,0.11866978,0.00011499,0.00863511,0.26340550
-2.41020510,0.74529146,0.38305505,0.13828532,0.13429482,0.00010851,0.00885204,0.24750062
-2.40420210,0.72572267,0.37681467,0.13618973,0.15168606,0.00010257,0.00935503,0.23237231
-2.39819910,0.71019069,0.37277762,0.13498681,0.17082615,0.00009719,0.01015564,0.21822300
-2.39219610,0.69903632,0.37114999,0.13469012,0.19166574,0.00009241,0.01126797,0.20523993
-2.38619310,0.69251179,0.37208861,0.13529632,0.21412058,0.00008823,0.01270841,0.19359174
-2.38019010,0.69077261,0.37569671,0.13678352,0.23806949,0.00008469,0.01449531,0.18342585
-2.37418709,0.69387288,0.38202153,0.13911051,0.26335343,0.00008179,0.01664855,0.17486680
-2.36818409,0.70176420,0.39105377,0.14221655,0.28977577,0.00007953,0.01918903,0.16801544
-2.36218109,0.71429824,0.40272923,0.14602215,0.31710407,0.00007791,0.02213814,0.16294901
-2.35617809,0.73123283,0.41693225,0.15043049,0.34507318,0.00007691,0.02551710,0.15972197
-2.35017509,0.75224136,0.43350105,0.15532958,0.37338985,0.00007652,0.02934639,0.15836757
-2.34417209,0.77692499,0.45223468,0.16059513,0.40173871,0.00007669,0.03364508,0.15889989
-2.33816908,0.80482732,0.47290126,0.16609386,0.42978952,0.00007742,0.03843028,0.16131632
-2.33216608,0.83545079,0.49524723,0.17168728,0.45720529,0.00007865,0.04371650,0.16560026
-2.32616308,0.86827408,0.51900716,0.17723573,0.48365130,0.00008035,0.04951519,0.17172393
-2.32016008,0.90276989,0.54391361,0.18260245,0.50880435,0.00008249,0.05583424,0.17965096
-2.31415708,0.93842219,0.56970672,0.18765762,0.53236205,0.00008504,0.06267754,0.18933884
-2.30815408,0.97474220,0.59614293,0.19228214,0.55405171,0.00008796,0.07004465,0.20074085
-2.30215108,1.01128241,0.62300242,0.19637096,0.57363836,0.00009123,0.07793045,0.21380747
-2.29614807,1.04764802,0.65009493,0.19983596,0.59093154,0.00009482,0.08632485,0.22848715
-2.29014507,1.08350514,0.67726360,0.20260803,0.60579057,0.00009872,0.09521251,0.24472628
-2.28414207,1.11858561,0.70438656,0.20463852,0.61812798,0.00010290,0.10457254,0.26246851
-2.27813907,1.15268798,0.73137629,0.20589982,0.62791090,0.00010736,0.11437819,0.28165319
-2.27213607,1.18567496,0.75817663,0.20638516,0.63516034,0.00011209,0.12459655,0.30221329
-2.26613307,1.21746720,0.78475768,0.20610762,0.63994843,0.00011708,0.13518813,0.32407258
-2.26013007,1.24803408,0.81110881,0.20509844,0.64239364,0.00012233,0.14610655,0.34714251
-2.25412706,1.27738195,0.83723026,0.20340476,0.64265432,0.00012781,0.15729813,0.37131882
-2.24812406,1.30554052,0.86312371,0.20108677,0.64092082,0.00013352,0.16870155,0.39647821
-2.24212106,1.33254838,0.88878257,0.19821470,0.63740659,0.00013944,0.18024755,0.42247520
-2.23611806,1.35843844,0.91418246,0.19486547,0.63233883,0.00014554,0.19185884,0.44913962
-2.23011506,1.38322427,0.93927265,0.19111954,0.62594893,0.00015178,0.20345004,0.47627487
-2.22411206,1.40688828,0.96396898,0.18705775,0.61846343,0.00015813,0.21492799,0.50365723
-2.21810905,1.42937254,0.98814892,0.18275862,0.61009585,0.00016454,0.22619229,0.53103645
-2.21210605,1.45057287,1.01164910,0.17829603,0.60103971,0.00017094,0.23713614,0.55813776
-2.20610305,1.47033676,1.03426576,0.17373744,0.59146320,0.00017728,0.24764767,0.58466538
-2.20010005,1.48846540,1.05575822,0.16914272,0.58150561,0.00018349,0.25761150,0.61030764
-2.19409705,1.50471984,1.07585532,0.16456365,0.57127578,0.00018952,0.26691086,0.63474347
-2.18809405,1.51883113,1.09426484,0.16004398,0.56085237,0.00019529,0.27542992,0.65765033
-2.18209105,1.53051401,1.11068536,0.15562012,0.55028613,0.00020077,0.28305656,0.67871314
-2.17608804,1.53948349,1.12482016,0.15132233,0.53960369,0.00020590,0.28968529,0.69763415
-2.17008504,1.54547364,1.13639259,0.14717631,0.52881290,0.00021065,0.29522038,0.71414307
-2.16408204,1.54825745,1.14516206,0.14320506,0.51790902,0.00021502,0.29957898,0.72800743
-2.15807904,1.54766695,1.15094003,0.13943101,0.50688175,0.00021901,0.30269419,0.73904237
-2.15207604,1.54361243,1.15360504,0.13587806,0.49572236,0.00022266,0.30451786,0.74711973
-2.14607304,1.53609972,1.15311616,0.13257365,0.48443073,0.00022604,0.30502308,0.75217580
-2.14007004,1.52524464,1.14952400,0.12955047,0.47302176,0.00022922,0.30420620,0.75421745
-2.13406703,1.51128379,1.14297875,0.12684804,0.46153090,0.00023233,0.30208825,0.75332637
-2.12806403,1.49458097,1.13373473,0.12451372,0.45001844,0.00023550,0.29871568,0.74966097
-2.12206103,1.47562877,1.12215109,0.12260331,0.43857236,0.00023890,0.29416043,0.74345603
-2.11605803,1.45504513,1.10868841,0.12118115,0.42730961,0.00024273,0.28851918,0.73501982
-2.11005503,1.43356468,1.09390138,0.12031966,0.41637568,0.00024719,0.28191191,0.72472876
-2.10405203,1.41202523,1.07842747,0.12009829,0.40594256,0.00025250,0.27447961,0.71301988
-2.09804902,1.39134957,1.06297213,0.12060206,0.39620510,0.00025888,0.26638149,0.70038103
-2.09204602,1.37252339,1.04829088,0.12191956,0.38737602,0.00026656,0.25779142,0.68733939
-2.08604302,1.35656980,1.03516892,0.12414057,0.37967966,0.00027577,0.24889399,0.67444838
-2.08004002,1.34452154,1.02439907,0.12735338,0.37334490,0.00028671,0.23988024,0.66227364
-2.07403702,1.33739174,1.01675870,0.13164191,0.36859736,0.00029957,0.23094303,0.65137829
-2.06803402,1.33614424,1.01298666,0.13708266,0.36565145,0.00031451,0.22227249,0.64230810
-2.06203102,1.34166464,1.01376093,0.14374172,0.36470230,0.00033166,0.21405144,0.63557692
-2.05602801,1.35473301,1.01967796,0.15167193,0.36591822,0.00035112,0.20645100,0.63165296
-2.05002501,1.37599923,1.03123442,0.16091022,0.36943379,0.00037293,0.19962661,0.63094622
-2.04402201,1.40596199,1.04881212,0.17147534,0.37534389,0.00039710,0.19371439,0.63379752
-2.03801901,1.44495207,1.07266666,0.18336606,0.38369896,0.00042360,0.18882815,0.64046946
-2.03201601,1.49312058,1.10292028,0.19655992,0.39450177,0.00045235,0.18505692,0.65113959
-2.02601301,1.55043259,1.13955921,0.21101252,0.40770550,0.00048323,0.18246321,0.66589592
-2.02001001,1.61666632,1.18243559,0.22665760,0.42321366,0.00051608,0.18108197,0.68473501
-2.01400700,1.69141801,1.23127397,0.24340765,0.44088147,0.00055069,0.18092027,0.70756250
