energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-5.49574787,1.09299676,0.39878666,0.00000000,0.30997627,0.00000000,0.43340100,0.47463312
-5.48974487,1.05024821,0.38310193,0.00000000,0.30008657,0.00000000,0.41647552,0.45379199
-5.48374187,1.01192465,0.36769473,0.00000000,0.29294972,0.00000000,0.40119377,0.43386632
-5.47773887,0.97900399,0.35303222,0.00000000,0.28877204,0.00000000,0.38788685,0.41534869
-5.47173587,0.95241814,0.33956791,0.00000000,0.28774073,0.00000000,0.37685929,0.39871442
-5.46573287,0.93303074,0.32773097,0.00000000,0.29001928,0.00000000,0.36838135,0.38441003
-5.45972986,0.92161601,0.31791603,0.00000000,0.29574298,0.00000000,0.36268215,0.37284241
-5.45372686,0.91883900,0.31047409,0.00000000,0.30501442,0.00000000,0.35994351,0.36436891
-5.44772386,0.92523757,0.30570445,0.00000000,0.31789913,0.00000000,0.36029492,0.35928858
-5.44172086,0.94120651,0.30384776,0.00000000,0.33442146,0.00000000,0.36380950,0.35783456
-5.43571786,0.96698384,0.30508050,0.00000000,0.35456075,0.00000000,0.37050118,0.36016789
-5.42971486,1.00263983,0.30951068,0.00000000,0.37824791,0.00000000,0.38032314,0.36637268
-5.42371186,1.04806864,0.31717500,0.00000000,0.40536249,0.00000000,0.39316747,0.37645287
-5.41770885,1.10298313,0.32803751,0.00000000,0.43573041,0.00000000,0.40886621,0.39033051
-5.41170585,1.16691283,0.34198963,0.00000000,0.46912253,0.00000000,0.42719369,0.40784569
-5.40570285,1.23920562,0.35885184,0.00000000,0.50525413,0.00000000,0.44787022,0.42875816
-5.39969985,1.31903309,0.37837681,0.00000000,0.54378556,0.00000000,0.47056712,0.45275077
-5.39369685,1.40540011,0.40025411,0.00000000,0.58432428,0.00000000,0.49491302,0.47943458
-5.38769385,1.49715853,0.42411650,0.00000000,0.62642823,0.00000000,0.52050141,0.50835583
-5.38169085,1.59302535,0.44954763,0.00000000,0.66961090,0.00000000,0.54689930,0.53900461
-5.37568784,1.69160509,0.47609120,0.00000000,0.71334803,0.00000000,0.57365684,0.57082521
-5.36968484,1.79141631,0.50326128,0.00000000,0.75708595,0.00000000,0.60031777,0.60322796
-5.36368184,1.89092183,0.53055375,0.00000000,0.80025143,0.00000000,0.62643028,0.63560235
-5.35767884,1.98856205,0.55745845,0.00000000,0.84226306,0.00000000,0.65155825,0.66733114
-5.35167584,2.08279049,0.58347185,0.00000000,0.88254365,0.00000000,0.67529226,0.69780510
-5.34567284,2.17211062,0.60810969,0.00000000,0.92053338,0.00000000,0.69726016,0.72643796
-5.33966983,2.25511273,0.63091946,0.00000000,0.95570337,0.00000000,0.71713671,0.75268103
-5.33366683,2.33050946,0.65149193,0.00000000,0.98756897,0.00000000,0.73465196,0.77603717
-5.32766383,2.39716872,0.66947168,0.00000000,1.01570235,0.00000000,0.74959794,0.79607330
-5.32166083,2.45414252,0.68456588,0.00000000,1.03974377,0.00000000,0.76183332,0.81243136
-5.31565783,2.50069038,0.69655121,0.00000000,1.05941103,0.00000000,0.77128585,0.82483681
-5.30965483,2.53629641,0.70527846,0.00000000,1.07450659,0.00000000,0.77795229,0.83310482
-5.30365183,2.56067887,0.71067470,0.00000000,1.08492193,0.00000000,0.78189580,0.83714341
-5.29764882,2.57379196,0.71274284,0.00000000,1.09063899,0.00000000,0.78324090,0.83695375
-5.29164582,2.57581946,0.71155872,0.00000000,1.09172844,0.00000000,0.78216612,0.83262743
-5.28564282,2.56716055,0.70726568,0.00000000,1.08834488,0.00000000,0.77889456,0.82434088
-5.27963982,2.54840837,0.70006704,0.00000000,1.08071914,0.00000000,0.77368300,0.81234715
-5.27363682,2.52032237,0.69021672,0.00000000,1.06914810,0.00000000,0.76680983,0.79696557
-5.26763382,2.48379576,0.67800857,0.00000000,1.05398240,0.00000000,0.75856255,0.77856960
-5.26163082,2.43981972,0.66376476,0.00000000,1.03561283,0.00000000,0.74922541,0.75757353
-5.25562781,2.38944602,0.64782396,0.00000000,1.01445594,0.00000000,0.73906777,0.73441868
-5.24962481,2.33375008,0.63052966,0.00000000,0.99093964,0.00000000,0.72833392,0.70955956
-5.24362181,2.27379599,0.61221935,0.00000000,0.96548961,0.00000000,0.71723467,0.68345077
-5.23761881,2.21060539,0.59321491,0.00000000,0.93851703,0.00000000,0.70594134,0.65653498
-5.23161581,2.14513137,0.57381452,0.00000000,0.91040825,0.00000000,0.69458232,0.62923258
-5.22561281,2.07823844,0.55428657,0.00000000,0.88151688,0.00000000,0.68324230,0.60193327
-5.21960980,2.01068931,0.53486549,0.00000000,0.85215850,0.00000000,0.67196426,0.57498967
-5.21360680,1.94313843,0.51574969,0.00000000,0.82260810,0.00000000,0.66075389,0.54871325
-5.20760380,1.87613227,0.49710142,0.00000000,0.79310013,0.00000000,0.64958622,0.52337230
-5.20160080,1.81011545,0.47904832,0.00000000,0.76383107,0.00000000,0.63841387,0.49919181
-5.19559780,1.74544190,0.46168651,0.00000000,0.73496382,0.00000000,0.62717643,0.47635500
-5.18959480,1.68238962,0.44508457,0.00000000,0.70663372,0.00000000,0.61581031,0.45500615
-5.18359180,1.62117772,0.42928833,0.00000000,0.67895540,0.00000000,0.60425835,0.43525416
-5.17758879,1.56198407,0.41432572,0.00000000,0.65202994,0.00000000,0.59247874,0.41717671
-5.17158579,1.50496230,0.40021157,0.00000000,0.62595179,0.00000000,0.58045237,0.40082432
-5.16558279,1.45025668,0.38695175,0.00000000,0.60081470,0.00000000,0.56818849,0.38622411
-5.15957979,1.39801386,0.37454658,0.00000000,0.57671652,0.00000000,0.55572808,0.37338305
-5.15357679,1.34839075,0.36299319,0.00000000,0.55376228,0.00000000,0.54314483,0.36229027
-5.14757379,1.30155802,0.35228680,0.00000000,0.53206544,0.00000000,0.53054377,0.35291866
-5.14157079,1.25769924,0.34242091,0.00000000,0.51174738,0.00000000,0.51805748,0.34522549
-5.13556778,1.21700591,0.33338653,0.00000000,0.49293499,0.00000000,0.50584040,0.33915235
-5.12956478,1.17966898,0.32517051,0.00000000,0.47575684,0.00000000,0.49406131,0.33462443
-5.12356178,1.14586773,0.31775348,0.00000000,0.46033806,0.00000000,0.48289483,0.33154962
-5.11755878,1.11575698,0.31110743,0.00000000,0.44679447,0.00000000,0.47251216,0.32981746
-5.11155578,1.08945388,0.30519332,0.00000000,0.43522639,0.00000000,0.46307187,0.32929837
-5.10555278,1.06702533,0.29995912,0.00000000,0.42571254,0.00000000,0.45471111,0.32984345
