energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
3.86293147,0.45052702,0.00527465,0.08028995,0.11519423,0.00873844,0.02640622,0.02148553,0.16285133,0.23128167
3.86893447,0.47022679,0.00495261,0.08806356,0.11241951,0.00845617,0.02404718,0.02124705,0.17293854,0.24952689
3.87493747,0.49501191,0.00466966,0.09691335,0.11077847,0.00824710,0.02190218,0.02135788,0.18471921,0.27056254
3.88094047,0.52455901,0.00442919,0.10674325,0.11030028,0.00811032,0.01997431,0.02182474,0.19806899,0.29413639
3.88694347,0.55847144,0.00423403,0.11744270,0.11100195,0.00804345,0.01826436,0.02265602,0.21283043,0.31995380
3.89294647,0.59628170,0.00408656,0.12888711,0.11288900,0.00804267,0.01677092,0.02386178,0.22881401,0.34767893
3.89894947,0.63745739,0.00398880,0.14093891,0.11595655,0.00810288,0.01549054,0.02545386,0.24580065,0.37693797
3.90495248,0.68141079,0.00394258,0.15344931,0.12019106,0.00821783,0.01441805,0.02744593,0.26354585,0.40732457
3.91095548,0.72751193,0.00394969,0.16626070,0.12557232,0.00838033,0.01354695,0.02985345,0.28178537,0.43840760
3.91695848,0.77510496,0.00401212,0.17920986,0.13207579,0.00858250,0.01286990,0.03269363,0.30024238,0.46974097
3.92296148,0.82352729,0.00413229,0.19213157,0.13967497,0.00881606,0.01237926,0.03598526,0.31863592,0.50087541
3.92896448,0.87213089,0.00431327,0.20486290,0.14834382,0.00907264,0.01206765,0.03974836,0.33669033,0.53137173
3.93496748,0.92030480,0.00455898,0.21724763,0.15805889,0.00934407,0.01192851,0.04400374,0.35414543,0.56081513
3.94097049,0.96749791,0.00487449,0.22914086,0.16880115,0.00962274,0.01195657,0.04877241,0.37076687,0.58882994
3.94697349,1.01324102,0.00526616,0.24041357,0.18055727,0.00990182,0.01214832,0.05407476,0.38635636,0.61509413
3.95297649,1.05716704,0.00574184,0.25095676,0.19332039,0.01017564,0.01250237,0.05992964,0.40076122,0.63935286
3.95897949,1.09902826,0.00631102,0.26068512,0.20709013,0.01043983,0.01301966,0.06635327,0.41388279,0.66143043
