energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
2.32016008,1.07604671,0.05933778,0.00000000,0.14473395,0.00000000,0.19046657,0.98642189
2.32616308,1.04653868,0.06064559,0.00000000,0.13588274,0.00000000,0.18585414,0.95887038
2.33216608,1.01837696,0.06205896,0.00000000,0.12787192,0.00000000,0.18195796,0.93202863
2.33816908,0.99211126,0.06357896,0.00000000,0.12070720,0.00000000,0.17888776,0.90647044
2.34417209,0.96824368,0.06520432,0.00000000,0.11439445,0.00000000,0.17673949,0.88272186
2.35017509,0.94721236,0.06693104,0.00000000,0.10893702,0.00000000,0.17559087,0.86124636
2.35617809,0.92937846,0.06875206,0.00000000,0.10433334,0.00000000,0.17549781,0.84243298
2.36218109,0.91501654,0.07065716,0.00000000,0.10057490,0.00000000,0.17649176,0.82658785
2.36818409,0.90430868,0.07263296,0.00000000,0.09764468,0.00000000,0.17857812,0.81392901
2.37418709,0.89734213,0.07466313,0.00000000,0.09551622,0.00000000,0.18173589,0.80458453
2.38019010,0.89411035,0.07672869,0.00000000,0.09415316,0.00000000,0.18591840,0.79859362
2.38619310,0.89451714,0.07880845,0.00000000,0.09350940,0.00000000,0.19105513,0.79591042
2.39219610,0.89838331,0.08087953,0.00000000,0.09352977,0.00000000,0.19705460,0.79641005
2.39819910,0.90545547,0.08291799,0.00000000,0.09415119,0.00000000,0.20380806,0.79989657
2.40420210,0.91541650,0.08489946,0.00000000,0.09530422,0.00000000,0.21119386,0.80611216
2.41020510,0.92789690,0.08679977,0.00000000,0.09691479,0.00000000,0.21908218,0.81474723
2.41620810,0.94248685,0.08859563,0.00000000,0.09890626,0.00000000,0.22734008,0.82545103
2.42221111,0.95874818,0.09026521,0.00000000,0.10120140,0.00000000,0.23583626,0.83784221
2.42821411,0.97622612,0.09178866,0.00000000,0.10372441,0.00000000,0.24444568,0.85151916
2.43421711,0.99446024,0.09314859,0.00000000,0.10640274,0.00000000,0.25305345,0.86606978
2.44022011,1.01299443,0.09433038,0.00000000,0.10916869,0.00000000,0.26155797,0.88108052
2.44622311,1.03138574,0.09532242,0.00000000,0.11196071,0.00000000,0.26987320,0.89614441
2.45222611,1.04921182,0.09611623,0.00000000,0.11472435,0.00000000,0.27792971,0.91086815
2.45822911,1.06607701,0.09670640,0.00000000,0.11741286,0.00000000,0.28567476,0.92487817
2.46423212,1.08161711,0.09709051,0.00000000,0.11998732,0.00000000,0.29307122,0.93782559
2.47023512,1.09550272,0.09726882,0.00000000,0.12241656,0.00000000,0.30009555,0.94939018
2.47623812,1.10744151,0.09724401,0.00000000,0.12467669,0.00000000,0.30673485,0.95928344
2.48224112,1.11717944,0.09702069,0.00000000,0.12675040,0.00000000,0.31298343,0.96725081
2.48824412,1.12450110,0.09660505,0.00000000,0.12862614,0.00000000,0.31883888,0.97307324
2.49424712,1.12922957,0.09600434,0.00000000,0.13029720,0.00000000,0.32429812,0.97656810
2.50025013,1.13122583,0.09522646,0.00000000,0.13176087,0.00000000,0.32935371,0.97758976
2.50625313,1.13038812,0.09427959,0.00000000,0.13301765,0.00000000,0.33399060,0.97602983
2.51225613,1.12665134,0.09317189,0.00000000,0.13407074,0.00000000,0.33818370,0.97181727
2.51825913,1.11998677,0.09191130,0.00000000,0.13492574,0.00000000,0.34189645,0.96491850
2.52426213,1.11040227,0.09050544,0.00000000,0.13559071,0.00000000,0.34508052,0.95533754
2.53026513,1.09794293,0.08896172,0.00000000,0.13607648,0.00000000,0.34767674,0.94311633
2.53626813,1.08269236,0.08728748,0.00000000,0.13639744,0.00000000,0.34961728,0.92833524
2.54227114,1.06477452,0.08549034,0.00000000,0.13657242,0.00000000,0.35082897,0.91111375
2.54827414,1.04435598,0.08357858,0.00000000,0.13662599,0.00000000,0.35123761,0.89161135
2.55427714,1.02164851,0.08156163,0.00000000,0.13658971,0.00000000,0.35077303,0.87002841
2.56028014,0.99691174,0.07945066,0.00000000,0.13650360,0.00000000,0.34937469,0.84660718
