energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-5.77788894,0.52036955,0.16344100,0.20151675,0.00377322,0.08074342,0.00414149,0.17581241,0.08688399,0.02141209
-5.77188594,0.56202042,0.17887470,0.21480568,0.00420700,0.08697300,0.00434386,0.19221224,0.09542859,0.02376140
-5.76588294,0.60473394,0.19513610,0.22788917,0.00467229,0.09335071,0.00452504,0.20945128,0.10450011,0.02630531
-5.75987994,0.64827344,0.21219275,0.24063268,0.00516827,0.09983729,0.00468127,0.22748076,0.11408421,0.02904590
-5.75387694,0.69241269,0.23000898,0.25291485,0.00569352,0.10639699,0.00480930,0.24624652,0.12416379,0.03198411
-5.74787394,0.73693676,0.24854481,0.26462965,0.00624588,0.11299780,0.00490645,0.26568769,0.13471838,0.03511935
-5.74187094,0.78164232,0.26775492,0.27568818,0.00682242,0.11961147,0.00497073,0.28573541,0.14572336,0.03844911
-5.73586793,0.82633739,0.28758760,0.28601991,0.00741935,0.12621362,0.00500091,0.30631164,0.15714951,0.04196860
-5.72986493,0.87084062,0.30798390,0.29557334,0.00803203,0.13278360,0.00499651,0.32732811,0.16896251,0.04567046
-5.72386193,0.91498034,0.32887693,0.30431609,0.00865490,0.13930432,0.00495786,0.34868564,0.18112273,0.04954456
-5.71785893,0.95859349,0.35019158,0.31223441,0.00928154,0.14576205,0.00488610,0.37027387,0.19358534,0.05357793
-5.71185593,1.00152464,0.37184463,0.31933219,0.00990472,0.15214611,0.00478309,0.39197156,0.20630057,0.05775476
-5.70585293,1.04362550,0.39374531,0.32562948,0.01051648,0.15844863,0.00465139,0.41364754,0.21921444,0.06205663
-5.69984992,1.08475488,0.41579640,0.33116078,0.01110830,0.16466426,0.00449416,0.43516235,0.23226973,0.06646287
-5.69384692,1.12477946,0.43789591,0.33597307,0.01167125,0.17078991,0.00431504,0.45637063,0.24540727,0.07095099
-5.68784392,1.16357530,0.45993909,0.34012368,0.01219621,0.17682462,0.00411806,0.47712412,0.25856744,0.07549735
-5.68184092,1.20102994,0.48182085,0.34367827,0.01267409,0.18276935,0.00390751,0.49727526,0.27169189,0.08007789
-5.67583792,1.23704523,0.50343837,0.34670874,0.01309612,0.18862686,0.00368775,0.51668115,0.28472518,0.08466885
-5.66983492,1.27154021,0.52469364,0.34929138,0.01345409,0.19440157,0.00346317,0.53520765,0.29761645,0.08924766
-5.66383192,1.30445408,0.54549586,0.35150503,0.01374063,0.20009936,0.00323799,0.55273344,0.31032075,0.09379362
-5.65782891,1.33574849,0.56576331,0.35342944,0.01394946,0.20572727,0.00301618,0.56915370,0.32280007,0.09828856
-5.65182591,1.36540900,0.58542458,0.35514365,0.01407561,0.21129311,0.00280135,0.58438308,0.33502379,0.10271742
-5.64582291,1.39344517,0.60441901,0.35672450,0.01411562,0.21680480,0.00259668,0.59835790,0.34696860,0.10706846
-5.63981991,1.41988890,0.62269613,0.35824504,0.01406770,0.22226962,0.00240485,0.61103713,0.35861774,0.11133335
-5.63381691,1.44479096,0.64021412,0.35977290,0.01393178,0.22769319,0.00222799,0.62240227,0.36995951,0.11550697
-5.62781391,1.46821555,0.65693734,0.36136863,0.01370957,0.23307826,0.00206768,0.63245581,0.38098529,0.11958694
-5.62181091,1.49023306,0.67283307,0.36308388,0.01340451,0.23842338,0.00192492,0.64121864,0.39168687,0.12357285
-5.61580790,1.51091126,0.68786757,0.36495954,0.01302170,0.24372149,0.00180015,0.64872618,0.40205359,0.12746529
-5.60980490,1.53030555,0.70200191,0.36702387,0.01256771,0.24895849,0.00169332,0.65502381,0.41206919,0.13126478
-5.60380190,1.54844875,0.71518785,0.36929070,0.01205041,0.25411200,0.00160386,0.66016169,0.42170880,0.13497047
-5.59779890,1.56534131,0.72736411,0.37175784,0.01147870,0.25915025,0.00153083,0.66418938,0.43093622,0.13857895
-5.59179590,1.58094269,0.73845353,0.37440581,0.01086226,0.26403145,0.00147290,0.66715074,0.43970187,0.14208306
-5.58579290,1.59516469,0.74836134,0.37719705,0.01021127,0.26870355,0.00142848,0.66907942,0.44794146,0.14547087
-5.57978989,1.60786748,0.75697493,0.38007576,0.00953606,0.27310457,0.00139576,0.66999532,0.45557571,0.14872499
-5.57378689,1.61885904,0.76416536,0.38296845,0.00884690,0.27716360,0.00137278,0.66990241,0.46251130,0.15182209
-5.56778389,1.62789820,0.76979060,0.38578533,0.00815367,0.28080237,0.00135756,0.66878805,0.46864293,0.15473292
-5.56178089,1.63470171,0.77370051,0.38842262,0.00746566,0.28393757,0.00134810,0.66662396,0.47385670,0.15742272
-5.55577789,1.63895514,0.77574358,0.39076566,0.00679136,0.28648366,0.00134249,0.66336893,0.47803457,0.15985201
-5.54977489,1.64032730,0.77577488,0.39269289,0.00613833,0.28835623,0.00133894,0.65897309,0.48105980,0.16197788
-5.54377189,1.63848772,0.77366506,0.39408059,0.00551304,0.28947570,0.00133587,0.65338352,0.48282312,0.16375568
-5.53776888,1.63312625,0.76930989,0.39480808,0.00492087,0.28977122,0.00133191,0.64655102,0.48322938,0.16514089
-5.53176588,1.62397404,0.76263976,0.39476335,0.00436604,0.28918460,0.00132596,0.63843746,0.48220424,0.16609141
-5.52576288,1.61082460,0.75362873,0.39384883,0.00385170,0.28767403,0.00131723,0.62902353,0.47970066,0.16656982
-5.51975988,1.59355409,0.74230244,0.39198697,0.00337991,0.28521746,0.00130518,0.61831614,0.47570479,0.16654575
-5.51375688,1.57213952,0.72874458,0.38912552,0.00295182,0.28181543,0.00128962,0.60635530,0.47024093,0.16599811
-5.50775388,1.54667407,0.71310141,0.38524206,0.00256770,0.27749322,0.00127066,0.59321986,0.46337526,0.16491712
-5.50175088,1.51737843,0.69558398,0.38034781,0.00222713,0.27230209,0.00124866,0.57903182,0.45521814,0.16330601
-5.49574787,1.48460771,0.67646802,0.37449027,0.00192911,0.26631975,0.00122427,0.56395897,0.44592477,0.16118230
-5.48974487,1.44885327,0.65609125,0.36775467,0.00167219,0.25964973,0.00119838,0.54821554,0.43569412,0.15857862
-5.48374187,1.41073936,0.63484823,0.36026418,0.00145461,0.25241998,0.00117206,0.53206085,0.42476616,0.15554295
-5.47773887,1.37101450,0.61318296,0.35217872,0.00127442,0.24478037,0.00114654,0.51579604,0.41341735,0.15213831
-5.47173587,1.33053793,0.59157942,0.34369244,0.00112958,0.23689954,0.00112318,0.49975868,0.40195462,0.14844193
-5.46573287,1.29026153,0.57055039,0.33502996,0.00101806,0.22896099,0.00110338,0.48431587,0.39070800,0.14454381
-5.45972986,1.25120793,0.55062509,0.32644150,0.00093788,0.22115857,0.00108856,0.46985569,0.38002204,0.14054481
-5.45372686,1.21444558,0.53233595,0.31819704,0.00088721,0.21369168,0.00108013,0.45677762,0.37024654,0.13655435
-5.44772386,1.18106175,0.51620504,0.31057975,0.00086437,0.20676017,0.00107938,0.44548213,0.36172669,0.13268776
-5.44172086,1.15213446,0.50273071,0.30387894,0.00086782,0.20055928,0.00108751,0.43635997,0.35479305,0.12906333
-5.43571786,1.12870435,0.49237479,0.29838275,0.00089622,0.19527471,0.00110554,0.42978142,0.34975176,0.12579935
-5.42971486,1.11174760,0.48555083,0.29437092,0.00094837,0.19107796,0.00113427,0.42608611,0.34687523,0.12301109
-5.42371186,1.10215078,0.48261382,0.29210789,0.00102321,0.18812223,0.00117430,0.42557359,0.34639373,0.12080785
-5.41770885,1.10068859,0.48385153,0.29183642,0.00111975,0.18653884,0.00122595,0.42849522,0.34848811,0.11929033
-5.41170585,1.10800526,0.48947792,0.29377206,0.00123707,0.18643441,0.00128929,0.43504745,0.35328398,0.11854819
-5.40570285,1.12460021,0.49962868,0.29809859,0.00137426,0.18788877,0.00136409,0.44536691,0.36084749,0.11865812
-5.39969985,1.15081835,0.51435896,0.30496459,0.00153039,0.19095375,0.00144987,0.45952744,0.37118296,0.11968235
-5.39369685,1.18684531,0.53364337,0.31448127,0.00170442,0.19565270,0.00154587,0.47753897,0.38423241,0.12166760
-5.38769385,1.23270765,0.55737819,0.32672155,0.00189525,0.20198095,0.00165110,0.49934856,0.39987701,0.12464467
-5.38169085,1.28827771,0.58538548,0.34172039,0.00210158,0.20990686,0.00176438,0.52484314,0.41794045,0.12862848
-5.37568784,1.35328280,0.61741899,0.35947619,0.00232198,0.21937369,0.00188433,0.55385405,0.43819406,0.13361862
-5.36968484,1.42731801,0.65317157,0.37995329,0.00255482,0.23030185,0.00200948,0.58616293,0.46036352,0.13960034
-5.36368184,1.50986194,0.69228360,0.40308516,0.00279827,0.24259165,0.00213826,0.62150870,0.48413690,0.14654589
-5.35767884,1.60029432,0.73435214,0.42877812,0.00305029,0.25612631,0.00226912,0.65959521,0.50917357,0.15441616
-5.35167584,1.69791450,0.77894035,0.45691534,0.00330865,0.27077503,0.00240052,0.70009920,0.53511390,0.16316238
-5.34567284,1.80195988,0.82558674,0.48736075,0.00357095,0.28639599,0.00253106,0.74267794,0.56158899,0.17272800
-5.33966983,1.91162310,0.87381398,0.51996262,0.00383460,0.30283921,0.00265945,0.78697648,0.58823029,0.18305037
-5.33366683,2.02606718,0.92313673,0.55455652,0.00409689,0.31994905,0.00278464,0.83263374,0.61467858,0.19406232
-5.32766383,2.14443788,0.97306844,0.59096749,0.00435500,0.33756635,0.00290580,0.87928758,0.64059196,0.20569339
-5.32166083,2.26587264,1.02312682,0.62901114,0.00460603,0.35553002,0.00302237,0.92657823,0.66565262,0.21787082
-5.31565783,2.38950592,1.07283799,0.66849383,0.00484706,0.37367825,0.00313407,0.97415039,0.68957200,0.23052000
-5.30965483,2.51447104,1.12173931,0.70921161,0.00507520,0.39184926,0.00324092,1.02165380,0.71209446,0.24356465
-5.30365183,2.63989863,1.16938104,0.75094840,0.00528760,0.40988157,0.00334321,1.06874246,0.73299908,0.25692652
-5.29764882,2.76491253,1.21532721,0.79347326,0.00548153,0.42761412,0.00344147,1.11507296,0.75210000,0.27052479
-5.29164582,2.88862382,1.25915574,0.83653726,0.00565440,0.44488620,0.00353645,1.16030207,0.76924518,0.28427515
-5.28564282,3.01012419,1.30045853,0.87987020,0.00580387,0.46153732,0.00362909,1.20408420,0.78431405,0.29808882
-5.27963982,3.12847961,1.33884164,0.92317746,0.00592780,0.47740734,0.00372040,1.24606906,0.79721416,0.31187141
-5.27363682,3.24272568,1.37392610,0.96613767,0.00602438,0.49233684,0.00381147,1.28590021,0.80787733,0.32552203
-5.26763382,3.35186569,1.40534954,1.00840123,0.00609213,0.50616792,0.00390338,1.32321465,0.81625565,0.33893252
-5.26163082,3.45487240,1.43276908,1.04959034,0.00612998,0.51874556,0.00399712,1.35764405,0.82231757,0.35198710
-5.25562781,3.55069425,1.45586534,1.08930065,0.00613724,0.52991954,0.00409356,1.38881779,0.82604460,0.36456256
-5.24962481,3.63826645,1.47434790,1.12710475,0.00611368,0.53954688,0.00419338,1.41636781,0.82742876,0.37652897
-5.24362181,3.71652709,1.48796183,1.16255772,0.00605954,0.54749493,0.00429703,1.43993548,0.82647092,0.38775099
-5.23761881,3.78443800,1.49649520,1.19520445,0.00597554,0.55364479,0.00440468,1.45918008,0.82318037,0.39808992
-5.23161581,3.84100955,1.49978723,1.22458887,0.00586286,0.55789507,0.00451624,1.47378865,0.81757524,0.40740629
-5.22561281,3.88532874,1.49773648,1.25026456,0.00572319,0.56016571,0.00463132,1.48348683,0.80968412,0.41556299
-5.21960980,3.91658898,1.49030881,1.27180650,0.00555866,0.56040179,0.00474922,1.48805005,0.79954830,0.42242888
-5.21360680,3.93412045,1.47754434,1.28882342,0.00537182,0.55857693,0.00486899,1.48731447,0.78722472,0.42788266
-5.20760380,3.93741916,1.45956311,1.30097029,0.00516563,0.55469620,0.00498940,1.48118709,0.77278911,0.43181683
-5.20160080,3.92617339,1.43656878,1.30796023,0.00494340,0.54879832,0.00510903,1.46965443,0.75633916,0.43414161
-5.19559780,3.90028589,1.40885014,1.30957554,0.00470875,0.54095690,0.00522625,1.45278912,0.73799732,0.43478858
-5.18959480,3.85989048,1.37678000,1.30567705,0.00446550,0.53128073,0.00533931,1.43075408,0.71791301,0.43371385
-5.18359180,3.80536213,1.34081138,1.29621150,0.00421768,0.51991288,0.00544637,1.40380379,0.69626389,0.43090063
-5.17758879,3.73731953,1.30147094,1.28121654,0.00396941,0.50702871,0.00554555,1.37228266,0.67325619,0.42636100
-5.17158579,3.65661996,1.25934974,1.26082307,0.00372485,0.49283274,0.00563497,1.33662014,0.64912371,0.42013678
-5.16558279,3.56434621,1.21509155,1.23525476,0.00348814,0.47755445,0.00571282,1.29732301,0.62412571,0.41229946
-5.15957979,3.46178596,1.16937908,1.20482478,0.00326332,0.46144328,0.00577736,1.25496473,0.59854356,0.40294917
-5.15357679,3.35040433,1.12291851,1.16992976,0.00305427,0.44476270,0.00582704,1.21017254,0.57267626,0.39221262
-5.14757379,3.23181035,1.07642285,1.13104130,0.00286467,0.42778390,0.00586044,1.16361248,0.54683504,0.38024017
-5.14157079,3.10771875,1.03059471,1.08869524,0.00269791,0.41077899,0.00587638,1.11597307,0.52133720,0.36720216
-5.13556778,2.97990833,0.98610898,1.04347915,0.00255706,0.39401423,0.00587393,1.06794815,0.49649944,0.35328454
-5.12956478,2.85017838,0.94359606,0.99601845,0.00244485,0.37774320,0.00585242,1.02021950,0.47263091,0.33868399
-5.12356178,2.72030481,0.90362612,0.94696174,0.00236355,0.36220053,0.00581147,0.97343987,0.45002627,0.32360283
-5.11755878,2.59199732,0.86669501,0.89696568,0.00231503,0.34759594,0.00575104,0.92821697,0.42895901,0.30824379
-5.11155578,2.46685920,0.83321210,0.84668012,0.00230064,0.33410919,0.00567139,0.88509897,0.40967521,0.29280489
-5.10555278,2.34635100,0.80349056,0.79673378,0.00232122,0.32188585,0.00557310,0.84456201,0.39238801,0.27747460
-5.09954977,2.23175915,0.77774046,0.74772105,0.00237707,0.31103406,0.00545712,0.80699997,0.37727296,0.26242756
-5.09354677,2.12417062,0.75606463,0.70019020,0.00246792,0.30162242,0.00532468,0.77271700,0.36446435,0.24782073
-5.08754377,2.02445405,0.73845773,0.65463329,0.00259291,0.29367911,0.00517735,0.74192283,0.35405261,0.23379049
-5.08154077,1.93324806,0.72480836,0.61147813,0.00275059,0.28719209,0.00501698,0.71473098,0.34608295,0.22045034
-5.07553777,1.85095682,0.71490427,0.57108236,0.00293893,0.28211057,0.00484568,0.69115999,0.34055515,0.20788965
-5.06953477,1.77775269,0.70844038,0.53372969,0.00315530,0.27834753,0.00466578,0.67113745,0.33742458,0.19617306
-5.06353177,1.71358591,0.70502954,0.49962847,0.00339653,0.27578335,0.00447981,0.65450661,0.33660433,0.18534094
-5.05752876,1.65820052,0.70421555,0.46891230,0.00365893,0.27427029,0.00429044,0.64103544,0.33796849,0.17541045
-5.05152576,1.61115596,0.70548811,0.44164272,0.00393837,0.27363777,0.00410042,0.63042760,0.34135638,0.16637738
-5.04552276,1.57185328,0.70829913,0.41781372,0.00423032,0.27369825,0.00391256,0.62233508,0.34657763,0.15821851
-5.03951976,1.53956502,0.71207999,0.39735774,0.00452995,0.27425347,0.00372964,0.61637185,0.35341798,0.15089451
-5.03351676,1.51346749,0.71625905,0.38015302,0.00483223,0.27510089,0.00355441,0.61212821,0.36164563,0.14435303
-5.02751376,1.49267423,0.72027885,0.36603184,0.00513204,0.27604010,0.00338948,0.60918515,0.37101780,0.13853201
-5.02151076,1.47626941,0.72361252,0.35478937,0.00542429,0.27687896,0.00323732,0.60712833,0.38128752,0.13336305
-5.01550775,1.46333989,0.72577864,0.34619280,0.00570402,0.27743925,0.00310021,0.60556114,0.39221018,0.12877457
-5.00950475,1.45300497,0.72635427,0.33999031,0.00596657,0.27756172,0.00298019,0.60411640,0.40354978,0.12469479
-5.00350175,1.44444249,0.72498557,0.33591978,0.00620763,0.27711028,0.00287903,0.60246633,0.41508458,0.12105440
-4.99749875,1.43691087,0.72139576,0.33371668,0.00642340,0.27597520,0.00279821,0.60033042,0.42661197,0.11778869
-4.99149575,1.42976608,0.71539018,0.33312114,0.00661064,0.27407536,0.00273890,0.59748118,0.43795238,0.11483932
-4.98549275,1.42247335,0.70685835,0.33388392,0.00676675,0.27135927,0.00270192,0.59374735,0.44895212,0.11215549
-4.97948974,1.41461346,0.69577309,0.33577118,0.00688983,0.26780509,0.00268774,0.58901492,0.45948503,0.10969463
-4.97348674,1.40588365,0.68218676,0.33856794,0.00697869,0.26341955,0.00269647,0.58322572,0.46945291,0.10742259
-4.96748374,1.39609345,0.66622503,0.34208041,0.00703286,0.25823586,0.00272782,0.57637401,0.47878480,0.10531333
-4.96148074,1.38515617,0.64807839,0.34613700,0.00705254,0.25231080,0.00278117,0.56850118,0.48743512,0.10334821
-4.95547774,1.37307652,0.62799187,0.35058840,0.00703860,0.24572114,0.00285547,0.55968909,0.49538090,0.10151505
-4.94947474,1.35993552,0.60625360,0.35530666,0.00699249,0.23855942,0.00294933,0.55005216,0.50261815,0.09980680
-4.94347174,1.34587333,0.58318247,0.36018362,0.00691616,0.23092955,0.00306099,0.53972897,0.50915773,0.09822019
-4.93746873,1.33107129,0.55911567,0.36512875,0.00681196,0.22294220,0.00318835,0.52887344,0.51502090,0.09675428
-4.93146573,1.31573394,0.53439646,0.37006677,0.00668259,0.21471028,0.00332896,0.51764628,0.52023477,0.09540904
-4.92546273,1.30007190,0.50936266,0.37493502,0.00653097,0.20634471,0.00348013,0.50620697,0.52482796,0.09418403
-4.91945973,1.28428651,0.48433628,0.37968096,0.00636015,0.19795054,0.00363889,0.49470654,0.52882667,0.09307735
-4.91345673,1.26855670,0.45961460,0.38425978,0.00617322,0.18962371,0.00380208,0.48328148,0.53225135,0.09208467
-4.90745373,1.25302857,0.43546294,0.38863224,0.00597327,0.18144844,0.00396644,0.47204890,0.53511406,0.09119870
-4.90145073,1.23780789,0.41210918,0.39276288,0.00576327,0.17349527,0.00412858,0.46110312,0.53741679,0.09040877
-4.89544772,1.22295567,0.38974022,0.39661851,0.00554605,0.16581994,0.00428517,0.45051356,0.53915049,0.08970080
-4.88944472,1.20848653,0.36850020,0.40016702,0.00532427,0.15846295,0.00443292,0.44032407,0.54029506,0.08905750
-4.88344172,1.19436979,0.34849045,0.40337650,0.00510034,0.15144980,0.00456870,0.43055337,0.54082011,0.08845873
-4.87743872,1.18053269,0.32977101,0.40621459,0.00487645,0.14479186,0.00468961,0.42119667,0.54068631,0.08788214
-4.87143572,1.16686553,0.31236336,0.40864805,0.00465453,0.13848774,0.00479304,0.41222803,0.53984734,0.08730387
-4.86543272,1.15322806,0.29625425,0.41064247,0.00443626,0.13252509,0.00487674,0.40360342,0.53825215,0.08669933
-4.85942971,1.13945674,0.28140035,0.41216212,0.00422307,0.12688259,0.00493888,0.39526422,0.53584749,0.08604406
-4.85342671,1.12537245,0.26773325,0.41316998,0.00401613,0.12153219,0.00497806,0.38714088,0.53258037,0.08531450
-4.84742371,1.11078811,0.25516490,0.41362788,0.00381639,0.11644130,0.00499336,0.37915664,0.52840056,0.08448875
-4.84142071,1.09551620,0.24359282,0.41349686,0.00362456,0.11157497,0.00498436,0.37123108,0.52326281,0.08354722
-4.83541771,1.07937569,0.23290534,0.41273780,0.00344114,0.10689784,0.00495110,0.36328343,0.51712883,0.08247317
-4.82941471,1.06219847,0.22298629,0.41131232,0.00326643,0.10237589,0.00489412,0.35523559,0.50996896,0.08125311
-4.82341171,1.04383505,0.21371933,0.40918407,0.00310056,0.09797787,0.00481437,0.34701462,0.50176355,0.07987714
-4.81740870,1.02415979,0.20499164,0.40632047,0.00294349,0.09367641,0.00471322,0.33855500,0.49250397,0.07833907
-4.81140570,1.00307543,0.19669703,0.40269482,0.00279505,0.08944887,0.00459237,0.32980030,0.48219344,0.07663651
-4.80540270,0.98051727,0.18873843,0.39828891,0.00265497,0.08527773,0.00445383,0.32070465,0.47084755,0.07477086
-4.79939970,0.95645690,0.18102976,0.39309603,0.00252288,0.08115082,0.00429983,0.31123369,0.45849467,0.07274720
-4.79339670,0.93090551,0.17349722,0.38712422,0.00239836,0.07706123,0.00413279,0.30136536,0.44517616,0.07057417
-4.78739370,0.90391691,0.16608008,0.38039985,0.00228099,0.07300700,0.00395525,0.29109029,0.43094650,0.06826377
-4.78139070,0.87559012,0.15873099,0.37297112,0.00217036,0.06899068,0.00376979,0.28041205,0.41587323,0.06583118
-4.77538769,0.84607143,0.15141591,0.36491144,0.00206611,0.06501877,0.00357905,0.26934704,0.40003686,0.06329452
-4.76938469,0.81555590,0.14411361,0.35632258,0.00196798,0.06110103,0.00338561,0.25792427,0.38353052,0.06067467
-4.76338169,0.78428796,0.13681500,0.34733705,0.00187583,0.05724983,0.00319203,0.24618485,0.36645948,0.05799497
-4.75737869,0.75256107,0.12952216,0.33811992,0.00178967,0.05347949,0.00300075,0.23418122,0.34894036,0.05528101
-4.75137569,0.72071622,0.12224714,0.32886956,0.00170969,0.04980559,0.00281415,0.22197623,0.33110010,0.05256036
-4.74537269,0.68913899,0.11501066,0.31981725,0.00163626,0.04624441,0.00263446,0.20964189,0.31307456,0.04986221
-4.73936968,0.65825528,0.10784073,0.31122560,0.00156998,0.04281236,0.00246381,0.19725788,0.29500678,0.04721708
-4.73336668,0.62852528,0.10077108,0.30338554,0.00151164,0.03952551,0.00230419,0.18490995,0.27704487,0.04465635
-4.72736368,0.60043602,0.09383966,0.29661198,0.00146222,0.03639916,0.00215746,0.17268797,0.25933954,0.04221191
-4.72136068,0.57449221,0.08708706,0.29123811,0.00142291,0.03344750,0.00202534,0.16068390,0.24204139,0.03991555
-4.71535768,0.55120580,0.08055498,0.28760828,0.00139504,0.03068328,0.00190943,0.14898970,0.22529794,0.03779849
-4.70935468,0.53108416,0.07428474,0.28606989,0.00138008,0.02811757,0.00181117,0.13769509,0.20925049,0.03589072
-4.70335168,0.51461730,0.06831591,0.28696403,0.00137960,0.02575954,0.00173182,0.12688542,0.19403101,0.03422039
-4.69734867,0.50226437,0.06268501,0.29061551,0.00139520,0.02361630,0.00167253,0.11663960,0.17975908,0.03281316
-4.69134567,0.49443981,0.05742439,0.29732218,0.00142846,0.02169277,0.00163421,0.10702821,0.16653902,0.03169150
-4.68534267,0.49149953,0.05256126,0.30734408,0.00148092,0.01999152,0.00161761,0.09811183,0.15445734,0.03087406
-4.67933967,0.49372752,0.04811692,0.32089260,0.00155398,0.01851278,0.00162323,0.08993965,0.14358060,0.03037505
-4.67333667,0.50132331,0.04410623,0.33811999,0.00164884,0.01725434,0.00165134,0.08254840,0.13395377,0.03020366
-4.66733367,0.51439078,0.04053717,0.35910976,0.00176645,0.01621156,0.00170191,0.07596167,0.12559912,0.03036357
-4.66133067,0.53292867,0.03741076,0.38386801,0.00190744,0.01537739,0.00177465,0.07018952,0.11851577,0.03085257
-4.65532766,0.55682319,0.03472106,0.41231644,0.00207207,0.01474247,0.00186890,0.06522850,0.11267981,0.03166225
-4.64932466,0.58584319,0.03245544,0.44428711,0.00226014,0.01429517,0.00198371,0.06106204,0.10804507,0.03277788
-4.64332166,0.61963814,0.03059495,0.47951941,0.00247100,0.01402182,0.00211774,0.05766108,0.10454445,0.03417837
