energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-5.36968484,1.21767996,0.52440645,0.27416972,0.00810775,0.48013869,0.02478089,0.21066231
-5.36368184,1.26047561,0.55886584,0.28221505,0.00847602,0.49724304,0.02519959,0.21830890
-5.35767884,1.30771742,0.59520700,0.29072999,0.00882462,0.51494322,0.02561430,0.22810652
-5.35167584,1.35880373,0.63315936,0.29960910,0.00914933,0.53303418,0.02601405,0.23991673
-5.34567284,1.41310086,0.67242942,0.30875121,0.00944615,0.55132204,0.02638948,0.25356671
-5.33966983,1.46995254,0.71270265,0.31806110,0.00971138,0.56962695,0.02673303,0.26885194
-5.33366683,1.52868736,0.75364524,0.32745038,0.00994165,0.58778449,0.02703892,0.28553938
-5.32766383,1.58862441,0.79490564,0.33683773,0.01013397,0.60564589,0.02730309,0.30337105
-5.32166083,1.64907736,0.83611619,0.34614846,0.01028580,0.62307706,0.02752307,0.32206799
-5.31565783,1.70935773,0.87689489,0.35531359,0.01039504,0.63995672,0.02769770,0.34133468
-5.30965483,1.76877763,0.91684765,0.36426879,0.01046009,0.65617410,0.02782687,0.36086386
-5.30365183,1.82665289,0.95557118,0.37295308,0.01047985,0.67162630,0.02791114,0.38034189
-5.29764882,1.88230706,0.99265673,0.38130780,0.01045375,0.68621591,0.02795148,0.39945433
-5.29164582,1.93507681,1.02769482,0.38927580,0.01038179,0.69984905,0.02794888,0.41789194
-5.28564282,1.98431914,1.06028113,0.39680115,0.01026449,0.71243426,0.02790412,0.43535691
-5.27963982,2.02942063,1.09002343,0.40382943,0.01010298,0.72388230,0.02781753,0.45156905
-5.27363682,2.06980863,1.11654963,0.41030857,0.00989889,0.73410709,0.02768885,0.46627206
-5.26763382,2.10496419,1.13951653,0.41619033,0.00965445,0.74302773,0.02751713,0.47923937
-5.26163082,2.13443621,1.15861921,0.42143230,0.00937238,0.75057160,0.02730079,0.49027962
-5.25562781,2.15785612,1.17360047,0.42600028,0.00905591,0.75667809,0.02703770,0.49924137
-5.24962481,2.17495220,1.18426000,0.42987080,0.00870868,0.76130301,0.02672530,0.50601698
-5.24362181,2.18556259,1.19046260,0.43303368,0.00833476,0.76442297,0.02636091,0.51054539
-5.23761881,2.18964598,1.19214510,0.43549423,0.00793851,0.76603954,0.02594190,0.51281363
-5.23161581,2.18728902,1.18932134,0.43727500,0.00752451,0.76618265,0.02546604,0.51285700
-5.22561281,2.17870954,1.18208480,0.43841679,0.00709752,0.76491294,0.02493174,0.51075784
-5.21960980,2.16425508,1.17060860,0.43897872,0.00666233,0.76232266,0.02433834,0.50664283
-5.21360680,2.14439627,1.15514261,0.43903736,0.00622368,0.75853489,0.02368631,0.50067896
-5.20760380,2.11971497,1.13600764,0.43868475,0.00578617,0.75370106,0.02297740,0.49306818
-5.20160080,2.09088754,1.11358686,0.43802545,0.00535417,0.74799668,0.02221479,0.48404102
-5.19559780,2.05866377,1.08831479,0.43717265,0.00493172,0.74161550,0.02140304,0.47384936
-5.18959480,2.02384232,1.06066426,0.43624366,0.00452245,0.73476237,0.02054809,0.46275861
-5.18359180,1.98724397,1.03113197,0.43535482,0.00412955,0.72764522,0.01965708,0.45103963
-5.17758879,1.94968383,1.00022344,0.43461636,0.00375568,0.72046653,0.01873824,0.43896072
-5.17158579,1.91194404,0.96843797,0.43412730,0.00340300,0.71341499,0.01780056,0.42677996
-5.16558279,1.87474831,0.93625449,0.43397087,0.00307308,0.70665769,0.01685354,0.41473826
