energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
0.97548774,11.16196390,0.41596415,0.06367590,0.00976848,0.15992468,0.19287612,0.74956145,0.60087962,9.94671087
0.98149075,11.40714874,0.42403463,0.06503668,0.00990850,0.16256608,0.19753237,0.76887655,0.60999695,10.16875532
0.98749375,11.60318311,0.43084778,0.06617386,0.00999940,0.16451185,0.20159016,0.78540322,0.61665094,10.34607504
0.99349675,11.74767416,0.43640162,0.06707350,0.01004045,0.16570998,0.20500016,0.79884431,0.62077156,10.47657793
0.99949975,11.83936421,0.44072299,0.06772794,0.01003209,0.16612459,0.20772488,0.80896949,0.62234701,10.55920338
1.00550275,11.87815138,0.44386629,0.06813576,0.00997594,0.16573710,0.20973951,0.81562195,0.62142461,10.59393804
1.01150575,11.86507081,0.44591118,0.06830166,0.00987483,0.16454700,0.21103247,0.81872259,0.61810967,10.58179560
1.01750875,11.80223755,0.44695932,0.06823596,0.00973271,0.16257195,0.21160544,0.81827158,0.61256244,10.52476205
1.02351176,11.69275419,0.44713043,0.06795401,0.00955453,0.15984737,0.21147305,0.81434723,0.60499323,10.42570929
1.02951476,11.54058826,0.44655772,0.06747541,0.00934616,0.15642541,0.21066202,0.80710220,0.59565596,10.28828160
1.03551776,11.35042541,0.44538315,0.06682308,0.00911421,0.15237345,0.20920997,0.79675736,0.58484039,10.11676095
1.04152076,11.12750599,0.44375253,0.06602228,0.00886586,0.14777210,0.20716390,0.78359352,0.57286340,9.91591765
1.04752376,10.87745270,0.44181096,0.06509960,0.00860865,0.14271286,0.20457831,0.76794162,0.56005980,9.69085379
1.05352676,10.60609755,0.43969866,0.06408203,0.00835033,0.13729555,0.20151324,0.75017177,0.54677294,9.44684662
1.05952976,10.31931577,0.43754759,0.06299606,0.00809861,0.13162552,0.19803222,0.73068162,0.53334561,9.18919876
1.06553277,10.02287349,0.43547887,0.06186692,0.00786105,0.12581095,0.19420026,0.70988484,0.52011167,8.92310147
1.07153577,9.72229484,0.43360119,0.06071798,0.00764483,0.11996015,0.19008202,0.68819996,0.50738853,8.65351580
1.07753877,9.42275272,0.43201021,0.05957034,0.00745666,0.11417910,0.18574022,0.66604016,0.49547086,8.38507532
1.08354177,9.12898553,0.43078892,0.05844260,0.00730266,0.10856927,0.18123441,0.64380445,0.48462576,8.12201253
1.08954477,8.84524080,0.43000885,0.05735081,0.00718824,0.10322575,0.17662010,0.62187032,0.47508920,7.86810929
