energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-3.80890445,6.23990314,-0.80700913,0.07544322,-0.00065835,0.70531261,-0.17960038,0.03483353,-0.00401796,0.00000000,-0.00000000,1.61339117,-0.23761439,2.87151974,-0.29906446,2.49783458,-0.34401409,0.00000000,-0.00000000
-3.80290145,6.03757684,-0.84935677,0.07427211,-0.00080419,0.68359386,-0.18737912,0.03362927,-0.00375668,0.00000000,-0.00000000,1.58607783,-0.24789042,2.75536004,-0.31935048,2.42388959,-0.36470948,0.00000000,-0.00000000
-3.79689845,5.83085395,-0.90001569,0.07270027,-0.00099067,0.66072142,-0.19659029,0.03230270,-0.00350848,0.00000000,-0.00000000,1.55969993,-0.26049360,2.64002057,-0.34285571,2.34731903,-0.38947795,0.00000000,-0.00000000
-3.79089545,5.62375823,-0.95897447,0.07076385,-0.00122457,0.63719129,-0.20727946,0.03088329,-0.00327678,0.00000000,-0.00000000,1.53532994,-0.27544090,2.52724981,-0.36953791,2.26987285,-0.41823493,0.00000000,-0.00000000
-3.78489245,5.42036347,-1.02611142,0.06850620,-0.00151401,0.61350623,-0.21945814,0.02940148,-0.00306487,0.00000000,-0.00000000,1.51403306,-0.29271853,2.41877095,-0.39930488,2.19333545,-0.45085816,0.00000000,-0.00000000
-3.77888944,5.22467015,-1.10118060,0.06597639,-0.00186849,0.59015841,-0.23310123,0.02788784,-0.00287590,0.00000000,-0.00000000,1.49683017,-0.31227782,2.31623630,-0.43200938,2.11946949,-0.48718085,0.00000000,-0.00000000
-3.77288644,5.04048303,-1.18380588,0.06322747,-0.00229886,0.56761272,-0.24814638,0.02637222,-0.00271286,0.00000000,-0.00000000,1.48466124,-0.33403352,2.22118237,-0.46744728,2.04996034,-0.52698841,0.00000000,-0.00000000
-3.76688344,4.87129497,-1.27348355,0.06031468,-0.00281729,0.54629140,-0.26449502,0.02488291,-0.00257851,0.00000000,-0.00000000,1.47835066,-0.35786430,2.13498782,-0.50535916,1.98636361,-0.57001891,0.00000000,-0.00000000
-3.76088044,4.72018169,-1.36959346,0.05729362,-0.00343722,0.52656074,-0.28201535,0.02344603,-0.00247551,0.00000000,-0.00000000,1.47857608,-0.38361573,2.05883580,-0.54543541,1.93005781,-0.61596751,0.00000000,-0.00000000
-3.75487744,4.58971200,-1.47141857,0.05421848,-0.00417318,0.50872019,-0.30054708,0.02208488,-0.00240640,0.00000000,-0.00000000,1.48584222,-0.41110559,1.99368239,-0.58732479,1.88220389,-0.66449456,0.00000000,-0.00000000
-3.74887444,4.48187669,-1.57817186,0.05114041,-0.00504063,0.49299438,-0.31990771,0.02081952,-0.00237370,0.00000000,-0.00000000,1.50046058,-0.44013111,1.94023236,-0.63064613,1.84371326,-0.71523716,0.00000000,-0.00000000
-3.74287144,4.39803871,-1.68902961,0.04810614,-0.00605562,0.47952831,-0.33990034,0.01966645,-0.00238002,0.00000000,-0.00000000,1.52253615,-0.47047809,1.89892318,-0.67500281,1.81522524,-0.76782348,0.00000000,-0.00000000
-3.73686843,4.33890596,-1.80316920,0.04515678,-0.00723447,0.46838561,-0.36032236,0.01863845,-0.00242810,0.00000000,-0.00000000,1.55196130,-0.50193118,1.86991755,-0.71999920,1.79709435,-0.82188933,0.00000000,-0.00000000
-3.73086543,4.30452700,-1.91980956,0.04232700,-0.00859328,0.45955003,-0.38097487,0.01774451,-0.00252095,0.00000000,-0.00000000,1.58841734,-0.53428491,1.85310479,-0.76525853,1.78938779,-0.87709578,0.00000000,-0.00000000
-3.72486243,4.29430894,-2.03825205,0.03964445,-0.01014742,0.45292981,-0.40167225,0.01698989,-0.00266191,0.00000000,-0.00000000,1.63138330,-0.56735489,1.84811043,-0.81044101,1.79189253,-0.93314708,0.00000000,-0.00000000
-3.71885943,4.30705577,-2.15791923,0.03712955,-0.01191089,0.44836462,-0.42225138,0.01637636,-0.00285473,0.00000000,-0.00000000,1.68015146,-0.60098836,1.85431356,-0.85526149,1.80413124,-0.98980758,0.00000000,-0.00000000
-3.71285643,4.34102469,-2.27838928,0.03479558,-0.01389566,0.44563469,-0.44258004,0.01590236,-0.00310362,0.00000000,-0.00000000,1.73384892,-0.63507367,1.87087074,-0.89950536,1.82538619,-1.04691673,0.00000000,-0.00000000
-3.70685343,4.39399722,-2.39942356,0.03264902,-0.01611093,0.44447165,-0.46256406,0.01556344,-0.00341325,0.00000000,-0.00000000,1.79146394,-0.66954786,1.89674540,-0.94304200,1.85472942,-1.10440086,0.00000000,-0.00000000
-3.70085043,4.46336150,-2.52098554,0.03069017,-0.01856238,0.44457046,-0.48215253,0.01535251,-0.00378875,0.00000000,-0.00000000,1.85187606,-0.70440195,1.93074123,-0.98583460,1.89105799,-1.16228098,0.00000000,-0.00000000
-3.69484742,4.54620217,-2.64324912,0.02891391,-0.02125146,0.44560198,-0.50134111,0.01526035,-0.00423566,0.00000000,-0.00000000,1.91388843,-0.73968344,1.97153835,-1.02794575,1.93313241,-1.22067579,0.00000000,-0.00000000
-3.68884442,4.63939387,-2.76659538,0.02731067,-0.02417468,0.44722552,-0.52017267,0.01527593,-0.00475981,0.00000000,-0.00000000,1.97626120,-0.77549562,2.01773060,-1.06953821,1.97961689,-1.27979929,0.00000000,-0.00000000
-3.68284142,4.73969498,-2.89159716,0.02586740,-0.02732302,0.44910103,-0.53873558,0.01538684,-0.00536721,0.00000000,-0.00000000,2.03774457,-0.81199373,2.06786300,-1.11087045,2.02911971,-1.33995273,0.00000000,-0.00000000
-3.67683842,4.84383832,-3.01899145,0.02456868,-0.03068145,0.45090034,-0.55715921,0.01557969,-0.00606381,0.00000000,-0.00000000,2.09711031,-0.84937780,2.12046799,-1.15228697,2.08023244,-1.40151097,0.00000000,-0.00000000
-3.67083542,4.94861622,-3.14964047,0.02339770,-0.03422865,0.45231710,-0.57560703,0.01584043,-0.00685532,0.00000000,-0.00000000,2.15318085,-0.88788252,2.17409968,-1.19420351,2.13156696,-1.46490363,0.00000000,-0.00000000
-3.66483242,5.05095783,-3.28448280,0.02233725,-0.03793687,0.45307530,-0.59426740,0.01615467,-0.00774691,0.00000000,-0.00000000,2.20485505,-0.92776438,2.22736545,-1.23708777,2.18178913,-1.53059153,0.00000000,-0.00000000
-3.65882941,5.14799725,-3.42447654,0.02137063,-0.04177205,0.45293594,-0.61334248,0.01650801,-0.00874291,0.00000000,-0.00000000,2.25113015,-0.96928664,2.27895434,-1.28143626,2.22964882,-1.59903953,0.00000000,-0.00000000
-3.65282641,5.23713168,-3.57053716,0.02048237,-0.04569427,0.45170191,-0.63303573,0.01688627,-0.00984649,0.00000000,-0.00000000,2.29111966,-1.01270293,2.32766211,-1.32774834,2.27400556,-1.67068689,0.00000000,-0.00000000
-3.64682341,5.31606929,-3.72347289,0.01965886,-0.04965829,0.44922111,-0.65353852,0.01727573,-0.01105931,0.00000000,-0.00000000,2.32406710,-1.05823993,2.37241292,-1.37649858,2.31385004,-1.74591645,0.00000000,-0.00000000
-3.64082041,5.38286714,-3.88392077,0.01888883,-0.05361452,0.44538773,-0.67501667,0.01766331,-0.01238120,0.00000000,-0.00000000,2.34935564,-1.10608032,2.41227766,-1.42810884,2.34832127,-1.82502425,0.00000000,-0.00000000
-3.63481741,5.43595960,-4.05228680,0.01816367,-0.05751013,0.44014198,-0.69759726,0.01803682,-0.01380983,0.00000000,-0.00000000,2.36651418,-1.15634651,2.44648927,-1.48292121,2.37671975,-1.90819103,0.00000000,-0.00000000
-3.62881441,5.47417836,-4.22869319,0.01747757,-0.06129044,0.43346846,-0.72135680,0.01838506,-0.01534045,0.00000000,-0.00000000,2.37522017,-1.20908628,2.47445518,-1.54117346,2.39851695,-1.99545719,0.00000000,-0.00000000
-3.62281141,5.49676466,-4.41293571,0.01682761,-0.06490039,0.42539327,-0.74631099,0.01869803,-0.01696560,0.00000000,-0.00000000,2.37529961,-1.26426085,2.49576719,-1.60297806,2.41336154,-2.08670248,0.00000000,-0.00000000
-3.61680840,5.50337495,-4.60445363,0.01621360,-0.06828622,0.41598029,-0.77240693,0.01896704,-0.01867501,0.00000000,-0.00000000,2.36672499,-1.32173625,2.51020892,-1.66830591,2.42108259,-2.18163183,0.00000000,-0.00000000
-3.61080540,5.49408055,-4.80231433,0.01563799,-0.07139711,0.40532679,-0.79951810,0.01918486,-0.02045551,0.00000000,-0.00000000,2.34961133,-1.38127847,2.51776084,-1.73697592,2.42169024,-2.27976801,0.00000000,-0.00000000
-3.60480240,5.46936189,-5.00521372,0.01510548,-0.07418692,0.39355864,-0.82744252,0.01934583,-0.02229100,0.00000000,-0.00000000,2.32421096,-1.44255274,2.51860297,-1.80865079,2.41537385,-2.38045207,0.00000000,-0.00000000
-3.59879940,5.43009767,-5.21149335,0.01462276,-0.07661564,0.38082529,-0.85590428,0.01944599,-0.02416265,0.00000000,-0.00000000,2.29090718,-1.50512729,2.51311490,-1.88283973,2.40249788,-2.48285167,0.00000000,-0.00000000
-3.59279640,5.37754884,-5.41917379,0.01419810,-0.07865088,0.36729482,-0.88455851,0.01948309,-0.02604909,0.00000000,-0.00000000,2.25020702,-1.56848152,2.50187295,-1.95890785,2.38359544,-2.58597736,0.00000000,-0.00000000
-3.58679340,5.31333718,-5.62600372,0.01384087,-0.08026900,0.35314907,-0.91299965,0.01945671,-0.02792679,0.00000000,-0.00000000,2.20273304,-1.63201851,2.48564396,-2.03609224,2.35935930,-2.68870639,0.00000000,-0.00000000
-3.58079040,5.23941802,-5.82952281,0.01356112,-0.08145596,0.33857907,-0.94077287,0.01936822,-0.02977055,0.00000000,-0.00000000,2.14921418,-1.69508144,2.46537537,-2.11352405,2.33063024,-2.78981337,0.00000000,-0.00000000
-3.57478739,5.15804659,-6.02713627,0.01336914,-0.08220790,0.32378076,-0.96738805,0.01922077,-0.03155403,0.00000000,-0.00000000,2.09047553,-1.75697349,2.44218114,-2.19025569,2.29838250,-2.88800650,0.00000000,-0.00000000
-3.56878439,5.07173741,-6.21619814,0.01327495,-0.08253129,0.30895108,-0.99233604,0.01901915,-0.03325048,0.00000000,-0.00000000,2.02742665,-1.81698044,2.41732305,-2.26529222,2.26370606,-2.98196832,0.00000000,-0.00000000
-3.56278139,4.98321651,-6.39410007,0.01328786,-0.08244273,0.29428442,-1.01510626,0.01876976,-0.03483340,0.00000000,-0.00000000,1.96104843,-1.87439518,2.39218730,-2.33762530,2.22778557,-3.07039911,0.00000000,-0.00000000
-3.55677839,4.89536626,-6.55836181,0.01341603,-0.08196842,0.27996941,-1.03520516,0.01848030,-0.03627738,0.00000000,-0.00000000,1.89237822,-1.92854312,2.36825625,-2.40626870,2.19187595,-3.15206132,0.00000000,-0.00000000
-3.55077539,4.81116309,-6.70671981,0.01366608,-0.08114325,0.26618599,-1.05217461,0.01815963,-0.03755880,0.00000000,-0.00000000,1.82249322,-1.97880755,2.34707562,-2.47029334,2.15727476,-3.22582319,0.00000000,-0.00000000
-3.54477239,4.73360902,-6.83720992,0.01404270,-0.08000957,0.25310286,-1.06560947,0.01781744,-0.03865667,0.00000000,-0.00000000,1.75249211,-2.02465378,2.33021753,-2.52886076,2.12529160,-3.29069972,0.00000000,-0.00000000
-3.53876938,4.66565790,-6.94824085,0.01454830,-0.07861577,0.24087501,-1.07517361,0.01746393,-0.03955326,0.00000000,-0.00000000,1.68347513,-2.06565103,2.31924013,-2.58125326,2.09721517,-3.34588913,0.00000000,-0.00000000
-3.53276638,4.61013833,-7.03865483,0.01518276,-0.07701460,0.22964166,-1.08061355,0.01710947,-0.04023475,0.00000000,-0.00000000,1.61652292,-2.10149105,2.31564498,-2.62689955,2.07427860,-3.39080331,0.00000000,-0.00000000
-3.52676338,4.56967527,-7.10777304,0.01594319,-0.07526144,0.21952425,-1.08176924,0.01676425,-0.04069175,0.00000000,-0.00000000,1.55267456,-2.13200256,2.32083334,-2.66539465,2.05762419,-3.42509088,0.00000000,-0.00000000
-3.52076038,4.54661288,-7.15542341,0.01682377,-0.07341244,0.21062477,-1.07858135,0.01643793,-0.04091960,0.00000000,-0.00000000,1.49290537,-2.15716078,2.33606293,-2.69651330,2.04826842,-3.44865169,0.00000000,-0.00000000
-3.51475738,4.54294127,-7.18194968,0.01781571,-0.07152278,0.20302414,-1.07109488,0.01613927,-0.04091863,0.00000000,-0.00000000,1.43810519,-2.17709135,2.36240671,-2.72021621,2.04706867,-3.46164221,0.00000000,-0.00000000
-3.50875438,4.56023017,-7.18820102,0.01890725,-0.06964491,0.19678101,-1.05945878,0.01587581,-0.04069415,0.00000000,-0.00000000,1.38905771,-2.19206853,2.40071552,-2.73664892,2.05469275,-3.46447139,0.00000000,-0.00000000
-3.50275138,4.59957220,-7.17550265,0.02008372,-0.06782700,0.19193070,-1.04392159,0.01565365,-0.04025633,0.00000000,-0.00000000,1.34642181,-2.20250740,2.45158610,-2.74613343,2.07159264,-3.45778719,0.00000000,-0.00000000
-3.49674837,4.66153845,-7.14560866,0.02132784,-0.06611160,0.18848447,-1.02482347,0.01547720,-0.03961989,0.00000000,-0.00000000,1.31071537,-2.20895040,2.51533604,-2.74915302,2.09798343,-3.44245428,0.00000000,-0.00000000
-3.49074537,4.74614856,-7.10063898,0.02261991,-0.06453450,0.18642913,-1.00258473,0.01534902,-0.03880363,0.00000000,-0.00000000,1.28230240,-2.21204862,2.59198720,-2.74633093,2.13382862,-3.41952392,0.00000000,-0.00000000
-3.48474237,4.85285720,-7.04300331,0.02393825,-0.06312389,0.18572705,-0.97769155,0.01526977,-0.03782985,0.00000000,-0.00000000,1.26138388,-2.21253853,2.68125835,-2.73840404,2.17883253,-3.39019724,0.00000000,-0.00000000
-3.47873937,4.98055791,-6.97531532,0.02525966,-0.06189976,0.18631653,-0.95067950,0.01523819,-0.03672363,0.00000000,-0.00000000,1.24799280,-2.21121532,2.78256811,-2.72619274,2.23244033,-3.35578354,0.00000000,-0.00000000
-3.47273637,5.12760514,-6.90030077,0.02655992,-0.06087370,0.18811260,-0.92211549,0.01525113,-0.03551208,0.00000000,-0.00000000,1.24199372,-2.20890362,2.89504818,-2.71056836,2.29384604,-3.31765552,0.00000000,-0.00000000
-3.46673337,5.29185383,-6.82070359,0.02781442,-0.06004884,0.19100828,-0.89257912,0.01530377,-0.03422350,0.00000000,-0.00000000,1.24308679,-2.20642728,3.01756698,-2.69241974,2.36200832,-3.27720311,0.00000000,-0.00000000
-3.46073037,5.47071607,-6.73919389,0.02899875,-0.05942023,0.19487630,-0.86264408,0.01538972,-0.03288657,0.00000000,-0.00000000,1.25081641,-2.20457921,3.14876308,-2.67262030,2.43567389,-3.23578808,0.00000000,-0.00000000
-3.45472736,5.66123273,-6.65828154,0.03008933,-0.05897532,0.19957121,-0.83286042,0.01550133,-0.03152954,0.00000000,-0.00000000,1.26458411,-2.20409273,3.28708730,-2.65199705,2.51340774,-3.19470112,0.00000000,-0.00000000
-3.44872436,5.86015813,-6.58023900,0.03106406,-0.05869480,0.20493196,-0.80373842,0.01562993,-0.03017950,0.00000000,-0.00000000,1.28366551,-2.20561557,3.43085223,-2.63130288,2.59362941,-3.15512304,0.00000000,-0.00000000
-3.44272136,6.06405462,-6.50703588,0.03190287,-0.05855354,0.21078486,-0.77573461,0.01576618,-0.02886173,0.00000000,-0.00000000,1.30723063,-2.20968767,3.57828729,-2.61119305,2.67465413,-3.11809163,0.00000000,-0.00000000
-3.43671836,6.26939399,-6.44028776,0.03258828,-0.05852172,0.21694685,-0.74924047,0.01590040,-0.02759912,0.00000000,-0.00000000,1.33436725,-2.21672346,3.72759712,-2.59220672,2.75473748,-3.08447504,0.00000000,-0.00000000
-3.43071536,6.47266185,-6.38122039,0.03310583,-0.05856606,0.22322916,-0.72457410,0.01602285,-0.02641177,0.00000000,-0.00000000,1.36410634,-2.22699943,3.87702122,-2.57475413,2.83212224,-3.05495262,0.00000000,-0.00000000
