energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-4.76938469,3.22726514,2.42004569,0.97413227,0.00486439,2.52638494,0.24811828,0.00056752
-4.76338169,3.25477923,2.47015317,0.98311888,0.00492014,2.54313934,0.25081082,0.00057290
-4.75737869,3.28297916,2.52000144,0.99392705,0.00495576,2.56139442,0.25315255,0.00057794
-4.75137569,3.31198419,2.56961590,1.00654629,0.00497175,2.58126809,0.25516932,0.00058259
-4.74537269,3.34190248,2.61902254,1.02095594,0.00496887,2.60286617,0.25688372,0.00058680
-4.73936968,3.37281633,2.66823521,1.03712235,0.00494806,2.62627186,0.25831259,0.00059051
-4.73336668,3.40476626,2.71724237,1.05499510,0.00491044,2.65153390,0.25946498,0.00059365
-4.72736368,3.43773548,2.76599457,1.07450261,0.00485722,2.67865458,0.26034052,0.00059614
-4.72136068,3.47163611,2.81439361,1.09554772,0.00478966,2.70757846,0.26092856,0.00059793
-4.71535768,3.50629842,2.86228456,1.11800355,0.00470901,2.73818306,0.26120792,0.00059893
-4.70935468,3.54146427,2.90945132,1.14171018,0.00461649,2.77027232,0.26114753,0.00059908
-4.70335168,3.57678564,2.95561640,1.16647254,0.00451328,2.80357354,0.26070780,0.00059831
-4.69734867,3.61182862,3.00044522,1.19205984,0.00440048,2.83773857,0.25984278,0.00059657
-4.69134567,3.64608309,3.04355490,1.21820667,0.00427911,2.87234914,0.25850284,0.00059380
-4.68534267,3.67897779,3.08452723,1.24461612,0.00415014,2.90692660,0.25663790,0.00058998
-4.67933967,3.70990007,3.12292521,1.27096459,0.00401447,2.94094557,0.25420091,0.00058509
-4.67333667,3.73821948,3.15831230,1.29690845,0.00387299,2.97385101,0.25115137,0.00057911
-4.66733367,3.76331387,3.19027327,1.32209215,0.00372659,3.00507779,0.24745869,0.00057208
-4.66133067,3.78459658,3.21843559,1.34615753,0.00357616,3.03407189,0.24310531,0.00056404
-4.65532766,3.80154334,3.24248998,1.36875384,0.00342267,3.06031206,0.23808906,0.00055505
-4.64932466,3.81371735,3.26220907,1.38954813,0.00326713,3.08333093,0.23242507,0.00054520
-4.64332166,3.82079110,3.27746291,1.40823543,0.00311066,3.10273425,0.22614671,0.00053460
-4.63731866,3.82256384,3.28823050,1.42454829,0.00295445,3.11821745,0.21930571,0.00052339
-4.63131566,3.81897361,3.29460647,1.43826521,0.00279978,3.12957846,0.21197148,0.00051170
-4.62531266,3.81010320,3.29680255,1.44921758,0.00264800,3.13672618,0.20422954,0.00049971
-4.61930965,3.79617956,3.29514337,1.45729464,0.00250053,3.13968399,0.19617923,0.00048759
-4.61330665,3.77756666,3.29005677,1.46244646,0.00235879,3.13858801,0.18793092,0.00047552
-4.60730365,3.75475197,3.28205876,1.46468446,0.00222420,3.13368015,0.17960263,0.00046368
-4.60130065,3.72832705,3.27173368,1.46407964,0.00209813,3.12529601,0.17131658,0.00045224
-4.59529765,3.69896302,3.25971031,1.46075831,0.00198187,3.11384809,0.16319551,0.00044138
-4.58929465,3.66738192,3.24663479,1.45489572,0.00187657,3.09980502,0.15535917,0.00043123
-4.58329165,3.63432520,3.23314148,1.44670759,0.00178321,3.08366756,0.14792114,0.00042195
-4.57728864,3.60052047,3.21982296,1.43643998,0.00170258,3.06594235,0.14098596,0.00041362
-4.57128564,3.56664815,3.20720038,1.42435788,0.00163524,3.04711469,0.13464677,0.00040634
-4.56528264,3.53330931,3.19569559,1.41073308,0.00158151,3.02762143,0.12898362,0.00040015
-4.55927964,3.50099618,3.18560625,1.39583170,0.00154145,3.00782534,0.12406225,0.00039506
-4.55327664,3.47006668,3.17708521,1.37990218,0.00151487,2.98799224,0.11993357,0.00039107
-4.54727364,3.44072426,3.17012525,1.36316401,0.00150132,2.96827199,0.11663362,0.00038812
-4.54127064,3.41300398,3.16455011,1.34579804,0.00150013,2.94868453,0.11418402,0.00038613
-4.53526763,3.38676575,3.16001249,1.32793868,0.00151043,2.92911182,0.11259282,0.00038497
-4.52926463,3.36169520,3.15599951,1.30966843,0.00153114,2.90929629,0.11185563,0.00038451
-4.52326163,3.33731231,3.15184563,1.29101516,0.00156107,2.88884619,0.11195686,0.00038457
-4.51725863,3.31298781,3.14675289,1.27195210,0.00159891,2.86724785,0.11287105,0.00038496
-4.51125563,3.28796664,3.13981782,1.25240088,0.00164326,2.84388455,0.11456412,0.00038548
-4.50525263,3.26139770,3.13006410,1.23223721,0.00169272,2.81806134,0.11699452,0.00038592
-4.49924962,3.23236873,3.11647974,1.21129911,0.00174588,2.78903480,0.12011405,0.00038604
-4.49324662,3.19994472,3.09805726,1.18939732,0.00180136,2.75604647,0.12386859,0.00038565
-4.48724362,3.16320831,3.07383523,1.16632718,0.00185783,2.71835852,0.12819843,0.00038455
-4.48124062,3.12130038,3.04293924,1.14188161,0.00191408,2.67528987,0.13303846,0.00038255
-4.47523762,3.07345892,3.00462072,1.11586437,0.00196896,2.62625124,0.13831810,0.00037949
-4.46923462,3.01905451,2.95829158,1.08810294,0.00202144,2.57077731,0.14396115,0.00037525
-4.46323162,2.95762084,2.90355345,1.05846045,0.00207062,2.50855448,0.14988559,0.00036974
-4.45722861,2.88887893,2.84022003,1.02684593,0.00211569,2.43944300,0.15600343,0.00036289
-4.45122561,2.81275404,2.76833165,0.99322247,0.00215596,2.36349230,0.16222079,0.00035470
-4.44522261,2.72938463,2.68816159,0.95761289,0.00219084,2.28094887,0.16843816,0.00034518
-4.43921961,2.63912320,2.60021387,0.92010265,0.00221983,2.19225646,0.17455111,0.00033440
-4.43321661,2.54252918,2.50521287,0.88083994,0.00224251,2.09804851,0.18045131,0.00032247
-4.42721361,2.44035423,2.40408527,0.84003300,0.00225856,1.99913343,0.18602812,0.00030952
-4.42121061,2.33352113,2.29793544,0.79794488,0.00226771,1.89647333,0.19117049,0.00029573
-4.41520760,2.22309708,2.18801525,0.75488598,0.00226976,1.79115745,0.19576936,0.00028129
-4.40920460,2.11026280,2.07568976,0.71120480,0.00226459,1.68437129,0.19972036,0.00026642
-4.40320160,1.99627894,1.96240023,0.66727728,0.00225214,1.57736306,0.20292673,0.00025135
-4.39719860,1.88245092,1.84962585,0.62349550,0.00223242,1.47140866,0.20530233,0.00023632
-4.39119560,1.77009374,1.73884548,0.58025601,0.00220553,1.36777672,0.20677456,0.00022157
-4.38519260,1.66049784,1.63150069,0.53794842,0.00217165,1.26769477,0.20728710,0.00020733
-4.37918959,1.55489704,1.52896102,0.49694473,0.00213105,1.17231785,0.20680220,0.00019384
-4.37318659,1.45443936,1.43249240,0.45758961,0.00208409,1.08270030,0.20530245,0.00018130
-4.36718359,1.36016128,1.34322912,0.42019218,0.00203125,0.99977141,0.20279187,0.00016990
-4.36118059,1.27296582,1.26214996,0.38501916,0.00197308,0.92431548,0.19929630,0.00015979
-4.35517759,1.19360478,1.19005850,0.35228987,0.00191022,0.85695643,0.19486283,0.00015112
-4.34917459,1.12266489,1.12756785,0.32217271,0.00184343,0.79814704,0.18955860,0.00014397
-4.34317159,1.06055823,1.07508968,0.29478347,0.00177348,0.74816276,0.18346869,0.00013841
-4.33716858,1.00751640,1.03282752,0.27018502,0.00170124,0.70709984,0.17669337,0.00013447
-4.33116558,0.96358864,1.00077426,0.24838849,0.00162757,0.67487751,0.16934480,0.00013215
-4.32516258,0.92864352,0.97871375,0.22935563,0.00155334,0.65124391,0.16154325,0.00013139
-4.31915958,0.90237419,0.96622645,0.21300225,0.00147942,0.63578546,0.15341319,0.00013214
-4.31315658,0.88430701,0.96269908,0.19920241,0.00140659,0.62793923,0.14507926,0.00013427
-4.30715358,0.87381349,0.96733828,0.18779345,0.00133558,0.62700820,0.13666237,0.00013764
-4.30115058,0.87012549,0.97918813,0.17858137,0.00126703,0.63217886,0.12827623,0.00014209
-4.29514757,0.87235336,0.99715150,0.17134668,0.00120145,0.64254106,0.12002418,0.00014744
-4.28914457,0.87950699,1.02001496,0.16585044,0.00113924,0.65710968,0.11199677,0.00015346
-4.28314157,0.89051940,1.04647701,0.16184039,0.00108065,0.67484772,0.10426990,0.00015994
-4.27713857,0.90427252,1.07517899,0.15905709,0.00102581,0.69469054,0.09690371,0.00016665
-4.27113557,0.91962450,1.10473826,0.15723992,0.00097472,0.71557065,0.08994224,0.00017336
-4.26513257,0.93543810,1.13378257,0.15613287,0.00092726,0.73644260,0.08341367,0.00017983
-4.25912956,0.95060920,1.16098487,0.15548996,0.00088320,0.75630729,0.07733131,0.00018585
-4.25312656,0.96409474,1.18509741,0.15508026,0.00084223,0.77423516,0.07169495,0.00019121
-4.24712356,0.97493900,1.20498389,0.15469235,0.00080397,0.78938738,0.06649279,0.00019572
-4.24112056,0.98229745,1.21964861,0.15413809,0.00076802,0.80103469,0.06170353,0.00019923
-4.23511756,0.98545718,1.22826142,0.15325575,0.00073393,0.80857283,0.05729864,0.00020159
-4.22911456,0.98385312,1.23017753,0.15191222,0.00070129,0.81153443,0.05324464,0.00020272
-4.22311156,0.97707952,1.22495128,0.15000443,0.00066967,0.80959662,0.04950535,0.00020254
-4.21710855,0.96489607,1.21234337,0.14745988,0.00063873,0.80258417,0.04604389,0.00020102
-4.21110555,0.94722854,1.19232123,0.14423624,0.00060816,0.79046807,0.04282443,0.00019817
-4.20510255,0.92416398,1.16505258,0.14032013,0.00057772,0.77335964,0.03981361,0.00019402
