energy_ev,total_up,Al_p_up,Al_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-1.87593797,4.42409366,0.10829807,0.00000000,1.73049306,1.85819867,0.20835738,2.15820192
-1.86993497,4.30651573,0.10940195,0.00000000,1.68072223,1.80038428,0.20495304,2.11310215
-1.86393197,4.19698255,0.11081505,0.00000000,1.63167384,1.74735832,0.20248218,2.07000132
-1.85792896,4.09601765,0.11251172,0.00000000,1.58385474,1.69903142,0.20096965,2.02943158
-1.85192596,4.00398748,0.11446339,0.00000000,1.53777707,1.65526339,0.20041599,1.99184776
-1.84592296,3.92107146,0.11663729,0.00000000,1.49393590,1.61585634,0.20079643,1.95760674
-1.83991996,3.84723812,0.11899548,0.00000000,1.45278769,1.58054960,0.20206058,1.92695008
-1.83391696,3.78222885,0.12149414,0.00000000,1.41473026,1.54901708,0.20413311,1.89999062
-1.82791396,3.72555030,0.12408322,0.00000000,1.38008510,1.52086743,0.20691509,1.87670382
-1.82191096,3.67647640,0.12670662,0.00000000,1.34908277,1.49564729,0.21028637,1.85692429
-1.81590795,3.63406056,0.12930274,0.00000000,1.32185207,1.47284806,0.21410864,1.84034805
-1.80990495,3.59715802,0.13180553,0.00000000,1.29841359,1.45191595,0.21822933,1.82654058
-1.80390195,3.56445817,0.13414598,0.00000000,1.27867810,1.43226526,0.22248601,1.81495059
-1.79789895,3.53452583,0.13625393,0.00000000,1.26244998,1.41329461,0.22671142,1.80492924
-1.79189595,3.50585011,0.13806027,0.00000000,1.24943568,1.39440532,0.23073878,1.79575408
-1.78589295,3.47689904,0.13949928,0.00000000,1.23925705,1.37502143,0.23440720,1.78665699
-1.77988994,3.44617767,0.14051111,0.00000000,1.23146893,1.35461030,0.23756712,1.77685478
-1.77388694,3.41228708,0.14104420,0.00000000,1.22558032,1.33270283,0.24008541,1.76558133
-1.76788394,3.37398161,0.14105762,0.00000000,1.22107811,1.30891241,0.24185004,1.75211982
-1.76188094,3.33022150,0.14052309,0.00000000,1.21745221,1.28295138,0.24277402,1.73583343
-1.75587794,3.28021843,0.13942662,0.00000000,1.21422080,1.25464427,0.24279857,1.71619325
-1.74987494,3.22347156,0.13776975,0.00000000,1.21095445,1.22393688,0.24189518,1.69280185
-1.74387194,3.15979213,0.13557024,0.00000000,1.20729767,1.19090082,0.24006668,1.66541157
-1.73786893,3.08931536,0.13286216,0.00000000,1.20298686,1.15573296,0.23734705,1.63393642
-1.73186593,3.01249889,0.12969543,0.00000000,1.19786350,1.11874984,0.23380010,1.59845704
-1.72586293,2.93010753,0.12613482,0.00000000,1.19188190,1.08037708,0.22951700,1.55921862
-1.71985993,2.84318513,0.12225838,0.00000000,1.18511100,1.04113438,0.22461275,1.51662155
-1.71385693,2.75301462,0.11815546,0.00000000,1.17773009,1.00161652,0.21922174,1.47120553
-1.70785393,2.66106808,0.11392436,0.00000000,1.17001859,0.96247140,0.21349258,1.42362776
-1.70185093,2.56894913,0.10966967,0.00000000,1.16234045,0.92437593,0.20758239,1.37463629
-1.69584792,2.47833018,0.10549951,0.00000000,1.15512401,0.88801089,0.20165079,1.32503978
-1.68984492,2.39088739,0.10152266,0.00000000,1.14883835,0.85403586,0.19585385,1.27567513
-1.68384192,2.30823616,0.09784579,0.00000000,1.14396745,0.82306516,0.19033821,1.22737443
-1.67783892,2.23186995,0.09457079,0.00000000,1.14098346,0.79564589,0.18523566,1.18093276
-1.67183592,2.16310499,0.09179232,0.00000000,1.14032070,0.77223880,0.18065832,1.13707823
-1.66583292,2.10303300,0.08959567,0.00000000,1.14235149,0.75320282,0.17669467,1.09644558
-1.65982991,2.05248387,0.08805494,0.00000000,1.14736530,0.73878359,0.17340657,1.05955436
-1.65382691,2.01199930,0.08723155,0.00000000,1.15555207,0.72910634,0.17082732,1.02679247
-1.64782391,1.98181837,0.08717310,0.00000000,1.16699066,0.72417335,0.16896091,0.99840571
-1.64182091,1.96187511,0.08791266,0.00000000,1.18164269,0.72386569,0.16778238,0.97449343
-1.63581791,1.95180759,0.08946832,0.00000000,1.19935221,0.72794913,0.16723929,0.95501039
-1.62981491,1.95097796,0.09184304,0.00000000,1.21985084,0.73608366,0.16725428,0.93977435
-1.62381191,1.95850185,0.09502492,0.00000000,1.24276811,0.74783628,0.16772845,0.92847882
-1.61780890,1.97328574,0.09898755,0.00000000,1.26764616,0.76269615,0.16854554,0.92071039
-1.61180590,1.99407038,0.10369073,0.00000000,1.29395816,0.78009168,0.16957664,0.91596939
-1.60580290,2.01947827,0.10908134,0.00000000,1.32112929,0.79940858,0.17068526,0.91369316
-1.59979990,2.04806321,0.11509445,0.00000000,1.34855928,0.82000849,0.17173252,0.91328063
-1.59379690,2.07836001,0.12165462,0.00000000,1.37564553,0.84124725,0.17258229,0.91411729
-1.58779390,2.10893248,0.12867744,0.00000000,1.40180581,0.86249247,0.17310604,0.91559950
-1.58179090,2.13841832,0.13607121,0.00000000,1.42649970,0.88313972,0.17318718,0.91715731
-1.57578789,2.16556937,0.14373897,0.00000000,1.44924816,0.90262716,0.17272485,0.91827495
-1.56978489,2.18928653,0.15158066,0.00000000,1.46965064,0.92044821,0.17163692,0.91850855
-1.56378189,2.20864848,0.15949554,0.00000000,1.48739947,0.93616213,0.16986215,0.91750054
-1.55777889,2.22293387,0.16738489,0.00000000,1.50229133,0.94940243,0.16736157,0.91499057
-1.55177589,2.23163697,0.17515473,0.00000000,1.51423578,0.95988313,0.16411883,0.91082280
-1.54577289,2.23447681,0.18271887,0.00000000,1.52326085,0.96740296,0.16013986,0.90494970
-1.53976988,2.23140009,0.19000177,0.00000000,1.52951588,0.97184745,0.15545166,0.89743237
-1.53376688,2.22257833,0.19694155,0.00000000,1.53327158,0.97318928,0.15010047,0.88843775
-1.52776388,2.20839967,0.20349264,0.00000000,1.53491748,0.97148679,0.14414938,0.87823292
-1.52176088,2.18945572,0.20962820,0.00000000,1.53495673,0.96688081,0.13767550,0.86717679
-1.51575788,2.16652406,0.21534202,0.00000000,1.53399818,0.95958997,0.13076694,0.85570959
-1.50975488,2.14054658,0.22064980,0.00000000,1.53274579,0.94990449,0.12351955,0.84434024
-1.50375188,2.11260421,0.22558967,0.00000000,1.53198491,0.93817846,0.11603383,0.83363216
-1.49774887,2.08388830,0.23022183,0.00000000,1.53256567,0.92482074,0.10841182,0.82418752
-1.49174587,2.05566888,0.23462719,0.00000000,1.53538314,0.91028448,0.10075436,0.81663028
-1.48574287,2.02926041,0.23890504,0.00000000,1.54135431,0.89505535,0.09315858,0.81158833
-1.47973987,2.00598522,0.24316969,0.00000000,1.55139218,0.87963861,0.08571584,0.80967482
-1.47373687,1.98713537,0.24754621,0.00000000,1.56637718,0.86454519,0.07851002,0.81146917
-1.46773387,1.97393358,0.25216526,0.00000000,1.58712654,0.85027710,0.07161630,0.81749794
-1.46173087,1.96749408,0.25715740,0.00000000,1.61436248,0.83731249,0.06510029,0.82821611
-1.45572786,1.96878448,0.26264686,0.00000000,1.64868021,0.82609066,0.05901753,0.84398909
-1.44972486,1.97858967,0.26874527,0.00000000,1.69051702,0.81699776,0.05341341,0.86507614
