energy_ev,total_up,Au_p_up,Au_d_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up
2.98649325,4.81102676,4.69792829,0.26502991,1.91560766,0.00002493,0.19358273,1.38926750
2.99249625,4.79227751,4.74238861,0.26432293,1.87589040,0.00002574,0.19671578,1.38423190
2.99849925,4.77554605,4.79075166,0.26389397,1.83578337,0.00002657,0.19997566,1.37966378
3.00450225,4.76188499,4.84342888,0.26379297,1.79603587,0.00002744,0.20337894,1.37587485
3.01050525,4.75212160,4.90057484,0.26405521,1.75732054,0.00002834,0.20693249,1.37310402
3.01650825,4.74682814,4.96207233,0.26469972,1.72021626,0.00002926,0.21063239,1.37150952
3.02251126,4.74630250,5.02752794,0.26572831,1.68519513,0.00003020,0.21446337,1.37116444
3.02851426,4.75056006,5.09627848,0.26712521,1.65261400,0.00003114,0.21839874,1.37205597
3.03451726,4.75933687,5.16740823,0.26885739,1.62271069,0.00003209,0.22240077,1.37408826
3.04052026,4.77210404,5.23977619,0.27087553,1.59560482,0.00003302,0.22642166,1.37708857
3.04652326,4.78809249,5.31205265,0.27311564,1.57130314,0.00003393,0.23040489,1.38081660
3.05252626,4.80632697,5.38276334,0.27550119,1.54970867,0.00003480,0.23428708,1.38497623
3.05852926,4.82566773,5.45033966,0.27794576,1.53063334,0.00003562,0.23800009,1.38922930
3.06453227,4.84485782,5.51317275,0.28035598,1.51381314,0.00003637,0.24147349,1.39321063
3.07053527,4.86257409,5.56966945,0.28263479,1.49892516,0.00003703,0.24463703,1.39654359
3.07653827,4.87747935,5.61830754,0.28468474,1.48560560,0.00003761,0.24742324,1.39885559
3.08254127,4.88827370,5.65768834,0.28641125,1.47346791,0.00003808,0.24976987,1.39979265
3.08854427,4.89374262,5.68658441,0.28772569,1.46212027,0.00003843,0.25162218,1.39903257
3.09454727,4.89280014,5.70398044,0.28854821,1.45118175,0.00003867,0.25293478,1.39629611
3.10055028,4.88452520,5.70910605,0.28881011,1.44029650,0.00003877,0.25367326,1.39135582
3.10655328,4.86819023,5.70145912,0.28845573,1.42914555,0.00003875,0.25381516,1.38404220
3.11255628,4.84328101,5.68081935,0.28744385,1.41745592,0.00003860,0.25335057,1.37424720
3.11855928,4.80950753,5.64725156,0.28574848,1.40500689,0.00003832,0.25228218,1.36192501
3.12456228,4.76680605,5.60109942,0.28335909,1.39163345,0.00003792,0.25062479,1.34709035
3.13056528,4.71533303,5.54297015,0.28028033,1.37722705,0.00003742,0.24840442,1.32981464
3.13656828,4.65545171,5.47371148,0.27653130,1.36173398,0.00003681,0.24565706,1.31022040
3.14257129,4.58771283,5.39438224,0.27214434,1.34515162,0.00003613,0.24242706,1.28847435
3.14857429,4.51283080,5.30621835,0.26716363,1.32752313,0.00003537,0.23876540,1.26477977
3.15457729,4.43165700,5.21059575,0.26164351,1.30893092,0.00003456,0.23472784,1.23936866
