energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-5.17758879,13.37879800,0.02678018,1.17579306,2.61225269,0.80508917,10.12203247,6.34617765,0.02039041,3.89242573
-5.17158579,13.37776072,0.02795716,1.13477609,2.65156880,0.82787342,10.18212048,6.27350971,0.02051860,3.96054323
-5.16558279,13.37268107,0.02911228,1.09597904,2.68702029,0.85195938,10.22804627,6.19812721,0.02068989,4.02674136
-5.15957979,13.36777098,0.03024405,1.06011055,2.71902474,0.87754950,10.26104261,6.12267319,0.02091640,4.09167004
-5.15357679,13.36707455,0.03135184,1.02778324,2.74807232,0.90483024,10.28241880,6.04965916,0.02121030,4.15600620
-5.14757379,13.37435117,0.03243586,0.99950030,2.77470674,0.93396607,10.29351785,5.98139571,0.02158364,4.22043079
-5.14157079,13.39296848,0.03349705,0.97564527,2.79950465,0.96509399,10.29567433,5.91993050,0.02204811,4.28560572
-5.13556778,13.42580860,0.03453702,0.95647554,2.82305389,0.99831876,10.29017392,5.86699548,0.02261493,4.35215121
-5.12956478,13.47519028,0.03555790,0.94211950,2.84593170,1.03370893,10.27821617,5.82396508,0.02329458,4.42062435
-5.12356178,13.54280917,0.03656224,0.93257724,2.86868358,1.07129371,10.26088132,5.79182632,0.02409671,4.49149939
-5.11755878,13.62969763,0.03755284,0.92772489,2.89180359,1.11106072,10.23910230,5.77116182,0.02502987,4.56515036
-5.11155578,13.73620499,0.03853263,0.92732216,2.91571706,1.15295465,10.21364259,5.76214584,0.02610138,4.64183644
-5.10555278,13.86199835,0.03950453,0.93102291,2.94076608,1.19687663,10.18508060,5.76455337,0.02731704,4.72169030
-5.09954977,14.00608322,0.04047133,0.93838830,2.96719854,1.24268437,10.15380078,5.77778146,0.02868096,4.80470991
-5.09354677,14.16684266,0.04143557,0.94890202,2.99516097,1.29019291,10.11999164,5.80088204,0.03019525,4.89075355
-5.08754377,14.34209305,0.04239943,0.96198716,3.02469527,1.33917579,10.08365027,5.83260454,0.03185979,4.97953834
-5.08154077,14.52915386,0.04336468,0.97702405,3.05573948,1.38936666,10.04459308,5.87144677,0.03367192,5.07064188
-5.07553777,14.72492857,0.04433253,0.99336848,3.08813223,1.44046114,10.00247195,5.91571189,0.03562620,5.16350704
-5.06953477,14.92599334,0.04530365,1.01036986,3.12162062,1.49211887,9.95679485,5.96356939,0.03771413,5.25744943
-5.06353177,15.12869027,0.04627801,1.02738840,3.15587085,1.54396574,9.90695002,6.01311765,0.03992395,5.35166733
-5.05752876,15.32922177,0.04725493,1.04381121,3.19048115,1.59559630,9.85223255,6.06244582,0.04224048,5.44525372
-5.05152576,15.52374284,0.04823296,1.05906643,3.22499615,1.64657637,9.79187219,6.10969284,0.04464500,5.53721016
-5.04552276,15.70844859,0.04920985,1.07263533,3.25892204,1.69644608,9.72506158,6.15310144,0.04711525,5.62646207
-5.03951976,15.87965448,0.05018251,1.08406191,3.29174187,1.74472321,9.65098373,6.19106547,0.04962558,5.71187540
-5.03351676,16.03386762,0.05114700,1.09295990,3.32293019,1.79090731,9.56883827,6.22216910,0.05214707,5.79227423
-5.02751376,16.16784779,0.05209844,1.09901716,3.35196659,1.83448448,9.47786582,6.24521689,0.05464798,5.86645945
-5.02151076,16.27865769,0.05303105,1.10199748,3.37834772,1.87493313,9.37737022,6.25925415,0.05709416,5.93322810
-5.01550775,16.36370241,0.05393813,1.10174006,3.40159731,1.91173077,9.26673856,6.26357758,0.05944968,5.99139356
-5.00950475,16.42075868,0.05481206,1.09815691,3.42127427,1.94436185,9.14545908,6.25773641,0.06167755,6.03980622
-5.00350175,16.44799479,0.05564439,1.09122851,3.43697868,1.97232672,9.01313713,6.24152488,0.06374054,6.07737476
-4.99749875,16.44398253,0.05642588,1.08099821,3.44835577,1.99515156,8.86950953,6.21496719,0.06560207,6.10308761
-4.99149575,16.40770240,0.05714664,1.06756574,3.45509821,2.01239909,8.71445756,6.17829622,0.06722720,6.11603440
-4.98549275,16.33854367,0.05779628,1.05108031,3.45694692,2.02367980,8.54801889,6.13192765,0.06858354,6.11542715
-4.97948974,16.23630052,0.05836407,1.03173361,3.45369077,2.02866323,8.37039840,6.07643118,0.06964225,6.10062047
-4.97348674,16.10116523,0.05883917,1.00975307,3.44516558,2.02708912,8.18197802,6.01250033,0.07037887,6.07113049
-4.96748374,15.93371937,0.05921088,0.98539566,3.43125279,2.01877755,7.98332525,5.94092262,0.07077415,6.02665171
-4.96148074,15.73492317,0.05946888,0.95894231,3.41187815,2.00363798,7.77519985,5.86255119,0.07081465,5.96707122
-4.95547774,15.50610340,0.05960351,0.93069306,3.38701075,1.98167637,7.55855829,5.77827918,0.07049330,5.89247954
-4.94947474,15.24893911,0.05960602,0.90096296,3.35666266,1.95300006,7.33455508,5.68901754,0.06980965,5.80317754
-4.94347174,14.96544497,0.05946885,0.87007848,3.32088920,1.91782012,7.10454020,5.59567674,0.06876997,5.69967880
-4.93746873,14.65795123,0.05918585,0.83837445,3.27979011,1.87645062,6.87005190,5.49915248,0.06738720,5.58270704
-4.93146573,14.32907952,0.05875247,0.80619114,3.23351139,1.82930498,6.63280398,5.40031531,0.06568056,5.45318842
-4.92546273,13.98171358,0.05816592,0.77387149,3.18224770,1.77688908,6.39466718,5.30000353,0.06367510,5.31223847
-4.91945973,13.61896418,0.05742532,0.74175803,3.12624516,1.71979152,6.15764412,5.19901875,0.06140099,5.16114390
-4.91345673,13.24412769,0.05653170,0.71018955,3.06580414,1.65867100,5.92383773,5.09812334,0.05889269,5.00133964
-4.90745373,12.86063810,0.05548806,0.67949716,3.00128162,1.59424152,5.69541347,4.99803871,0.05618800,4.83438146
-4.90145073,12.47201255,0.05429928,0.64999995,2.93309285,1.52725561,5.47455578,4.89944362,0.05332703,4.66191512
-4.89544772,12.08179104,0.05297210,0.62199989,2.86171159,1.45848636,5.26341971,4.80297170,0.05035115,4.48564265
-4.88944472,11.69347111,0.05151491,0.59577643,2.78766872,1.38870891,5.06407888,4.70920745,0.04730191,4.30728697
-4.88344172,11.31043914,0.04993763,0.57158065,2.71154875,1.31868189,4.87847126,4.61868038,0.04422003,4.12855566
-4.87743872,10.93589978,0.04825152,0.54962927,2.63398375,1.24912973,4.70834446,4.53185711,0.04114442,3.95110512
-4.87143572,10.57280579,0.04646891,0.53009882,2.55564481,1.18072631,4.55520247,4.44913141,0.03811140,3.77650613
-4.86543272,10.22379064,0.04460303,0.51312018,2.47723057,1.11408057,4.42025558,4.37081282,0.03515391,3.60621175
-4.85942971,9.89110629,0.04266773,0.49877380,2.39945325,1.04972460,4.30437572,4.29711437,0.03230101,3.44152861
-4.85342671,9.57656884,0.04067729,0.48708594,2.32302220,0.98810457,4.20805889,4.22814032,0.02957742,3.28359242
-4.84742371,9.28151441,0.03864616,0.47802615,2.24862550,0.92957472,4.13139646,4.16387508,0.02700328,3.13334821
-4.84142071,9.00676775,0.03658875,0.47150625,2.17691025,0.87439461,4.07405686,4.10417448,0.02459408,2.99153613
-4.83541771,8.75262530,0.03451927,0.46738094,2.10846229,0.82272960,4.03527889,4.04876053,0.02236067,2.85868296
-4.82941471,8.51885449,0.03245151,0.46545026,2.04378619,0.77465435,4.01387742,3.99722080,0.02030947,2.73509967
-4.82341171,8.30471011,0.03039871,0.46546378,1.98328665,0.73015934,4.00826199,3.94901342,0.01844278,2.62088508
