energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-5.48974487,3.61616532,0.28214347,0.00740243,0.88039878,3.27692418,0.30302824,0.00000000
-5.48374187,3.66117916,0.29036164,0.00730643,0.90163217,3.31292979,0.30872102,0.00000000
-5.47773887,3.69601359,0.29741501,0.00719484,0.91827043,3.34062971,0.31278709,0.00000000
-5.47173587,3.72022706,0.30318060,0.00706802,0.93001381,3.35967660,0.31519964,0.00000000
-5.46573287,3.73366807,0.30756339,0.00692679,0.93666727,3.36996789,0.31597139,0.00000000
-5.45972986,3.73646985,0.31049812,0.00677246,0.93814378,3.37164021,0.31515351,0.00000000
-5.45372686,3.72903752,0.31195036,0.00660673,0.93446460,3.36505778,0.31283318,0.00000000
-5.44772386,3.71202809,0.31191685,0.00643168,0.92575641,3.35079518,0.30912988,0.00000000
-5.44172086,3.68632418,0.31042516,0.00624973,0.91224560,3.32961516,0.30419055,0.00000000
-5.43571786,3.65300251,0.30753255,0.00606352,0.89424995,3.30244228,0.29818395,0.00000000
-5.42971486,3.61329839,0.30332428,0.00587590,0.87216815,3.27033357,0.29129440,0.00000000
-5.42371186,3.56856775,0.29791119,0.00568983,0.84646758,3.23444718,0.28371517,0.00000000
-5.41770885,3.52024811,0.29142691,0.00550832,0.81767106,3.19601030,0.27564194,0.00000000
-5.41170585,3.46982003,0.28402454,0.00533435,0.78634287,3.15628755,0.26726653,0.00000000
-5.40570285,3.41877039,0.27587319,0.00517082,0.75307496,3.11655060,0.25877123,0.00000000
-5.39969985,3.36855861,0.26715427,0.00502044,0.71847349,3.07805025,0.25032397,0.00000000
-5.39369685,3.32058673,0.25805776,0.00488573,0.68314643,3.04199133,0.24207446,0.00000000
-5.38769385,3.27617410,0.24877858,0.00476890,0.64769248,3.00951105,0.23415150,0.00000000
-5.38169085,3.23653678,0.23951306,0.00467187,0.61269155,2.98166094,0.22666149,0.00000000
-5.37568784,3.20277200,0.23045570,0.00459617,0.57869690,2.95939243,0.21968814,0.00000000
-5.36968484,3.17584725,0.22179611,0.00454294,0.54622914,2.94354596,0.21329326,0.00000000
-5.36368184,3.15659374,0.21371636,0.00451294,0.51577179,2.93484333,0.20751854,0.00000000
-5.35767884,3.14570364,0.20638855,0.00450648,0.48776833,2.93388294,0.20238813,0.00000000
-5.35167584,3.14373054,0.19997273,0.00452346,0.46262056,2.94113759,0.19791174,0.00000000
-5.34567284,3.15109236,0.19461506,0.00456339,0.44068773,2.95695438,0.19408812,0.00000000
-5.33966983,3.16807613,0.19044623,0.00462539,0.42228635,2.98155652,0.19090850,0.00000000
-5.33366683,3.19484410,0.18758002,0.00470820,0.40769018,3.01504661,0.18835987,0.00000000
-5.32766383,3.23144044,0.18611207,0.00481029,0.39713009,3.05741131,0.18642791,0.00000000
-5.32166083,3.27779845,0.18611865,0.00492984,0.39079357,3.10852698,0.18509917,0.00000000
-5.31565783,3.33374758,0.18765557,0.00506482,0.38882364,3.16816651,0.18436260,0.00000000
-5.30965483,3.39902025,0.19075709,0.00521305,0.39131699,3.23600681,0.18421025,0.00000000
-5.30365183,3.47325831,0.19543485,0.00537227,0.39832144,3.31163706,0.18463708,0.00000000
-5.29764882,3.55601891,0.20167687,0.00554021,0.40983263,3.39456761,0.18563999,0.00000000
-5.29164582,3.64677989,0.20944660,0.00571462,0.42579032,3.48423910,0.18721614,0.00000000
-5.28564282,3.74494469,0.21868211,0.00589339,0.44607430,3.58003188,0.18936069,0.00000000
-5.27963982,3.84984688,0.22929554,0.00607457,0.47050055,3.68127541,0.19206421,0.00000000
-5.27363682,3.96075443,0.24117277,0.00625645,0.49881787,3.78725733,0.19530993,0.00000000
-5.26763382,4.07687396,0.25417353,0.00643758,0.53070543,3.89723227,0.19907107,0.00000000
-5.26163082,4.19735509,0.26813208,0.00661682,0.56577183,4.01042997,0.20330845,0.00000000
-5.25562781,4.32129537,0.28285841,0.00679337,0.60355596,4.12606290,0.20796873,0.00000000
-5.24962481,4.44774588,0.29814018,0.00696677,0.64353005,4.24333319,0.21298321,0.00000000
-5.24362181,4.57571797,0.31374554,0.00713690,0.68510521,4.36143904,0.21826763,0.00000000
-5.23761881,4.70419130,0.32942657,0.00730396,0.72763962,4.47958077,0.22372277,0.00000000
-5.23161581,4.83212357,0.34492372,0.00746846,0.77044934,4.59696665,0.22923611,0.00000000
-5.22561281,4.95846194,0.35997091,0.00763116,0.81282158,4.71281876,0.23468427,0.00000000
-5.21960980,5.08215630,0.37430133,0.00779306,0.85403025,4.82637911,0.23993645,0.00000000
-5.21360680,5.20217423,0.38765376,0.00795530,0.89335316,4.93691615,0.24485833,0.00000000
-5.20760380,5.31751735,0.39977926,0.00811911,0.93009040,5.04373171,0.24931663,0.00000000
-5.20160080,5.42723874,0.41044790,0.00828580,0.96358313,5.14616853,0.25318372,0.00000000
-5.19559780,5.53046063,0.41945538,0.00845662,0.99323210,5.24361796,0.25634238,0.00000000
-5.18959480,5.62639191,0.42662923,0.00863274,1.01851495,5.33552787,0.25869020,0.00000000
-5.18359180,5.71434438,0.43183426,0.00881519,1.03900160,5.42141022,0.26014344,0.00000000
-5.17758879,5.79374706,0.43497708,0.00900477,1.05436702,5.50084797,0.26064030,0.00000000
-5.17158579,5.86415782,0.43600939,0.00920203,1.06440067,5.57350090,0.26014319,0.00000000
-5.16558279,5.92527146,0.43492995,0.00940722,1.06901219,5.63910992,0.25863998,0.00000000
-5.15957979,5.97692381,0.43178495,0.00962022,1.06823304,5.69749946,0.25614428,0.00000000
-5.15357679,6.01909170,0.42666693,0.00984054,1.06221399,5.74857783,0.25269455,0.00000000
-5.14757379,6.05188844,0.41971206,0.01006728,1.05121855,5.79233543,0.24835221,0.00000000
-5.14157079,6.07555529,0.41109601,0.01029915,1.03561265,5.82884074,0.24319890,0.00000000
-5.13556778,6.09044934,0.40102851,0.01053442,1.01585102,5.85823458,0.23733293,0.00000000
-5.12956478,6.09702831,0.38974684,0.01077096,0.99246096,5.88072275,0.23086523,0.00000000
-5.12356178,6.09583336,0.37750847,0.01100628,0.96602415,5.89656775,0.22391497,0.00000000
-5.11755878,6.08747067,0.36458322,0.01123753,0.93715744,5.90607985,0.21660504,0.00000000
-5.11155578,6.07259278,0.35124515,0.01146157,0.90649325,5.90960825,0.20905773,0.00000000
-5.10555278,6.05188055,0.33776461,0.01167506,0.87466063,5.90753259,0.20139066,0.00000000
-5.09954977,6.02602645,0.32440067,0.01187450,0.84226743,5.90025531,0.19371328,0.00000000
-5.09354677,5.99571972,0.31139421,0.01205632,0.80988452,5.88819490,0.18612392,0.00000000
-5.08754377,5.96163373,0.29896187,0.01221701,0.77803224,5.87178012,0.17870768,0.00000000
-5.08154077,5.92441546,0.28729113,0.01235316,0.74716973,5.85144505,0.17153500,0.00000000
-5.07553777,5.88467717,0.27653652,0.01246163,0.71768712,5.82762473,0.16466101,0.00000000
-5.06953477,5.84298974,0.26681705,0.01253959,0.68990074,5.80075081,0.15812572,0.00000000
-5.06353177,5.79987732,0.25821502,0.01258465,0.66405128,5.77124708,0.15195469,0.00000000
-5.05752876,5.75581283,0.25077593,0.01259494,0.64030466,5.73952426,0.14616039,0.00000000
-5.05152576,5.71121391,0.24450962,0.01256914,0.61875533,5.70597385,0.14074390,0.00000000
-5.04552276,5.66643888,0.23939245,0.01250659,0.59943165,5.67096092,0.13569695,0.00000000
-5.03951976,5.62178272,0.23537038,0.01240726,0.58230304,5.63481587,0.13100411,0.00000000
-5.03351676,5.57747301,0.23236291,0.01227181,0.56728837,5.59782550,0.12664494,0.00000000
-5.02751376,5.53366622,0.23026749,0.01210156,0.55426527,5.56022379,0.12259620,0.00000000
-5.02151076,5.49044456,0.22896456,0.01189845,0.54308004,5.52218328,0.11883372,0.00000000
-5.01550775,5.44781434,0.22832279,0.01166499,0.53355766,5.48380768,0.11533419,0.00000000
-5.00950475,5.40570615,0.22820449,0.01140420,0.52551177,5.44512671,0.11207655,0.00000000
-5.00350175,5.36397775,0.22847103,0.01111952,0.51875422,5.40609393,0.10904307,0.00000000
-4.99749875,5.32242007,0.22898803,0.01081472,0.51310404,5.36658834,0.10622018,0.00000000
-4.99149575,5.28076670,0.22963038,0.01049383,0.50839549,5.32642014,0.10359888,0.00000000
-4.98549275,5.23870695,0.23028662,0.01016096,0.50448520,5.28534086,0.10117492,0.00000000
-4.97948974,5.19590216,0.23086294,0.00982028,0.50125795,5.24305766,0.09894870,0.00000000
-4.97348674,5.15200481,0.23128626,0.00947591,0.49863119,5.19925126,0.09692489,0.00000000
-4.96748374,5.10667933,0.23150670,0.00913180,0.49655799,5.15359665,0.09511190,0.00000000
-4.96148074,5.05962358,0.23149895,0.00879168,0.49502832,5.10578526,0.09352110,0.00000000
-4.95547774,5.01058965,0.23126274,0.00845899,0.49406860,5.05554723,0.09216603,0.00000000
-4.94947474,4.95940233,0.23082227,0.00813683,0.49373951,5.00267241,0.09106133,0.00000000
-4.94347174,4.90597419,0.23022457,0.00782792,0.49413192,4.94702830,0.09022175,0.00000000
-4.93746873,4.85031574,0.22953681,0.00753457,0.49536113,4.88857386,0.08966102,0.00000000
-4.93146573,4.79253991,0.22884273,0.00725864,0.49755952,4.82736798,0.08939069,0.00000000
-4.92546273,4.73286031,0.22823816,0.00700161,0.50086787,4.76357192,0.08941908,0.00000000
-4.91945973,4.67158306,0.22782589,0.00676447,0.50542558,4.69744554,0.08975017,0.00000000
-4.91345673,4.60909282,0.22771010,0.00654787,0.51136026,4.62933752,0.09038266,0.00000000
-4.90745373,4.54583372,0.22799046,0.00635202,0.51877714,4.55967020,0.09130916,0.00000000
-4.90145073,4.48228662,0.22875636,0.00617679,0.52774881,4.48892043,0.09251550,0.00000000
-4.89544772,4.41894434,0.23008131,0.00602176,0.53830579,4.41759764,0.09398041,0.00000000
-4.88944472,4.35628676,0.23201805,0.00588620,0.55042858,4.34622111,0.09567528,0.00000000
-4.88344172,4.29475773,0.23459434,0.00576919,0.56404165,4.27529815,0.09756442,0.00000000
-4.87743872,4.23474569,0.23780998,0.00566961,0.57900976,4.20530498,0.09960554,0.00000000
-4.87143572,4.17656958,0.24163500,0.00558625,0.59513721,4.13667191,0.10175062,0.00000000
-4.86543272,4.12047145,0.24600927,0.00551783,0.61216991,4.06977416,0.10394711,0.00000000
-4.85942971,4.06661642,0.25084360,0.00546308,0.62980073,4.00492895,0.10613951,0.00000000
-4.85342671,4.01510032,0.25602235,0.00542077,0.64767779,3.94239936,0.10827117,0.00000000
