energy_ev,total_up,total_down,Ag_p_up,Ag_p_down,Ag_d_up,Ag_d_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
5.26163082,0.23805823,-0.23805823,0.23484593,-0.23484592,0.00285947,-0.00285947,0.00627835,-0.00627835,0.01080896,-0.01080896,0.04655371,-0.04655371,0.00160179,-0.00160179,0.04336769,-0.04336769,0.00000000,-0.00000000
5.26763382,0.25040015,-0.25040014,0.25136501,-0.25136500,0.00288754,-0.00288754,0.00591056,-0.00591056,0.00958539,-0.00958539,0.04534556,-0.04534556,0.00166131,-0.00166131,0.03950183,-0.03950183,0.00000000,-0.00000000
5.27363682,0.26972806,-0.26972805,0.27375848,-0.27375847,0.00299823,-0.00299823,0.00578771,-0.00578772,0.00875756,-0.00875756,0.04613087,-0.04613087,0.00176497,-0.00176497,0.03708682,-0.03708682,0.00000000,-0.00000000
5.27963982,0.29585675,-0.29585673,0.30186923,-0.30186921,0.00318781,-0.00318781,0.00590982,-0.00590982,0.00828102,-0.00828102,0.04889831,-0.04889831,0.00191022,-0.00191022,0.03596342,-0.03596342,0.00000000,-0.00000000
5.28564282,0.32861606,-0.32861605,0.33550672,-0.33550671,0.00345279,-0.00345279,0.00627987,-0.00627987,0.00811781,-0.00811781,0.05366795,-0.05366795,0.00209451,-0.00209451,0.03598960,-0.03598960,0.00000000,-0.00000000
5.29164582,0.36784048,-0.36784046,0.37444030,-0.37444028,0.00378981,-0.00378981,0.00690380,-0.00690380,0.00823615,-0.00823615,0.06048868,-0.06048868,0.00231520,-0.00231520,0.03703950,-0.03703950,0.00000000,-0.00000000
5.29764882,0.41335776,-0.41335774,0.41839287,-0.41839285,0.00419556,-0.00419556,0.00779037,-0.00779037,0.00861009,-0.00861009,0.06943452,-0.06943452,0.00256955,-0.00256955,0.03900195,-0.03900195,0.00000000,-0.00000000
5.30365183,0.46497765,-0.46497763,0.46703584,-0.46703582,0.00466668,-0.00466668,0.00895072,-0.00895072,0.00921902,-0.00921902,0.08059969,-0.08059969,0.00285458,-0.00285458,0.04177890,-0.04177890,0.00000000,-0.00000000
5.30965483,0.52248115,-0.52248112,0.51998612,-0.51998610,0.00519971,-0.00519971,0.01039784,-0.01039784,0.01004723,-0.01004723,0.09409261,-0.09409261,0.00316706,-0.00316706,0.04528375,-0.04528374,0.00000000,-0.00000000
5.31565783,0.58561117,-0.58561114,0.57680581,-0.57680579,0.00579096,-0.00579096,0.01214588,-0.01214588,0.01108344,-0.01108344,0.11002880,-0.11002879,0.00350346,-0.00350346,0.04943985,-0.04943985,0.00000000,-0.00000000
5.32166083,0.65406513,-0.65406510,0.63700527,-0.63700525,0.00643649,-0.00643649,0.01420924,-0.01420924,0.01232035,-0.01232035,0.12852286,-0.12852285,0.00385993,-0.00385993,0.05417925,-0.05417925,0.00000000,-0.00000000
5.32766383,0.72748988,-0.72748985,0.70004983,-0.70004981,0.00713208,-0.00713208,0.01660160,-0.01660160,0.01375430,-0.01375430,0.14967973,-0.14967972,0.00423230,-0.00423230,0.05944167,-0.05944167,0.00000000,-0.00000000
5.33366683,0.80547947,-0.80547944,0.76537032,-0.76537029,0.00787318,-0.00787318,0.01933480,-0.01933480,0.01538487,-0.01538486,0.17358531,-0.17358530,0.00461615,-0.00461615,0.06517387,-0.06517387,0.00000000,-0.00000000
5.33966983,0.88757574,-0.88757570,0.83237727,-0.83237725,0.00865499,-0.00865499,0.02241770,-0.02241770,0.01721457,-0.01721457,0.20029680,-0.20029679,0.00500682,-0.00500682,0.07132932,-0.07132932,0.00000000,-0.00000000
5.34567284,0.97327183,-0.97327180,0.90047847,-0.90047844,0.00947244,-0.00947244,0.02585497,-0.02585497,0.01924861,-0.01924861,0.22983312,-0.22983310,0.00539951,-0.00539951,0.07786825,-0.07786825,0.00000000,-0.00000000
5.35167584,1.06201859,-1.06201855,0.96909898,-0.96909895,0.01032036,-0.01032036,0.02964590,-0.02964590,0.02149451,-0.02149451,0.26216564,-0.26216562,0.00578942,-0.00578942,0.08475787,-0.08475786,0.00000000,-0.00000000
5.35767884,1.15323326,-1.15323322,1.03770296,-1.03770294,0.01119348,-0.01119348,0.03378335,-0.03378335,0.02396190,-0.02396190,0.29720984,-0.29720981,0.00617182,-0.00617182,0.09197280,-0.09197280,0.00000000,-0.00000000
5.36368184,1.24631034,-1.24631031,1.10581594,-1.10581592,0.01208660,-0.01208660,0.03825273,-0.03825273,0.02666211,-0.02666211,0.33481815,-0.33481812,0.00654222,-0.00654222,0.09949562,-0.09949562,0.00000000,-0.00000000
5.36968484,1.34063382,-1.34063379,1.17304637,-1.17304635,0.01299474,-0.01299474,0.04303129,-0.04303129,0.02960776,-0.02960776,0.37477460,-0.37477457,0.00689651,-0.00689651,0.10731734,-0.10731734,0.00000000,-0.00000000
5.37568784,1.43559017,-1.43559013,1.23910507,-1.23910505,0.01391319,-0.01391319,0.04808756,-0.04808756,0.03281231,-0.03281231,0.41679162,-0.41679159,0.00723108,-0.00723108,0.11543765,-0.11543765,0.00000000,-0.00000000
5.38169085,1.53058150,-1.53058147,1.30382134,-1.30382133,0.01483772,-0.01483772,0.05338112,-0.05338112,0.03628939,-0.03628939,0.46050939,-0.46050936,0.00754294,-0.00754294,0.12386505,-0.12386505,0.00000000,-0.00000000
5.38769385,1.62503816,-1.62503813,1.36715449,-1.36715448,0.01576461,-0.01576461,0.05886273,-0.05886273,0.04005215,-0.04005215,0.50549817,-0.50549814,0.00782986,-0.00782986,0.13261646,-0.13261646,0.00000000,-0.00000000
5.39369685,1.71843004,-1.71843001,1.42919976,-1.42919975,0.01669080,-0.01669080,0.06447485,-0.06447485,0.04411239,-0.04411238,0.55126374,-0.55126370,0.00809038,-0.00809038,0.14171646,-0.14171646,0.00000000,-0.00000000
5.39969985,1.81027623,-1.81027620,1.49018816,-1.49018815,0.01761390,-0.01761390,0.07015249,-0.07015249,0.04847962,-0.04847962,0.59725604,-0.59725601,0.00832396,-0.00832396,0.15119600,-0.15119600,0.00000000,-0.00000000
5.40570285,1.90015249,-1.90015246,1.55047983,-1.55047982,0.01853226,-0.01853226,0.07582453,-0.07582453,0.05316011,-0.05316011,0.64288112,-0.64288108,0.00853087,-0.00853087,0.16109061,-0.16109061,0.00000000,-0.00000000
5.41170585,1.98769637,-1.98769634,1.61055112,-1.61055111,0.01944493,-0.01944493,0.08141533,-0.08141533,0.05815580,-0.05815580,0.68751599,-0.68751595,0.00871228,-0.00871228,0.17143814,-0.17143814,0.00000000,-0.00000000
5.41770885,2.07260994,-2.07260991,1.67097600,-1.67097599,0.02035165,-0.02035165,0.08684680,-0.08684680,0.06346327,-0.06346327,0.73052618,-0.73052614,0.00887010,-0.00887010,0.18227601,-0.18227601,0.00000000,-0.00000000
