energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-4.56528264,1.54531214,0.00045996,0.05972973,0.20469385,0.36088396,0.21931318,0.72084607,0.00429273,0.57338314
-4.55927964,1.45909184,0.00043726,0.05601307,0.19004132,0.33536643,0.20341113,0.69398156,0.00412894,0.52981196
-4.55327664,1.37302629,0.00041269,0.05250409,0.17631983,0.31041774,0.18782046,0.66523499,0.00395760,0.48777366
-4.54727364,1.28821227,0.00038672,0.04926468,0.16368225,0.28630034,0.17267051,0.63512295,0.00378442,0.44761829
-4.54127064,1.20573073,0.00035979,0.04635470,0.15226851,0.26325496,0.15808156,0.60419647,0.00361536,0.40965571
-4.53526763,1.12663081,0.00033235,0.04383125,0.14220498,0.24149793,0.14416376,0.57302934,0.00345650,0.37415423
-4.52926463,1.05191478,0.00030481,0.04174804,0.13360414,0.22121911,0.13101656,0.54220597,0.00331396,0.34134030
-4.52326163,0.98252416,0.00027758,0.04015483,0.12656424,0.20258067,0.11872830,0.51230924,0.00319377,0.31139892
-4.51725863,0.91932744,0.00025099,0.03909697,0.12116911,0.18571643,0.10737619,0.48390882,0.00310181,0.28447475
-4.51125563,0.86310937,0.00022537,0.03861503,0.11748804,0.17073189,0.09702656,0.45755011,0.00304371,0.26067374
-4.50525263,0.81456211,0.00020096,0.03874446,0.11557562,0.15770475,0.08773527,0.43374427,0.00302478,0.24006517
-4.49924962,0.77427813,0.00017797,0.03951534,0.11547152,0.14668595,0.07954833,0.41295943,0.00304998,0.22268392
-4.49324662,0.74274489,0.00015657,0.04095211,0.11720032,0.13770102,0.07250263,0.39561317,0.00312379,0.20853291
-4.48724362,0.72034098,0.00013686,0.04307339,0.12077123,0.13075169,0.06662667,0.38206640,0.00325021,0.19758556
-4.48124062,0.70733378,0.00011890,0.04589173,0.12617768,0.12581771,0.06194121,0.37261856,0.00343267,0.18978811
-4.47523762,0.70387816,0.00010271,0.04941337,0.13339700,0.12285870,0.05845984,0.36750406,0.00367398,0.18506182
-4.46923462,0.71001617,0.00008828,0.05363799,0.14238994,0.12181596,0.05618931,0.36688984,0.00397625,0.18330493
