energy_ev,total_up,P_s_up,P_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
1.65382691,2.00661774,0.00927533,0.28200627,0.83416393,0.77211242,1.06631344,0.00000000
1.65982991,1.98877103,0.00908772,0.28406663,0.82345446,0.75168416,1.07016918,0.00000000
1.66583292,1.97654364,0.00893649,0.28713676,0.81564224,0.73476155,1.07410767,0.00000000
1.67183592,1.97019723,0.00882327,0.29130763,0.81067148,0.72151883,1.07806370,0.00000000
1.67783892,1.96991178,0.00874880,0.29666425,0.80846038,0.71207658,1.08196082,0.00000000
1.68384192,1.97578165,0.00871306,0.30328350,0.80890389,0.70650131,1.08570916,0.00000000
1.68984492,1.98781410,0.00871531,0.31123180,0.81187718,0.70480654,1.08920449,0.00000000
1.69584792,2.00593013,0.00875424,0.32056234,0.81723961,0.70695512,1.09232888,0.00000000
1.70185093,2.02996729,0.00882805,0.33131212,0.82483894,0.71286250,1.09495266,0.00000000
1.70785393,2.05968415,0.00893459,0.34349891,0.83451558,0.72240066,1.09693796,0.00000000
1.71385693,2.09476612,0.00907144,0.35711809,0.84610667,0.73540237,1.09814347,0.00000000
1.71985993,2.13483218,0.00923602,0.37213973,0.85944982,0.75166557,1.09843033,0.00000000
1.72586293,2.17944241,0.00942568,0.38850600,0.87438632,0.77095751,1.09766888,0.00000000
1.73186593,2.22810596,0.00963769,0.40612899,0.89076364,0.79301875,1.09574596,0.00000000
1.73786893,2.28028918,0.00986937,0.42488930,0.90843721,0.81756669,1.09257231,0.00000000
1.74387194,2.33542392,0.01011801,0.44463546,0.92727142,0.84429864,1.08808990,0.00000000
1.74987494,2.39291578,0.01038096,0.46518431,0.94713970,0.87289461,1.08227861,0.00000000
1.75587794,2.45215227,0.01065552,0.48632244,0.96792400,0.90301973,1.07516203,0.00000000
1.76188094,2.51251088,0.01093899,0.50780880,0.98951347,0.93432656,1.06681206,0.00000000
1.76788394,2.57336717,0.01122858,0.52937842,1.01180272,0.96645740,1.05735204,0.00000000
1.77388694,2.63410272,0.01152140,0.55074721,1.03468969,0.99904675,1.04695821,0.00000000
1.77988994,2.69411319,0.01181442,0.57161779,1.05807343,1.03172425,1.03585935,0.00000000
1.78589295,2.75281644,0.01210446,0.59168606,1.08185188,1.06411804,1.02433468,0.00000000
1.79189595,2.80966067,0.01238816,0.61064854,1.10591998,1.09585880,1.01270977,0.00000000
