energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,Se_s_up,Se_p_up
-5.59179590,7.14656224,0.27001767,0.00000000,2.53567366,4.11103521,0.03568707,4.09165609
-5.58579290,7.02574099,0.26124687,0.00000000,2.49195614,4.05793423,0.03327031,4.03668463
-5.57978989,6.91452698,0.25211166,0.00000000,2.45183226,4.01273644,0.03093879,3.98676087
-5.57378689,6.81614446,0.24272574,0.00000000,2.41684163,3.97727620,0.02871896,3.94382348
-5.56778389,6.73375685,0.23321038,0.00000000,2.38854288,3.95326643,0.02663595,3.90978673
-5.56178089,6.67039919,0.22369281,0.00000000,2.36848157,3.94225693,0.02471363,3.88649844
-5.55577789,6.62891281,0.21430445,0.00000000,2.35815736,3.94559708,0.02297460,3.87569829
-5.54977489,6.61188312,0.20517896,0.00000000,2.35899083,3.96440375,0.02144030,3.87897726
-5.54377189,6.62158155,0.19645006,0.00000000,2.37229025,3.99953488,0.02013106,3.89773879
-5.53776888,6.65991183,0.18824932,0.00000000,2.39921847,4.05156880,0.01906618,3.93316218
-5.53176588,6.72836101,0.18070367,0.00000000,2.44076021,4.12078909,0.01826400,3.98616853
-5.52576288,6.82795513,0.17393290,0.00000000,2.49769013,4.20717468,0.01774185,4.05738958
-5.51975988,6.95921969,0.16804707,0.00000000,2.57054196,4.31039449,0.01751606,4.14713970
-5.51375688,7.12214496,0.16314389,0.00000000,2.65957928,4.42980620,0.01760179,4.25539150
-5.50775388,7.31615645,0.15930615,0.00000000,2.76476869,4.56445860,0.01801287,4.38175530
-5.50175088,7.54009121,0.15659927,0.00000000,2.88575623,4.71309704,0.01876155,4.52546326
-5.49574787,7.79218073,0.15506903,0.00000000,3.02184818,4.87417200,0.01985817,4.68535882
-5.48974487,8.07004191,0.15473962,0.00000000,3.17199735,5.04585062,0.02131075,4.85989236
-5.48374187,8.37067763,0.15561198,0.00000000,3.33479630,5.22603163,0.02312467,5.04712404
-5.47773887,8.69048867,0.15766269,0.00000000,3.50847877,5.41236427,0.02530213,5.24473501
-5.47173587,9.02529907,0.16084336,0.00000000,3.69093047,5.60227167,0.02784182,5.45004790
-5.46573287,9.37039659,0.16508066,0.00000000,3.87971046,5.79297969,0.03073846,5.66005765
-5.45972986,9.72059003,0.17027701,0.00000000,4.07208375,5.98155180,0.03398251,5.87147322
-5.45372686,10.07028434,0.17631207,0.00000000,4.26506555,6.16493072,0.03755986,6.08077057
-5.44772386,10.41357390,0.18304487,0.00000000,4.45547694,6.33998698,0.04145175,6.28425681
-5.44172086,10.74435355,0.19031681,0.00000000,4.64001141,6.50357444,0.04563467,6.47814466
-5.43571786,11.05644577,0.19795524,0.00000000,4.81531072,6.65259228,0.05008051,6.65863615
-5.42971486,11.34374141,0.20577772,0.00000000,4.97804839,6.78405215,0.05475678,6.82201332
-5.42371186,11.60035036,0.21359679,0.00000000,5.12501814,6.89514924,0.05962700,6.96473363
-5.41770885,11.82075748,0.22122503,0.00000000,5.25322446,6.98333488,0.06465123,7.08352689
-5.41170585,11.99997842,0.22848045,0.00000000,5.35997181,7.04638826,0.06978672,7.17549026
-5.40570285,12.13370930,0.23519174,0.00000000,5.44294906,7.08248457,0.07498861,7.23817767
-5.39969985,12.21846417,0.24120348,0.00000000,5.50030564,7.09025639,0.08021082,7.26967984
-5.39369685,12.25169414,0.24638084,0.00000000,5.53071592,7.06884568,0.08540687,7.26869154
-5.38769385,12.23188272,0.25061378,0.00000000,5.53342899,7.01794351,0.09053082,7.23456264
-5.38169085,12.15861264,0.25382047,0.00000000,5.50830146,6.93781552,0.09553816,7.16733073
-5.37568784,12.03260062,0.25594978,0.00000000,5.45581144,6.82931119,0.10038669,7.06773326
-5.36968484,11.85569809,0.25698285,0.00000000,5.37705306,6.69385626,0.10503732,6.93719845
-5.36368184,11.63085712,0.25693352,0.00000000,5.27371140,6.53342794,0.10945488,6.77781500
-5.35767884,11.36206274,0.25584768,0.00000000,5.14801883,6.35051370,0.11360874,6.59228157
-5.35167584,11.05423407,0.25380154,0.00000000,5.00269447,6.14805493,0.11747341,6.38383807
-5.34567284,10.71309831,0.25089902,0.00000000,4.84086929,5.92937777,0.12102898,6.15618145
-5.33966983,10.34504255,0.24726806,0.00000000,4.66599982,5.69811356,0.12426150,5.91336936
-5.33366683,9.95694926,0.24305640,0.00000000,4.48177402,5.45811220,0.12716316,5.65971549
-5.32766383,9.55602194,0.23842668,0.00000000,4.29201289,5.21335149,0.12973243,5.39968058
-5.32166083,9.14960707,0.23355116,0.00000000,4.10057146,4.96784581,0.13197398,5.13776314
-5.31565783,8.74501882,0.22860636,0.00000000,3.91124272,4.72555728,0.13389856,4.87839360
-5.30965483,8.34937198,0.22376759,0.00000000,3.72766742,4.49031204,0.13552262,4.62583527
-5.30365183,7.96942799,0.21920373,0.00000000,3.55325252,4.26572411,0.13686787,4.38409493
-5.29764882,7.61145786,0.21507241,0.00000000,3.39110030,4.05512852,0.13796070,4.15684519
-5.29164582,7.28112499,0.21151560,0.00000000,3.24394949,3.86152499,0.13883133,3.94736004
-5.28564282,6.98338953,0.20865595,0.00000000,3.11412949,3.68753277,0.13951302,3.75846459
-5.27963982,6.72243517,0.20659371,0.00000000,3.00352768,3.53535695,0.14004094,3.59249895
-5.27363682,6.50161843,0.20540461,0.00000000,2.91356995,3.40676577,0.14045115,3.45129596
-5.26763382,6.32343962,0.20513845,0.00000000,2.84521358,3.30307851,0.14077931,3.33617212
-5.26163082,6.18953446,0.20581866,0.00000000,2.79895175,3.22516307,0.14105957,3.24793041
-5.25562781,6.10068470,0.20744265,0.00000000,2.77482853,3.17344232,0.14132328,3.18687390
-5.24962481,6.05684619,0.20998312,0.00000000,2.77246316,3.14790827,0.14159796,3.15282869
-5.24362181,6.05719248,0.21339007,0.00000000,2.79108242,3.14814312,0.14190626,3.14517487
-5.23761881,6.10017240,0.21759365,0.00000000,2.82955973,3.17334622,0.14226520,3.16288421
-5.23161581,6.18357966,0.22250759,0.00000000,2.88645994,3.22236644,0.14268562,3.20456334
-5.22561281,6.30463292,0.22803327,0.00000000,2.96008852,3.29373890,0.14317195,3.26850143
-5.21960980,6.46006456,0.23406409,0.00000000,3.04854405,3.38572578,0.14372219,3.35272120
-5.21360680,6.64621617,0.24049019,0.00000000,3.14977282,3.49636030,0.14432835,3.45503240
