energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
3.28664332,3.17099345,0.56296403,0.05564994,1.79199741,1.30307668,1.02497377,0.00000000
3.29264632,3.06275805,0.54866567,0.05450313,1.72626712,1.25811810,0.98257930,0.00000000
3.29864932,2.96701676,0.53895027,0.05357554,1.66786366,1.21632277,0.94739771,0.00000000
3.30465233,2.88379771,0.53372548,0.05285670,1.61697146,1.17779277,0.91953251,0.00000000
3.31065533,2.81285693,0.53281757,0.05233163,1.57361076,1.14252653,0.89900376,0.00000000
3.31665833,2.75373545,0.53598404,0.05198206,1.53766691,1.11043965,0.88576567,0.00000000
3.32266133,2.70581982,0.54292725,0.05178787,1.50892154,1.08138730,0.87972335,0.00000000
3.32866433,2.66840304,0.55330867,0.05172843,1.48708368,1.05518684,0.88074745,0.00000000
3.33466733,2.64074289,0.56676321,0.05178398,1.47181918,1.03163947,0.88868627,0.00000000
3.34067034,2.62211510,0.58291303,0.05193689,1.46277702,1.01054974,0.90337468,0.00000000
3.34667334,2.61185925,0.60138049,0.05217270,1.45961141,0.99174213,0.92463973,0.00000000
3.35267634,2.60941583,0.62179987,0.05248107,1.46199890,0.97507410,0.95230285,0.00000000
3.35867934,2.61435347,0.64382750,0.05285640,1.46965009,0.96044521,0.98617887,0.00000000
3.36468234,2.62638583,0.66715011,0.05329826,1.48231601,0.94780229,1.02607245,0.00000000
3.37068534,2.64537841,0.69149129,0.05381147,1.49978935,0.93714067,1.07177224,0.00000000
3.37668834,2.67134548,0.71661589,0.05440599,1.52190118,0.92850193,1.12304369,0.00000000
3.38269135,2.70443833,0.74233254,0.05509644,1.54851381,0.92196854,1.17962126,0.00000000
3.38869435,2.74492581,0.76849416,0.05590149,1.57951085,0.91765604,1.24120059,0.00000000
3.39469735,2.79316841,0.79499668,0.05684293,1.61478534,0.91570330,1.30743160,0.00000000
3.40070035,2.84958745,0.82177612,0.05794461,1.65422682,0.91626163,1.37791297,0.00000000
3.40670335,2.91463057,0.84880410,0.05923122,1.69770843,0.91948319,1.45218849,0.00000000
3.41270635,2.98873490,0.87608212,0.06072698,1.74507457,0.92550939,1.52974558,0.00000000
3.41870935,3.07228913,0.90363459,0.06245430,1.79612994,0.93445961,1.61001613,0.00000000
3.42471236,3.16559547,0.93150105,0.06443239,1.85063016,0.94642075,1.69237956,0.00000000
3.43071536,3.26883263,0.95972750,0.06667598,1.90827441,0.96143773,1.77616782,0.00000000
3.43671836,3.38202053,0.98835738,0.06919412,1.96870012,0.97950533,1.86067216,0.00000000
3.44272136,3.50498776,1.01742206,0.07198909,2.03147966,1.00056122,1.94515091,0.00000000
3.44872436,3.63734242,1.04693145,0.07505555,2.09611887,1.02448063,2.02883813,0.00000000
3.45472736,3.77844746,1.07686475,0.07837985,2.16205738,1.05107232,2.11095238,0.00000000
3.46073037,3.92740123,1.10716180,0.08193965,2.22867039,1.08007621,2.19070531,0.00000000
3.46673337,4.08302424,1.13771528,0.08570371,2.29527181,1.11116256,2.26730971,0.00000000
3.47273637,4.24385328,1.16836431,0.08963211,2.36111871,1.14393275,2.33998680,0.00000000
3.47873937,4.40814381,1.19888960,0.09367663,2.42541704,1.17792197,2.40797277,0.00000000
3.48474237,4.57388158,1.22901082,0.09778151,2.48732861,1.21260356,2.47052459,0.00000000
3.49074537,4.73880436,1.25838625,0.10188447,2.54597966,1.24739549,2.52692533,0.00000000
3.49674837,4.90043416,1.28661527,0.10591801,2.60047102,1.28166876,2.57648936,0.00000000
3.50275138,5.05612041,1.31324376,0.10981094,2.64989009,1.31475798,2.61856776,0.00000000
3.50875438,5.20309345,1.33777253,0.11349016,2.69332497,1.34597388,2.65255431,0.00000000
3.51475738,5.33852789,1.35966868,0.11688255,2.72988052,1.37461786,2.67789252,0.00000000
3.52076038,5.45961410,1.37837972,0.11991700,2.75869648,1.39999809,2.69408371,0.00000000
3.52676338,5.56363610,1.39335006,0.12252646,2.77896741,1.42144705,2.70069651,0.00000000
3.53276638,5.64805301,1.40403925,0.12464998,2.78996391,1.43833976,2.69737745,0.00000000
3.53876938,5.71058123,1.40994128,0.12623465,2.79105460,1.45011227,2.68386251,0.00000000
3.54477239,5.74927373,1.41060410,0.12723732,2.78172800,1.45627967,2.65998908,0.00000000
3.55077539,5.76259295,1.40564854,0.12762612,2.76161334,1.45645274,2.62570782,0.00000000
3.55677839,5.74947372,1.39478551,0.12738161,2.73049928,1.45035263,2.58109340,0.00000000
3.56278139,5.70937272,1.37783081,0.12649762,2.68834941,1.43782263,2.52635366,0.00000000
3.56878439,5.64230176,1.35471656,0.12498156,2.63531351,1.41883647,2.46183602,0.00000000
3.57478739,5.54884249,1.32549868,0.12285442,2.57173357,1.39350257,2.38803057,0.00000000
3.58079040,5.43014115,1.29035989,0.12015020,2.49814404,1.36206373,2.30556920,0.00000000
3.58679340,5.28788296,1.24960803,0.11691494,2.41526557,1.32489232,2.21522019,0.00000000
3.59279640,5.12424660,1.20366970,0.11320537,2.32399233,1.28248073,2.11787830,0.00000000
3.59879940,4.94184043,1.15307934,0.10908710,2.22537307,1.23542760,2.01455021,0.00000000
3.60480240,4.74362299,1.09846444,0.10463264,2.12058638,1.18442016,1.90633584,0.00000000
3.61080540,4.53281097,1.04052733,0.09991907,2.01091110,1.13021350,1.79440607,0.00000000
3.61680840,4.31277895,0.98002455,0.09502577,1.89769309,1.07360758,1.67997774,0.00000000
3.62281141,4.08695497,0.91774471,0.09003194,1.78230965,1.01542302,1.56428691,0.00000000
3.62881441,3.85871685,0.85448585,0.08501434,1.66613314,0.95647666,1.44856165,0.00000000
3.63481741,3.63129355,0.79103327,0.08004511,1.55049538,0.89755798,1.33399529,0.00000000
3.64082041,3.40767584,0.72813883,0.07518993,1.43665433,0.83940739,1.22172156,0.00000000
3.64682341,3.19053985,0.66650247,0.07050645,1.32576440,0.78269726,1.11279234,0.00000000
3.65282641,2.98218639,0.60675669,0.06604311,1.21885161,0.72801635,1.00815911,0.00000000
3.65882941,2.78449806,0.54945438,0.06183840,1.11679435,0.67585825,0.90865864,0.00000000
3.66483242,2.59891502,0.49506039,0.05792051,1.02031055,0.62661418,0.81500321,0.00000000
3.67083542,2.42642974,0.44394680,0.05430743,0.92995113,0.58056997,0.72777570,0.00000000
3.67683842,2.26759950,0.39639182,0.05100740,0.84609998,0.53790749,0.64742911,0.00000000
3.68284142,2.12257522,0.35258211,0.04801977,0.76897975,0.49870979,0.57429042,0.00000000
3.68884442,1.99114396,0.31261791,0.04533608,0.69866300,0.46296972,0.50856794,0.00000000
3.69484742,1.87278220,0.27652068,0.04294136,0.63508753,0.43060121,0.45036159,0.00000000
3.70085043,1.76671654,0.24424244,0.04081561,0.57807508,0.40145254,0.39967516,0.00000000
3.70685343,1.67198835,0.21567633,0.03893530,0.52735212,0.37532084,0.35642967,0.00000000
3.71285643,1.58751896,0.19066771,0.03727484,0.48257156,0.35196698,0.32047700,0.00000000
3.71885943,1.51217222,0.16902531,0.03580798,0.44333438,0.33113009,0.29161291,0.00000000
3.72486243,1.44481153,0.15053178,0.03450906,0.40921012,0.31254120,0.26958878,0.00000000
3.73086543,1.38434924,0.13495345,0.03335405,0.37975545,0.29593526,0.25412154,0.00000000
3.73686843,1.32978661,0.12204882,0.03232133,0.35453018,0.28106123,0.24490135,0.00000000
3.74287144,1.28024334,0.11157563,0.03139229,0.33311026,0.26769004,0.24159691,0.00000000
3.74887444,1.23497641,0.10329645,0.03055155,0.31509759,0.25562017,0.24385838,0.00000000
3.75487744,1.19338839,0.09698279,0.02978705,0.30012664,0.24468086,0.25131807,0.00000000
3.76088044,1.15502613,0.09241777,0.02908986,0.28786809,0.23473331,0.26358927,0.00000000
3.76688344,1.11957121,0.08939752,0.02845380,0.27802975,0.22566988,0.28026375,0.00000000
3.77288644,1.08682374,0.08773155,0.02787492,0.27035528,0.21741174,0.30090843,0.00000000
3.77888944,1.05668152,0.08724237,0.02735090,0.26462128,0.20990542,0.32506191,0.00000000
3.78489245,1.02911658,0.08776446,0.02688039,0.26063325,0.20311855,0.35223154,0.00000000
3.79089545,1.00415105,0.08914301,0.02646235,0.25822106,0.19703535,0.38189161,0.00000000
3.79689845,0.98183438,0.09123264,0.02609548,0.25723440,0.19165216,0.41348321,0.00000000
3.80290145,0.96222332,0.09389615,0.02577766,0.25753879,0.18697338,0.44641628,0.00000000
3.80890445,0.94536606,0.09700373,0.02550564,0.25901240,0.18300816,0.48007407,0.00000000
3.81490745,0.93129145,0.10043251,0.02527474,0.26154393,0.17976798,0.51382014,0.00000000
3.82091046,0.92000369,0.10406666,0.02507881,0.26503182,0.17726519,0.54700790,0.00000000
3.82691346,0.91148254,0.10779795,0.02491029,0.26938462,0.17551263,0.57899246,0.00000000
3.83291646,0.90568874,0.11152689,0.02476044,0.27452253,0.17452424,0.60914431,0.00000000
3.83891946,0.90257397,0.11516424,0.02461970,0.28037983,0.17431651,0.63686432,0.00000000
3.84492246,0.90209418,0.11863281,0.02447811,0.28690795,0.17491059,0.66159944,0.00000000
3.85092546,0.90422532,0.12186949,0.02432589,0.29407883,0.17633485,0.68285822,0.00000000
3.85692846,0.90898003,0.12482728,0.02415395,0.30188816,0.17862768,0.70022552,0.00000000
3.86293147,0.91642395,0.12747728,0.02395448,0.31035821,0.18184011,0.71337541,0.00000000
3.86893447,0.92669048,0.12981038,0.02372143,0.31953983,0.18603827,0.72208189,0.00000000
3.87493747,0.93999272,0.13183857,0.02345105,0.32951351,0.19130525,0.72622649,0.00000000
3.88094047,0.95663180,0.13359592,0.02314217,0.34038902,0.19774224,0.72580255,0.00000000
3.88694347,0.97700090,0.13513884,0.02279656,0.35230381,0.20546888,0.72091586,0.00000000
3.89294647,1.00158449,0.13654596,0.02241899,0.36542006,0.21462276,0.71178150,0.00000000
3.89894947,1.03095274,0.13791735,0.02201732,0.37992031,0.22535785,0.69871722,0.00000000
3.90495248,1.06575126,0.13937323,0.02160241,0.39600210,0.23784219,0.68213342,0.00000000
3.91095548,1.10668654,0.14105214,0.02118787,0.41387166,0.25225459,0.66252048,0.00000000
3.91695848,1.15450763,0.14310879,0.02078983,0.43373698,0.26878071,0.64043382,0.00000000
3.92296148,1.20998477,0.14571144,0.02042656,0.45580058,0.28760841,0.61647754,0.00000000
3.92896448,1.27388585,0.14903908,0.02011801,0.48025237,0.30892272,0.59128736,0.00000000
3.93496748,1.34695139,0.15327835,0.01988542,0.50726266,0.33290032,0.56551350,0.00000000
3.94097049,1.42986885,0.15862036,0.01975081,0.53697588,0.35970387,0.53980425,0.00000000
3.94697349,1.52324712,0.16525735,0.01973652,0.56950485,0.38947619,0.51479083,0.00000000
3.95297649,1.62759166,0.17337923,0.01986474,0.60492604,0.42233441,0.49107384,0.00000000
3.95897949,1.74328097,0.18317014,0.02015709,0.64327560,0.45836416,0.46921188,0.00000000
3.96498249,1.87054477,0.19480473,0.02063419,0.68454633,0.49761393,0.44971213,0.00000000
3.97098549,2.00944432,0.20844449,0.02131532,0.72868538,0.54008967,0.43302330,0.00000000
3.97698849,2.15985521,0.22423381,0.02221797,0.77559268,0.58574967,0.41953043,0.00000000
3.98299150,2.32145287,0.24229595,0.02335757,0.82511992,0.63449988,0.40955162,0.00000000
3.98899450,2.49370116,0.26272890,0.02474711,0.87706995,0.68618973,0.40333623,0.00000000
