energy_ev,total_up,Cd_p_up,Cd_d_up,Li_s_up,N_s_up,N_p_up,S_s_up,S_p_up
-5.32166083,1.74834528,0.17984260,0.22590150,0.23435777,0.01685044,0.08646483,0.02600470,0.71406846
-5.31565783,1.80381219,0.18604527,0.23276779,0.24205034,0.01747604,0.08909756,0.02683775,0.73718340
-5.30965483,1.84892550,0.19132877,0.23822903,0.24845994,0.01802444,0.09119541,0.02750850,0.75618461
-5.30365183,1.88294442,0.19565185,0.24217859,0.25349763,0.01849021,0.09272258,0.02800417,0.77078195
-5.29764882,1.90539110,0.19900546,0.24454362,0.25710962,0.01886990,0.09365689,0.02831584,0.78079266
-5.29164582,1.91607205,0.20141557,0.24528779,0.25927974,0.01916218,0.09399096,0.02843894,0.78614998
-5.28564282,1.91509067,0.20294487,0.24441303,0.26003063,0.01936778,0.09373283,0.02837343,0.78690813
-5.27963982,1.90285020,0.20369347,0.24195990,0.25942359,0.01948940,0.09290621,0.02812399,0.78324349
-5.27363682,1.88004702,0.20379844,0.23800683,0.25755711,0.01953153,0.09155007,0.02769995,0.77545189
-5.26763382,1.84765471,0.20343222,0.23266808,0.25456404,0.01950022,0.08971787,0.02711520,0.76394212
-5.26163082,1.80689954,0.20279985,0.22609062,0.25060772,0.01940277,0.08747613,0.02638783,0.74922611
-5.25562781,1.75922856,0.20213518,0.21845008,0.24587686,0.01924738,0.08490279,0.02553982,0.73190605
-5.24962481,1.70627179,0.20169611,0.20994592,0.24057979,0.01904279,0.08208499,0.02459645,0.71265926
-5.24362181,1.64979993,0.20175887,0.20079610,0.23493795,0.01879793,0.07911673,0.02358580,0.69222121
-5.23761881,1.59167958,0.20261170,0.19123144,0.22917910,0.01852157,0.07609623,0.02253810,0.67136761
-5.23161581,1.53382735,0.20454792,0.18148984,0.22353033,0.01822200,0.07312321,0.02148505,0.65089605
-5.22561281,1.47816486,0.20785856,0.17181076,0.21821125,0.01790674,0.07029619,0.02045920,0.63160797
-5.21960980,1.42657560,0.21282486,0.16242994,0.21342752,0.01758240,0.06770976,0.01949330,0.61429141
-5.21360680,1.38086533,0.21971069,0.15357470,0.20936489,0.01725447,0.06545209,0.01861961,0.59970503
-5.20760380,1.34272648,0.22875509,0.14545973,0.20618398,0.01692726,0.06360262,0.01786940,0.58856382
-5.20160080,1.31370747,0.24016524,0.13828370,0.20401597,0.01660393,0.06223000,0.01727232,0.58152650
-5.19559780,1.29518711,0.25410988,0.13222652,0.20295921,0.01628646,0.06139037,0.01685596,0.57918498
-5.18959480,1.28835424,0.27071349,0.12744725,0.20307685,0.01597584,0.06112604,0.01664535,0.58205569
-5.18359180,1.29419241,0.29005141,0.12408273,0.20439566,0.01567212,0.06146450,0.01666256,0.59057278
-5.17758879,1.31346930,0.31214598,0.12224676,0.20690586,0.01537467,0.06241786,0.01692632,0.60508309
-5.17158579,1.34673046,0.33696396,0.12202972,0.21056204,0.01508230,0.06398268,0.01745167,0.62584264
-5.16558279,1.39429704,0.36441542,0.12349865,0.21528521,0.01479345,0.06614028,0.01824965,0.65301463
-5.15957979,1.45626693,0.39435404,0.12669750,0.22096575,0.01450645,0.06885736,0.01932707,0.68666859
-5.15357679,1.53251897,0.42657908,0.13164764,0.22746729,0.01421960,0.07208710,0.02068623,0.72678083
-5.14757379,1.62272003,0.46083892,0.13834843,0.23463135,0.01393139,0.07577049,0.02232478,0.77323588
-5.14157079,1.72633464,0.49683626,0.14677786,0.24228271,0.01364063,0.07983814,0.02423558,0.82582905
-5.13556778,1.84263702,0.53423477,0.15689319,0.25023516,0.01334651,0.08421224,0.02640674,0.88427010
-5.12956478,1.97072562,0.57266711,0.16863165,0.25829762,0.01304878,0.08880883,0.02882158,0.94818798
-5.12356178,2.10953997,0.61174405,0.18191109,0.26628044,0.01274773,0.09354019,0.03145892,1.01713679
-5.11755878,2.25787992,0.65106444,0.19663078,0.27400145,0.01244432,0.09831734,0.03429329,1.09060305
-5.11155578,2.41442730,0.69022569,0.21267228,0.28129190,0.01214021,0.10305260,0.03729546,1.16801414
-5.10555278,2.57776973,0.72883433,0.22990053,0.28800165,0.01183781,0.10766204,0.04043295,1.24874813
-5.09954977,2.74642664,0.76651630,0.24816514,0.29400384,0.01154029,0.11206782,0.04367082,1.33214477
-5.09354677,2.91887694,0.80292663,0.26730205,0.29919848,0.01125169,0.11620038,0.04697249,1.41751764
-5.08754377,3.09358808,0.83775797,0.28713547,0.30351508,0.01097691,0.12000023,0.05030070,1.50416712
-5.08154077,3.26904595,0.87074787,0.30748026,0.30691404,0.01072183,0.12341948,0.05361859,1.59139418
-5.07553777,3.44378487,0.90168426,0.32814467,0.30938686,0.01049326,0.12642301,0.05689076,1.67851429
-5.06953477,3.61641692,0.93040930,0.34893341,0.31095508,0.01029909,0.12898912,0.06008433,1.76487149
-5.06353177,3.78565994,0.95682110,0.36965109,0.31166810,0.01014828,0.13110979,0.06317004,1.84985182
-5.05752876,3.95036314,0.98087366,0.39010590,0.31159993,0.01005087,0.13279054,0.06612311,1.93289603
-5.05152576,4.10952972,1.00257489,0.41011334,0.31084501,0.01001803,0.13404980,0.06892405,2.01351085
-5.04552276,4.26233560,1.02198295,0.42950012,0.30951351,0.01006202,0.13491794,0.07155923,2.09127865
