energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up
-5.46573287,3.89134890,1.01855304,0.57220548,0.00323948,0.78784119,1.66225727,1.14368692,0.02594601,1.32567814
-5.45972986,3.94631293,1.02940266,0.57608038,0.00319797,0.79995049,1.67132535,1.16556044,0.02626599,1.34660705
-5.45372686,3.99657831,1.03761984,0.57874603,0.00314460,0.81186031,1.67914049,1.18653463,0.02650225,1.36544579
-5.44772386,4.04183366,1.04320162,0.58012955,0.00308000,0.82354542,1.68582955,1.20641874,0.02665615,1.38208634
-5.44172086,4.08188906,1.04620320,0.58019477,0.00300523,0.83497614,1.69154328,1.22504820,0.02673021,1.39648344
-5.43571786,4.11665569,1.04673060,0.57894061,0.00292169,0.84611284,1.69643884,1.24228142,0.02672781,1.40864750
-5.42971486,4.14612376,1.04493199,0.57639837,0.00283110,0.85690104,1.70066315,1.25799630,0.02665288,1.41863635
-5.42371186,4.17034024,1.04098837,0.57262842,0.00273539,0.86726755,1.70433804,1.27208670,0.02650965,1.42654625
-5.41770885,4.18938796,1.03510405,0.56771625,0.00263667,0.87711787,1.70754793,1.28445927,0.02630238,1.43250290
-5.41170585,4.20336743,1.02749737,0.56176837,0.00253713,0.88633506,1.71033068,1.29503093,0.02603511,1.43665282
-5.40570285,4.21238219,1.01839212,0.55490807,0.00243901,0.89478017,1.71267186,1.30372712,0.02571156,1.43915568
-5.39969985,4.21652830,1.00800998,0.54727129,0.00234449,0.90229421,1.71450268,1.31048108,0.02533499,1.44017764
-5.39369685,4.21588808,0.99656404,0.53900264,0.00225565,0.90870157,1.71570122,1.31523393,0.02490817,1.43988593
-5.38769385,4.21052798,0.98425380,0.53025186,0.00217443,0.91381463,1.71609688,1.31793558,0.02443340,1.43844474
-5.38169085,4.20049995,0.97126142,0.52117039,0.00210258,0.91743939,1.71547742,1.31854635,0.02391263,1.43601220
-5.37568784,4.18584570,0.95774934,0.51190850,0.00204162,0.91938166,1.71359801,1.31703894,0.02334751,1.43273840
-5.36968484,4.16660295,0.94385903,0.50261255,0.00199284,0.91945371,1.71019169,1.31340056,0.02273959,1.42876415
-5.36368184,4.14281272,0.92971083,0.49342268,0.00195726,0.91748070,1.70498051,1.30763499,0.02209047,1.42422022
-5.35767884,4.11452677,0.91540460,0.48447063,0.00193564,0.91330696,1.69768689,1.29976433,0.02140196,1.41922694
-5.35167584,4.08181449,0.90102100,0.47587787,0.00192850,0.90680149,1.68804443,1.28983019,0.02067623,1.41389380
-5.34567284,4.04476852,0.88662322,0.46775386,0.00193608,0.89786279,1.67580791,1.27789426,0.01991592,1.40831901
-5.33966983,4.00350876,0.87225894,0.46019446,0.00195839,0.88642259,1.66076204,1.26403808,0.01912422,1.40258887
-5.33366683,3.95818449,0.85796242,0.45328061,0.00199524,0.87244851,1.64272880,1.24836211,0.01830492,1.39677692
-5.32766383,3.90897462,0.84375651,0.44707707,0.00204619,0.85594568,1.62157323,1.23098408,0.01746241,1.39094294
-5.32166083,3.85608621,0.82965457,0.44163151,0.00211064,0.83695716,1.59720760,1.21203670,0.01660158,1.38513183
-5.31565783,3.79975146,0.81566219,0.43697380,0.00218781,0.81556342,1.56959413,1.19166489,0.01572779,1.37937248
-5.30965483,3.74022365,0.80177868,0.43311559,0.00227676,0.79188081,1.53874617,1.17002270,0.01484675,1.37367681
-5.30365183,3.67777229,0.78799835,0.43005029,0.00237640,0.76605928,1.50472821,1.14727004,0.01396431,1.36803901
-5.29764882,3.61267795,0.77431150,0.42775339,0.00248552,0.73827933,1.46765456,1.12356940,0.01308638,1.36243526
-5.29164582,3.54522707,0.76070530,0.42618320,0.00260276,0.70874841,1.42768715,1.09908264,0.01221876,1.35682378
-5.28564282,3.47570699,0.74716433,0.42528195,0.00272665,0.67769693,1.38503231,1.07396811,0.01136695,1.35114552
-5.27963982,3.40440154,0.73367118,0.42497730,0.00285561,0.64537383,1.33993682,1.04837800,0.01053606,1.34532528
-5.27363682,3.33158709,0.72020672,0.42518420,0.00298795,0.61204201,1.29268322,1.02245609,0.00973069,1.33927346
-5.26763382,3.25752945,0.70675048,0.42580704,0.00312188,0.57797356,1.24358459,0.99633595,0.00895484,1.33288826
-5.26163082,3.18248128,0.69328091,0.42674203,0.00325550,0.54344499,1.19297876,0.97013952,0.00821185,1.32605828
-5.25562781,3.10668037,0.67977567,0.42787981,0.00338685,0.50873242,1.14122222,0.94397619,0.00750440,1.31866558
-5.24962481,3.03034855,0.66621200,0.42910815,0.00351389,0.47410703,1.08868373,0.91794223,0.00683447,1.31058893
-5.24362181,2.95369131,0.65256716,0.43031464,0.00363454,0.43983056,1.03573784,0.89212077,0.00620339,1.30170745
-5.23761881,2.87689816,0.63881905,0.43138948,0.00374671,0.40615123,0.98275845,0.86658209,0.00561187,1.29190426
-5.23161581,2.80014374,0.62494691,0.43222809,0.00384832,0.37329998,0.93011258,0.84138440,0.00506008,1.28107040
-5.22561281,2.72358976,0.61093230,0.43273371,0.00393736,0.34148719,0.87815459,0.81657499,0.00454770,1.26910874
-5.21960980,2.64738765,0.59676016,0.43281972,0.00401189,0.31089992,0.82722084,0.79219177,0.00407399,1.25593792
-5.21360680,2.57168218,0.58242008,0.43241190,0.00407016,0.28169982,0.77762520,0.76826518,0.00363787,1.24149636
-5.20760380,2.49661567,0.56790770,0.43145037,0.00411058,0.25402156,0.72965528,0.74482038,0.00323799,1.22574603
-5.20160080,2.42233294,0.55322614,0.42989136,0.00413182,0.22797209,0.68356958,0.72187968,0.00287281,1.20867612
-5.19559780,2.34898676,0.53838746,0.42770867,0.00413283,0.20363041,0.63959560,0.69946513,0.00254064,1.19030635
-5.18959480,2.27674334,0.52341400,0.42489482,0.00411290,0.18104815,0.59792881,0.67760114,0.00223971,1.17068988
-5.18359180,2.20578785,0.50833951,0.42146187,0.00407168,0.16025065,0.55873249,0.65631694,0.00196819,1.14991554
-5.17758879,2.13632924,0.49320999,0.41744187,0.00400920,0.14123864,0.52213832,0.63564887,0.00172424,1.12810926
-5.17158579,2.06860418,0.47808412,0.41288689,0.00392591,0.12399035,0.48824744,0.61564220,0.00150607,1.10543460
-5.16558279,2.00287947,0.46303311,0.40786850,0.00382263,0.10846398,0.45713199,0.59635239,0.00131189,1.08209197
-5.15957979,1.93945266,0.44814007,0.40247687,0.00370057,0.09460040,0.42883688,0.57784567,0.00114000,1.05831666
-5.15357679,1.87865045,0.43349865,0.39681916,0.00356130,0.08232604,0.40338152,0.56019879,0.00098877,1.03437534
-5.14757379,1.82082454,0.41921108,0.39101749,0.00340671,0.07155574,0.38076146,0.54349789,0.00085666,1.01056115
-5.14157079,1.76634505,0.40538556,0.38520618,0.00323896,0.06219558,0.36094986,0.52783652,0.00074222,0.98718726
-5.13556778,1.71559122,0.39213310,0.37952854,0.00306039,0.05414553,0.34389850,0.51331269,0.00064415,0.96457909
-5.12956478,1.66893994,0.37956388,0.37413310,0.00287350,0.04730192,0.32953859,0.50002522,0.00056123,0.94306527
-5.12356178,1.62675220,0.36778335,0.36916934,0.00268086,0.04155956,0.31778116,0.48806942,0.00049242,0.92296779
-5.11755878,1.58935826,0.35688810,0.36478320,0.00248505,0.03681369,0.30851728,0.47753238,0.00043684,0.90459146
-5.11155578,1.55704210,0.34696184,0.36111229,0.00228856,0.03296153,0.30161809,0.46848798,0.00039374,0.88821329
-5.10555278,1.53002592,0.33807166,0.35828112,0.00209377,0.02990356,0.29693493,0.46099206,0.00036263,0.87407214
-5.09954977,1.50845573,0.33026468,0.35639642,0.00190287,0.02754455,0.29429960,0.45507793,0.00034319,0.86235914
-5.09354677,1.49238868,0.32356540,0.35554290,0.00171784,0.02579432,0.29352506,0.45075251,0.00033535,0.85320943
-5.08754377,1.48178319,0.31797392,0.35577940,0.00154038,0.02456829,0.29440665,0.44799343,0.00033930,0.84669557
-5.08154077,1.47649235,0.31346498,0.35713592,0.00137191,0.02378790,0.29672393,0.44674725,0.00035552,0.84282309
-5.07553777,1.47626139,0.30998819,0.35961136,0.00121355,0.02338086,0.30024334,0.44692897,0.00038478,0.84152838
-5.06953477,1.48072942,0.30746917,0.36317247,0.00106613,0.02328130,0.30472160,0.44842294,0.00042816,0.84267924
-5.06353177,1.48943570,0.30581185,0.36775376,0.00093018,0.02342991,0.30990985,0.45108530,0.00048708,0.84607802
-5.05752876,1.50183019,0.30490159,0.37325861,0.00080597,0.02377394,0.31555849,0.45474768,0.00056326,0.85146727
-5.05152576,1.51728818,0.30460915,0.37956161,0.00069352,0.02426725,0.32142249,0.45922217,0.00065878,0.85853785
-5.04552276,1.53512824,0.30479529,0.38651186,0.00059261,0.02487026,0.32726696,0.46430737,0.00077597,0.86693887
-5.03951976,1.55463280,0.30531566,0.39393733,0.00050286,0.02554988,0.33287277,0.46979510,0.00091747,0.87628933
-5.03351676,1.57507039,0.30602590,0.40164998,0.00042372,0.02627937,0.33804195,0.47547760,0.00108612,0.88619068
-5.02751376,1.59571838,0.30678656,0.40945156,0.00035455,0.02703814,0.34260247,0.48115473,0.00128490,0.89623975
-5.02151076,1.61588524,0.30746765,0.41713966,0.00029461,0.02781147,0.34641230,0.48664095,0.00151687,0.90604160
-5.01550775,1.63493117,0.30795258,0.42451395,0.00024310,0.02859012,0.34936236,0.49177156,0.00178504,0.91522150
-5.00950475,1.65228617,0.30814135,0.43138231,0.00019921,0.02936977,0.35137826,0.49640809,0.00209225,0.92343560
-5.00350175,1.66746464,0.30795276,0.43756646,0.00016213,0.03015047,0.35242066,0.50044237,0.00244104,0.93037987
-4.99749875,1.68007606,0.30732563,0.44290712,0.00013106,0.03093583,0.35248424,0.50379928,0.00283348,0.93579691
-4.99149575,1.68983111,0.30621902,0.44726823,0.00010526,0.03173221,0.35159531,0.50643793,0.00327103,0.93948043
-4.98549275,1.69654339,0.30461144,0.45054030,0.00008402,0.03254777,0.34980810,0.50835129,0.00375436,0.94127740
-4.97948974,1.70012664,0.30249919,0.45264273,0.00006668,0.03339148,0.34720011,0.50956438,0.00428321,0.94108788
-4.97348674,1.70058794,0.29989394,0.45352496,0.00005266,0.03427213,0.34386647,0.51013104,0.00485621,0.93886267
-4.96748374,1.69801747,0.29681989,0.45316664,0.00004143,0.03519733,0.33991398,0.51012959,0.00547077,0.93459924
-4.96148074,1.69257556,0.29331042,0.45157669,0.00003253,0.03617261,0.33545481,0.50965758,0.00612301,0.92833624
-4.95547774,1.68447790,0.28940479,0.44879152,0.00002557,0.03720061,0.33060039,0.50882586,0.00680766,0.92014697
-4.94947474,1.67397979,0.28514487,0.44487245,0.00002019,0.03828047,0.32545586,0.50775248,0.00751809,0.91013246
-4.94347174,1.66136036,0.28057223,0.43990249,0.00001610,0.03940732,0.32011510,0.50655643,0.00824633,0.89841445
-4.93746873,1.64690764,0.27572565,0.43398273,0.00001307,0.04057213,0.31465685,0.50535176,0.00898315,0.88512870
-4.93146573,1.63090509,0.27063928,0.42722845,0.00001087,0.04176167,0.30914201,0.50424219,0.00971826,0.87041913
-4.92546273,1.61362020,0.26534143,0.41976516,0.00000936,0.04295878,0.30361203,0.50331646,0.01044047,0.85443282
-4.91945973,1.59529562,0.25985404,0.41172466,0.00000839,0.04414283,0.29808876,0.50264458,0.01113802,0.83731618
-4.91345673,1.57614280,0.25419285,0.40324136,0.00000785,0.04529047,0.29257528,0.50227502,0.01179880,0.81921230
-4.90745373,1.55633838,0.24836811,0.39444881,0.00000764,0.04637644,0.28705801,0.50223298,0.01241076,0.80025941
-4.90145073,1.53602294,0.24238581,0.38547663,0.00000771,0.04737464,0.28150953,0.50251962,0.01296223,0.78059026
-4.89544772,1.51530191,0.23624918,0.37644777,0.00000798,0.04825913,0.27589216,0.50311223,0.01344233,0.76033239
-4.88944472,1.49424818,0.22996047,0.36747625,0.00000842,0.04900528,0.27016197,0.50396531,0.01384125,0.73960881
-4.88344172,1.47290585,0.22352265,0.35866516,0.00000898,0.04959083,0.26427280,0.50501238,0.01415067,0.71853893
-4.87743872,1.45129486,0.21694107,0.35010508,0.00000963,0.04999684,0.25818036,0.50616834,0.01436398,0.69723949
-4.87143572,1.42941563,0.21022486,0.34187285,0.00001034,0.05020849,0.25184585,0.50733240,0.01447654,0.67582522
-4.86543272,1.40725376,0.20338793,0.33403053,0.00001108,0.05021579,0.24523916,0.50839131,0.01448584,0.65440899
-4.85942971,1.38478408,0.19644964,0.32662471,0.00001185,0.05001390,0.23834137,0.50922288,0.01439160,0.63310143
-4.85342671,1.36197420,0.18943498,0.31968602,0.00001261,0.04960342,0.23114649,0.50969956,0.01419575,0.61200994
-4.84742371,1.33878722,0.18237434,0.31322899,0.00001335,0.04899029,0.22366248,0.50969217,0.01390241,0.59123712
-4.84142071,1.31518381,0.17530284,0.30725204,0.00001407,0.04818560,0.21591142,0.50907360,0.01351771,0.57087869
-4.83541771,1.29112376,0.16825946,0.30173791,0.00001474,0.04720506,0.20792905,0.50772235,0.01304956,0.55102120
-4.82941471,1.26656713,0.16128580,0.29665442,0.00001535,0.04606848,0.19976366,0.50552615,0.01250743,0.53173967
-4.82341171,1.24147546,0.15442482,0.29195552,0.00001591,0.04479898,0.19147453,0.50238523,0.01190197,0.51309533
-4.81740870,1.21581303,0.14771954,0.28758288,0.00001641,0.04342222,0.18313002,0.49821552,0.01124471,0.49513386
-4.81140570,1.18954861,0.14121182,0.28346783,0.00001685,0.04196560,0.17480546,0.49295162,0.01054767,0.47788421
-4.80540270,1.16265776,0.13494128,0.27953375,0.00001724,0.04045739,0.16658099,0.48654933,0.00982299,0.46135829
-4.79939970,1.13512578,0.12894454,0.27569882,0.00001758,0.03892604,0.15853944,0.47898802,0.00908263,0.44555147
-4.79339670,1.10695130,0.12325467,0.27187915,0.00001789,0.03739944,0.15076439,0.47027238,0.00833798,0.43044415
-4.78739370,1.07815030,0.11790095,0.26799205,0.00001818,0.03590444,0.14333840,0.46043372,0.00759966,0.41600411
-4.78139070,1.04876048,0.11290892,0.26395945,0.00001848,0.03446629,0.13634153,0.44953073,0.00687724,0.40218973
-4.77538769,1.01884553,0.10830065,0.25971130,0.00001881,0.03310841,0.12985004,0.43764947,0.00617911,0.38895378
-4.76938469,0.98849895,0.10409520,0.25518866,0.00001920,0.03185206,0.12393543,0.42490264,0.00551233,0.37624752
-4.76338169,0.95784712,0.10030913,0.25034652,0.00001968,0.03071628,0.11866357,0.41142811,0.00488260,0.36402491
-4.75737869,0.92705111,0.09695715,0.24515604,0.00002029,0.02971776,0.11409402,0.39738663,0.00429423,0.35224661
-4.75137569,0.89630702,0.09405253,0.23960618,0.00002105,0.02887083,0.11027940,0.38295872,0.00375019,0.34088347
-4.74537269,0.86584456,0.09160754,0.23370447,0.00002200,0.02818746,0.10726484,0.36834088,0.00325220,0.32991929
-4.73936968,0.83592367,0.08963361,0.22747711,0.00002318,0.02767724,0.10508739,0.35374112,0.00280086,0.31935264
-4.73336668,0.80682933,0.08814128,0.22096809,0.00002461,0.02734742,0.10377540,0.33937399,0.00239572,0.30919771
-4.72736368,0.77886462,0.08713995,0.21423759,0.00002632,0.02720282,0.10334790,0.32545530,0.00203551,0.29948395
-4.72136068,0.75234231,0.08663734,0.20735965,0.00002833,0.02724579,0.10381391,0.31219665,0.00171825,0.29025479
-4.71535768,0.72757540,0.08663882,0.20041922,0.00003066,0.02747616,0.10517189,0.29980008,0.00144143,0.28156533
-4.70935468,0.70486719,0.08714661,0.19350881,0.00003332,0.02789114,0.10740916,0.28845302,0.00120215,0.27347933
-4.70335168,0.68450138,0.08815893,0.18672486,0.00003630,0.02848528,0.11050156,0.27832382,0.00099725,0.26606562
-4.69734867,0.66673288,0.08966914,0.18016410,0.00003960,0.02925042,0.11441334,0.26955803,0.00082346,0.25939429
-4.69134567,0.65177979,0.09166512,0.17392003,0.00004319,0.03017574,0.11909733,0.26227571,0.00067750,0.25353286
-4.68534267,0.63981730,0.09412877,0.16807972,0.00004705,0.03124783,0.12449556,0.25656985,0.00055615,0.24854270
-4.67933967,0.63097367,0.09703581,0.16272117,0.00005114,0.03245095,0.13054021,0.25250603,0.00045634,0.24447598
-4.67333667,0.62532880,0.10035597,0.15791116,0.00005542,0.03376727,0.13715502,0.25012345,0.00037520,0.24137325
-4.66733367,0.62291532,0.10405351,0.15370393,0.00005982,0.03517732,0.14425717,0.24943711,0.00031008,0.23926185
-4.66133067,0.62372222,0.10808805,0.15014040,0.00006428,0.03666049,0.15175944,0.25044126,0.00025861,0.23815514
-4.65532766,0.62770081,0.11241581,0.14724821,0.00006874,0.03819558,0.15957265,0.25311379,0.00021865,0.23805250
-4.64932466,0.63477244,0.11699106,0.14504234,0.00007313,0.03976154,0.16760833,0.25742133,0.00018836,0.23894018
-4.64332166,0.64483750,0.12176776,0.14352620,0.00007736,0.04133804,0.17578135,0.26332479,0.00016614,0.24079264
