energy_ev,total_up,Ir_p_up,Ir_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
1.77988994,6.44694149,2.41070101,2.56849668,0.34056711,0.22695733,0.15161301,1.93416869,1.44722954,0.00167714
1.78589295,6.36153484,2.38913159,2.52580093,0.32721500,0.22312409,0.14511891,1.95874175,1.42141364,0.00164030
1.79189595,6.26971699,2.36348022,2.48117997,0.31274176,0.21887108,0.13895835,1.98133996,1.39457032,0.00160003
1.79789895,6.17326897,2.33440015,2.43531399,0.29736461,0.21432650,0.13321296,2.00189180,1.36729818,0.00155716
1.80390195,6.07397037,2.30254122,2.38886989,0.28131327,0.20961726,0.12796179,2.02031019,1.34023348,0.00151258
1.80990495,5.97356197,2.26853633,2.34249028,0.26482399,0.20486520,0.12327961,2.03649679,1.31402938,0.00146719
1.81590795,5.87371049,2.23299051,2.29678336,0.24813373,0.20018363,0.11923528,2.05034775,1.28933395,0.00142187
1.82191096,5.77597648,2.19647251,2.25231371,0.23147458,0.19567426,0.11589000,2.06176053,1.26676768,0.00137748
1.82791396,5.68178569,2.15950906,2.20959417,0.21506872,0.19142463,0.11329570,2.07064138,1.24690179,0.00133482
1.83391696,5.59240454,2.12258138,2.16907867,0.19912386,0.18750609,0.11149346,2.07691286,1.23023809,0.00129462
1.83991996,5.50891995,2.08612372,2.13115620,0.18382936,0.18397248,0.11051218,2.08052109,1.21719130,0.00125749
1.84592296,5.43222359,2.05052336,2.09614578,0.16935306,0.18085935,0.11036735,2.08144209,1.20807472,0.00122397
1.85192596,5.36300069,2.01612157,2.06429256,0.15583882,0.17818388,0.11106014,2.07968671,1.20308964,0.00119442
1.85792896,5.30172325,1.98321510,2.03576503,0.14340480,0.17594544,0.11257681,2.07530406,1.20231880,0.00116910
1.86393197,5.24864773,1.95205762,2.01065345,0.13214239,0.17412669,0.11488837,2.06838287,1.20572425,0.00114812
1.86993497,5.20381699,1.92286092,1.98896959,0.12211588,0.17269530,0.11795067,2.05905098,1.21314930,0.00113143
1.87593797,5.16706661,1.89579556,1.97064797,0.11336266,0.17160615,0.12170478,2.04747286,1.22432427,0.00111886
1.88194097,5.13803544,1.87099099,1.95554876,0.10589394,0.17080394,0.12607783,2.03384539,1.23887583,0.00111010
1.88794397,5.11618041,1.84853507,1.94346239,0.09969603,0.17022614,0.13098410,2.01839232,1.25633907,0.00110474
1.89394697,5.10079561,1.82847354,1.93411618,0.09473193,0.16980630,0.13632652,2.00135776,1.27617177,0.00110225
1.89994997,5.09103557,1.81080935,1.92718288,0.09094327,0.16947740,0.14199854,1.98299923,1.29777033,0.00110204
1.90595298,5.08594255,1.79550268,1.92229123,0.08825260,0.16917543,0.14788614,1.96358083,1.32048639,0.00110346
1.91195598,5.08447763,1.78247172,1.91903841,0.08656580,0.16884280,0.15387026,1.94336705,1.34364392,0.00110581
1.91795898,5.08555511,1.77159484,1.91700410,0.08577474,0.16843173,0.15982930,1.92261757,1.36655587,0.00110841
1.92396198,5.08807945,1.76271432,1.91576576,0.08576007,0.16790733,0.16564181,1.90158361,1.38854036,0.00111061
1.92996498,5.09098402,1.75564187,1.91491478,0.08639409,0.16725037,0.17118930,1.88050572,1.40893569,0.00111179
1.93596798,5.09327034,1.75016597,1.91407272,0.08754366,0.16645958,0.17635897,1.85961339,1.42711435,0.00111141
1.94197099,5.09404655,1.74606087,1.91290700,0.08907319,0.16555335,0.18104642,1.83912609,1.44249557,0.00110903
1.94797399,5.09256345,1.74309692,1.91114533,0.09084755,0.16457083,0.18515828,1.81925571,1.45455654,0.00110429
1.95397699,5.08824669,1.74105171,1.90858807,0.09273492,0.16357232,0.18861449,1.80020975,1.46284217,0.00109700
1.95997999,5.08072312,1.73972150,1.90511773,0.09460956,0.16263878,0.19135035,1.78219502,1.46697338,0.00108707
1.96598299,5.06984008,1.73893201,1.90070506,0.09635433,0.16187065,0.19331824,1.76542098,1.46665395,0.00107453
1.97198599,5.05567587,1.73854801,1.89541120,0.09786303,0.16138575,0.19448873,1.75010241,1.46167567,0.00105957
1.97798899,5.03854053,1.73848086,1.88938543,0.09904244,0.16131640,0.19485135,1.73646065,1.45192194,0.00104249
1.98399200,5.01896601,1.73869328,1.88285852,0.09981397,0.16180579,0.19441466,1.72472302,1.43736947,0.00102368
1.98999500,4.99768564,1.73920091,1.87613169,0.10011497,0.16300361,0.19320580,1.71512009,1.41808808,0.00100364
1.99599800,4.97560285,1.74007016,1.86956154,0.09989951,0.16506115,0.19126945,1.70788054,1.39423842,0.00098292
2.00200100,4.95375016,1.74141238,1.86354145,0.09913878,0.16812592,0.18866613,1.70322359,1.36606741,0.00096214
2.00800400,4.93323968,1.74337426,1.85848021,0.09782094,0.17233593,0.18546999,1.70134927,1.33390150,0.00094190
2.01400700,4.91520683,1.74612490,1.85477885,0.09595053,0.17781392,0.18176618,1.70242680,1.29813764,0.00092284
2.02001001,4.90074969,1.74984010,1.85280663,0.09354737,0.18466155,0.17764772,1.70658165,1.25923221,0.00090551
2.02601301,4.89086650,1.75468471,1.85287734,0.09064512,0.19295397,0.17321215,1.71388192,1.21768801,0.00089045
2.03201601,4.88639423,1.76079393,1.85522711,0.08728942,0.20273475,0.16855805,1.72432493,1.17403981,0.00087810
2.03801901,4.88795094,1.76825463,1.85999467,0.08353579,0.21401153,0.16378151,1.73782468,1.12883884,0.00086878
2.04402201,4.89588512,1.77708791,1.86720523,0.07944732,0.22675257,0.15897276,1.75420126,1.08263684,0.00086273
2.05002501,4.91023435,1.78723392,1.87675873,0.07509226,0.24088424,0.15421312,1.77317279,1.03597029,0.00086004
2.05602801,4.93069584,1.79853998,1.88842312,0.07054158,0.25628984,0.14957230,1.79435081,0.98934538,0.00086068
2.06203102,4.95661057,1.81075295,1.90183319,0.06586667,0.27280956,0.14510632,1.81723957,0.94322450,0.00086449
2.06803402,4.98696238,1.82351644,1.91649512,0.06113717,0.29024201,0.14085603,1.84123974,0.89801477,0.00087119
2.07403702,5.02039252,1.83637334,1.93179662,0.05641904,0.30834704,0.13684632,1.86565658,0.85405903,0.00088037
2.08004002,5.05522980,1.84877387,1.94702254,0.05177293,0.32685004,0.13308607,1.88971282,0.81162978,0.00089151
2.08604302,5.08953522,1.86008897,1.96137529,0.04725294,0.34544758,0.12956881,1.91256578,0.77092620,0.00090405
2.09204602,5.12115994,1.86962855,1.97399927,0.04290565,0.36381420,0.12627408,1.93332833,0.73207428,0.00091731
2.09804902,5.14781421,1.87666407,1.98400861,0.03876965,0.38161040,0.12316932,1.95109313,0.69513001,0.00093060
2.10405203,5.16714474,1.88045445,1.99051688,0.03487527,0.39849124,0.12021236,1.96495915,0.66008534,0.00094321
2.11005503,5.17681742,1.88027409,1.99266781,0.03124480,0.41411569,0.11735414,1.97405955,0.62687644,0.00095444
2.11605803,5.17460199,1.87544202,1.98966569,0.02789286,0.42815609,0.11454173,1.97758994,0.59539376,0.00096362
