energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up
-5.84992496,2.98845409,0.05874988,0.19649050,0.55501632,0.29667686,0.39573819,0.62640583,0.08213636,1.29524855
-5.84392196,3.22302474,0.06291972,0.21552655,0.60929153,0.32306687,0.43157366,0.66676402,0.08635028,1.39237715
-5.83791896,3.47333347,0.06712092,0.23611569,0.66807267,0.35103941,0.47009217,0.70973912,0.09084164,1.49581733
-5.83191596,3.73832020,0.07133231,0.25824218,0.73117230,0.38056625,0.51111884,0.75506126,0.09557922,1.60500840
-5.82591296,4.01663432,0.07553240,0.28186648,0.79831711,0.41160047,0.55442380,0.80240672,0.10052610,1.71926215
-5.81990995,4.30663296,0.07969932,0.30692286,0.86914599,0.44407325,0.59972207,0.85140062,0.10563998,1.83776607
-5.81390695,4.60638346,0.08381069,0.33331719,0.94320967,0.47789083,0.64667468,0.90162026,0.11087347,1.95958869
-5.80790395,4.91367082,0.08784347,0.36092508,1.01997236,0.51293146,0.69489116,0.95259938,0.11617445,2.08368739
-5.80190095,5.22601113,0.09177381,0.38959056,1.09881547,0.54904282,0.74393352,1.00383325,0.12148644,2.20891899
-5.79589795,5.54067204,0.09557693,0.41912545,1.17904359,0.58603997,0.79332175,1.05478487,0.12674914,2.33405310
-5.78989495,5.85470084,0.09922708,0.44930959,1.25989281,0.62370422,0.84254079,1.10489227,0.13189897,2.45778861
-5.78389195,6.16496081,0.10269758,0.47989197,1.34054138,0.66178289,0.89104900,1.15357701,0.13686989,2.57877327
-5.77788894,6.46817601,0.10596103,0.51059298,1.42012261,0.69999043,0.93828788,1.20025386,0.14159431,2.69562612
-5.77188594,6.76098404,0.10898959,0.54110768,1.49773980,0.73801073,0.98369290,1.24434148,0.14600421,2.80696258
-5.76588294,7.03999617,0.11175549,0.57111025,1.57248295,0.77550081,1.02670512,1.28527404,0.15003247,2.91142163
-5.75987994,7.30186326,0.11423164,0.60025942,1.64344667,0.81209590,1.06678323,1.32251349,0.15361426,3.00769436
-5.75387694,7.54334582,0.11639233,0.62820483,1.70974901,0.84741561,1.10341562,1.35556192,0.15668871,3.09455305
-5.74787394,7.76138576,0.11821408,0.65459413,1.77055039,0.88107126,1.13613205,1.38397385,0.15920049,3.17087969
-5.74187094,7.95317723,0.11967646,0.67908062,1.82507221,0.91267392,1.16451448,1.40736770,0.16110149,3.23569286
-5.73586793,8.11623381,0.12076300,0.70133112,1.87261431,0.94184294,1.18820664,1.42543608,0.16235237,3.28817192
-5.72986493,8.24844914,0.12146194,0.72103384,1.91257077,0.96821468,1.20692189,1.43795427,0.16292397,3.32767722
-5.72386193,8.34814831,0.12176686,0.73790597,1.94444336,0.99145096,1.22044915,1.44478654,0.16279847,3.35376559
-5.71785893,8.41412778,0.12167724,0.75170057,1.96785229,1.01124706,1.22865668,1.44588981,0.16197021,3.36620015
-5.71185593,8.44568187,0.12119870,0.76221272,1.98254363,1.02733885,1.23149342,1.44131440,0.16044619,3.36495400
-5.70585293,8.44261466,0.12034300,0.76928449,1.98839340,1.03950877,1.22898808,1.43120185,0.15824605,3.35020760
-5.69984992,8.40523681,0.11912784,0.77280865,1.98540800,1.04759055,1.22124598,1.41577965,0.15540169,3.32233972
-5.69384692,8.33434753,0.11757634,0.77273106,1.97372120,1.05147245,1.20844380,1.39535317,0.15195642,3.28191255
-5.68784392,8.23120270,0.11571628,0.76905150,1.95358777,1.05109901,1.19082262,1.37029515,0.14796366,3.22965161
-5.68184092,8.09747068,0.11357917,0.76182314,1.92537410,1.04647129,1.16867955,1.34103306,0.14348529,3.16642133
-5.67583792,7.93517820,0.11119911,0.75115059,1.88954636,1.03764569,1.14235841,1.30803512,0.13858976,3.09319752
-5.66983492,7.74664882,0.10861158,0.73718666,1.84665660,1.02473155,1.11223982,1.27179547,0.13334992,3.01103803
-5.66383192,7.53443682,0.10585217,0.72012804,1.79732746,1.00788751,1.07873120,1.23281923,0.12784079,2.92105281
-5.65782891,7.30125957,0.10295536,0.70021010,1.74223620,0.98731712,1.04225699,1.19160820,0.12213731,2.82437485
-5.65182591,7.04993100,0.09995345,0.67770088,1.68209843,0.96326370,1.00324956,1.14864768,0.11631222,2.72213302
-5.64582291,6.78329891,0.09687554,0.65289474,1.61765242,0.93600472,0.96214096,1.10439513,0.11043409,2.61542792
-5.63981991,6.50418815,0.09374684,0.62610568,1.54964418,0.90584590,0.91935572,1.05927101,0.10456572,2.50531149
-5.63381691,6.21535131,0.09058816,0.59766064,1.47881396,0.87311536,0.87530492,1.01365204,0.09876277,2.39277099
-5.62781391,5.91942801,0.08741572,0.56789293,1.40588442,0.83815763,0.83038143,0.96786717,0.09307288,2.27871742
-5.62181091,5.61891335,0.08424116,0.53713606,1.33155054,0.80132803,0.78495644,0.92219610,0.08753508,2.16397866
-5.61580790,5.31613546,0.08107187,0.50571791,1.25647162,0.76298721,0.73937697,0.87687025,0.08217973,2.04929673
-5.60980490,5.01324160,0.07791150,0.47395558,1.18126516,0.72349610,0.69396453,0.83207597,0.07702875,1.93532905
-5.60380190,4.71219208,0.07476071,0.44215079,1.10650267,0.68321121,0.64901443,0.78795940,0.07209614,1.82265278
-5.59779890,4.41476063,0.07161797,0.41058606,1.03270722,0.64248032,0.60479587,0.74463279,0.06738890,1.71177164
-5.59179590,4.12254009,0.06848046,0.37952156,0.96035253,0.60163862,0.56155242,0.70218154,0.06290799,1.60312452
-5.58579290,3.83695185,0.06534503,0.34919268,0.88986343,0.56100526,0.51950292,0.66067166,0.05864957,1.49709486
-5.57978989,3.55925789,0.06220905,0.31980839,0.82161742,0.52088033,0.47884252,0.62015703,0.05460614,1.39402039
-5.57378689,3.29057402,0.05907117,0.29155021,0.75594714,0.48154228,0.43974390,0.58068616,0.05076780,1.29420237
-5.56778389,3.03188345,0.05593194,0.26457187,0.69314347,0.44324580,0.40235846,0.54230802,0.04712331,1.19791395
-5.56178089,2.78404984,0.05279433,0.23899957,0.63345916,0.40622015,0.36681762,0.50507681,0.04366109,1.10540735
-5.55577789,2.54782926,0.04966393,0.21493277,0.57711275,0.37066796,0.33323406,0.46905535,0.04037006,1.01691948
-5.54977489,2.32388079,0.04654907,0.19244548,0.52429270,0.33676453,0.30170298,0.43431723,0.03724023,0.93267615
-5.54377189,2.11277559,0.04346071,0.17158796,0.47516150,0.30465760,0.27230344,0.40094763,0.03426314,0.85289469
-5.53776888,1.91500452,0.04041216,0.15238869,0.42985975,0.27446759,0.24509962,0.36904290,0.03143209,0.77778532
-5.53176588,1.73098442,0.03741866,0.13485670,0.38851009,0.24628832,0.22014218,0.33870920,0.02874221,0.70755124
-5.52576288,1.56106321,0.03449689,0.11898398,0.35122076,0.22018815,0.19746969,0.31006025,0.02619038,0.64238792
-5.51975988,1.40552414,0.03166435,0.10474802,0.31808886,0.19621144,0.17710998,0.28321450,0.02377500,0.58248154
-5.51375688,1.26458915,0.02893876,0.09211435,0.28920300,0.17438043,0.15908150,0.25829193,0.02149570,0.52800704
-5.50775388,1.13842165,0.02633743,0.08103896,0.26464535,0.15469725,0.14339459,0.23541063,0.01935300,0.47912577
-5.50175088,1.02712853,0.02387672,0.07147064,0.24449287,0.13714613,0.13005251,0.21468343,0.01734797,0.43598293
-5.49574787,0.93076151,0.02157146,0.06335297,0.22881763,0.12169567,0.11905237,0.19621462,0.01548188,0.39870480
-5.48974487,0.84931754,0.01943456,0.05662620,0.21768610,0.10830108,0.11038552,0.18009689,0.01375590,0.36739589
-5.48374187,0.78273819,0.01747666,0.05122859,0.21115724,0.09690626,0.10403776,0.16640858,0.01217091,0.34213585
-5.47773887,0.73090779,0.01570589,0.04709755,0.20927948,0.08744579,0.09998889,0.15521122,0.01072728,0.32297617
-5.47173587,0.69365022,0.01412770,0.04417034,0.21208643,0.07984653,0.09821190,0.14654734,0.00942488,0.30993659
-5.46573287,0.67072430,0.01274487,0.04238435,0.21959151,0.07402902,0.09867158,0.14043863,0.00826307,0.30300129
-5.45972986,0.66181778,0.01155746,0.04167708,0.23178158,0.06990858,0.10132269,0.13688433,0.00724082,0.30211473
-5.45372686,0.66654031,0.01056301,0.04198584,0.24860983,0.06739598,0.10610775,0.13585985,0.00635690,0.30717740
-5.44772386,0.68441565,0.00975660,0.04324711,0.26998823,0.06639801,0.11295450,0.13731574,0.00561016,0.31804152
-5.44172086,0.71487383,0.00913115,0.04539580,0.29578001,0.06681763,0.12177329,0.14117686,0.00499985,0.33450695
-5.43571786,0.75724382,0.00867757,0.04836439,0.32579255,0.06855413,0.13245450,0.14734198,0.00452601,0.35631773
-5.42971486,0.81074783,0.00838508,0.05208207,0.35977131,0.07150312,0.14486622,0.15568374,0.00418984,0.38315945
-5.42371186,0.87449790,0.00824144,0.05647404,0.39739520,0.07555661,0.15885247,0.16604920,0.00399416,0.41465798
-5.41770885,0.94749595,0.00823322,0.06146096,0.43827412,0.08060314,0.17423209,0.17826093,0.00394380,0.45037985
-5.41170585,1.02863797,0.00834611,0.06695868,0.48194896,0.08652819,0.19079862,0.19211896,0.00404598,0.48983485
-5.40570285,1.11672313,0.00856514,0.07287842,0.52789455,0.09321486,0.20832113,0.20740339,0.00431072,0.53248086
-5.39969985,1.21046827,0.00887502,0.07912720,0.57552582,0.10054488,0.22654647,0.22387792,0.00475104,0.57773138
-5.39369685,1.30852790,0.00926033,0.08560888,0.62420724,0.10839996,0.24520262,0.24129429,0.00538328,0.62496555
-5.38769385,1.40951937,0.00970586,0.09222554,0.67326549,0.11666355,0.26400336,0.25939738,0.00622710,0.67354081
-5.38169085,1.51205279,0.01019683,0.09887923,0.72200498,0.12522285,0.28265414,0.27793111,0.00730551,0.72280753
-5.37568784,1.61476445,0.01071917,0.10547410,0.76972590,0.13397107,0.30085891,0.29664475,0.00864465,0.77212545
-5.36968484,1.71635243,0.01125976,0.11191879,0.81574389,0.14280981,0.31832764,0.31529950,0.01027348,0.82088104
-5.36368184,1.81561269,0.01180662,0.11812883,0.85941065,0.15165140,0.33478434,0.33367499,0.01222318,0.86850496
-5.35767884,1.91147362,0.01234917,0.12402917,0.90013444,0.16042107,0.34997506,0.35157539,0.01452643,0.91448887
-5.35167584,2.00302710,0.01287833,0.12955639,0.93739939,0.16905878,0.36367561,0.36883482,0.01721642,0.95840032
-5.34567284,2.08955402,0.01338669,0.13466075,0.97078269,0.17752055,0.37569846,0.38532155,0.02032568,0.99989513
-5.33966983,2.17054245,0.01386856,0.13930765,0.99996846,0.18577914,0.38589852,0.40094103,0.02388472,1.03872610
-5.33366683,2.24569710,0.01431996,0.14347866,1.02475765,0.19382410,0.39417751,0.41563710,0.02792047,1.07474750
-5.32766383,2.31493892,0.01473865,0.14717179,1.04507321,0.20166088,0.40048647,0.42939157,0.03245464,1.10791495
-5.32166083,2.37839455,0.01512392,0.15040116,1.06096009,0.20930931,0.40482646,0.44222199,0.03750196,1.13828033
-5.31565783,2.43637580,0.01547653,0.15319587,1.07257992,0.21680127,0.40724724,0.45417768,0.04306848,1.16598192
-5.30965483,2.48935009,0.01579840,0.15559828,1.08020073,0.22417772,0.40784396,0.46533422,0.04914989,1.19123026
-5.30365183,2.53790338,0.01609246,0.15766167,1.08418191,0.23148537,0.40675213,0.47578678,0.05573007,1.21429045
-5.29764882,2.58269772,0.01636228,0.15944742,1.08495545,0.23877301,0.40414106,0.48564260,0.06277987,1.23546180
-5.29164582,2.62442600,0.01661182,0.16102192,1.08300432,0.24608794,0.40020608,0.49501320,0.07025624,1.25505625
-5.28564282,2.66376669,0.01684515,0.16245331,1.07883921,0.25347256,0.39516006,0.50400675,0.07810190,1.27337674
-5.27963982,2.70134169,0.01706618,0.16380833,1.07297499,0.26096163,0.38922466,0.51272119,0.08624541,1.29069712
-5.27363682,2.73767980,0.01727845,0.16514939,1.06590818,0.26858012,0.38262171,0.52123864,0.09460195,1.30724473
-5.26763382,2.77318860,0.01748493,0.16653208,1.05809668,0.27634215,0.37556526,0.52962132,0.10307463,1.32318706
-5.26163082,2.80813655,0.01768800,0.16800327,1.04994286,0.28425088,0.36825467,0.53790965,0.11155642,1.33862324
-5.25562781,2.84264654,0.01788931,0.16959988,1.04178095,0.29229962,0.36086909,0.54612227,0.11993276,1.35358112
-5.24962481,2.87670151,0.01808996,0.17134841,1.03386922,0.30047393,0.35356343,0.55425841,0.12808456,1.36802007
-5.24362181,2.91016158,0.01829049,0.17326521,1.02638736,0.30875473,0.34646616,0.56230216,0.13589169,1.38183939
-5.23761881,2.94279163,0.01849116,0.17535752,1.01943885,0.31712211,0.33967866,0.57022856,0.14323674,1.39489167
-5.23161581,2.97429709,0.01869213,0.17762499,1.01305802,0.32555964,0.33327628,0.57801088,0.15000887,1.40700029
-5.22561281,3.00436548,0.01889374,0.18006180,1.00722103,0.33405876,0.32731066,0.58562874,0.15610764,1.41797968
-5.21960980,3.03271045,0.01909676,0.18265896,1.00185991,0.34262297,0.32181317,0.59307619,0.16144661,1.42765690
-5.21360680,3.05911494,0.01930270,0.18540674,0.99687846,0.35127130,0.31679904,0.60036941,0.16595643,1.43589298
-5.20760380,3.08347017,0.01951402,0.18829697,0.99216879,0.36004088,0.31227180,0.60755304,0.16958747,1.44260242
-5.20160080,3.10580728,0.01973432,0.19132494,0.98762742,0.36898821,0.30822763,0.61470490,0.17231161,1.44776933
-5.19559780,3.12631905,0.01996851,0.19449086,0.98316959,0.37818891,0.30465936,0.62193841,0.17412326,1.45145901
-5.18959480,3.14536989,0.02022283,0.19780070,0.97874104,0.38773586,0.30155965,0.62940252,0.17503940,1.45382413
-5.18359180,3.16349288,0.02050489,0.20126617,0.97432639,0.39773575,0.29892332,0.63727903,0.17509882,1.45510472
-5.17758879,3.18137395,0.02082356,0.20490414,0.96995370,0.40830406,0.29674850,0.64577731,0.17436034,1.45562226
-5.17158579,3.19982400,0.02118881,0.20873520,0.96569509,0.41955893,0.29503682,0.65512672,0.17290036,1.45576784
-5.16558279,3.21974067,0.02161155,0.21278168,0.96166357,0.43161398,0.29379238,0.66556714,0.17080959,1.45598543
-5.15957979,3.24206257,0.02210329,0.21706524,0.95800658,0.44457086,0.29302006,0.67733816,0.16818944,1.45675123
-5.15357679,3.26771885,0.02267596,0.22160414,0.95489684,0.45851177,0.29272299,0.69066775,0.16514794,1.45855066
-5.14757379,3.29757790,0.02334154,0.22641059,0.95252159,0.47349263,0.29289986,0.70576087,0.16179567,1.46185440
-5.14157079,3.33239872,0.02411180,0.23148821,0.95107098,0.48953743,0.29354211,0.72278904,0.15824167,1.46709531
-5.13556778,3.37278852,0.02499800,0.23683008,0.95072694,0.50663416,0.29463143,0.74188136,0.15458978,1.47464764
-5.12956478,3.41916958,0.02601069,0.24241733,0.95165330,0.52473280,0.29613799,0.76311765,0.15093528,1.48481009
-5.12356178,3.47175773,0.02715944,0.24821868,0.95398813,0.54374563,0.29801939,0.78652408,0.14736229,1.49779374
-5.11755878,3.53055423,0.02845270,0.25419083,0.95783898,0.56354988,0.30022077,0.81207157,0.14394175,1.51371567
-5.11155578,3.59535140,0.02989761,0.26027992,0.96328139,0.58399290,0.30267612,0.83967702,0.14073017,1.53259854
-5.10555278,3.66575188,0.03149989,0.26642391,0.97036091,0.60489941,0.30531064,0.86920713,0.13776921,1.55437615
-5.09954977,3.74119996,0.03326368,0.27255574,0.97909845,0.62608072,0.30804428,0.90048469,0.13508583,1.57890441
-5.09354677,3.82102296,0.03519142,0.27860732,0.98949853,0.64734521,0.31079622,0.93329654,0.13269319,1.60597681
-5.08754377,3.90447958,0.03728367,0.28451380,1.00155990,0.66850965,0.31348990,0.96740287,0.13059201,1.63534329
-5.08154077,3.99081198,0.03953897,0.29021809,1.01528751,0.68941062,0.31605854,1.00254709,0.12877227,1.66673100
-5.07553777,4.07929780,0.04195355,0.29567523,1.03070505,0.70991528,0.31845054,1.03846545,0.12721523,1.69986554
-5.06953477,4.16929873,0.04452111,0.30085636,1.04786685,0.72993095,0.32063466,1.07489601,0.12589546,1.73449110
-5.06353177,4.26030216,0.04723251,0.30575187,1.06686836,0.74941278,0.32260439,1.11158621,0.12478283,1.77038823
-5.05752876,4.35195338,0.05007547,0.31037376,1.08785401,0.76836907,0.32438139,1.14829869,0.12384441,1.80738795
-5.05152576,4.44407603,0.05303428,0.31475671,1.11102198,0.78686386,0.32601771,1.18481511,0.12304598,1.84538142
-5.04552276,4.53668001,0.05608950,0.31895792,1.13662509,0.80501657,0.32759649,1.22093788,0.12235336,1.88432471
-5.03951976,4.62995618,0.05921778,0.32305573,1.16496769,0.82299870,0.32923133,1.25648995,0.12173327,1.92423841
-5.03351676,4.72425898,0.06239177,0.32714683,1.19639837,0.84102783,0.33106400,1.29131287,0.12115399,1.96520243
-5.02751376,4.82007808,0.06558014,0.33134248,1.23129888,0.85935905,0.33326088,1.32526363,0.12058560,2.00734653
-5.02151076,4.91800159,0.06874776,0.33576360,1.27006953,0.87827452,0.33600817,1.35821063,0.12000002,2.05083754
-5.01550775,5.01867342,0.07185612,0.34053533,1.31311200,0.89807164,0.33950606,1.39002960,0.11937088,2.09586416
-5.00950475,5.12274784,0.07486390,0.34578103,1.36081024,0.91905044,0.34396231,1.42059977,0.11867329,2.14262076
-5.00350175,5.23084441,0.07772774,0.35161624,1.41351048,0.94150101,0.34958544,1.44980091,0.11788356,2.19129124
-4.99749875,5.34350618,0.08040323,0.35814282,1.47150142,0.96569159,0.35657785,1.47751172,0.11697900,2.24203414
-4.99149575,5.46116373,0.08284605,0.36544368,1.53499553,0.99185787,0.36512931,1.50360970,0.11593783,2.29496991
-4.98549275,5.58410710,0.08501323,0.37357821,1.60411233,1.02019417,0.37541091,1.52797264,0.11473922,2.35017118
-4.97948974,5.71246691,0.08686449,0.38257881,1.67886455,1.05084672,0.38756985,1.55048175,0.11336347,2.40765639
-4.97348674,5.84620535,0.08836359,0.39244859,1.75914772,1.08390945,0.40172516,1.57102609,0.11179246,2.46738694
-4.96748374,5.98511679,0.08947965,0.40316037,1.84473350,1.11942227,0.41796446,1.58950798,0.11001010,2.52926778
-4.96148074,6.12883736,0.09018832,0.41465699,1.93526717,1.15737187,0.43634183,1.60584891,0.10800298,2.59315094
-4.95547774,6.27686193,0.09047285,0.42685299,2.03026905,1.19769467,0.45687662,1.61999529,0.10576103,2.65884138
-4.94947474,6.42856666,0.09032481,0.43963743,2.12913977,1.24028181,0.47955334,1.63192365,0.10327822,2.72610442
-4.94347174,6.58323507,0.08974469,0.45287777,2.23116907,1.28498558,0.50432229,1.64164450,0.10055309,2.79467377
-4.93746873,6.74008537,0.08874203,0.46642468,2.33554752,1.33162679,0.53110094,1.64920460,0.09758933,2.86425944
-4.93146573,6.89829683,0.08733536,0.48011732,2.44138072,1.38000268,0.55977574,1.65468714,0.09439599,2.93455466
-4.92546273,7.05703363,0.08555175,0.49378914,2.54770534,1.42989471,0.59020442,1.65820973,0.09098765,3.00524123
-4.91945973,7.21546441,0.08342607,0.50727364,2.65350645,1.48107588,0.62221847,1.65992014,0.08738432,3.07599291
-4.91345673,7.37277688,0.08099998,0.52041005,2.75773552,1.53331704,0.65562580,1.65998998,0.08361102,3.14647684
-4.90745373,7.52818693,0.07832069,0.53304857,2.85932880,1.58639195,0.69021350,1.65860669,0.07969734,3.21635286
-4.90145073,7.68094252,0.07543954,0.54505493,2.95722545,1.64008089,0.72575074,1.65596425,0.07567661,3.28527135
-4.89544772,7.83032295,0.07241049,0.55631421,3.05038533,1.69417271,0.76199173,1.65225331,0.07158506,3.35287010
-4.88944472,7.97563465,0.06928853,0.56673365,3.13780626,1.74846532,0.79867887,1.64765141,0.06746080,3.41877085
-4.88344172,8.11620487,0.06612812,0.57624442,3.21854034,1.80276476,0.83554614,1.64231387,0.06334280,3.48257652
-4.87743872,8.25137470,0.06298172,0.58480227,3.29170963,1.85688311,0.87232278,1.63636620,0.05926982,3.54386973
-4.87143572,8.38049302,0.05989842,0.59238714,3.35652074,1.91063546,0.90873736,1.62989837,0.05527945,3.60221350
-4.86543272,8.50291263,0.05692276,0.59900164,3.41227848,1.96383636,0.94452214,1.62296158,0.05140712,3.65715461
-4.85942971,8.61798974,0.05409373,0.60466867,3.45839836,2.01629599,0.97941785,1.61556765,0.04768539,3.70822997
-4.85342671,8.72508730,0.05144407,0.60942819,3.49441766,2.06781661,1.01317874,1.60769117,0.04414329,3.75497606
-4.84742371,8.82358255,0.04899966,0.61333338,3.52000507,2.11818938,1.04557780,1.59927429,0.04080580,3.79694122
-4.84142071,8.91287852,0.04677934,0.61644635,3.53496824,2.16719206,1.07641196,1.59023376,0.03769359,3.83370025
-4.83541771,8.99241879,0.04479481,0.61883369,3.53925933,2.21458771,1.10550707,1.58046989,0.03482285,3.86487060
-4.82941471,9.06170455,0.04305081,0.62056203,3.53297778,2.26012467,1.13272245,1.56987667,0.03220529,3.89012906
-4.82341171,9.12031278,0.04154550,0.62169376,3.51637026,2.30353786,1.15795473,1.55835242,0.02984826,3.90922809
-4.81740870,9.16791399,0.04027096,0.62228334,3.48982741,2.34455148,1.18114077,1.54581028,0.02775501,3.92201044
-4.81140570,9.20428844,0.03921388,0.62237414,3.45387717,2.38288312,1.20225941,1.53218784,0.02592496,3.92842116
-4.80540270,9.22933944,0.03835636,0.62199612,3.40917468,2.41824923,1.22133198,1.51745516,0.02435410,3.92851609
-4.79939970,9.24310294,0.03767670,0.62116437,3.35648878,2.45037177,1.23842138,1.50162095,0.02303537,3.92246620
-4.79339670,9.24575273,0.03715034,0.61987867,3.29668550,2.47898603,1.25362987,1.48473625,0.02195908,3.91055728
-4.78739370,9.23760125,0.03675072,0.61812401,3.23070888,2.50384921,1.26709547,1.46689574,0.02111327,3.89318514
-4.78139070,9.21909609,0.03645024,0.61587206,3.15955977,2.52474983,1.27898732,1.44823654,0.02048413,3.87084648
-4.77538769,9.19081300,0.03622105,0.61308351,3.08427337,2.54151754,1.28950008,1.42893472,0.02005632,3.84412609
-4.76938469,9.15344626,0.03603588,0.60971122,3.00589635,2.55403310,1.29884778,1.40920001,0.01981330,3.81368117
-4.76338169,9.10779773,0.03586872,0.60570387,2.92546445,2.56223842,1.30725735,1.38926908,0.01973761,3.78022393
-4.75737869,9.05476570,0.03569551,0.60101013,2.84398146,2.56614618,1.31496225,1.36939798,0.01981113,3.74450356
-4.75137569,8.99533496,0.03549460,0.59558300,2.76240046,2.56584892,1.32219656,1.34985444,0.02001530,3.70728863
-4.74537269,8.93056908,0.03524717,0.58938420,2.68160798,2.56152719,1.32918964,1.33091049,0.02033137,3.66935118
-4.73936968,8.86160568,0.03493757,0.58238837,2.60241170,2.55345650,1.33616191,1.31283599,0.02074060,3.63145322
-4.73336668,8.78965512,0.03455344,0.57458695,2.52553210,2.54201281,1.34332156,1.29589343,0.02122444,3.59433630
-4.72736368,8.71600251,0.03408582,0.56599153,2.45159812,2.52767618,1.35086258,1.28033431,0.02176481,3.55871452
-4.72136068,8.64201247,0.03352912,0.55663655,2.38114677,2.51103226,1.35896379,1.26639708,0.02234426,3.52527095
-4.71535768,8.56913566,0.03288098,0.54658135,2.31462651,2.49277143,1.36778905,1.25430674,0.02294619,3.49465707
-4.70935468,8.49891558,0.03214210,0.53591130,2.25240362,2.47368517,1.37748814,1.24427564,0.02355513,3.46749464
-4.70335168,8.43299378,0.03131595,0.52473817,2.19477114,2.45465956,1.38819827,1.23650533,0.02415688,3.44437918
-4.69734867,8.37311166,0.03040846,0.51319963,2.14195934,2.43666544,1.40004577,1.23118876,0.02473878,3.42588374
-4.69134567,8.32110647,0.02942766,0.50145785,2.09414690,2.42074533,1.41314761,1.22851250,0.02528986,3.41256213
-4.68534267,8.27889985,0.02838335,0.48969734,2.05147188,2.40799679,1.42761241,1.22865821,0.02580099,3.40495013
-4.67933967,8.24847681,0.02728665,0.47812198,2.01404150,2.39955221,1.44354061,1.23180294,0.02626503,3.40356386
-4.67333667,8.23185416,0.02614967,0.46695124,1.98193999,2.39655520,1.46102347,1.23811780,0.02667684,3.40889427
-4.66733367,8.23103737,0.02498513,0.45641583,1.95523389,2.40013364,1.48014072,1.24776472,0.02703334,3.42139731
-4.66133067,8.24796595,0.02380603,0.44675264,1.93397416,2.41136974,1.50095680,1.26089096,0.02733339,3.44147935
-4.65532766,8.28444801,0.02262527,0.43819916,1.91819513,2.43126768,1.52351562,1.27762165,0.02757773,3.46947824
-4.64932466,8.34208565,0.02145542,0.43098745,1.90791003,2.46071948,1.54783404,1.29805036,0.02776874,3.50564030
-4.64332166,8.42219355,0.02030842,0.42533778,1.90310353,2.50046986,1.57389423,1.32222825,0.02791021,3.55009443
