energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-5.87993997,0.73707024,0.00740490,0.15993980,0.10528228,0.00000000,0.22865314,0.16224213
-5.87393697,0.74734786,0.00833182,0.16382808,0.10484190,0.00000000,0.22993446,0.16401036
-5.86793397,0.75920806,0.00938181,0.16803992,0.10452257,0.00000000,0.23178415,0.16625031
-5.86193097,0.77236178,0.01057169,0.17250836,0.10428235,0.00000000,0.23409967,0.16890444
-5.85592796,0.78656115,0.01192030,0.17717799,0.10408093,0.00000000,0.23679299,0.17192346
-5.84992496,0.80161491,0.01344830,0.18200815,0.10388194,0.00000000,0.23979497,0.17526968
-5.84392196,0.81740122,0.01517785,0.18697539,0.10365517,0.00000000,0.24305899,0.17891972
-5.83791896,0.83387711,0.01713226,0.19207507,0.10337840,0.00000000,0.24656374,0.18286653
-5.83191596,0.85108382,0.01933542,0.19732206,0.10303893,0.00000000,0.25031501,0.18712034
-5.82591296,0.86914776,0.02181123,0.20275030,0.10263458,0.00000000,0.25434617,0.19170868
-5.81990995,0.88827694,0.02458280,0.20841133,0.10217416,0.00000000,0.25871747,0.19667539
-5.81390695,0.90875289,0.02767173,0.21437185,0.10167753,0.00000000,0.26351402,0.20207856
-5.80790395,0.93091848,0.03109721,0.22071032,0.10117493,0.00000000,0.26884262,0.20798763
-5.80190095,0.95516218,0.03487511,0.22751280,0.10070603,0.00000000,0.27482745,0.21447969
-5.79589795,0.98189963,0.03901719,0.23486831,0.10031840,0.00000000,0.28160484,0.22163522
-5.78989495,1.01155333,0.04353019,0.24286379,0.10006576,0.00000000,0.28931745,0.22953351
-5.78389195,1.04453147,0.04841514,0.25157908,0.10000587,0.00000000,0.29810790,0.23824788
-5.77788894,1.08120704,0.05366668,0.26108202,0.10019837,0.00000000,0.30811229,0.24784117
-5.77188594,1.12189803,0.05927265,0.27142406,0.10070252,0.00000000,0.31945384,0.25836139
-5.76588294,1.16684975,0.06521371,0.28263647,0.10157509,0.00000000,0.33223678,0.26983812
-5.75987994,1.21621994,0.07146326,0.29472739,0.10286826,0.00000000,0.34654083,0.28227951
-5.75387694,1.27006717,0.07798749,0.30767983,0.10462786,0.00000000,0.36241643,0.29567016
-5.74787394,1.32834300,0.08474571,0.32145069,0.10689181,0.00000000,0.37988079,0.30996990
-5.74187094,1.39088782,0.09169075,0.33597078,0.10968887,0.00000000,0.39891486,0.32511351
-5.73586793,1.45743044,0.09876963,0.35114580,0.11303768,0.00000000,0.41946128,0.34101130
-5.72986493,1.52759104,0.10592435,0.36685821,0.11694616,0.00000000,0.44142337,0.35755050
-5.72386193,1.60088717,0.11309279,0.38296985,0.12141105,0.00000000,0.46466503,0.37459737
-5.71785893,1.67674214,0.12020971,0.39932509,0.12641788,0.00000000,0.48901156,0.39199980
-5.71185593,1.75449539,0.12720780,0.41575434,0.13194098,0.00000000,0.51425137,0.40959039
-5.70585293,1.83341417,0.13401872,0.43207791,0.13794378,0.00000000,0.54013847,0.42718964
-5.69984992,1.91270608,0.14057424,0.44810973,0.14437918,0.00000000,0.56639578,0.44460943
-5.69384692,1.99153195,0.14680723,0.46366113,0.15119007,0.00000000,0.59271909,0.46165628
-5.68784392,2.06901894,0.15265267,0.47854430,0.15830994,0.00000000,0.61878176,0.47813467
-5.68184092,2.14427340,0.15804861,0.49257554,0.16566359,0.00000000,0.64424002,0.49385008
-5.67583792,2.21639355,0.16293703,0.50557818,0.17316789,0.00000000,0.66873891,0.50861183
-5.66983492,2.28448202,0.16726467,0.51738509,0.18073275,0.00000000,0.69191876,0.52223579
-5.66383192,2.34765816,0.17098376,0.52784103,0.18826209,0.00000000,0.71342220,0.53454677
-5.65782891,2.40507041,0.17405270,0.53680455,0.19565508,0.00000000,0.73290152,0.54538083
-5.65182591,2.45590880,0.17643668,0.54414984,0.20280745,0.00000000,0.75002637,0.55458744
-5.64582291,2.49941754,0.17810822,0.54976836,0.20961306,0.00000000,0.76449152,0.56203155
-5.63981991,2.53490794,0.17904765,0.55357029,0.21596558,0.00000000,0.77602462,0.56759556
-5.63381691,2.56177140,0.17924353,0.55548604,0.22176042,0.00000000,0.78439358,0.57118130
-5.62781391,2.57949239,0.17869291,0.55546758,0.22689677,0.00000000,0.78941343,0.57271192
-5.62181091,2.58766109,0.17740165,0.55348977,0.23127977,0.00000000,0.79095245,0.57213369
-5.61580790,2.58598536,0.17538442,0.54955148,0.23482273,0.00000000,0.78893708,0.56941762
-5.60980490,2.57430153,0.17266475,0.54367667,0.23744938,0.00000000,0.78335568,0.56456097
-5.60380190,2.55258345,0.16927485,0.53591512,0.23909601,0.00000000,0.77426068,0.55758838
-5.59779890,2.52094940,0.16525527,0.52634281,0.23971344,0.00000000,0.76176909,0.54855260
-5.59179590,2.47966615,0.16065443,0.51506197,0.23926876,0.00000000,0.74606126,0.53753482
-5.58579290,2.42914986,0.15552797,0.50220048,0.23774670,0.00000000,0.72737778,0.52464436
-5.57978989,2.36996327,0.14993789,0.48791078,0.23515062,0.00000000,0.70601465,0.51001780
-5.57378689,2.30280913,0.14395161,0.47236800,0.23150293,0.00000000,0.68231674,0.49381730
-5.56778389,2.22851958,0.13764078,0.45576749,0.22684508,0.00000000,0.65666988,0.47622841
-5.56178089,2.14804163,0.13108009,0.43832158,0.22123695,0.00000000,0.62949151,0.45745697
-5.55577789,2.06241902,0.12434587,0.42025573,0.21475560,0.00000000,0.60122059,0.43772555
-5.54977489,1.97277072,0.11751471,0.40180399,0.20749359,0.00000000,0.57230672,0.41726919
-5.54377189,1.88026684,0.11066199,0.38320406,0.19955674,0.00000000,0.54319905,0.39633072
-5.53776888,1.78610246,0.10386050,0.36469190,0.19106145,0.00000000,0.51433527,0.37515574
-5.53176588,1.69147048,0.09717902,0.34649615,0.18213176,0.00000000,0.48613103,0.35398742
-5.52576288,1.59753406,0.09068111,0.32883259,0.17289613,0.00000000,0.45897005,0.33306126
-5.51975988,1.50539997,0.08442391,0.31189869,0.16348412,0.00000000,0.43319544,0.31260008
-5.51375688,1.41609347,0.07845721,0.29586858,0.15402315,0.00000000,0.40910225,0.29280926
-5.50775388,1.33053589,0.07282264,0.28088860,0.14463538,0.00000000,0.38693155,0.27387260
-5.50175088,1.24952557,0.06755314,0.26707366,0.13543487,0.00000000,0.36686631,0.25594874
-5.49574787,1.17372287,0.06267265,0.25450442,0.12652520,0.00000000,0.34902900,0.23916845
-5.48974487,1.10363993,0.05819599,0.24322565,0.11799748,0.00000000,0.33348108,0.22363273
-5.48374187,1.03963529,0.05412910,0.23324570,0.10992901,0.00000000,0.32022431,0.20941193
-5.47773887,0.98191365,0.05046941,0.22453713,0.10238243,0.00000000,0.30920383,0.19654579
-5.47173587,0.93053080,0.04720652,0.21703868,0.09540560,0.00000000,0.30031282,0.18504444
-5.46573287,0.88540314,0.04432302,0.21065821,0.08903195,0.00000000,0.29339866,0.17489029
-5.45972986,0.84632158,0.04179553,0.20527686,0.08328147,0.00000000,0.28827018,0.16604077
-5.45372686,0.81296906,0.03959587,0.20075399,0.07816214,0.00000000,0.28470594,0.15843162
-5.44772386,0.78494080,0.03769226,0.19693291,0.07367170,0.00000000,0.28246305,0.15198086
-5.44172086,0.76176645,0.03605068,0.19364703,0.06979978,0.00000000,0.28128632,0.14659296
-5.43571786,0.74293315,0.03463614,0.19072628,0.06653009,0.00000000,0.28091737,0.14216326
-5.42971486,0.72790847,0.03341393,0.18800354,0.06384269,0.00000000,0.28110341,0.13858232
-5.42371186,0.71616221,0.03235081,0.18532074,0.06171616,0.00000000,0.28160526,0.13574010
-5.41770885,0.70718625,0.03141603,0.18253445,0.06012946,0.00000000,0.28220457,0.13352974
-5.41170585,0.70051170,0.03058221,0.17952079,0.05906359,0.00000000,0.28270977,0.13185087
-5.40570285,0.69572262,0.02982602,0.17617936,0.05850277,0.00000000,0.28296072,0.13061230
-5.39969985,0.69246603,0.02912869,0.17243616,0.05843513,0.00000000,0.28283190,0.12973397
-5.39369685,0.69045789,0.02847622,0.16824538,0.05885296,0.00000000,0.28223406,0.12914826
-5.38769385,0.68948509,0.02785950,0.16359006,0.05975242,0.00000000,0.28111443,0.12880053
-5.38169085,0.68940370,0.02727415,0.15848153,0.06113276,0.00000000,0.27945544,0.12864893
-5.37568784,0.69013371,0.02672021,0.15295794,0.06299516,0.00000000,0.27727226,0.12866369
-5.36968484,0.69165103,0.02620170,0.14708175,0.06534116,0.00000000,0.27460916,0.12882582
-5.36368184,0.69397725,0.02572607,0.14093653,0.06817096,0.00000000,0.27153508,0.12912542
-5.35767884,0.69716798,0.02530356,0.13462313,0.07148145,0.00000000,0.26813855,0.12955973
-5.35167584,0.70130062,0.02494659,0.12825552,0.07526444,0.00000000,0.26452236,0.13013109
-5.34567284,0.70646230,0.02466912,0.12195646,0.07950483,0.00000000,0.26079803,0.13084484
-5.33966983,0.71273876,0.02448605,0.11585319,0.08417926,0.00000000,0.25708064,0.13170745
-5.33366683,0.72020486,0.02441277,0.11007339,0.08925499,0.00000000,0.25348396,0.13272481
-5.32766383,0.72891719,0.02446474,0.10474145,0.09468937,0.00000000,0.25011631,0.13390093
-5.32166083,0.73890921,0.02465720,0.09997536,0.10042984,0.00000000,0.24707711,0.13523704
-5.31565783,0.75018905,0.02500502,0.09588407,0.10641450,0.00000000,0.24445444,0.13673105
-5.30965483,0.76274006,0.02552266,0.09256559,0.11257338,0.00000000,0.24232345,0.13837757
-5.30365183,0.77652392,0.02622411,0.09010577,0.11883015,0.00000000,0.24074587,0.14016819
-5.29764882,0.79148589,0.02712303,0.08857764,0.12510449,0.00000000,0.23977041,0.14209225
-5.29164582,0.80756189,0.02823280,0.08804137,0.13131471,0.00000000,0.23943401,0.14413779
-5.28564282,0.82468659,0.02956657,0.08854478,0.13738077,0.00000000,0.23976397,0.14629266
-5.27963982,0.84280196,0.03113724,0.09012416,0.14322736,0.00000000,0.24078053,0.14854577
-5.27363682,0.86186561,0.03295738,0.09280540,0.14878693,0.00000000,0.24250010,0.15088823
-5.26763382,0.88185802,0.03503890,0.09660531,0.15400251,0.00000000,0.24493854,0.15331431
-5.26163082,0.90278818,0.03739267,0.10153288,0.15883019,0.00000000,0.24811464,0.15582217
-5.25562781,0.92469701,0.04002792,0.10759051,0.16324099,0.00000000,0.25205334,0.15841424
-5.24962481,0.94765809,0.04295143,0.11477502,0.16722216,0.00000000,0.25678856,0.16109721
-5.24362181,0.97177551,0.04616667,0.12307837,0.17077765,0.00000000,0.26236553,0.16388153
-5.23761881,0.99717878,0.04967272,0.13248801,0.17392792,0.00000000,0.26884218,0.16678053
-5.23161581,1.02401484,0.05346324,0.14298690,0.17670878,0.00000000,0.27628975,0.16980914
-5.22561281,1.05243751,0.05752534,0.15455305,0.17916960,0.00000000,0.28479219,0.17298226
-5.21960980,1.08259492,0.06183866,0.16715870,0.18137083,0.00000000,0.29444444,0.17631288
-5.21360680,1.11461552,0.06637450,0.18076920,0.18338082,0.00000000,0.30534956,0.17981010
-5.20760380,1.14859343,0.07109531,0.19534154,0.18527243,0.00000000,0.31761453,0.18347708
-5.20160080,1.18457395,0.07595441,0.21082272,0.18711917,0.00000000,0.33134506,0.18730924
-5.19559780,1.22254015,0.08089619,0.22714803,0.18899147,0.00000000,0.34663935,0.19129259
-5.18959480,1.26240123,0.08585670,0.24423941,0.19095290,0.00000000,0.36358105,0.19540253
-5.18359180,1.30398357,0.09076472,0.26200388,0.19305678,0.00000000,0.38223176,0.19960315
-5.17758879,1.34702497,0.09554326,0.28033236,0.19534325,0.00000000,0.40262327,0.20384701
-5.17158579,1.39117261,0.10011159,0.29909883,0.19783685,0.00000000,0.42475000,0.20807560
-5.16558279,1.43598498,0.10438749,0.31816010,0.20054488,0.00000000,0.44856195,0.21222043
-5.15957979,1.48093799,0.10828997,0.33735609,0.20345648,0.00000000,0.47395866,0.21620467
-5.15357679,1.52543496,0.11174202,0.35651097,0.20654256,0.00000000,0.50078451,0.21994534
-5.14757379,1.56882037,0.11467351,0.37543491,0.20975643,0.00000000,0.52882580,0.22335593
-5.14157079,1.61039679,0.11702399,0.39392667,0.21303534,0.00000000,0.55780988,0.22634939
-5.13556778,1.64944436,0.11874527,0.41177695,0.21630257,0.00000000,0.58740669,0.22884120
-5.12956478,1.68524211,0.11980365,0.42877235,0.21947023,0.00000000,0.61723273,0.23075261
-5.12356178,1.71709027,0.12018166,0.44470007,0.22244242,0.00000000,0.64685768,0.23201365
-5.11755878,1.74433261,0.11987930,0.45935293,0.22511891,0.00000000,0.67581351,0.23256593
-5.11155578,1.76637816,0.11891454,0.47253480,0.22739881,0.00000000,0.70360585,0.23236507
-5.10555278,1.78272109,0.11732318,0.48406612,0.22918450,0.00000000,0.72972737,0.23138257
-5.09954977,1.79295841,0.11515798,0.49378933,0.23038533,0.00000000,0.75367271,0.22960718
-5.09354677,1.79680437,0.11248718,0.50157393,0.23092114,0.00000000,0.77495430,0.22704554
-5.08754377,1.79410131,0.10939228,0.50732105,0.23072546,0.00000000,0.79311856,0.22372222
-5.08154077,1.78482638,0.10596543,0.51096720,0.22974819,0.00000000,0.80776164,0.21967913
-5.07553777,1.76909385,0.10230624,0.51248702,0.22795775,0.00000000,0.81854410,0.21497417
-5.06953477,1.74715293,0.09851843,0.51189492,0.22534255,0.00000000,0.82520383,0.20967951
